Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,10.12,10.81,10.12,10.645,42084,0
2017-05-16,17:00:00,10.52,10.5699,10.18,10.29,11160,0
2017-05-16,18:00:00,10.305,10.4,10.26,10.29,7070,0
2017-05-16,19:00:00,10.26,10.43,10.24,10.24,7886,0
2017-05-16,20:00:00,10.225,10.25,10.13,10.13,9750,0
2017-05-16,21:00:00,10.13,10.29,10.13,10.27,3400,0
2017-05-16,22:00:00,10.24,10.42,10.22,10.27,39312,0
2017-05-17,16:00:00,10.14,10.22,10,10.15,2517,0
2017-05-17,17:00:00,10.16,10.19,10.01,10.03,6192,0
2017-05-17,18:00:00,10,10.06,10,10.06,2701,0
2017-05-17,19:00:00,10.03,10.1,10.0159,10.09,3660,0
2017-05-17,20:00:00,10.09,10.32,10.07,10.15,15460,0
2017-05-17,21:00:00,10.154,10.26,10.154,10.2,12401,0
2017-05-17,22:00:00,10.22,10.34,10.16,10.22,47108,0
2017-05-18,16:00:00,10.26,10.396,10.23,10.36,4689,0
2017-05-18,17:00:00,10.3,10.42,10.27,10.27,4868,0
2017-05-18,18:00:00,10.31,10.4,10.3,10.36,2433,0
2017-05-18,19:00:00,10.37,10.42,10.32,10.38,2750,0
2017-05-18,20:00:00,10.39,10.39,10.31,10.37,4117,0
2017-05-18,21:00:00,10.33,10.34,10.31,10.31,11000,0
2017-05-18,22:00:00,10.33,10.49,10.33,10.43,43677,0
2017-05-19,16:00:00,10.45,10.47,10.43,10.45,3406,0
2017-05-19,17:00:00,10.4532,10.505,10.44,10.505,23155,0
2017-05-19,18:00:00,10.505,10.88,10.505,10.88,12059,0
2017-05-19,19:00:00,10.91,10.95,10.73,10.73,11868,0
2017-05-19,20:00:00,10.731,10.82,10.731,10.805,17554,0
2017-05-19,21:00:00,10.81,10.85,10.79,10.79,13652,0
2017-05-19,22:00:00,10.78,10.85,10.75,10.81,28996,0
2017-05-22,16:00:00,10.88,10.88,10.745,10.825,3575,0
2017-05-22,17:00:00,10.8,11.12,10.78,11.1,64032,0
2017-05-22,18:00:00,11.11,11.15,11,11,6500,0
2017-05-22,19:00:00,10.99,11.07,10.93,10.93,10750,0
2017-05-22,20:00:00,10.945,10.95,10.81,10.82,4093,0
2017-05-22,21:00:00,10.8,10.8611,10.72,10.82,9571,0
2017-05-22,22:00:00,10.84,10.98,10.82,10.96,10099,0
2017-05-23,16:00:00,10.95,10.95,10.77,10.7928,1937,0
2017-05-23,17:00:00,10.75,10.93,10.75,10.9,3500,0
2017-05-23,18:00:00,10.885,10.89,10.85,10.86,3174,0
2017-05-23,19:00:00,10.86,10.89,10.85,10.87,5968,0
2017-05-23,20:00:00,10.84,10.88,10.65,10.65,15752,0
2017-05-23,21:00:00,10.68,10.76,10.67,10.67,6100,0
2017-05-23,22:00:00,10.68,10.68,10.65,10.66,16149,0
2017-05-24,16:00:00,10.71,10.89,10.71,10.89,1145,0
2017-05-24,17:00:00,10.79,10.95,10.79,10.925,4143,0
2017-05-24,18:00:00,10.9121,10.95,10.87,10.89,8794,0
2017-05-24,19:00:00,10.89,10.89,10.58,10.58,7055,0
2017-05-24,20:00:00,10.57,10.76,10.51,10.76,7270,0
2017-05-24,21:00:00,10.7492,10.845,10.7201,10.83,5442,0
2017-05-24,22:00:00,10.8,10.88,10.8,10.83,9645,0
2017-05-25,16:00:00,10.84,10.84,10.84,10.84,100,0
2017-05-25,17:00:00,10.83,10.905,10.677,10.905,2363,0
2017-05-25,18:00:00,10.86,10.8641,10.7,10.7,7800,0
2017-05-25,19:00:00,10.73,10.75,10.7,10.73,900,0
2017-05-25,20:00:00,10.7,10.73,10.68,10.72,5069,0
2017-05-25,21:00:00,10.75,10.77,10.7,10.735,3000,0
2017-05-25,22:00:00,10.75,10.76,10.68,10.72,11208,0
2017-05-26,16:00:00,10.5401,10.5401,10.5401,10.5401,100,0
2017-05-26,17:00:00,10.6102,11,10.5701,10.85,16579,0
2017-05-26,18:00:00,10.825,10.84,10.82,10.83,1400,0
2017-05-26,19:00:00,10.85,10.85,10.8301,10.84,1037,0
2017-05-26,20:00:00,10.8627,10.89,10.8574,10.868,4400,0
2017-05-26,21:00:00,10.88,10.88,10.75,10.76,2500,0
2017-05-26,22:00:00,10.79,10.86,10.77,10.83,7759,0
2017-05-30,16:00:00,10.71,10.95,10.71,10.95,5244,0
2017-05-30,17:00:00,10.92,10.95,10.85,10.94,12543,0
2017-05-30,18:00:00,10.945,10.95,10.93,10.95,4903,0
2017-05-30,19:00:00,10.95,11.11,10.95,11.05,12302,0
2017-05-30,20:00:00,11.06,11.21,11.03,11.185,6500,0
2017-05-30,21:00:00,11.18,11.25,11.16,11.24,7550,0
2017-05-30,22:00:00,11.25,11.43,11.24,11.33,26226,0
2017-05-31,16:00:00,11.31,11.702,11.301,11.301,14776,0
2017-05-31,17:00:00,11.26,11.31,11.11,11.14,13900,0
2017-05-31,18:00:00,11.1,11.14,11.1,11.11,1000,0
2017-05-31,19:00:00,11.115,11.115,11.07,11.07,900,0
2017-05-31,20:00:00,11.04,11.04,10.95,10.95,3763,0
2017-05-31,21:00:00,10.96,10.99,10.9,10.91,2837,0
2017-05-31,22:00:00,10.882,10.96,10.84,10.88,8316,0
2017-06-01,16:00:00,11.09,11.6,11.01,11.01,7287,0
2017-06-01,17:00:00,11.21,11.4355,10.91,11.3,31117,0
2017-06-01,18:00:00,11.3,11.43,11.3,11.43,7050,0
2017-06-01,19:00:00,11.425,11.44,11.31,11.31,15569,0
2017-06-01,20:00:00,11.31,11.36,11.26,11.32,3963,0
2017-06-01,21:00:00,11.32,11.56,11.3,11.55,29921,0
2017-06-01,22:00:00,11.55,11.7375,11.54,11.67,17706,0
2017-06-02,16:00:00,11.49,11.75,11.49,11.7,11852,0
2017-06-02,17:00:00,11.74,11.75,11.6527,11.68,8128,0
2017-06-02,18:00:00,11.66,11.71,11.61,11.71,2400,0
2017-06-02,19:00:00,11.72,11.72,11.6699,11.6699,3492,0
2017-06-02,20:00:00,11.66,11.68,11.6,11.6,2000,0
2017-06-02,21:00:00,11.57,11.58,11.5,11.55,6522,0
2017-06-02,22:00:00,11.57,11.57,11.54,11.57,11550,0
2017-06-05,16:00:00,11.62,11.68,11.36,11.53,5364,0
2017-06-05,17:00:00,11.585,11.585,11.492,11.5,3870,0
2017-06-05,18:00:00,11.39,11.4,11.21,11.225,8280,0
2017-06-05,19:00:00,11.23,11.3,11.23,11.295,3509,0
2017-06-05,20:00:00,11.29,11.33,11.1982,11.1982,7439,0
2017-06-05,21:00:00,11.19,11.27,11.1,11.25,7639,0
2017-06-05,22:00:00,11.2321,11.55,11.18,11.47,37487,0
2017-06-06,16:00:00,10.49,10.49,9.65,10.25,50540,0
2017-06-06,17:00:00,10.25,10.26,9.9001,10.04,62177,0
2017-06-06,18:00:00,10.065,10.52,10,10.4,30295,0
2017-06-06,19:00:00,10.39,10.4,10.21,10.24,17871,0
2017-06-06,20:00:00,10.28,10.4,10.25,10.32,19085,0
2017-06-06,21:00:00,10.285,10.485,10.28,10.43,19440,0
2017-06-06,22:00:00,10.465,10.53,10.28,10.29,71509,0
2017-06-07,16:00:00,10.35,10.35,9.9,9.91,40098,0
2017-06-07,17:00:00,9.928,10.41,9.9201,10.3,29346,0
2017-06-07,18:00:00,10.33,10.33,10.2,10.21,2626,0
2017-06-07,19:00:00,10.205,10.24,10.18,10.18,6077,0
2017-06-07,20:00:00,10.19,10.25,10.18,10.23,4949,0
2017-06-07,21:00:00,10.22,10.48,10.21,10.47,11515,0
2017-06-07,22:00:00,10.46,10.59,10.4,10.45,53973,0
2017-06-08,16:00:00,10.47,10.47,9.75,10.28,4221,0
2017-06-08,17:00:00,10.2,10.28,10.1,10.12,8900,0
2017-06-08,18:00:00,10.13,10.13,9.63,9.86,47556,0
2017-06-08,19:00:00,9.8668,9.88,9.8,9.835,15725,0
2017-06-08,20:00:00,9.82,9.8249,9.55,9.6097,16103,0
2017-06-08,21:00:00,9.57,9.6555,9.315,9.52,26957,0
2017-06-08,22:00:00,9.54,9.69,9.52,9.65,41546,0
2017-06-09,16:00:00,9.54,9.8,9.5397,9.735,8246,0
2017-06-09,17:00:00,9.715,9.73,9.635,9.65,8726,0
2017-06-09,18:00:00,9.6301,9.72,9.4945,9.695,7204,0
2017-06-09,19:00:00,9.69,9.6999,9.65,9.65,2777,0
2017-06-09,20:00:00,9.6532,9.655,9.4301,9.4301,22126,0
2017-06-09,21:00:00,9.425,9.425,9.31,9.35,28674,0
2017-06-09,22:00:00,9.35,9.6,9.29,9.53,48240,0
2017-06-12,16:00:00,9.5,9.6,8.8,8.815,51231,0
2017-06-12,17:00:00,8.792,9.06,8.792,8.87,72404,0
2017-06-12,18:00:00,8.87,9.42,8.84,9.38,84034,0
2017-06-12,19:00:00,9.4,9.4,9.205,9.27,35280,0
2017-06-12,20:00:00,9.26,9.4,9.2057,9.24,22005,0
2017-06-12,21:00:00,9.24,9.25,9.1,9.17,28380,0
2017-06-12,22:00:00,9.17,9.24,9.16,9.21,30902,0
2017-06-13,16:00:00,9.37,9.37,9.05,9.1,21056,0
2017-06-13,17:00:00,9.07,9.075,8.87,8.93,32753,0
2017-06-13,18:00:00,8.93,9.05,8.9,9.02,24436,0
2017-06-13,19:00:00,9.01,9.04,8.98,9.03,16346,0
2017-06-13,20:00:00,9.01,9.1,8.96,9.09,16145,0
2017-06-13,21:00:00,9.1,9.15,9,9.14,26126,0
2017-06-13,22:00:00,9.16,9.28,9.16,9.22,75348,0
2017-06-14,16:00:00,9.2,9.42,9.12,9.12,8308,0
2017-06-14,17:00:00,9.11,9.29,8.99,9.21,21786,0
2017-06-14,18:00:00,9.21,9.295,9.12,9.2,16035,0
2017-06-14,19:00:00,9.235,9.355,9.22,9.285,15400,0
2017-06-14,20:00:00,9.29,9.46,9.29,9.39,14000,0
2017-06-14,21:00:00,9.38,9.42,9.3,9.3305,24335,0
2017-06-14,22:00:00,9.32,9.34,9.21,9.31,55944,0
2017-06-15,16:00:00,9.25,9.25,9.13,9.23,8040,0
2017-06-15,17:00:00,9.24,9.34,9.21,9.29,15800,0
2017-06-15,18:00:00,9.295,9.3,9.15,9.15,17700,0
2017-06-15,19:00:00,9.16,9.21,9.15,9.17,9300,0
2017-06-15,20:00:00,9.1707,9.21,9.13,9.16,13235,0
2017-06-15,21:00:00,9.175,9.18,9.06,9.06,29892,0
2017-06-15,22:00:00,9.02,9.17,9.01,9.15,53454,0
2017-06-16,16:00:00,9.12,9.18,9.01,9.05,15552,0
2017-06-16,17:00:00,9.05,9.11,8.92,9.05,14771,0
2017-06-16,18:00:00,9.05,9.07,8.99,9.02,8100,0
2017-06-16,19:00:00,9.015,9.07,8.96,8.975,17895,0
2017-06-16,20:00:00,8.965,9.15,8.965,9.1025,19269,0
2017-06-16,21:00:00,9.1,9.23,8.95,9.21,41461,0
2017-06-16,22:00:00,9.21,9.29,9.11,9.24,523116,0
2017-06-19,16:00:00,9.27,9.27,9.08,9.2,8973,0
2017-06-19,17:00:00,9.215,9.3849,9.2,9.38,8100,0
2017-06-19,18:00:00,9.3825,9.39,9.3,9.325,4500,0
2017-06-19,19:00:00,9.32,9.33,9.31,9.3299,4398,0
2017-06-19,20:00:00,9.32,9.48,9.32,9.4,8850,0
2017-06-19,21:00:00,9.4,9.5,9.38,9.42,14000,0
2017-06-19,22:00:00,9.445,9.49,9.42,9.46,13051,0
2017-06-20,16:00:00,9.44,9.5,9.39,9.39,1749,0
2017-06-20,17:00:00,9.39,9.39,9.22,9.26,5251,0
2017-06-20,18:00:00,9.26,9.27,9.18,9.19,3400,0
2017-06-20,19:00:00,9.19,9.19,8.97,9.01,14198,0
2017-06-20,20:00:00,9,9.11,8.98,9.07,7400,0
2017-06-20,21:00:00,9.09,9.09,8.98,9,33215,0
2017-06-20,22:00:00,9.005,9.11,9,9.02,29935,0
2017-06-21,16:00:00,9.02,9.18,9.02,9.03,4972,0
2017-06-21,17:00:00,9.03,9.18,9.02,9.165,2700,0
2017-06-21,18:00:00,9.165,9.18,9.05,9.08,9498,0
2017-06-21,19:00:00,9.1,9.1,9.065,9.1,1702,0
2017-06-21,20:00:00,9.1,9.11,9.05,9.06,6462,0
2017-06-21,21:00:00,9.09,9.1,9.05,9.05,3000,0
2017-06-21,22:00:00,9.0561,9.058,8.97,8.98,23185,0
2017-06-22,16:00:00,9,9.12,8.98,9.09,3198,0
2017-06-22,17:00:00,9.05,9.15,9.05,9.15,2385,0
2017-06-22,18:00:00,9.12,9.3,9.11,9.3,3495,0
2017-06-22,19:00:00,9.31,9.4,9.3064,9.38,6000,0
2017-06-22,20:00:00,9.39,9.39,9.3,9.34,2600,0
2017-06-22,21:00:00,9.34,9.39,9.28,9.39,9849,0
2017-06-22,22:00:00,9.385,9.39,9.28,9.33,15982,0
2017-06-23,16:00:00,9.35,9.35,9.1,9.27,5625,0
2017-06-23,17:00:00,9.35,9.4,9.3,9.3619,3902,0
2017-06-23,18:00:00,9.35,9.36,9.22,9.23,4863,0
2017-06-23,19:00:00,9.225,9.27,9.18,9.27,5151,0
2017-06-23,20:00:00,9.235,9.27,9.19,9.27,9943,0
2017-06-23,21:00:00,9.27,9.28,9.21,9.23,5305,0
2017-06-23,22:00:00,9.21,9.24,9.15,9.23,131779,0
2017-06-26,16:00:00,9.25,9.315,9.22,9.3,1903,0
2017-06-26,17:00:00,9.31,9.31,9.25,9.27,6800,0
2017-06-26,18:00:00,9.25,9.29,9.22,9.28,5337,0
2017-06-26,19:00:00,9.27,9.3424,9.26,9.3424,26594,0
2017-06-26,20:00:00,9.35,9.41,9.35,9.41,4100,0
2017-06-26,21:00:00,9.4,9.47,9.28,9.44,54712,0
2017-06-26,22:00:00,9.42,9.43,9.35,9.37,18894,0
2017-06-27,16:00:00,9.32,9.32,9.12,9.12,3700,0
2017-06-27,17:00:00,9.15,9.265,9.07,9.25,11745,0
2017-06-27,18:00:00,9.26,9.32,9.25,9.32,3225,0
2017-06-27,19:00:00,9.33,9.34,9.25,9.27,3400,0
2017-06-27,20:00:00,9.24,9.2615,9.22,9.2615,14759,0
2017-06-27,21:00:00,9.2697,9.299,9.23,9.2822,17729,0
2017-06-27,22:00:00,9.3,9.3307,9.25,9.27,29637,0
2017-06-28,16:00:00,9.26,9.27,9.16,9.19,2237,0
2017-06-28,17:00:00,9.2,9.36,9.15,9.16,6000,0
2017-06-28,18:00:00,9.16,9.3,9.16,9.3,6196,0
2017-06-28,19:00:00,9.25,9.28,9.2,9.25,2700,0
2017-06-28,20:00:00,9.27,9.33,9.21,9.33,11498,0
2017-06-28,21:00:00,9.33,9.33,9.27,9.27,2600,0
2017-06-28,22:00:00,9.26,9.33,9.25,9.33,18989,0
2017-06-29,16:00:00,9.33,9.35,9.31,9.31,1211,0
2017-06-29,17:00:00,9.33,9.34,9.25,9.32,2913,0
2017-06-29,18:00:00,9.33,9.33,9.26,9.26,4935,0
2017-06-29,19:00:00,9.26,9.32,9.2,9.28,5000,0
2017-06-29,20:00:00,9.261,9.261,9.15,9.2,11587,0
2017-06-29,21:00:00,9.1977,9.27,9.16,9.27,16588,0
2017-06-29,22:00:00,9.3,9.33,9.24,9.27,17818,0
2017-06-30,16:00:00,9.29,9.29,9.14,9.22,3850,0
2017-06-30,17:00:00,9.23,9.35,9.19,9.33,3400,0
2017-06-30,18:00:00,9.33,9.33,9.26,9.26,4700,0
2017-06-30,19:00:00,9.25,9.31,9.2396,9.3,5300,0
2017-06-30,20:00:00,9.3,9.3,9.23,9.26,2706,0
2017-06-30,21:00:00,9.26,9.32,9.26,9.31,2986,0
2017-06-30,22:00:00,9.31,9.31,9.28,9.28,8470,0
2017-07-03,16:00:00,9.31,9.361,9.3,9.361,7276,0
2017-07-03,17:00:00,9.3502,9.44,9.32,9.42,17151,0
2017-07-03,18:00:00,9.43,9.63,9.38,9.5875,9203,0
2017-07-03,19:00:00,9.6,9.7,9.6,9.7,11245,0
2017-07-03,20:00:00,9.66,9.68,9.66,9.68,1560,0
2017-07-05,16:00:00,9.68,9.68,9.48,9.58,3211,0
2017-07-05,17:00:00,9.59,9.63,9.4,9.4,5675,0
2017-07-05,18:00:00,9.38,9.46,9.38,9.45,10355,0
2017-07-05,19:00:00,9.4586,9.47,9.43,9.45,4195,0
2017-07-05,20:00:00,9.435,9.4701,9.38,9.46,7505,0
2017-07-05,21:00:00,9.43,9.46,9.425,9.435,4400,0
2017-07-05,22:00:00,9.42,9.49,9.385,9.48,10908,0
2017-07-06,16:00:00,9.44,9.53,9.4,9.4484,5416,0
2017-07-06,17:00:00,9.45,9.46,9.415,9.45,4363,0
2017-07-06,18:00:00,9.46,9.53,9.46,9.49,3377,0
2017-07-06,19:00:00,9.49,9.49,9.435,9.45,2500,0
2017-07-06,20:00:00,9.45,9.46,9.45,9.45,3530,0
2017-07-06,21:00:00,9.46,9.48,9.44,9.48,2300,0
2017-07-06,22:00:00,9.45,9.49,9.43,9.47,17984,0
2017-07-07,16:00:00,9.55,10.14,9.55,10.13,22622,0
2017-07-07,17:00:00,10.2,10.61,10.16,10.18,57012,0
2017-07-07,18:00:00,10.26,10.4215,10.26,10.37,37094,0
2017-07-07,19:00:00,10.37,10.43,10.21,10.39,28377,0
2017-07-07,20:00:00,10.38,10.4,10.08,10.37,16735,0
2017-07-07,21:00:00,10.37,10.41,10.08,10.1508,19920,0
2017-07-07,22:00:00,10.1401,10.35,10.1401,10.25,28015,0
2017-07-10,16:00:00,10.09,10.285,10.09,10.235,9579,0
2017-07-10,17:00:00,10.1958,10.2665,10.0301,10.2665,8836,0
2017-07-10,18:00:00,10.27,10.46,10.27,10.45,21207,0
2017-07-10,19:00:00,10.46,10.56,10.45,10.48,7000,0
2017-07-10,20:00:00,10.481,10.58,10.39,10.53,23477,0
2017-07-10,21:00:00,10.56,10.56,10.415,10.44,20600,0
2017-07-10,22:00:00,10.44,10.58,10.43,10.51,25721,0
2017-07-11,16:00:00,10.5,10.5399,10.02,10.505,10833,0
2017-07-11,17:00:00,10.5,10.54,10.4301,10.4401,8548,0
2017-07-11,18:00:00,10.465,10.58,10.44,10.55,6964,0
2017-07-11,19:00:00,10.542,10.59,10.47,10.55,13911,0
2017-07-11,20:00:00,10.55,10.61,10.55,10.61,6100,0
2017-07-11,21:00:00,10.57,10.6,10.5,10.515,4400,0
2017-07-11,22:00:00,10.52,10.56,10.46,10.49,26097,0
2017-07-12,16:00:00,10.5,10.61,9.76,10.51,5445,0
2017-07-12,17:00:00,10.47,10.76,10.47,10.76,14090,0
2017-07-12,18:00:00,10.78,10.9,10.71,10.835,35511,0
2017-07-12,19:00:00,10.8499,10.98,10.735,10.8,17250,0
2017-07-12,20:00:00,10.83,10.83,10.63,10.75,3598,0
2017-07-12,21:00:00,10.735,10.75,10.68,10.7,4297,0
2017-07-12,22:00:00,10.72,10.75,10.59,10.59,23011,0
2017-07-13,16:00:00,10.59,10.73,10.59,10.62,2714,0
2017-07-13,17:00:00,10.67,10.67,10.28,10.6,16327,0
2017-07-13,18:00:00,10.562,10.6,10.4399,10.465,7200,0
2017-07-13,19:00:00,10.45,10.5,10.42,10.495,4399,0
2017-07-13,20:00:00,10.495,10.52,10.42,10.49,2300,0
2017-07-13,21:00:00,10.55,10.59,10.51,10.52,3600,0
2017-07-13,22:00:00,10.5248,10.54,10.5,10.52,8745,0
2017-07-14,16:00:00,10.5,10.59,10.5,10.59,824,0
2017-07-14,17:00:00,10.55,10.63,10.46,10.46,1800,0
2017-07-14,18:00:00,10.44,10.47,10.21,10.25,13100,0
2017-07-14,19:00:00,10.25,10.5,10.23,10.47,4696,0
2017-07-14,20:00:00,10.44,10.47,10.31,10.47,4000,0
2017-07-14,21:00:00,10.5,10.52,10.48,10.51,1700,0
2017-07-14,22:00:00,10.52,10.52,10.41,10.41,5100,0
2017-07-17,16:00:00,10.39,10.5473,10.38,10.46,1306,0
2017-07-17,17:00:00,10.41,10.54,10.36,10.39,6382,0
2017-07-17,18:00:00,10.35,10.42,10.3,10.32,2700,0
2017-07-17,19:00:00,10.36,10.4899,10.32,10.43,3800,0
2017-07-17,20:00:00,10.42,10.44,10.34,10.35,3000,0
2017-07-17,21:00:00,10.36,10.4399,10.35,10.39,2300,0
2017-07-17,22:00:00,10.38,10.41,10.35,10.35,8318,0
2017-07-18,16:00:00,10.37,10.4499,10.37,10.41,3400,0
2017-07-18,17:00:00,10.3814,10.53,10.3814,10.51,6483,0
2017-07-18,18:00:00,10.535,10.865,10.5,10.765,33353,0
2017-07-18,19:00:00,10.78,10.8699,10.74,10.74,256611,0
2017-07-18,20:00:00,10.76,10.87,10.76,10.79,6214,0
2017-07-18,21:00:00,10.79,10.85,10.76,10.85,9921,0
2017-07-18,22:00:00,10.85,10.85,10.76,10.78,21095,0
2017-07-19,16:00:00,10.78,10.91,10.72,10.75,14340,0
2017-07-19,17:00:00,10.84,10.89,10.75,10.82,4475,0
2017-07-19,18:00:00,10.9,10.9325,10.83,10.83,6225,0
2017-07-19,19:00:00,10.81,10.95,10.72,10.88,19633,0
2017-07-19,20:00:00,10.905,10.93,10.85,10.86,7894,0
2017-07-19,21:00:00,10.86,10.92,10.86,10.86,104700,0
2017-07-19,22:00:00,10.89,10.92,10.78,10.9,32816,0
2017-07-20,16:00:00,10.9,10.95,10.75,10.8,5425,0
2017-07-20,17:00:00,10.85,10.915,10.79,10.9,8702,0
2017-07-20,18:00:00,10.89,10.93,10.87,10.9,7900,0
2017-07-20,19:00:00,10.9,10.95,10.881,10.94,8596,0
2017-07-20,20:00:00,10.94,10.94,10.89,10.9,7800,0
2017-07-20,21:00:00,10.9,10.93,10.88,10.9,14860,0
2017-07-20,22:00:00,10.9105,10.93,10.8,10.8,24615,0
2017-07-21,16:00:00,10.83,10.83,10.5727,10.8,6465,0
2017-07-21,17:00:00,10.69,10.85,10.6568,10.6799,3606,0
2017-07-21,18:00:00,10.6552,10.78,10.6552,10.72,2600,0
2017-07-21,19:00:00,10.77,10.77,10.64,10.64,1100,0
2017-07-21,20:00:00,10.66,10.72,10.64,10.7,3100,0
2017-07-21,21:00:00,10.7,10.8,10.69,10.74,4300,0
2017-07-21,22:00:00,10.7,10.77,10.51,10.67,45842,0
2017-07-24,16:00:00,10.67,10.72,10.5421,10.5999,4177,0
2017-07-24,17:00:00,10.57,10.9,10.57,10.88,20032,0
2017-07-24,18:00:00,10.9,10.9,10.772,10.82,13250,0
2017-07-24,19:00:00,10.84,10.9,10.79,10.86,5802,0
2017-07-24,20:00:00,10.86,10.88,10.76,10.78,8006,0
2017-07-24,21:00:00,10.7701,10.84,10.76,10.8,9699,0
2017-07-24,22:00:00,10.82,10.91,10.82,10.9,42202,0
2017-07-25,16:00:00,10.88,10.95,10.86,10.87,7377,0
2017-07-25,17:00:00,10.81,11.11,10.775,11.07,6451,0
2017-07-25,18:00:00,11.03,11.24,11,11.22,12950,0
2017-07-25,19:00:00,11.17,11.22,11.09,11.15,5477,0
2017-07-25,20:00:00,11.14,11.21,11.09,11.21,10243,0
2017-07-25,21:00:00,11.195,11.25,11.15,11.15,13282,0
2017-07-25,22:00:00,11.18,11.29,11.17,11.19,12187,0
2017-07-26,16:00:00,11.2,11.2,11.01,11.05,821,0
2017-07-26,17:00:00,11.09,11.13,10.974,11.09,4200,0
2017-07-26,18:00:00,11.18,11.21,10.96,11.13,8259,0
2017-07-26,19:00:00,11.15,11.19,11.09,11.15,15397,0
