Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,62.75,63.035,62.24,62.75,47285,0
2017-05-16,17:00:00,62.77,62.91,62.32,62.78,118232,0
2017-05-16,18:00:00,62.77,62.86,62.63,62.79,63987,0
2017-05-16,19:00:00,62.8199,62.82,62.63,62.73,36338,0
2017-05-16,20:00:00,62.72,62.72,62.44,62.48,25648,0
2017-05-16,21:00:00,62.5,62.94,62.38,62.83,23342,0
2017-05-16,22:00:00,62.9,63.49,62.88,63.41,131535,0
2017-05-17,16:00:00,62.32,62.8,61.93,62.36,39795,0
2017-05-17,17:00:00,62.35,62.91,61.716,61.87,71708,0
2017-05-17,18:00:00,61.855,62.4,61.46,62.3,36825,0
2017-05-17,19:00:00,62.28,63.06,62.22,63,38202,0
2017-05-17,20:00:00,62.99,63.055,62.7,62.81,17239,0
2017-05-17,21:00:00,62.85,62.98,62.53,62.92,59681,0
2017-05-17,22:00:00,62.85,63.21,62.42,62.72,243330,0
2017-05-18,16:00:00,62.72,63.96,62.525,63.41,104385,0
2017-05-18,17:00:00,63.44,65.2,63.44,65.02,139439,0
2017-05-18,18:00:00,65.03,65.28,64.835,64.98,139912,0
2017-05-18,19:00:00,64.98,65.82,64.87,65.8,86873,0
2017-05-18,20:00:00,65.72,66.3792,65.55,66.3792,36825,0
2017-05-18,21:00:00,66.33,66.66,66.06,66.08,56581,0
2017-05-18,22:00:00,66.1,67.155,66.0774,66.68,283418,0
2017-05-19,16:00:00,66.93,67.7,66.58,66.95,45223,0
2017-05-19,17:00:00,67.01,67.31,66.4,67.15,69435,0
2017-05-19,18:00:00,67.11,67.84,67.02,67.47,78443,0
2017-05-19,19:00:00,67.48,67.86,67.4331,67.83,24800,0
2017-05-19,20:00:00,67.78,67.94,67.25,67.42,58085,0
2017-05-19,21:00:00,67.37,67.44,67.15,67.23,80445,0
2017-05-19,22:00:00,67.21,67.24,66.56,66.6,273593,0
2017-05-22,16:00:00,66.82,66.95,65.42,65.86,56532,0
2017-05-22,17:00:00,66.03,66.33,65.6101,65.89,59692,0
2017-05-22,18:00:00,65.85,65.9,65.2984,65.69,48238,0
2017-05-22,19:00:00,65.65,66.15,65.301,65.38,77305,0
2017-05-22,20:00:00,65.34,65.97,65.34,65.96,63519,0
2017-05-22,21:00:00,65.99,66.51,65.91,66.39,46698,0
2017-05-22,22:00:00,66.31,66.61,66.17,66.51,135904,0
2017-05-23,16:00:00,66.56,66.815,65.78,66.65,47765,0
2017-05-23,17:00:00,66.61,67,66.26,66.79,56187,0
2017-05-23,18:00:00,66.8,67.5,66.8,67.25,35825,0
2017-05-23,19:00:00,67.31,67.31,66.61,66.8,20139,0
2017-05-23,20:00:00,66.75,66.85,66.49,66.81,20036,0
2017-05-23,21:00:00,66.77,67.3,66.7,67.11,21867,0
2017-05-23,22:00:00,67.07,67.15,66.64,66.67,84110,0
2017-05-24,16:00:00,66.62,67.715,66.62,67.59,46689,0
2017-05-24,17:00:00,67.36,68.59,67.22,68.12,71168,0
2017-05-24,18:00:00,68.13,68.405,67.9,68.17,38289,0
2017-05-24,19:00:00,68.17,68.55,68.15,68.18,34169,0
2017-05-24,20:00:00,68.21,68.215,67.81,67.82,28736,0
2017-05-24,21:00:00,67.81,67.909,67.42,67.605,39987,0
2017-05-24,22:00:00,67.61,67.63,67.21,67.45,148231,0
2017-05-25,16:00:00,67.86,67.97,67.15,67.73,40691,0
2017-05-25,17:00:00,67.77,67.88,66.86,66.97,78346,0
2017-05-25,18:00:00,66.975,67.02,66.25,66.51,46479,0
2017-05-25,19:00:00,66.51,66.81,66.19,66.19,38653,0
2017-05-25,20:00:00,66.17,66.17,65.77,65.92,29718,0
2017-05-25,21:00:00,65.98,66.07,65.61,65.65,71238,0
2017-05-25,22:00:00,65.68,66.1,65.47,66.02,175779,0
2017-05-26,16:00:00,66.07,67.19,65.4,65.89,52081,0
2017-05-26,17:00:00,65.845,66.33,65.46,66.23,48986,0
2017-05-26,18:00:00,66.23,66.54,65.75,65.75,35440,0
2017-05-26,19:00:00,65.75,66.08,65.48,65.88,27882,0
2017-05-26,20:00:00,65.9136,66.09,65.54,65.54,23403,0
2017-05-26,21:00:00,65.604,65.78,65.24,65.42,41931,0
2017-05-26,22:00:00,65.4,65.65,65.26,65.57,111266,0
2017-05-30,16:00:00,65.59,65.72,64.105,64.26,59678,0
2017-05-30,17:00:00,64.2605,64.67,64.17,64.35,41753,0
2017-05-30,18:00:00,64.43,64.7,63.565,63.79,71262,0
2017-05-30,19:00:00,63.74,64.15,63.67,63.77,46885,0
2017-05-30,20:00:00,63.79,63.93,63.58,63.66,39655,0
2017-05-30,21:00:00,63.63,63.78,63.29,63.39,102065,0
2017-05-30,22:00:00,63.42,63.6194,63.22,63.32,195642,0
2017-05-31,16:00:00,63.57,63.83,61.98,62.0302,142312,0
2017-05-31,17:00:00,62,62.93,61.8,62.71,83003,0
2017-05-31,18:00:00,62.63,63.17,62.4691,63.17,59646,0
2017-05-31,19:00:00,63.11,63.3825,62.76,62.79,47225,0
2017-05-31,20:00:00,62.785,63.07,62.69,62.8,35865,0
2017-05-31,21:00:00,62.79,62.96,62.52,62.88,38829,0
2017-05-31,22:00:00,62.927,64,62.89,63.98,366309,0
2017-06-01,16:00:00,64,64.85,64,64.07,42261,0
2017-06-01,17:00:00,64.22,64.31,63.45,63.51,49322,0
2017-06-01,18:00:00,63.53,64.15,63.51,63.71,48528,0
2017-06-01,19:00:00,63.75,63.78,63.23,63.53,58513,0
2017-06-01,20:00:00,63.5099,63.66,63.24,63.27,51457,0
2017-06-01,21:00:00,63.27,63.43,63.02,63.14,84928,0
2017-06-01,22:00:00,63.13,63.75,63.13,63.5,290565,0
2017-06-02,16:00:00,63.66,64.9499,63.66,63.98,46404,0
2017-06-02,17:00:00,64.13,64.41,63.63,64.21,54078,0
2017-06-02,18:00:00,64.2258,65.07,64.17,64.8,89490,0
2017-06-02,19:00:00,64.77,65.435,64.75,65.4,145855,0
2017-06-02,20:00:00,65.43,65.83,65.41,65.59,58706,0
2017-06-02,21:00:00,65.54,65.75,65.28,65.28,123429,0
2017-06-02,22:00:00,65.3,66,65.3,65.95,385047,0
2017-06-05,16:00:00,66.19,66.35,65.09,65.52,84318,0
2017-06-05,17:00:00,65.53,65.88,65.23,65.6,75728,0
2017-06-05,18:00:00,65.6,65.6,64.65,64.84,45093,0
2017-06-05,19:00:00,64.82,65.27,64.79,65.01,24173,0
2017-06-05,20:00:00,65.04,65.64,64.98,65.22,41799,0
2017-06-05,21:00:00,65.235,65.39,64.83,65.23,39528,0
2017-06-05,22:00:00,65.22,65.42,64.96,65.25,292695,0
2017-06-06,16:00:00,64.69,65.375,64.35,65.375,43343,0
2017-06-06,17:00:00,65.34,65.47,64.805,64.93,41223,0
2017-06-06,18:00:00,64.84,65.19,64.72,64.94,32509,0
2017-06-06,19:00:00,64.88,65.03,64.62,64.965,27309,0
2017-06-06,20:00:00,64.96,65.01,64.62,64.88,43382,0
2017-06-06,21:00:00,64.87,65.1,64.86,65.04,34673,0
2017-06-06,22:00:00,65.04,65.26,64.77,64.84,323298,0
2017-06-07,16:00:00,64.97,65.15,64.25,64.86,18111,0
2017-06-07,17:00:00,64.84,65.42,64.48,65.14,78824,0
2017-06-07,18:00:00,65.16,65.28,64.13,64.13,44294,0
2017-06-07,19:00:00,64.1,64.22,63.84,63.86,66547,0
2017-06-07,20:00:00,63.83,63.9199,63.57,63.76,23946,0
2017-06-07,21:00:00,63.81,64.03,63.7,64.03,42673,0
2017-06-07,22:00:00,63.99,64.26,63.69,64.21,191767,0
2017-06-08,16:00:00,64.11,64.635,63.705,64.47,24265,0
2017-06-08,17:00:00,64.69,65.46,64.45,65.44,79715,0
2017-06-08,18:00:00,65.415,65.6547,64.53,64.66,73989,0
2017-06-08,19:00:00,64.67,64.91,64.595,64.77,60980,0
2017-06-08,20:00:00,64.8011,64.81,64.45,64.61,32124,0
2017-06-08,21:00:00,64.58,64.6,64.14,64.3,70791,0
2017-06-08,22:00:00,64.28,64.78,64.25,64.71,105075,0
2017-06-09,16:00:00,64.94,65.653,64.88,65.46,105175,0
2017-06-09,17:00:00,65.48,65.66,65.19,65.55,100218,0
2017-06-09,18:00:00,65.55,65.8,65.395,65.69,82113,0
2017-06-09,19:00:00,65.63,65.8,65.44,65.6,52926,0
2017-06-09,20:00:00,65.595,65.63,65.05,65.05,79810,0
2017-06-09,21:00:00,65.01,65.07,64.05,64.49,51988,0
2017-06-09,22:00:00,64.55,65.06,64.5,64.81,184164,0
2017-06-12,16:00:00,64.89,65.74,63.28,63.57,64201,0
2017-06-12,17:00:00,63.59,64.11,63.42,63.91,94775,0
2017-06-12,18:00:00,63.89,64.14,63.7,63.91,71478,0
2017-06-12,19:00:00,63.94,63.98,63.33,63.6618,176306,0
2017-06-12,20:00:00,63.62,63.86,63.49,63.54,21125,0
2017-06-12,21:00:00,63.44,64.04,63.43,63.81,32540,0
2017-06-12,22:00:00,63.74,63.84,62.99,63.26,168096,0
2017-06-13,16:00:00,63.26,63.8719,62.85,63.745,35259,0
2017-06-13,17:00:00,63.765,63.98,62.95,62.95,30355,0
2017-06-13,18:00:00,62.83,63.12,62.67,62.84,61546,0
2017-06-13,19:00:00,62.82,62.94,62.55,62.66,26870,0
2017-06-13,20:00:00,62.63,63.09,62.6,62.98,52922,0
2017-06-13,21:00:00,62.93,62.93,62.73,62.85,21701,0
2017-06-13,22:00:00,62.83,63.03,62.67,62.94,160224,0
2017-06-14,16:00:00,62.79,63.26,62.665,63,88199,0
2017-06-14,17:00:00,62.97,62.97,62.33,62.515,23739,0
2017-06-14,18:00:00,62.51,63.75,62.505,63.75,30665,0
2017-06-14,19:00:00,63.705,64.02,63.52,63.9,26561,0
2017-06-14,20:00:00,63.91,64,63.73,63.73,11945,0
2017-06-14,21:00:00,63.78,64.05,63.42,63.58,29345,0
