Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-27,16:00:00,62.94,62.94,62.752,62.752,203,0
2017-01-27,19:00:00,62.623,62.653,62.584,62.643,1216,0
2017-01-30,19:00:00,62.176,62.184,62.176,62.184,423,0
2017-01-30,21:00:00,62.278,62.278,62.278,62.278,203,0
2017-01-30,22:00:00,62.213,62.213,62.213,62.213,100,0
2017-01-31,16:00:00,62.199,62.199,62.199,62.199,355,0
2017-01-31,18:00:00,62.079,62.079,61.994,61.994,464,0
2017-01-31,21:00:00,62.141,62.141,62.141,62.141,153,0
2017-01-31,22:00:00,62.386,62.386,62.365,62.365,1004,0
2017-02-01,16:00:00,62.555,62.555,62.555,62.555,1705,0
2017-02-01,21:00:00,62.189,62.189,62.131,62.131,221,0
2017-02-02,16:00:00,62.199,62.199,62.199,62.199,637,0
2017-02-02,17:00:00,62.287,62.287,62.257,62.257,203,0
2017-02-03,16:00:00,62.633,62.633,62.633,62.633,100,0
2017-02-03,19:00:00,62.967,62.989,62.967,62.989,887,0
2017-02-03,20:00:00,62.93,62.96,62.93,62.96,206,0
2017-02-06,19:00:00,62.86,62.86,62.86,62.86,406,0
2017-02-06,20:00:00,62.742,62.742,62.72,62.742,608,0
2017-02-06,22:00:00,62.791,62.791,62.791,62.791,253,0
2017-02-07,16:00:00,62.86,62.86,62.86,62.86,102,0
2017-02-07,17:00:00,63.008,63.008,62.979,62.979,544,0
2017-02-07,18:00:00,62.95,62.95,62.95,62.95,114,0
2017-02-07,19:00:00,62.82,62.82,62.82,62.82,1119,0
2017-02-07,21:00:00,62.809,62.809,62.809,62.809,158,0
2017-02-08,18:00:00,62.88,62.88,62.88,62.88,100,0
2017-02-08,19:00:00,62.859,62.859,62.859,62.859,100,0
2017-02-08,21:00:00,62.95,62.97,62.93,62.945,4054,0
2017-02-08,22:00:00,62.94,62.989,62.94,62.989,1723,0
2017-02-09,16:00:00,63.047,63.047,63.047,63.047,198,0
2017-02-09,17:00:00,63.137,63.255,63.137,63.255,270,0
2017-02-09,19:00:00,63.344,63.344,63.344,63.344,100,0
2017-02-09,22:00:00,63.394,63.404,63.394,63.404,406,0
2017-02-10,16:00:00,63.481,63.481,63.481,63.481,100,0
2017-02-10,20:00:00,63.6,63.6,63.6,63.6,203,0
2017-02-10,21:00:00,63.631,63.631,63.631,63.631,709,0
2017-02-13,16:00:00,63.838,63.838,63.838,63.838,266,0
2017-02-13,21:00:00,63.96,63.96,63.96,63.96,1014,0
2017-02-13,22:00:00,63.887,63.887,63.887,63.887,100,0
2017-02-14,17:00:00,63.828,63.828,63.828,63.828,100,0
2017-02-14,18:00:00,63.789,63.789,63.789,63.789,158,0
2017-02-14,20:00:00,64.133,64.133,64.119,64.119,608,0
2017-02-14,21:00:00,64.16,64.16,64.16,64.16,153,0
2017-02-15,16:00:00,64.153,64.153,64.153,64.153,205,0
2017-02-15,17:00:00,64.241,64.301,64.241,64.301,1014,0
2017-02-15,18:00:00,64.37,64.409,64.35,64.37,2359,0
2017-02-15,19:00:00,64.385,64.439,64.37,64.439,796,0
2017-02-15,20:00:00,64.419,64.419,64.419,64.419,100,0
2017-02-15,21:00:00,64.617,64.617,64.617,64.617,111,0
2017-02-15,22:00:00,64.676,64.676,64.656,64.656,521,0
2017-02-16,16:00:00,64.656,64.656,64.656,64.656,100,0
2017-02-16,17:00:00,64.578,64.578,64.509,64.509,203,0
2017-02-16,18:00:00,64.419,64.419,64.37,64.37,203,0
2017-02-16,19:00:00,64.538,64.578,64.538,64.578,203,0
2017-02-16,21:00:00,64.538,64.538,64.538,64.538,228,0
2017-02-16,22:00:00,64.587,64.587,64.585,64.585,203,0
2017-02-17,16:00:00,64.499,64.499,64.499,64.499,339,0
2017-02-17,17:00:00,64.528,64.528,64.528,64.528,100,0
2017-02-17,18:00:00,64.509,64.509,64.434,64.434,506,0
2017-02-17,19:00:00,64.538,64.538,64.538,64.538,100,0
2017-02-17,20:00:00,64.518,64.518,64.518,64.518,100,0
2017-02-17,22:00:00,64.627,64.627,64.627,64.627,156,0
2017-02-21,16:00:00,64.854,64.854,64.854,64.854,659,0
2017-02-21,20:00:00,64.911,64.911,64.884,64.884,482,0
2017-02-21,22:00:00,65.031,65.031,65.031,65.031,100,0
2017-02-22,16:00:00,64.785,64.785,64.785,64.785,178,0
2017-02-22,17:00:00,64.925,64.925,64.925,64.925,100,0
2017-02-22,18:00:00,64.982,64.982,64.982,64.982,100,0
2017-02-22,20:00:00,65.13,65.13,65.13,65.13,100,0
2017-02-22,21:00:00,65.002,65.002,64.992,64.992,305,0
2017-02-23,16:00:00,65.081,65.081,65.081,65.081,203,0
2017-02-23,17:00:00,65.041,65.041,65.041,65.041,401,0
2017-02-23,18:00:00,65.031,65.031,65.031,65.031,811,0
2017-02-23,22:00:00,65.13,65.13,65.061,65.061,506,0
2017-02-24,16:00:00,65.031,65.031,64.903,64.903,1166,0
2017-02-24,22:00:00,65.121,65.121,65.121,65.121,203,0
2017-02-27,16:00:00,65.243,65.243,65.243,65.243,414,0
2017-02-27,18:00:00,65.361,65.361,65.298,65.298,203,0
2017-02-27,19:00:00,65.315,65.315,65.315,65.315,100,0
2017-02-27,21:00:00,65.425,65.425,65.425,65.425,100,0
2017-02-27,22:00:00,65.453,65.494,65.453,65.456,540,0
2017-02-28,21:00:00,65.033,65.033,65.033,65.033,216,0
2017-03-01,16:00:00,65.594,65.661,65.594,65.613,746,0
2017-03-01,19:00:00,65.919,65.919,65.917,65.917,243,0
2017-03-01,22:00:00,65.959,65.969,65.919,65.919,811,0
2017-03-02,16:00:00,65.821,65.821,65.722,65.722,402,0
2017-03-02,17:00:00,65.722,65.722,65.722,65.722,100,0
2017-03-02,19:00:00,65.671,65.671,65.656,65.656,203,0
2017-03-02,20:00:00,65.663,65.663,65.663,65.663,285,0
2017-03-02,21:00:00,65.633,65.702,65.633,65.683,531,0
2017-03-02,22:00:00,65.653,65.653,65.613,65.613,892,0
2017-03-03,16:00:00,65.495,65.495,65.495,65.495,100,0
2017-03-03,17:00:00,65.475,65.475,65.351,65.351,596,0
2017-03-03,19:00:00,65.435,65.435,65.435,65.435,153,0
2017-03-03,21:00:00,65.426,65.426,65.426,65.426,203,0
2017-03-03,22:00:00,65.525,65.525,65.525,65.525,203,0
2017-03-06,16:00:00,65.179,65.179,65.061,65.061,1139,0
2017-03-06,18:00:00,65.101,65.101,65.101,65.101,100,0
