Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-08-01,16:00:00,1.45,1.45,1.45,1.45,200,0
2016-08-01,17:00:00,1.45,1.45,1.45,1.45,200,0
2016-08-01,19:00:00,1.44,1.45,1.44,1.45,200,0
2016-08-01,20:00:00,1.45,1.45,1.45,1.45,200,0
2016-08-01,21:00:00,1.44,1.45,1.44,1.45,200,0
2016-08-01,22:00:00,1.45,1.45,1.45,1.45,200,0
2016-08-02,18:00:00,1.15,1.15,1.1099,1.15,1474,0
2016-08-05,22:00:00,1.45,1.45,1.4492,1.45,3400,0
2016-08-09,16:00:00,1.5,1.5,1.4999,1.4999,1000,0
2016-08-09,17:00:00,1.4953,1.5,1.49,1.49,900,0
2016-08-09,22:00:00,1.5,1.5,1.5,1.5,4500,0
2016-08-10,20:00:00,1.5,1.5,1.395,1.395,1600,0
2016-08-12,22:00:00,1.5,1.5,1.4999,1.4999,5000,0
2016-08-17,22:00:00,1.4955,1.4955,1.4955,1.4955,300,0
2016-08-22,19:00:00,1.09,1.09,1.06,1.06,1000,0
2016-08-23,16:00:00,1.49,1.49,1.49,1.49,250,0
2016-08-23,18:00:00,1.46,1.47,1.46,1.47,200,0
2016-08-24,16:00:00,1.1,1.1,1.1,1.1,455,0
2016-08-25,19:00:00,1.12,1.12,1.12,1.12,300,0
2016-08-26,21:00:00,1.12,1.1233,1.12,1.1233,993,0
2016-08-30,16:00:00,1.1,1.1,1.1,1.1,200,0
2016-08-31,22:00:00,1.4,1.4,1.4,1.4,700,0
2016-09-01,16:00:00,1.4,1.4,1.4,1.4,253,0
2016-09-01,20:00:00,1.39,1.44,1.39,1.44,400,0
2016-09-01,21:00:00,1.44,1.44,1.44,1.44,1000,0
2016-09-01,22:00:00,1.4413,1.4413,1.44,1.4402,1400,0
2016-09-02,16:00:00,1.45,1.45,1.43,1.43,1400,0
2016-09-02,20:00:00,1.45,1.45,1.45,1.45,2000,0
2016-09-06,18:00:00,1.43,1.43,1.43,1.43,500,0
2016-09-06,20:00:00,1.43,1.45,1.43,1.45,4300,0
2016-09-09,16:00:00,1.11,1.11,1.11,1.11,100,0
2016-09-13,16:00:00,1.12,1.12,1.12,1.12,700,0
2016-09-14,17:00:00,1.12,1.12,1.12,1.12,250,0
2016-09-14,19:00:00,1.132,1.132,1.12,1.12,200,0
2016-09-19,19:00:00,1.03,1.05,1.03,1.05,300,0
2016-09-19,22:00:00,1.06,1.1,1.06,1.1,500,0
2016-09-21,17:00:00,1.04,1.04,1.01,1.01,700,0
2016-09-21,19:00:00,1.01,1.01,1.01,1.01,100,0
2016-09-26,16:00:00,1.01,1.01,1.01,1.01,419,0
2016-09-30,16:00:00,1.28,1.2949,1.28,1.28,2200,0
2016-09-30,22:00:00,1.28,1.28,1.28,1.28,419,0
2016-10-03,17:00:00,1.01,1.03,1.01,1.02,1000,0
2016-10-03,20:00:00,1.26,1.3,1.26,1.3,3500,0
2016-10-04,20:00:00,1.05,1.08,1.05,1.05,1000,0
2016-10-04,22:00:00,1.1,1.2,1.1,1.1,300,0
2016-10-05,20:00:00,1.2,1.22,1.2,1.22,300,0
2016-10-10,22:00:00,1.15,1.15,1.15,1.15,200,0
2016-10-13,16:00:00,1.15,1.15,1.15,1.15,300,0
2016-10-19,16:00:00,1.07,1.07,1.04,1.04,600,0
2016-10-25,16:00:00,1.24,1.24,1.24,1.24,479,0
2016-11-09,22:00:00,0.9296,0.9296,0.7901,0.7901,200,0
2016-11-16,19:00:00,0.65,0.65,0.5108,0.5144,7200,0
2016-11-16,22:00:00,0.52,0.52,0.52,0.52,500,0
2016-11-17,16:00:00,0.52,0.52,0.52,0.52,107,0
2016-11-29,16:00:00,0.75,0.75,0.75,0.75,100,0
2016-11-29,17:00:00,0.79,0.8,0.79,0.8,6710,0
2016-11-29,19:00:00,0.8,0.8,0.8,0.8,2000,0
2016-12-01,22:00:00,0.8001,0.8001,0.8001,0.8001,300,0
2016-12-05,19:00:00,0.79,0.8,0.79,0.795,2750,0
2016-12-07,22:00:00,0.8224,0.8476,0.8224,0.8476,400,0
2016-12-29,17:00:00,0.45,0.45,0.45,0.45,113,0
2016-12-29,21:00:00,0.5,0.5,0.5,0.5,500,0
2017-01-17,19:00:00,0.5,0.65,0.4995,0.65,700,0
2017-01-18,17:00:00,0.624,0.624,0.624,0.624,100,0
2017-01-18,22:00:00,0.624,0.624,0.624,0.624,100,0
2017-01-24,16:00:00,0.99,0.99,0.99,0.99,100,0
2017-01-24,17:00:00,0.99,0.99,0.99,0.99,100,0
2017-01-26,16:00:00,0.99,0.99,0.99,0.99,100,0
2017-01-31,21:00:00,0.5,0.5,0.5,0.5,100,0
2017-02-01,16:00:00,0.6,0.6,0.6,0.6,150,0
2017-02-16,16:00:00,0.76,1,0.76,1,1901,0
2017-02-17,17:00:00,0.95,0.95,0.8973,0.8973,500,0
2017-03-02,20:00:00,0.62,0.62,0.62,0.62,140,0
2017-03-13,19:00:00,0.62,0.62,0.6,0.6,7500,0
2017-03-17,18:00:00,0.6,0.6,0.6,0.6,200,0
2017-03-22,21:00:00,0.6012,0.6012,0.6,0.6,1000,0
2017-03-23,17:00:00,0.6,0.6,0.6,0.6,250,0
2017-04-17,16:00:00,0.6,0.6,0.6,0.6,2000,0
2017-04-27,17:00:00,0.6,0.6,0.6,0.6,1000,0
2017-04-27,21:00:00,0.6,0.6,0.6,0.6,100,0
2017-04-28,18:00:00,0.62,0.62,0.62,0.62,4300,0
2017-05-05,20:00:00,0.6,0.6,0.6,0.6,5000,0
2017-05-10,16:00:00,0.6,0.6,0.6,0.6,300,0
2017-05-19,22:00:00,0.62,0.65,0.6,0.6,500,0
2017-05-22,16:00:00,0.6,0.6,0.6,0.6,300,0
2017-06-21,17:00:00,0.6,0.6,0.6,0.6,215,0
2017-07-10,17:00:00,0.6,0.6,0.6,0.6,10000,0
2017-07-14,19:00:00,0.6,0.6,0.6,0.6,465,0
2017-07-31,16:00:00,0.6,0.6,0.6,0.6,12167,0
2017-07-31,21:00:00,0.6,0.6,0.6,0.6,535,0
2017-08-02,17:00:00,0.55,0.55,0.55,0.55,2000,0
2017-08-02,18:00:00,0.55,0.55,0.55,0.55,5000,0
2017-08-02,19:00:00,0.55,0.55,0.55,0.55,7400,0
2017-08-02,20:00:00,0.55,0.55,0.55,0.55,4234,0
2017-08-02,21:00:00,0.55,0.55,0.55,0.55,1700,0
2017-08-02,22:00:00,0.52,0.52,0.41,0.41,5500,0
2017-08-03,21:00:00,0.6,0.6,0.5971,0.5971,2376,0
2017-08-04,18:00:00,0.6,0.6,0.6,0.6,1000,0
2017-08-04,20:00:00,0.5861,0.5861,0.5861,0.5861,2000,0
2017-08-07,20:00:00,0.68,0.68,0.68,0.68,200,0
2017-08-11,17:00:00,0.6,0.6,0.6,0.6,100,0
2017-08-11,18:00:00,0.6,0.6,0.6,0.6,100,0
2017-08-11,19:00:00,0.6,0.6,0.6,0.6,100,0
2017-08-11,20:00:00,0.6,0.6,0.6,0.6,100,0
2017-08-11,21:00:00,0.6,0.6,0.6,0.6,100,0
2017-08-11,22:00:00,0.6,0.6,0.6,0.6,700,0
2017-08-14,22:00:00,0.74,0.74,0.74,0.74,500,0
2017-08-15,20:00:00,0.58,0.58,0.58,0.58,415,0
2017-08-16,21:00:00,0.6,0.6,0.6,0.6,718,0
2017-08-18,21:00:00,0.65,0.65,0.65,0.65,500,0
2017-08-18,22:00:00,0.65,0.65,0.64,0.64,1700,0
2017-08-24,19:00:00,0.7525,0.7525,0.7525,0.7525,1000,0
2017-08-24,22:00:00,1,1,1,1,2000,0
2017-08-25,16:00:00,0.9,0.9,0.9,0.9,100,0
2017-08-28,18:00:00,0.86,0.86,0.86,0.86,100,0
2017-08-28,21:00:00,0.9,0.9,0.85,0.85,1100,0
2017-09-01,17:00:00,0.75,0.75,0.75,0.75,100,0
2017-09-06,17:00:00,0.9,0.9,0.9,0.9,300,0
2017-09-07,17:00:00,0.9,0.9,0.9,0.9,200,0
2017-09-07,19:00:00,0.9,0.9,0.9,0.9,2000,0
2017-09-15,22:00:00,0.75,0.75,0.75,0.75,2500,0
2017-09-18,20:00:00,0.75,0.78,0.75,0.78,788,0
2017-09-20,20:00:00,0.66,0.66,0.65,0.65,4200,0
2017-09-22,21:00:00,0.6,0.6,0.6,0.6,3400,0
2017-09-26,19:00:00,0.6,0.6,0.6,0.6,100,0
2017-09-28,19:00:00,0.58,0.58,0.58,0.58,200,0
2017-10-13,21:00:00,0.75,0.9,0.7,0.9,13035,0
2017-10-13,22:00:00,0.9,0.904,0.85,0.85,10800,0
2017-10-16,20:00:00,0.77,0.77,0.75,0.75,400,0
2017-10-16,22:00:00,0.95,1,0.95,1,3300,0
2017-10-17,18:00:00,0.65,0.65,0.65,0.65,100,0
2017-10-17,22:00:00,1.18,1.18,1.175,1.175,200,0
2017-10-18,20:00:00,1.37,1.82,1.37,1.82,3100,0
2017-10-18,21:00:00,3,3,2,2.01,22900,0
2017-10-18,22:00:00,1.98,1.98,1.98,1.98,100,0
2017-10-19,16:00:00,1.98,1.9887,1.98,1.9887,1000,0
2017-10-23,22:00:00,2,2,2,2,100,0
2017-10-24,18:00:00,1.28,1.28,1.25,1.25,34000,0
2017-10-24,19:00:00,1.99,2,1.99,2,300,0
2017-10-27,18:00:00,1.96,2,1.9555,2,600,0
2017-10-31,15:00:00,1,1,1,1,100,0
2017-11-01,19:00:00,1.01,1.01,1.01,1.01,500,0
2017-11-07,21:00:00,1.35,1.35,1.35,1.35,500,0
2017-11-09,16:00:00,0.78,0.79,0.75,0.75,600,0
2017-11-13,16:00:00,0.7,0.7,0.7,0.7,100,0
2017-11-20,22:00:00,1,1.1,1,1.1,400,0
2017-11-21,18:00:00,1,1,1,1,3000,0
2017-11-21,22:00:00,0.92,0.92,0.92,0.92,200,0
2017-11-22,16:00:00,0.77,0.77,0.77,0.77,200,0
2017-11-22,18:00:00,0.77,0.77,0.77,0.77,100,0
2017-11-27,22:00:00,1,1,0.955,1,6200,0
2017-12-01,22:00:00,0.5501,0.5501,0.5501,0.5501,1000,0
2017-12-04,17:00:00,0.7151,0.7151,0.7,0.7,300,0
2017-12-04,19:00:00,0.6999,0.7,0.6999,0.7,800,0
2017-12-05,21:00:00,0.8,0.85,0.8,0.85,300,0
2017-12-06,18:00:00,0.8,0.8,0.8,0.8,100,0
