Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-29,16:00:00,1,1.1,0.9995,1.0974,20783,0
2017-03-29,17:00:00,1.0348,1.1,1.02,1.1,24308,0
2017-03-29,18:00:00,1.0701,1.15,1.07,1.139,22941,0
2017-03-29,19:00:00,1.12,1.14,1.02,1.02,29347,0
2017-03-29,20:00:00,1.06,1.119,1.06,1.1,2912,0
2017-03-29,21:00:00,1.1,1.1,1.1,1.1,100,0
2017-03-29,22:00:00,1.06,1.1,1.03,1.07,38186,0
2017-03-30,16:00:00,1.1057,1.1057,1.099,1.099,15700,0
2017-03-30,18:00:00,1.07,1.07,1.07,1.07,400,0
2017-03-30,19:00:00,1.0501,1.0532,1.05,1.0532,9165,0
2017-03-30,22:00:00,1.05,1.07,1.0401,1.07,5169,0
2017-03-31,17:00:00,1.0514,1.06,1.0514,1.06,728,0
2017-03-31,18:00:00,1.06,1.06,1.05,1.05,9094,0
2017-03-31,19:00:00,1.052,1.052,1.05,1.05,5901,0
2017-03-31,20:00:00,1.06,1.06,1.05,1.05,1354,0
2017-03-31,21:00:00,1.05,1.05,1.05,1.05,5536,0
2017-03-31,22:00:00,1.06,1.06,1.06,1.06,2131,0
2017-04-03,16:00:00,1.1,1.1017,1.0974,1.1,17965,0
2017-04-03,17:00:00,1.09,1.09,1.0733,1.0733,2060,0
2017-04-03,18:00:00,1.0701,1.0701,1.07,1.07,5041,0
2017-04-03,19:00:00,1.09,1.09,1.07,1.07,267,0
2017-04-03,20:00:00,1.089,1.089,1.06,1.06,1000,0
2017-04-03,21:00:00,1.0501,1.0684,1.0501,1.0684,1080,0
2017-04-03,22:00:00,1.06,1.0774,1.04,1.05,16306,0
2017-04-04,16:00:00,1.092,1.092,1.092,1.092,4545,0
2017-04-04,19:00:00,1.05,1.05,1.05,1.05,500,0
2017-04-04,20:00:00,1.0797,1.099,1.079,1.099,9800,0
2017-04-04,21:00:00,1.0998,1.0998,1.05,1.05,5411,0
2017-04-04,22:00:00,1.0501,1.07,1.05,1.06,5020,0
2017-04-05,17:00:00,1.06,1.06,1.06,1.06,100,0
2017-04-05,18:00:00,1.05,1.05,1.05,1.05,2870,0
2017-04-05,19:00:00,1.05,1.0584,1.05,1.0501,700,0
