Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,16.144,16.144,16.017,16.075,5962,0
2017-05-16,17:00:00,16.084,16.154,15.998,16.017,10727,0
2017-05-16,18:00:00,16.017,16.017,15.892,16.012,33673,0
2017-05-16,19:00:00,16.007,16.007,15.959,15.979,7098,0
2017-05-16,20:00:00,15.969,15.998,15.959,15.979,8853,0
2017-05-16,21:00:00,15.979,16.056,15.979,16.056,21377,0
2017-05-16,22:00:00,16.056,16.124,16.056,16.104,48786,0
2017-05-17,16:00:00,15.862,15.949,15.818,15.929,5079,0
2017-05-17,17:00:00,15.959,15.959,15.755,15.755,8193,0
2017-05-17,18:00:00,15.755,15.765,15.668,15.687,16844,0
2017-05-17,19:00:00,15.687,15.726,15.658,15.678,8207,0
2017-05-17,20:00:00,15.678,15.697,15.63,15.639,4435,0
2017-05-17,21:00:00,15.63,15.644,15.58,15.615,9869,0
2017-05-17,22:00:00,15.62,15.668,15.552,15.571,46053,0
2017-05-18,16:00:00,15.542,15.678,15.542,15.559,6139,0
2017-05-18,17:00:00,15.571,15.726,15.552,15.687,13161,0
2017-05-18,18:00:00,15.697,15.726,15.658,15.658,22442,0
2017-05-18,19:00:00,15.668,15.765,15.649,15.707,7046,0
2017-05-18,20:00:00,15.736,15.755,15.639,15.639,8763,0
2017-05-18,21:00:00,15.658,15.785,15.649,15.726,34573,0
2017-05-18,22:00:00,15.726,15.736,15.63,15.649,57339,0
2017-05-19,16:00:00,15.697,15.795,15.561,15.785,8437,0
2017-05-19,17:00:00,15.77,15.785,15.644,15.687,14880,0
2017-05-19,18:00:00,15.697,15.697,15.61,15.61,8485,0
2017-05-19,19:00:00,15.61,15.62,15.523,15.542,26552,0
2017-05-19,20:00:00,15.542,15.542,15.493,15.533,14879,0
2017-05-19,21:00:00,15.552,15.61,15.552,15.575,7883,0
2017-05-19,22:00:00,15.575,15.575,15.474,15.523,42386,0
2017-05-22,16:00:00,15.533,15.639,15.533,15.639,3806,0
2017-05-22,17:00:00,15.634,15.634,15.523,15.531,7013,0
2017-05-22,18:00:00,15.523,15.639,15.484,15.62,22060,0
2017-05-22,19:00:00,15.61,15.668,15.58,15.59,10561,0
2017-05-22,20:00:00,15.595,15.61,15.58,15.58,7117,0
2017-05-22,21:00:00,15.571,15.59,15.464,15.552,40915,0
2017-05-22,22:00:00,15.561,15.62,15.522,15.61,38987,0
2017-05-23,16:00:00,15.658,15.687,15.484,15.571,8827,0
2017-05-23,17:00:00,15.59,15.649,15.59,15.63,6709,0
