Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-05,16:00:00,10.392,10.392,10.392,10.392,1089,0
2017-05-05,17:00:00,10.295,10.339,10.295,10.295,2069,0
2017-05-05,18:00:00,10.295,10.324,10.295,10.324,346,0
2017-05-05,19:00:00,10.31,10.315,10.31,10.315,1242,0
2017-05-05,20:00:00,10.295,10.295,10.295,10.295,724,0
2017-05-05,21:00:00,10.334,10.334,10.305,10.305,310,0
2017-05-05,22:00:00,10.309,10.334,10.309,10.315,2427,0
2017-05-08,16:00:00,10.343,10.388,10.295,10.325,4442,0
2017-05-08,17:00:00,10.315,10.333,10.315,10.315,2535,0
2017-05-08,18:00:00,10.295,10.306,10.295,10.295,1035,0
2017-05-08,19:00:00,10.316,10.316,10.295,10.315,655,0
2017-05-08,21:00:00,10.295,10.305,10.295,10.295,724,0
2017-05-08,22:00:00,10.295,10.353,10.295,10.353,7056,0
2017-05-09,16:00:00,10.353,10.353,10.295,10.295,3587,0
2017-05-09,17:00:00,10.295,10.298,10.295,10.295,1758,0
2017-05-09,18:00:00,10.332,10.332,10.305,10.322,1138,0
2017-05-09,19:00:00,10.295,10.325,10.295,10.325,2275,0
2017-05-09,21:00:00,10.295,10.295,10.295,10.295,103,0
2017-05-09,22:00:00,10.325,10.343,10.305,10.334,5379,0
2017-05-10,16:00:00,10.392,10.392,10.305,10.305,882,0
2017-05-10,17:00:00,10.295,10.315,10.263,10.295,8585,0
2017-05-10,18:00:00,10.295,10.342,10.295,10.295,2308,0
2017-05-10,19:00:00,10.305,10.306,10.271,10.271,15775,0
2017-05-10,20:00:00,10.295,10.305,10.257,10.266,74667,0
2017-05-10,21:00:00,10.247,10.254,10.247,10.253,7434,0
2017-05-10,22:00:00,10.247,10.44,10.247,10.285,21845,0
2017-05-11,16:00:00,10.325,10.343,10.267,10.315,2758,0
2017-05-11,17:00:00,10.315,10.33,10.315,10.33,1137,0
2017-05-11,18:00:00,10.315,10.334,10.315,10.315,5105,0
2017-05-11,19:00:00,10.315,10.334,10.315,10.325,2586,0
2017-05-11,20:00:00,10.33,10.33,10.315,10.315,2685,0
2017-05-11,21:00:00,10.315,10.334,10.315,10.315,3156,0
