Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,15.15,15.4,15.15,15.35,22752,0
2017-05-16,17:00:00,15.35,15.45,15.2201,15.2501,32026,0
2017-05-16,18:00:00,15.2601,15.35,15.1,15.3,29051,0
2017-05-16,19:00:00,15.305,15.335,15.1301,15.28,34620,0
2017-05-16,20:00:00,15.29,15.3,15.2001,15.23,14550,0
2017-05-16,21:00:00,15.25,15.39,15.22,15.33,38751,0
2017-05-16,22:00:00,15.335,15.48,15.3,15.35,79643,0
2017-05-17,16:00:00,15.46,15.52,15.38,15.401,27529,0
2017-05-17,17:00:00,15.41,15.488,15.26,15.26,12336,0
2017-05-17,18:00:00,15.25,15.395,15.23,15.31,10892,0
2017-05-17,19:00:00,15.335,15.38,15.19,15.265,20000,0
2017-05-17,20:00:00,15.26,15.29,15.2,15.25,10000,0
2017-05-17,21:00:00,15.25,15.275,15.19,15.27,9056,0
2017-05-17,22:00:00,15.26,15.4,15.25,15.37,42403,0
2017-05-18,16:00:00,15.45,15.45,14.91,14.94,16893,0
2017-05-18,17:00:00,14.97,15.0824,14.8293,14.91,33319,0
2017-05-18,18:00:00,14.9,14.98,14.82,14.82,12430,0
2017-05-18,19:00:00,14.84,14.84,14.75,14.76,22590,0
2017-05-18,20:00:00,14.75,14.85,14.66,14.85,33626,0
2017-05-18,21:00:00,14.83,15.06,14.778,14.82,18957,0
2017-05-18,22:00:00,14.88,15.06,14.8,14.99,32811,0
2017-05-19,16:00:00,15,15.25,14.96,15.1852,14638,0
2017-05-19,17:00:00,15.2,15.5,15.02,15.2,47523,0
2017-05-19,18:00:00,15.2,15.228,14.94,15.07,57840,0
2017-05-19,19:00:00,15.07,15.0912,14.97,15.03,18733,0
2017-05-19,20:00:00,15.034,15.09,14.986,15.01,43800,0
2017-05-19,21:00:00,15.02,15.2,14.95,15.09,41352,0
2017-05-19,22:00:00,15.18,15.19,14.89,15.03,37826,0
2017-05-22,16:00:00,15,15.09,14.9,14.91,9398,0
2017-05-22,17:00:00,14.92,15.08,14.91,14.955,11510,0
2017-05-22,18:00:00,14.96,14.96,14.91,14.935,12502,0
2017-05-22,19:00:00,14.95,15.02,14.91,15,26663,0
2017-05-22,20:00:00,15,15.015,14.98,15,26838,0
2017-05-22,21:00:00,15,15.12,15,15.1,28993,0
2017-05-22,22:00:00,15.1,15.17,14.96,15.15,80558,0
2017-05-23,16:00:00,15.25,15.25,15.15,15.18,4607,0
2017-05-23,17:00:00,15.18,15.27,15.18,15.19,8178,0
2017-05-23,18:00:00,15.19,15.2,15.14,15.2,15871,0
2017-05-23,19:00:00,15.2,15.2,15.15,15.15,2500,0
2017-05-23,20:00:00,15.16,15.19,15.16,15.17,2330,0
2017-05-23,21:00:00,15.17,15.17,14.95,15,13200,0
2017-05-23,22:00:00,14.99,15.02,14.97,15,20504,0
2017-05-24,16:00:00,14.99,15.07,14.89,15.07,8272,0
2017-05-24,17:00:00,15.05,15.095,15,15.04,13000,0
2017-05-24,18:00:00,15.04,15.04,15.01,15.0368,6844,0
2017-05-24,19:00:00,15.05,15.05,15,15,10598,0
2017-05-24,20:00:00,15,15.02,14.97,15,11338,0
2017-05-24,21:00:00,15,15.02,14.89,14.89,8439,0
2017-05-24,22:00:00,14.87,14.99,14.86,14.98,18419,0
2017-05-25,16:00:00,15.09,15.255,15.01,15.22,12079,0
2017-05-25,17:00:00,15.18,15.25,15.09,15.25,23577,0
2017-05-25,18:00:00,15.18,15.2553,14.99,15.07,13103,0
2017-05-25,19:00:00,15.07,15.12,14.97,14.97,14151,0
2017-05-25,20:00:00,14.97,15.015,14.95,15,5750,0
2017-05-25,21:00:00,15,15.04,15,15.03,8100,0
2017-05-25,22:00:00,15.03,15.11,14.93,14.96,28773,0
2017-05-26,16:00:00,15.02,15.12,14.78,14.84,4765,0
2017-05-26,17:00:00,14.8788,15.275,14.8788,15.24,15367,0
2017-05-26,18:00:00,15.215,15.85,15.21,15.82,42450,0
2017-05-26,19:00:00,15.65,15.805,15.56,15.6,26768,0
2017-05-26,20:00:00,15.6,15.671,15.56,15.56,54892,0
2017-05-26,21:00:00,15.58,15.67,15.56,15.6186,185874,0
2017-05-26,22:00:00,15.635,16.01,15.57,15.99,83112,0
2017-05-30,16:00:00,16.11,16.6,16.02,16.14,56145,0
2017-05-30,17:00:00,16.1472,16.2,16.09,16.15,44674,0
2017-05-30,18:00:00,16.135,16.15,16.07,16.1,76269,0
2017-05-30,19:00:00,16.1,16.23,16.1,16.2,89193,0
2017-05-30,20:00:00,16.185,16.21,16.16,16.2,48395,0
2017-05-30,21:00:00,16.2,16.23,16.18,16.2,28910,0
2017-05-30,22:00:00,16.2,16.35,16.19,16.35,58777,0
2017-05-31,16:00:00,16.35,16.57,16.35,16.4,13497,0
2017-05-31,17:00:00,16.36,16.405,16.35,16.4,17745,0
2017-05-31,18:00:00,16.4,16.4,16.251,16.29,36550,0
2017-05-31,19:00:00,16.31,16.39,16.29,16.33,44458,0
2017-05-31,20:00:00,16.345,16.4,16.3,16.3201,46848,0
2017-05-31,21:00:00,16.3201,16.37,16.32,16.35,52317,0
