Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-05,17:00:00,27.146,27.146,26.65,26.65,4277,0
2017-05-05,18:00:00,26.45,26.575,26.45,26.45,500,0
2017-05-05,19:00:00,26.575,26.6,26.5,26.6,700,0
2017-05-05,20:00:00,26.6,26.6,26.45,26.45,4600,0
2017-05-05,21:00:00,26.45,26.65,26.45,26.55,3350,0
2017-05-05,22:00:00,26.6,26.6,26.4,26.45,4033,0
2017-05-08,16:00:00,26.55,26.55,26.55,26.55,114,0
2017-05-08,17:00:00,26.8,26.85,26.25,26.25,674,0
2017-05-08,18:00:00,26.6,26.75,26.5,26.75,2800,0
2017-05-08,19:00:00,27.05,27.05,26.7001,26.7001,1302,0
2017-05-08,20:00:00,26.7001,26.7001,26.6,26.625,1600,0
2017-05-08,21:00:00,26.6001,26.65,26.45,26.625,6200,0
2017-05-08,22:00:00,26.65,26.8,26.525,26.75,16161,0
2017-05-09,16:00:00,26.6,26.625,26.5,26.625,1300,0
2017-05-09,17:00:00,26.65,26.75,26.5,26.5,5200,0
2017-05-09,18:00:00,26.65,26.7,26.5,26.675,4600,0
2017-05-09,19:00:00,26.75,26.75,26.5,26.55,3881,0
2017-05-09,20:00:00,26.53,26.55,26.25,26.25,903,0
2017-05-09,21:00:00,26.35,26.4,26.25,26.4,425,0
2017-05-09,22:00:00,26.45,26.75,26.45,26.45,17524,0
2017-05-10,16:00:00,26.5,26.5,26.5,26.5,201,0
2017-05-10,17:00:00,26.5,26.75,26.5,26.5,9600,0
2017-05-10,18:00:00,26.55,26.65,26.5,26.575,4034,0
2017-05-10,19:00:00,26.5,26.555,26.5,26.5,700,0
2017-05-10,20:00:00,26.5,26.6,26.5,26.6,2400,0
2017-05-10,21:00:00,26.6359,26.65,26.55,26.55,7220,0
2017-05-10,22:00:00,26.6,26.7,26.55,26.65,17586,0
2017-05-11,16:00:00,26.55,26.575,26.55,26.575,200,0
2017-05-11,17:00:00,26.5,26.8,26.4,26.75,5062,0
2017-05-11,18:00:00,26.75,26.85,26.75,26.75,1300,0
2017-05-11,19:00:00,26.7,26.8,26.7,26.8,798,0
2017-05-11,20:00:00,26.8,26.85,26.775,26.85,1600,0
2017-05-11,21:00:00,26.7375,26.85,26.7375,26.85,400,0
2017-05-11,22:00:00,26.7375,26.85,26.7375,26.8,4044,0
2017-05-12,16:00:00,26.65,26.65,26.55,26.55,1100,0
2017-05-12,17:00:00,26.6,26.6,26.6,26.6,100,0
2017-05-12,19:00:00,26.5,26.5,26.5,26.5,100,0
2017-05-12,20:00:00,26.6,26.6,26.6,26.6,100,0
2017-05-12,21:00:00,26.5,26.75,26.5,26.75,1803,0
2017-05-12,22:00:00,26.7,26.75,26.6375,26.65,4552,0
2017-05-15,16:00:00,26.7,26.7,26.57,26.57,1300,0
2017-05-15,17:00:00,26.7,26.8471,26.7,26.7,730,0
2017-05-15,18:00:00,26.75,26.85,26.75,26.85,436,0
2017-05-15,19:00:00,26.7,26.7,26.7,26.7,300,0
2017-05-15,20:00:00,26.8,26.85,26.8,26.825,4545,0
2017-05-15,22:00:00,26.8,26.9,26.8,26.85,7412,0
2017-05-16,16:00:00,26.7,26.766,26.7,26.766,666,0
2017-05-16,17:00:00,26.8,26.8,26.8,26.8,300,0
2017-05-16,18:00:00,26.7,26.8,26.7,26.8,400,0
2017-05-16,19:00:00,26.9,26.9,26.85,26.85,300,0
2017-05-16,20:00:00,26.85,26.9,26.65,26.85,4530,0
2017-05-16,21:00:00,26.8,26.85,26.8,26.85,200,0
2017-05-16,22:00:00,26.85,26.95,26.825,26.9,5558,0
2017-05-17,16:00:00,26.4,26.85,26.4,26.8,1162,0
2017-05-17,17:00:00,26.75,26.75,26.75,26.75,100,0
2017-05-17,18:00:00,26.75,26.85,26.75,26.8,900,0
2017-05-17,19:00:00,26.8,26.85,26.8,26.85,400,0
2017-05-17,20:00:00,26.85,26.85,26.7,26.7,1700,0
2017-05-17,21:00:00,26.65,26.85,26.65,26.85,1253,0
2017-05-17,22:00:00,26.85,26.9,26.7,26.75,2888,0
2017-05-18,16:00:00,26.7,26.7,26.65,26.65,200,0
2017-05-18,17:00:00,26.6,26.795,26.6,26.795,1198,0
2017-05-18,18:00:00,26.767,26.825,26.75,26.8,710,0
2017-05-18,19:00:00,26.7,26.8,26.7,26.8,1050,0
2017-05-18,20:00:00,26.75,26.75,26.65,26.7,800,0
2017-05-18,22:00:00,26.75,26.75,26.65,26.65,4210,0
2017-05-19,16:00:00,26.6,26.7025,26.6,26.7025,1832,0
2017-05-19,17:00:00,26.8,26.8,26.7,26.7,1200,0
2017-05-19,18:00:00,26.7,26.75,26.7,26.75,2313,0
2017-05-19,19:00:00,26.725,26.8,26.7,26.8,500,0
2017-05-19,20:00:00,26.75,26.8,26.75,26.8,2523,0
2017-05-19,21:00:00,26.85,27.075,26.8,27.05,16679,0
2017-05-19,22:00:00,27.05,27.05,26.925,26.95,9289,0
2017-05-22,16:00:00,26.95,26.975,26.95,26.95,1227,0
2017-05-22,17:00:00,26.95,26.95,26.9,26.9,8400,0
2017-05-22,18:00:00,27,27,26.9,27,1600,0
2017-05-22,19:00:00,27,27,26.95,26.95,800,0
2017-05-22,20:00:00,27,27.15,27,27.15,6185,0
2017-05-22,21:00:00,27.15,27.275,27.1,27.275,4644,0
2017-05-22,22:00:00,27.25,27.4,27.2,27.3,3919,0
2017-05-23,16:00:00,27.3,27.4,27.3,27.35,2048,0
2017-05-23,18:00:00,27.4,27.525,27.4,27.5,1500,0
2017-05-23,19:00:00,27.525,27.55,27.25,27.3,5490,0
2017-05-23,21:00:00,27.4,27.45,27.4,27.45,800,0
2017-05-23,22:00:00,27.45,27.45,27.4,27.45,2135,0
2017-05-24,16:00:00,27.3,27.35,27.3,27.35,413,0
2017-05-24,17:00:00,27.35,27.5,27.3,27.375,900,0
2017-05-24,18:00:00,27.375,27.55,27.3,27.315,11744,0
2017-05-24,19:00:00,27.4,27.4,27.35,27.4,300,0
2017-05-24,20:00:00,27.35,27.4,27.312,27.312,2573,0
