Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,0.954,0.9699,0.954,0.9675,19963,0
2017-05-16,17:00:00,0.9676,0.9722,0.9503,0.9713,9333,0
2017-05-16,18:00:00,0.967,0.97,0.967,0.97,19853,0
2017-05-16,19:00:00,0.967,0.97,0.967,0.9683,16892,0
2017-05-16,20:00:00,0.97,0.97,0.9699,0.97,4900,0
2017-05-16,21:00:00,0.9692,0.97,0.9691,0.97,5714,0
2017-05-16,22:00:00,0.97,0.9702,0.967,0.967,14241,0
2017-05-17,16:00:00,0.98,0.99,0.9701,0.985,33616,0
2017-05-17,17:00:00,0.9801,0.99,0.9801,0.9852,36207,0
2017-05-17,18:00:00,0.9853,0.9899,0.9851,0.9851,18951,0
2017-05-17,19:00:00,0.9852,0.9852,0.9618,0.9629,27980,0
2017-05-17,20:00:00,0.963,0.963,0.925,0.9341,172736,0
2017-05-17,21:00:00,0.9342,0.949,0.92,0.9301,170200,0
2017-05-17,22:00:00,0.9397,0.9445,0.93,0.93,58472,0
2017-05-18,16:00:00,0.93,0.96,0.9188,0.9247,48961,0
2017-05-18,17:00:00,0.9451,0.9451,0.9271,0.94,51867,0
2017-05-18,18:00:00,0.933,0.945,0.92,0.9412,28410,0
2017-05-18,19:00:00,0.9399,0.94,0.9215,0.94,39790,0
2017-05-18,20:00:00,0.9385,0.94,0.93,0.9396,11265,0
2017-05-18,21:00:00,0.93,0.937,0.93,0.9301,15249,0
2017-05-18,22:00:00,0.9301,0.9451,0.93,0.94,28414,0
2017-05-19,16:00:00,0.9451,0.9451,0.928,0.9402,33238,0
2017-05-19,17:00:00,0.9402,0.9402,0.91,0.92,68961,0
2017-05-19,18:00:00,0.9288,0.94,0.9288,0.9399,16216,0
2017-05-19,19:00:00,0.9336,0.9398,0.93,0.9398,8675,0
2017-05-19,20:00:00,0.9386,0.9398,0.9301,0.9398,13030,0
2017-05-19,21:00:00,0.9398,0.9398,0.93,0.9359,19781,0
2017-05-19,22:00:00,0.93,0.9365,0.92,0.92,48172,0
2017-05-22,16:00:00,0.9144,0.9379,0.9144,0.9332,38477,0
2017-05-22,17:00:00,0.9336,0.95,0.9336,0.9496,22952,0
2017-05-22,18:00:00,0.944,0.944,0.9376,0.9385,12000,0
2017-05-22,19:00:00,0.9479,0.9479,0.94,0.94,7284,0
2017-05-22,20:00:00,0.9441,0.948,0.9411,0.9411,6973,0
2017-05-22,21:00:00,0.948,0.948,0.9414,0.9442,3521,0
2017-05-22,22:00:00,0.9473,0.948,0.935,0.935,9383,0
2017-05-23,16:00:00,0.95,0.95,0.937,0.937,14138,0
2017-05-23,17:00:00,0.9358,0.949,0.9325,0.9329,15411,0
2017-05-23,18:00:00,0.9329,0.949,0.9329,0.9447,15096,0
2017-05-23,19:00:00,0.9449,0.9449,0.92,0.9221,28671,0
2017-05-23,20:00:00,0.922,0.9327,0.922,0.9276,7211,0
2017-05-23,21:00:00,0.9289,0.93,0.9244,0.9244,14344,0
2017-05-23,22:00:00,0.929,0.9328,0.9253,0.9328,13247,0
2017-05-24,16:00:00,0.9327,0.9327,0.9126,0.9126,21332,0
2017-05-24,17:00:00,0.92,0.9343,0.92,0.9343,33650,0
2017-05-24,18:00:00,0.9333,0.9333,0.93,0.93,11000,0
2017-05-24,19:00:00,0.9207,0.929,0.912,0.912,30756,0
2017-05-24,20:00:00,0.9121,0.9263,0.91,0.912,23892,0
2017-05-24,21:00:00,0.9121,0.939,0.9121,0.939,33487,0
2017-05-24,22:00:00,0.9311,0.939,0.9308,0.939,20755,0
2017-05-25,16:00:00,0.9138,0.939,0.91,0.92,35797,0
2017-05-25,17:00:00,0.92,0.93,0.92,0.9295,8430,0
2017-05-25,18:00:00,0.93,0.948,0.9295,0.93,20500,0
2017-05-25,19:00:00,0.92,0.9386,0.91,0.921,42220,0
2017-05-25,20:00:00,0.9264,0.9295,0.9264,0.9294,900,0
2017-05-25,21:00:00,0.9295,0.9295,0.921,0.921,5084,0
2017-05-25,22:00:00,0.9268,0.9323,0.91,0.91,20376,0
2017-05-26,16:00:00,0.9202,0.9336,0.9125,0.9163,47238,0
2017-05-26,17:00:00,0.9291,0.93,0.9223,0.9223,22200,0
2017-05-26,18:00:00,0.93,0.93,0.9201,0.9201,3995,0
2017-05-26,19:00:00,0.9202,0.9336,0.9202,0.9326,14960,0
2017-05-26,20:00:00,0.9323,0.9323,0.9299,0.9309,12200,0
2017-05-26,21:00:00,0.93,0.931,0.9224,0.9224,3300,0
2017-05-26,22:00:00,0.9227,0.931,0.9151,0.928,42861,0
2017-05-30,16:00:00,0.916,0.94,0.916,0.9205,10069,0
2017-05-30,17:00:00,0.92,0.9234,0.92,0.9201,12781,0
2017-05-30,18:00:00,0.92,0.92,0.916,0.9175,5904,0
2017-05-30,19:00:00,0.9191,0.9199,0.9162,0.9162,14200,0
2017-05-30,20:00:00,0.9178,0.9188,0.912,0.9177,13818,0
2017-05-30,21:00:00,0.9176,0.92,0.9143,0.92,14656,0
2017-05-30,22:00:00,0.915,0.9183,0.912,0.9183,13750,0
2017-05-31,16:00:00,0.9106,0.9287,0.9106,0.9253,20592,0
2017-05-31,17:00:00,0.9218,0.926,0.9136,0.9175,16951,0
2017-05-31,18:00:00,0.9135,0.9194,0.913,0.9162,3100,0
2017-05-31,19:00:00,0.914,0.914,0.91,0.91,41794,0
2017-05-31,20:00:00,0.910057,0.9109,0.91,0.9101,24865,0
2017-05-31,21:00:00,0.9101,0.9101,0.905,0.9052,29826,0
2017-05-31,22:00:00,0.9053,0.9053,0.9,0.9,40844,0
2017-06-01,16:00:00,0.9012,0.92,0.9012,0.92,3701,0
2017-06-01,17:00:00,0.9199,0.92,0.9026,0.9037,11287,0
2017-06-01,18:00:00,0.902,0.91,0.9016,0.91,7500,0
2017-06-01,19:00:00,0.902,0.9059,0.902,0.9059,9852,0
2017-06-01,20:00:00,0.9053,0.9059,0.905,0.9059,2225,0
2017-06-01,21:00:00,0.9053,0.9054,0.905,0.905,7300,0
2017-06-01,22:00:00,0.90505,0.9055,0.90505,0.9055,14207,0
2017-06-02,16:00:00,0.91,0.919,0.91,0.9189,23360,0
2017-06-02,17:00:00,0.9147,0.925,0.9102,0.92,14230,0
2017-06-02,18:00:00,0.9201,0.9235,0.9201,0.9201,8300,0
2017-06-02,19:00:00,0.9201,0.93,0.9201,0.93,29293,0
2017-06-02,20:00:00,0.93,0.9402,0.93,0.9401,22769,0
2017-06-02,21:00:00,0.9404,0.944,0.9304,0.9361,26932,0
2017-06-02,22:00:00,0.934,0.944,0.9115,0.92,24895,0
2017-06-05,16:00:00,0.95,0.95,0.9234,0.9234,19479,0
2017-06-05,17:00:00,0.9221,0.9385,0.9221,0.9308,24085,0
2017-06-05,18:00:00,0.9312,0.936,0.9201,0.922,16276,0
2017-06-05,19:00:00,0.922,0.9344,0.922,0.925,10869,0
2017-06-05,20:00:00,0.922,0.9242,0.915,0.9181,11700,0
2017-06-05,21:00:00,0.9181,0.925,0.905,0.92,20326,0
2017-06-05,22:00:00,0.9101,0.93,0.909,0.93,32584,0
2017-06-06,16:00:00,0.97,0.97,0.9251,0.9311,68488,0
2017-06-06,17:00:00,0.9311,0.9499,0.912,0.9125,43249,0
2017-06-06,18:00:00,0.9125,0.94,0.912,0.922,37500,0
2017-06-06,19:00:00,0.9218,0.925,0.9214,0.9222,30860,0
2017-06-06,20:00:00,0.9222,0.9335,0.913,0.915,67736,0
2017-06-06,21:00:00,0.9235,0.9235,0.913,0.9171,41213,0
2017-06-06,22:00:00,0.9176,0.93,0.916,0.916,88288,0
2017-06-07,16:00:00,0.923,0.9396,0.923,0.9382,24841,0
2017-06-07,17:00:00,0.9302,0.94,0.93,0.9397,21492,0
2017-06-07,18:00:00,0.9398,0.9398,0.9226,0.9226,42545,0
2017-06-07,19:00:00,0.9226,0.9277,0.92,0.9203,15217,0
2017-06-07,20:00:00,0.9203,0.923,0.92,0.9204,32382,0
2017-06-07,21:00:00,0.9203,0.9214,0.92,0.92,61121,0
2017-06-07,22:00:00,0.92,0.9201,0.912,0.912,59676,0
2017-06-08,16:00:00,0.908,0.923,0.908,0.915,5095,0
2017-06-08,17:00:00,0.912,0.9124,0.9071,0.9071,19801,0
2017-06-08,18:00:00,0.9073,0.9081,0.903,0.903,36972,0
2017-06-08,19:00:00,0.9025,0.9199,0.9022,0.9199,23500,0
2017-06-08,20:00:00,0.9199,0.92,0.9056,0.9114,13667,0
2017-06-08,21:00:00,0.914,0.9195,0.9051,0.9101,16165,0
2017-06-08,22:00:00,0.9194,0.92,0.902,0.902,90423,0
2017-06-09,16:00:00,0.9,0.9098,0.9,0.9076,32123,0
2017-06-09,17:00:00,0.9098,0.9098,0.9054,0.9082,15900,0
2017-06-09,18:00:00,0.9097,0.9098,0.9055,0.9097,26229,0
2017-06-09,19:00:00,0.9097,0.91,0.9074,0.909,37033,0
2017-06-09,20:00:00,0.9092,0.91,0.9052,0.9056,14020,0
2017-06-09,21:00:00,0.9056,0.9074,0.9,0.9,20574,0
2017-06-09,22:00:00,0.9,0.905,0.9,0.905,43710,0
2017-06-12,16:00:00,0.9,0.919,0.9,0.9044,35841,0
2017-06-12,17:00:00,0.9049,0.907033,0.9044,0.9058,9600,0
2017-06-12,18:00:00,0.909,0.9097,0.901,0.901,16895,0
2017-06-12,19:00:00,0.9017,0.9031,0.901,0.903,3500,0
2017-06-12,20:00:00,0.9031,0.9031,0.9002,0.9002,10650,0
2017-06-12,21:00:00,0.9002,0.9016,0.9002,0.9011,9657,0
2017-06-12,22:00:00,0.9008,0.901,0.9,0.9,12005,0
2017-06-13,16:00:00,0.9,0.9089,0.9,0.9089,3605,0
2017-06-13,17:00:00,0.9,0.909,0.9,0.9028,20030,0
2017-06-13,18:00:00,0.9028,0.9044,0.9,0.9012,12525,0
2017-06-13,19:00:00,0.9011,0.9012,0.9,0.9,6900,0
2017-06-13,20:00:00,0.9005,0.9044,0.9,0.9018,21134,0
2017-06-13,21:00:00,0.9044,0.919,0.9028,0.9189,14694,0
2017-06-13,22:00:00,0.9171,0.919,0.9128,0.9128,22686,0
2017-06-14,16:00:00,0.93,0.9314,0.9202,0.9202,27656,0
2017-06-14,17:00:00,0.9284,0.93,0.9,0.92,23600,0
2017-06-14,18:00:00,0.9193,0.9298,0.9,0.9089,47812,0
2017-06-14,19:00:00,0.9066,0.9066,0.9,0.9014,28838,0
2017-06-14,20:00:00,0.9002,0.915,0.9001,0.915,17133,0
2017-06-14,21:00:00,0.9123,0.9126,0.8535,0.8731,170891,0
2017-06-14,22:00:00,0.8711,0.8999,0.8711,0.873,63162,0
2017-06-15,16:00:00,0.88,0.899,0.873,0.8792,43805,0
2017-06-15,17:00:00,0.8785,0.8787,0.87,0.87,32348,0
2017-06-15,18:00:00,0.8648,0.8678,0.86,0.8674,13832,0
2017-06-15,19:00:00,0.861,0.8657,0.851,0.8555,80209,0
2017-06-15,20:00:00,0.8556,0.8595,0.851,0.851,57028,0
2017-06-15,21:00:00,0.8511,0.857,0.851,0.8513,27988,0
2017-06-15,22:00:00,0.8513,0.861,0.851,0.851,43024,0
2017-06-16,16:00:00,0.8526,0.8799,0.8526,0.8799,7199,0
2017-06-16,17:00:00,0.875,0.8789,0.8527,0.86,15113,0
2017-06-16,18:00:00,0.8699,0.8699,0.8551,0.8601,3645,0
2017-06-16,19:00:00,0.8551,0.867,0.8511,0.8544,24106,0
2017-06-16,20:00:00,0.8543,0.8593,0.851,0.853,3806,0
2017-06-16,21:00:00,0.8521,0.853,0.851,0.853,4038,0
2017-06-16,22:00:00,0.8591,0.88,0.852,0.88,41246,0
2017-06-19,16:00:00,0.88,0.88,0.8513,0.8699,23867,0
