Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-22,16:00:00,17.257,17.257,17.257,17.257,103,0
2017-02-22,17:00:00,17.354,17.354,17.354,17.354,206,0
2017-02-22,18:00:00,17.307,17.307,17.307,17.307,103,0
2017-02-22,19:00:00,17.307,17.403,17.307,17.307,1340,0
2017-02-22,21:00:00,17.403,17.403,17.354,17.354,310,0
2017-02-22,22:00:00,17.354,17.354,17.307,17.307,412,0
2017-02-23,17:00:00,17.354,17.354,17.354,17.354,928,0
2017-02-23,18:00:00,17.354,17.403,17.354,17.354,1320,0
2017-02-23,19:00:00,17.403,17.403,17.403,17.403,1288,0
2017-02-23,20:00:00,17.354,17.354,17.354,17.354,103,0
2017-02-23,22:00:00,17.381,17.408,17.112,17.307,46268,0
2017-02-24,16:00:00,17.16,17.257,17.16,17.257,986,0
2017-02-24,17:00:00,17.257,17.307,16.967,17.064,36261,0
2017-02-24,20:00:00,17.257,17.257,17.257,17.257,103,0
2017-02-24,22:00:00,17.148,17.148,16.967,16.967,1755,0
2017-02-27,16:00:00,17.16,17.257,17.16,17.16,721,0
2017-02-27,17:00:00,17.302,17.307,17.226,17.307,2341,0
2017-02-27,19:00:00,17.21,17.257,17.209,17.209,626,0
2017-02-27,20:00:00,17.209,17.209,17.209,17.209,206,0
2017-02-27,21:00:00,17.112,17.209,17.112,17.209,412,0
2017-02-27,22:00:00,17.209,17.307,17.209,17.209,5962,0
2017-02-28,16:00:00,17.257,17.257,17.112,17.122,746,0
2017-02-28,17:00:00,17.224,17.307,17.209,17.307,2820,0
2017-02-28,18:00:00,17.307,17.307,17.209,17.307,866,0
2017-02-28,19:00:00,17.307,17.354,17.209,17.354,1135,0
2017-02-28,20:00:00,17.349,17.354,17.165,17.209,2994,0
2017-02-28,21:00:00,17.257,17.257,17.16,17.233,1135,0
2017-02-28,22:00:00,17.233,17.354,17.233,17.257,949,0
2017-03-01,17:00:00,17.354,17.354,17.112,17.354,7177,0
2017-03-01,18:00:00,17.354,17.5,17.257,17.451,16778,0
2017-03-01,19:00:00,17.694,17.694,17.431,17.431,1177,0
2017-03-01,20:00:00,17.451,17.451,17.451,17.451,495,0
2017-03-01,21:00:00,17.451,17.451,17.354,17.354,753,0
2017-03-01,22:00:00,17.421,17.451,17.307,17.307,2006,0
2017-03-02,18:00:00,16.967,17.015,16.967,17.015,206,0
2017-03-02,19:00:00,17.112,17.791,17.112,17.791,5549,0
2017-03-02,20:00:00,17.525,17.936,17.403,17.403,5047,0
2017-03-02,21:00:00,17.451,17.451,17.451,17.451,206,0
2017-03-02,22:00:00,17.451,17.451,17.354,17.403,1443,0
2017-03-03,19:00:00,17.307,17.307,17.307,17.307,103,0
2017-03-03,20:00:00,17.307,17.403,17.307,17.354,412,0
2017-03-03,21:00:00,17.354,17.742,17.354,17.742,4036,0
2017-03-03,22:00:00,17.742,17.887,17.451,17.742,4353,0
2017-03-06,16:00:00,17.858,17.858,17.451,17.694,2682,0
2017-03-06,17:00:00,17.694,17.694,17.645,17.645,2373,0
2017-03-06,18:00:00,17.597,17.597,17.451,17.451,877,0
2017-03-06,19:00:00,17.451,17.451,17.451,17.451,103,0
2017-03-06,20:00:00,17.548,17.597,17.548,17.597,310,0
2017-03-06,22:00:00,17.451,17.597,17.451,17.5,1193,0
2017-03-07,16:00:00,17.112,17.209,17.112,17.209,310,0
2017-03-07,17:00:00,17.411,17.791,17.411,17.791,5729,0
2017-03-07,18:00:00,17.791,17.791,17.791,17.791,206,0
2017-03-07,19:00:00,17.791,17.791,17.451,17.451,903,0
2017-03-07,21:00:00,17.597,17.694,17.597,17.694,206,0
2017-03-07,22:00:00,17.791,17.791,17.742,17.791,1961,0
2017-03-08,16:00:00,17.597,17.597,17.597,17.597,103,0
2017-03-08,17:00:00,17.839,17.839,17.839,17.839,206,0
2017-03-08,18:00:00,18.179,18.179,17.742,17.742,2579,0
2017-03-08,19:00:00,18.033,18.033,17.887,18.033,310,0
2017-03-08,20:00:00,17.985,18.13,17.985,18.13,310,0
2017-03-08,21:00:00,17.977,18.033,17.977,18.033,825,0
2017-03-08,22:00:00,18.004,18.276,17.991,18.226,4181,0
2017-03-09,16:00:00,18.179,18.373,17.887,18.323,2890,0
2017-03-09,17:00:00,18.276,18.518,18.276,18.421,4332,0
2017-03-09,18:00:00,18.421,18.518,18.421,18.474,1928,0
2017-03-09,20:00:00,18.499,18.499,18.179,18.179,3005,0
2017-03-09,22:00:00,18.218,18.218,17.694,17.694,1906,0
2017-03-10,16:00:00,17.742,17.742,17.015,17.015,413,0
2017-03-10,17:00:00,18.033,18.323,17.985,18.179,4947,0
2017-03-10,18:00:00,18.13,18.226,18.13,18.226,206,0
2017-03-10,19:00:00,17.977,17.977,17.977,17.977,378,0
2017-03-10,21:00:00,18.033,18.226,18.033,18.226,520,0
2017-03-10,22:00:00,18.13,18.226,17.985,17.985,452,0
2017-03-13,16:00:00,18.13,18.469,17.307,17.5,7899,0
2017-03-13,17:00:00,17.839,17.839,17.645,17.694,310,0
