Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,6.345,6.4035,6.3,6.3375,4153,0
2017-05-16,17:00:00,6.3375,6.375,6.3375,6.375,5961,0
2017-05-16,18:00:00,6.375,6.525,6.345,6.375,10925,0
2017-05-16,19:00:00,6.375,6.3765,6.33,6.345,4060,0
2017-05-16,20:00:00,6.375,6.375,6.027,6.1035,12145,0
2017-05-16,21:00:00,6.1035,6.1575,5.85,5.9655,15306,0
2017-05-16,22:00:00,5.976,6.126,5.853,6.0435,21716,0
2017-05-17,16:00:00,6,6.1455,5.9265,5.9595,5980,0
2017-05-17,17:00:00,5.961,6,5.8515,5.889,3060,0
2017-05-17,18:00:00,5.8875,5.9865,5.8875,5.9265,3448,0
2017-05-17,19:00:00,5.9265,5.931,5.8815,5.9055,4293,0
2017-05-17,20:00:00,5.907,5.91,5.8455,5.8545,8146,0
2017-05-17,21:00:00,5.8545,6.0735,5.85,5.8785,5216,0
2017-05-17,22:00:00,5.88,5.88,5.85,5.85,12801,0
2017-05-18,16:00:00,6,6,5.4045,5.4045,13234,0
2017-05-18,17:00:00,5.4045,5.829,5.4,5.5485,14634,0
2017-05-18,18:00:00,5.499,5.742,5.49,5.7015,14717,0
2017-05-18,19:00:00,5.7015,5.7015,5.577,5.6295,5947,0
2017-05-18,20:00:00,5.628,5.6295,5.49,5.55,7670,0
2017-05-18,21:00:00,5.55,5.55,5.547,5.5485,7614,0
2017-05-18,22:00:00,5.55,5.5845,5.5485,5.5605,12970,0
2017-05-19,16:00:00,5.4,5.7,5.4,5.64,4687,0
2017-05-19,17:00:00,5.652,5.751,5.5515,5.568,16915,0
2017-05-19,18:00:00,5.568,5.619,5.4885,5.508,10988,0
2017-05-19,19:00:00,5.5095,5.5095,5.5065,5.5065,3987,0
2017-05-19,20:00:00,5.5065,5.5095,5.5065,5.508,5083,0
2017-05-19,21:00:00,5.508,5.622,5.508,5.6085,8020,0
2017-05-19,22:00:00,5.6085,5.6835,5.475,5.5455,14403,0
2017-05-22,16:00:00,5.55,5.787,5.268,5.2875,9310,0
2017-05-22,17:00:00,5.286,5.4615,5.262,5.3025,16777,0
2017-05-22,18:00:00,5.3025,5.52,5.265,5.334,11606,0
2017-05-22,19:00:00,5.334,5.478,5.2755,5.325,7731,0
2017-05-22,20:00:00,5.325,5.55,5.268,5.4,14038,0
2017-05-22,21:00:00,5.4,5.4,5.2905,5.319,4335,0
2017-05-22,22:00:00,5.3175,6,5.265,5.493,33172,0
2017-05-23,16:00:00,5.475,5.493,5.2875,5.412,4499,0
2017-05-23,17:00:00,5.412,5.4525,5.3565,5.3715,3566,0
2017-05-23,18:00:00,5.3715,5.4285,5.37,5.403,4162,0
2017-05-23,19:00:00,5.403,5.403,5.337,5.3445,4809,0
2017-05-23,20:00:00,5.343,5.379,5.3385,5.379,2748,0
2017-05-23,21:00:00,5.379,5.46,5.3775,5.46,1722,0
2017-05-23,22:00:00,5.448,5.448,5.4,5.424,11348,0
2017-05-24,16:00:00,5.292,5.4735,5.2785,5.28,5650,0
2017-05-24,17:00:00,5.28,5.475,5.28,5.415,4716,0
2017-05-24,18:00:00,5.415,5.475,5.37,5.3865,1786,0
2017-05-24,19:00:00,5.3865,5.3895,5.376,5.3865,2470,0
2017-05-24,20:00:00,5.3865,5.388,5.325,5.3445,5559,0
2017-05-24,21:00:00,5.325,5.337,5.25,5.25,8187,0
2017-05-24,22:00:00,5.2515,5.253,5.25,5.25,9805,0
2017-05-25,16:00:00,5.2425,5.3235,5.235,5.25,6431,0
2017-05-25,17:00:00,5.2815,5.3205,5.25,5.2545,7802,0
2017-05-25,18:00:00,5.2935,5.2995,4.9935,5.097,20382,0
2017-05-25,19:00:00,5.097,5.1,5.037,5.0985,7446,0
2017-05-25,20:00:00,5.0985,5.1,4.9515,5.025,16034,0
2017-05-25,21:00:00,5.022,5.028,4.8675,4.902,29447,0
2017-05-25,22:00:00,4.8675,5.1,4.8675,4.9575,21132,0
2017-05-26,16:00:00,5.145,5.1975,4.9515,4.9905,3904,0
2017-05-26,17:00:00,4.959,5.2485,4.959,5.028,12378,0
2017-05-26,18:00:00,5.0295,5.199,4.95,4.992,5031,0
2017-05-26,19:00:00,5.0325,5.25,4.9965,5.25,11162,0
2017-05-26,20:00:00,5.2485,5.2485,5.0295,5.157,7307,0
2017-05-26,21:00:00,5.1555,5.169,5.0325,5.1675,3599,0
2017-05-26,22:00:00,5.169,5.25,5.076,5.235,12519,0
2017-05-30,16:00:00,5.25,5.472,4.95,5.142,7454,0
2017-05-30,17:00:00,5.142,5.205,5.025,5.1045,4236,0
2017-05-30,18:00:00,5.1045,5.1045,5.025,5.097,4375,0
2017-05-30,19:00:00,5.097,5.0985,4.965,5.0205,5895,0
