Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,30.993,31.002,30.796,30.796,256855,0
2017-05-16,17:00:00,30.796,30.875,30.781,30.845,451274,0
2017-05-16,18:00:00,30.845,30.963,30.845,30.914,105604,0
2017-05-16,19:00:00,30.924,30.941,30.875,30.888,74544,0
2017-05-16,20:00:00,30.876,30.884,30.845,30.855,203016,0
2017-05-16,21:00:00,30.845,30.875,30.786,30.828,82862,0
2017-05-16,22:00:00,30.825,30.904,30.825,30.855,180070,0
2017-05-17,16:00:00,30.766,31.081,30.766,30.901,578257,0
2017-05-17,17:00:00,30.894,31.091,30.894,31.076,767497,0
2017-05-17,18:00:00,31.072,31.101,31.022,31.032,421822,0
2017-05-17,19:00:00,31.032,31.12,31.032,31.062,100839,0
2017-05-17,20:00:00,31.052,31.091,31.025,31.091,103098,0
2017-05-17,21:00:00,31.091,31.2,31.091,31.14,426578,0
2017-05-17,22:00:00,31.14,31.17,31.012,31.052,572445,0
2017-05-18,16:00:00,30.963,31.002,30.805,30.993,777743,0
2017-05-18,17:00:00,31.012,31.101,30.924,31.012,548693,0
2017-05-18,18:00:00,31.012,31.081,31.002,31.072,227223,0
2017-05-18,19:00:00,31.072,31.074,30.993,30.993,139533,0
2017-05-18,20:00:00,31.002,31.057,30.979,31.052,109909,0
2017-05-18,21:00:00,31.052,31.12,31.042,31.109,199333,0
2017-05-18,22:00:00,31.101,31.175,31.075,31.106,444702,0
2017-05-19,16:00:00,31.081,31.14,30.953,31.081,351516,0
2017-05-19,17:00:00,31.091,31.17,31.062,31.17,326404,0
2017-05-19,18:00:00,31.16,31.366,31.14,31.344,140817,0
2017-05-19,19:00:00,31.348,31.396,31.328,31.396,133664,0
2017-05-19,20:00:00,31.386,31.436,31.376,31.386,86220,0
2017-05-19,21:00:00,31.376,31.376,31.268,31.303,98534,0
2017-05-19,22:00:00,31.308,31.328,31.268,31.288,247225,0
2017-05-22,16:00:00,31.288,31.475,31.229,31.366,649371,0
2017-05-22,17:00:00,31.356,31.363,31.288,31.314,276250,0
2017-05-22,18:00:00,31.308,31.366,31.298,31.366,121463,0
2017-05-22,19:00:00,31.356,31.366,31.333,31.338,76107,0
2017-05-22,20:00:00,31.338,31.366,31.328,31.356,40996,0
2017-05-22,21:00:00,31.356,31.413,31.356,31.368,59862,0
2017-05-22,22:00:00,31.376,31.413,31.356,31.366,137249,0
2017-05-23,16:00:00,31.396,31.466,31.356,31.406,163593,0
2017-05-23,17:00:00,31.396,31.534,31.396,31.514,261359,0
2017-05-23,18:00:00,31.524,31.527,31.436,31.456,170053,0
2017-05-23,19:00:00,31.457,31.499,31.426,31.446,142529,0
2017-05-23,20:00:00,31.446,31.48,31.446,31.46,144443,0
2017-05-23,21:00:00,31.459,31.471,31.396,31.407,123891,0
2017-05-23,22:00:00,31.416,31.421,31.386,31.406,374452,0
2017-05-24,16:00:00,31.376,31.504,31.376,31.456,279509,0
2017-05-24,17:00:00,31.466,31.593,31.466,31.574,238338,0
2017-05-24,18:00:00,31.574,31.623,31.544,31.613,87213,0
2017-05-24,19:00:00,31.623,31.623,31.544,31.564,59562,0
2017-05-24,20:00:00,31.554,31.574,31.524,31.554,43616,0
2017-05-24,21:00:00,31.544,31.632,31.534,31.593,146786,0
2017-05-24,22:00:00,31.603,31.632,31.579,31.584,179584,0
2017-05-25,16:00:00,31.642,31.695,31.534,31.662,244307,0
2017-05-25,17:00:00,31.662,31.776,31.632,31.761,255780,0
2017-05-25,18:00:00,31.751,31.848,31.741,31.8,100653,0
2017-05-25,19:00:00,31.8,31.83,31.783,31.805,94740,0
2017-05-25,20:00:00,31.8,31.815,31.751,31.78,55716,0
2017-05-25,21:00:00,31.79,31.81,31.755,31.79,86055,0
2017-05-25,22:00:00,31.793,31.81,31.702,31.702,194234,0
2017-05-26,16:00:00,31.711,31.768,31.574,31.642,250978,0
2017-05-26,17:00:00,31.642,31.662,31.559,31.584,469051,0
2017-05-26,18:00:00,31.584,31.623,31.544,31.574,233304,0
2017-05-26,19:00:00,31.584,31.593,31.524,31.524,105116,0
2017-05-26,20:00:00,31.524,31.534,31.436,31.436,91075,0
2017-05-26,21:00:00,31.426,31.485,31.426,31.469,64992,0
2017-05-26,22:00:00,31.475,31.544,31.446,31.504,129770,0
2017-05-30,16:00:00,31.494,31.564,31.446,31.456,232298,0
2017-05-30,17:00:00,31.466,31.549,31.416,31.524,161701,0
2017-05-30,18:00:00,31.524,31.564,31.504,31.524,167272,0
2017-05-30,19:00:00,31.524,31.544,31.495,31.534,26553,0
2017-05-30,20:00:00,31.534,31.554,31.504,31.514,65014,0
2017-05-30,21:00:00,31.509,31.534,31.499,31.504,71179,0
2017-05-30,22:00:00,31.504,31.514,31.406,31.416,161576,0
2017-05-31,16:00:00,31.456,31.564,31.436,31.456,185967,0
2017-05-31,17:00:00,31.446,31.485,31.366,31.376,407597,0
2017-05-31,18:00:00,31.386,31.396,31.319,31.356,123533,0
2017-05-31,19:00:00,31.352,31.426,31.348,31.396,137221,0
2017-05-31,20:00:00,31.406,31.446,31.352,31.352,116411,0
2017-05-31,21:00:00,31.349,31.416,31.318,31.406,301372,0
2017-05-31,22:00:00,31.406,31.436,31.351,31.366,337843,0
2017-06-01,16:00:00,31.376,31.466,31.233,31.318,479671,0
2017-06-01,17:00:00,31.328,31.376,31.263,31.321,278600,0
2017-06-01,18:00:00,31.328,31.348,31.272,31.318,192156,0
2017-06-01,19:00:00,31.324,31.386,31.323,31.376,92702,0
2017-06-01,20:00:00,31.383,31.436,31.376,31.416,145420,0
2017-06-01,21:00:00,31.412,31.475,31.411,31.446,148025,0
