Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,11.654,11.674,11.654,11.668,4839,0
2017-05-16,17:00:00,11.674,11.674,11.635,11.658,15486,0
2017-05-16,18:00:00,11.654,11.664,11.635,11.635,4331,0
2017-05-16,19:00:00,11.645,11.654,11.645,11.649,5682,0
2017-05-16,20:00:00,11.654,11.654,11.645,11.653,5052,0
2017-05-16,21:00:00,11.651,11.683,11.65,11.674,13295,0
2017-05-16,22:00:00,11.654,11.674,11.654,11.664,18700,0
2017-05-17,16:00:00,11.635,11.683,11.627,11.664,11976,0
2017-05-17,17:00:00,11.63,11.635,11.57,11.589,31483,0
2017-05-17,18:00:00,11.597,11.626,11.597,11.624,21280,0
2017-05-17,19:00:00,11.626,11.626,11.607,11.621,19236,0
2017-05-17,20:00:00,11.622,11.635,11.607,11.607,26916,0
2017-05-17,21:00:00,11.617,11.617,11.54,11.54,53013,0
2017-05-17,22:00:00,11.55,11.567,11.512,11.512,37678,0
2017-05-18,16:00:00,11.54,11.569,11.493,11.493,43648,0
2017-05-18,17:00:00,11.502,11.512,11.456,11.474,36365,0
2017-05-18,18:00:00,11.492,11.503,11.488,11.493,9743,0
2017-05-18,19:00:00,11.493,11.512,11.488,11.511,4629,0
2017-05-18,20:00:00,11.505,11.56,11.505,11.521,25578,0
2017-05-18,21:00:00,11.521,11.617,11.517,11.607,26349,0
2017-05-18,22:00:00,11.607,11.654,11.602,11.654,30611,0
2017-05-19,16:00:00,11.711,11.711,11.674,11.679,16666,0
2017-05-19,17:00:00,11.68,11.693,11.68,11.693,28741,0
2017-05-19,18:00:00,11.683,11.703,11.683,11.69,27316,0
2017-05-19,19:00:00,11.693,11.693,11.683,11.683,5797,0
2017-05-19,20:00:00,11.693,11.693,11.683,11.693,14517,0
2017-05-19,21:00:00,11.693,11.693,11.683,11.693,3896,0
2017-05-19,22:00:00,11.693,11.693,11.664,11.683,30353,0
2017-05-22,16:00:00,11.721,11.74,11.693,11.721,32610,0
2017-05-22,17:00:00,11.721,11.721,11.703,11.703,11306,0
2017-05-22,18:00:00,11.711,11.74,11.703,11.703,16754,0
2017-05-22,19:00:00,11.703,11.741,11.703,11.741,4817,0
2017-05-22,20:00:00,11.741,11.749,11.731,11.735,9641,0
2017-05-22,21:00:00,11.741,11.749,11.731,11.746,8646,0
2017-05-22,22:00:00,11.741,11.769,11.741,11.769,25637,0
2017-05-23,16:00:00,11.778,11.827,11.769,11.807,17832,0
2017-05-23,17:00:00,11.827,11.845,11.797,11.845,20315,0
2017-05-23,18:00:00,11.845,11.863,11.835,11.845,11933,0
2017-05-23,19:00:00,11.845,11.873,11.836,11.863,6739,0
2017-05-23,20:00:00,11.863,11.881,11.855,11.863,18141,0
2017-05-23,21:00:00,11.863,11.873,11.827,11.844,19921,0
2017-05-23,22:00:00,11.841,11.883,11.841,11.883,21056,0
2017-05-24,16:00:00,11.855,11.896,11.855,11.896,16258,0
