Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-16,15:35:00,28.03,28.07,28.03,28.07,6857,0
2017-11-16,15:40:00,28.08,28.09,28.055,28.08,15366,0
2017-11-16,15:45:00,28.08,28.09,28.07,28.078,15412,0
2017-11-16,15:50:00,28.09,28.09,28.08,28.09,7308,0
2017-11-16,15:55:00,28.09,28.1,28.085,28.1,23871,0
2017-11-16,16:00:00,28.092,28.11,28.092,28.1,2900,0
2017-11-16,16:05:00,28.1,28.11,28.1,28.105,16315,0
2017-11-16,16:10:00,28.11,28.11,28.105,28.11,11077,0
2017-11-16,16:15:00,28.11,28.11,28.1,28.101,14706,0
2017-11-16,16:20:00,28.1,28.1,28.091,28.091,6450,0
2017-11-16,16:25:00,28.095,28.096,28.09,28.095,5519,0
2017-11-16,16:30:00,28.095,28.1,28.09,28.1,8357,0
2017-11-16,16:35:00,28.1,28.1,28.09,28.1,13020,0
2017-11-16,16:40:00,28.1,28.1,28.09,28.091,8326,0
2017-11-16,16:45:00,28.095,28.1,28.09,28.091,9942,0
2017-11-16,16:50:00,28.095,28.11,28.09,28.11,10046,0
2017-11-16,16:55:00,28.11,28.12,28.105,28.11,6527,0
2017-11-16,17:00:00,28.11,28.11,28.09,28.09,11777,0
2017-11-16,17:05:00,28.09,28.1,28.09,28.09,7360,0
2017-11-16,17:10:00,28.1,28.1,28.09,28.09,8733,0
2017-11-16,17:15:00,28.1,28.1,28.09,28.09,8158,0
2017-11-16,17:20:00,28.1,28.1,28.09,28.09,13110,0
2017-11-16,17:25:00,28.095,28.1,28.09,28.095,8353,0
2017-11-16,17:30:00,28.095,28.1,28.09,28.09,7208,0
2017-11-16,17:35:00,28.1,28.1,28.09,28.09,6786,0
2017-11-16,17:40:00,28.091,28.1,28.09,28.09,7298,0
2017-11-16,17:45:00,28.1,28.1,28.09,28.09,9210,0
2017-11-16,17:50:00,28.096,28.1,28.09,28.1,6545,0
2017-11-16,17:55:00,28.1,28.1,28.09,28.09,6790,0
2017-11-16,18:00:00,28.1,28.1,28.09,28.091,6706,0
2017-11-16,18:05:00,28.1,28.1,28.09,28.095,11476,0
2017-11-16,18:10:00,28.1,28.1,28.09,28.09,7747,0
