Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,15:35:00,26.28,26.28,25.841,25.99,5704,0
2017-10-26,15:40:00,25.88,25.97,25.88,25.89,2425,0
2017-10-26,15:45:00,25.89,25.95,25.89,25.95,4400,0
2017-10-26,15:50:00,25.91,26,25.91,26,1800,0
2017-10-26,15:55:00,26,26,26,26,500,0
2017-10-26,16:00:00,26.01,26.01,26,26,900,0
2017-10-26,16:05:00,26.01,26.05,26,26,2800,0
2017-10-26,16:10:00,26.01,26.02,25.97,25.97,2000,0
2017-10-26,16:15:00,25.97,25.97,25.97,25.97,2000,0
2017-10-26,16:20:00,25.97,25.98,25.97,25.98,2100,0
2017-10-26,16:25:00,25.98,25.98,25.97,25.975,2000,0
2017-10-26,16:30:00,26.005,26.005,25.97,25.97,3150,0
2017-10-26,16:35:00,25.97,25.975,25.97,25.975,2000,0
2017-10-26,16:40:00,25.97,26.0127,25.97,26.0127,2200,0
2017-10-26,16:45:00,25.98,25.985,25.97,25.97,2000,0
2017-10-26,16:50:00,25.97,26.01,25.97,25.975,2700,0
2017-10-26,16:55:00,25.97,26,25.97,25.97,3500,0
2017-10-26,17:00:00,25.97,26,25.97,25.975,2600,0
2017-10-26,17:05:00,25.97,26.01,25.97,26,3700,0
2017-10-26,17:10:00,26,26,25.97,25.99,3200,0
2017-10-26,17:15:00,25.98,25.98,25.98,25.98,2000,0
2017-10-26,17:20:00,25.98,26,25.97,25.99,7600,0
2017-10-26,17:25:00,25.99,26,25.985,26,2000,0
2017-10-26,17:30:00,25.97,25.97,25.97,25.97,300,0
2017-10-26,17:35:00,25.97,25.9848,25.96,25.96,2400,0
2017-10-26,17:40:00,25.96,25.96,25.96,25.96,2000,0
2017-10-26,17:45:00,25.96,25.96,25.95,25.95,1950,0
2017-10-26,17:50:00,25.95,25.962,25.95,25.95,2400,0
2017-10-26,17:55:00,25.95,25.985,25.95,25.985,3000,0
2017-10-26,18:00:00,25.96,25.96,25.95,25.95,2200,0
2017-10-26,18:05:00,25.95,25.975,25.95,25.975,4800,0
2017-10-26,18:10:00,25.95,25.95,25.95,25.95,800,0
2017-10-26,18:15:00,25.95,25.97,25.95,25.97,1400,0
2017-10-26,18:20:00,25.97,26,25.97,25.97,2200,0
2017-10-26,18:25:00,25.975,25.975,25.93,25.94,1900,0
2017-10-26,18:30:00,25.94,25.9676,25.94,25.94,2300,0
2017-10-26,18:35:00,25.95,25.95,25.95,25.95,1800,0
2017-10-26,18:40:00,25.95,25.955,25.95,25.955,1200,0
2017-10-26,18:45:00,26,26,25.95,25.955,1280,0
2017-10-26,18:50:00,25.95,25.955,25.95,25.95,2200,0
2017-10-26,18:55:00,25.955,25.955,25.95,25.95,2000,0
2017-10-26,19:00:00,25.95,25.95,25.95,25.95,2000,0
2017-10-26,19:05:00,25.95,25.95,25.9,25.91,2200,0
2017-10-26,19:10:00,25.91,25.94,25.91,25.94,2000,0
2017-10-26,19:15:00,25.94,25.97,25.94,25.97,800,0
2017-10-26,19:30:00,25.94,25.94,25.9,25.93,900,0
2017-10-26,19:35:00,25.93,25.94,25.91,25.91,1900,0
2017-10-26,19:40:00,25.91,25.91,25.91,25.91,2100,0
2017-10-26,19:45:00,25.91,25.91,25.91,25.91,1800,0
2017-10-26,19:50:00,25.91,25.91,25.87,25.87,1800,0
2017-10-26,19:55:00,25.87,25.88,25.87,25.87,2559,0
2017-10-26,20:00:00,25.87,25.88,25.87,25.87,3600,0
2017-10-26,20:05:00,25.87,25.875,25.87,25.875,400,0
2017-10-26,20:10:00,25.89,25.89,25.89,25.89,300,0
2017-10-26,20:15:00,25.9062,25.9062,25.89,25.89,1600,0
2017-10-26,20:20:00,25.88,25.89,25.88,25.89,2300,0
2017-10-26,20:25:00,25.88,25.88,25.85,25.86,1800,0
2017-10-26,20:30:00,25.86,25.88,25.86,25.88,2200,0
2017-10-26,20:35:00,25.87,25.9,25.87,25.89,1600,0
2017-10-26,20:40:00,25.87,25.87,25.85,25.85,900,0
2017-10-26,20:45:00,25.85,25.85,25.84,25.84,2000,0
2017-10-26,20:50:00,25.845,25.845,25.84,25.84,2000,0
2017-10-26,20:55:00,25.84,25.845,25.84,25.84,2000,0
2017-10-26,21:00:00,25.84,25.84,25.8,25.8,2300,0
2017-10-26,21:05:00,25.8,25.81,25.8,25.8,4000,0
2017-10-26,21:10:00,25.8,25.81,25.8,25.8,2000,0
