Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,11.41,11.45,11.371,11.45,22650,0
2017-11-17,15:40:00,11.42,11.48,11.41,11.48,62484,0
2017-11-17,15:45:00,11.49,11.5299,11.49,11.52,18274,0
2017-11-17,15:50:00,11.52,11.53,11.48,11.49,26335,0
2017-11-17,15:55:00,11.445,11.445,11.4444,11.4444,650,0
2017-11-17,16:00:00,11.43,11.46,11.43,11.46,14100,0
2017-11-17,16:05:00,11.46,11.47,11.44,11.44,15218,0
2017-11-17,16:10:00,11.4442,11.48,11.44,11.48,5958,0
2017-11-17,16:15:00,11.49,11.51,11.48,11.5,5500,0
2017-11-17,16:20:00,11.5,11.501,11.47,11.48,4847,0
2017-11-17,16:25:00,11.47,11.481,11.46,11.46,3943,0
2017-11-17,16:30:00,11.46,11.47,11.45,11.47,4700,0
2017-11-17,16:35:00,11.4867,11.491,11.4738,11.48,3675,0
2017-11-17,16:40:00,11.47,11.47,11.46,11.46,300,0
2017-11-17,16:45:00,11.45,11.46,11.45,11.45,5629,0
2017-11-17,16:50:00,11.44,11.46,11.41,11.43,30088,0
2017-11-17,16:55:00,11.42,11.42,11.39,11.39,28849,0
2017-11-17,17:00:00,11.4,11.4,11.391,11.4,8614,0
2017-11-17,17:05:00,11.375,11.4,11.375,11.4,4386,0
2017-11-17,17:10:00,11.39,11.39,11.37,11.38,3200,0
2017-11-17,17:15:00,11.3738,11.3738,11.3401,11.3401,2700,0
2017-11-17,17:20:00,11.34,11.34,11.32,11.32,5905,0
2017-11-17,17:25:00,11.32,11.32,11.32,11.32,1777,0
2017-11-17,17:30:00,11.35,11.38,11.35,11.35,3737,0
2017-11-17,17:35:00,11.35,11.36,11.35,11.35,2600,0
2017-11-17,17:40:00,11.36,11.36,11.35,11.35,600,0
2017-11-17,17:45:00,11.35,11.36,11.35,11.36,1000,0
2017-11-17,17:50:00,11.35,11.35,11.34,11.34,2000,0
2017-11-17,17:55:00,11.341,11.341,11.341,11.341,500,0
2017-11-17,18:00:00,11.33,11.34,11.33,11.33,1920,0
2017-11-17,18:05:00,11.34,11.34,11.34,11.34,800,0
2017-11-17,18:10:00,11.33,11.33,11.33,11.33,1574,0
2017-11-17,18:15:00,11.33,11.34,11.33,11.34,800,0
2017-11-17,18:20:00,11.33,11.33,11.33,11.33,2300,0
2017-11-17,18:25:00,11.3199,11.33,11.3199,11.33,3079,0
2017-11-17,18:30:00,11.34,11.34,11.33,11.33,1800,0
2017-11-17,18:35:00,11.33,11.34,11.33,11.34,900,0
2017-11-17,18:40:00,11.33,11.34,11.319,11.32,18075,0
2017-11-17,18:45:00,11.32,11.33,11.28,11.29,17286,0
2017-11-17,18:50:00,11.29,11.31,11.29,11.31,1500,0
2017-11-17,19:00:00,11.312,11.32,11.312,11.32,1500,0
2017-11-17,19:05:00,11.32,11.32,11.3042,11.3042,3220,0
2017-11-17,19:10:00,11.32,11.34,11.32,11.34,690,0
2017-11-17,19:15:00,11.35,11.35,11.321,11.34,6100,0
2017-11-17,19:20:00,11.33,11.33,11.33,11.33,3000,0
2017-11-17,19:25:00,11.33,11.33,11.33,11.33,1917,0
2017-11-17,19:30:00,11.33,11.34,11.33,11.331,800,0
2017-11-17,19:35:00,11.33,11.35,11.33,11.35,627,0
2017-11-17,19:40:00,11.35,11.35,11.34,11.34,1684,0
2017-11-17,19:45:00,11.33,11.33,11.33,11.33,100,0
2017-11-17,19:50:00,11.32,11.33,11.32,11.32,11803,0
2017-11-17,19:55:00,11.31,11.31,11.31,11.31,4120,0
2017-11-17,20:00:00,11.31,11.33,11.31,11.32,1570,0
2017-11-17,20:05:00,11.33,11.33,11.33,11.33,2398,0
2017-11-17,20:10:00,11.34,11.34,11.34,11.34,300,0
2017-11-17,20:15:00,11.34,11.34,11.34,11.34,1200,0
2017-11-17,20:20:00,11.34,11.36,11.34,11.36,2128,0
2017-11-17,20:25:00,11.36,11.361,11.36,11.361,1189,0
2017-11-17,20:30:00,11.38,11.3847,11.36,11.36,3599,0
2017-11-17,20:35:00,11.36,11.37,11.36,11.37,900,0
2017-11-17,20:40:00,11.3708,11.38,11.3708,11.38,5600,0
2017-11-17,20:45:00,11.39,11.4,11.39,11.4,1039,0
2017-11-17,20:50:00,11.37,11.37,11.37,11.37,2000,0
2017-11-17,20:55:00,11.37,11.37,11.36,11.36,4600,0
2017-11-17,21:00:00,11.36,11.36,11.35,11.35,1939,0
2017-11-17,21:05:00,11.3538,11.3538,11.3538,11.3538,499,0
2017-11-17,21:10:00,11.36,11.36,11.36,11.36,989,0
2017-11-17,21:20:00,11.36,11.36,11.35,11.36,1894,0
2017-11-17,21:30:00,11.37,11.37,11.36,11.3675,889,0
2017-11-17,21:35:00,11.37,11.371,11.365,11.365,8300,0
2017-11-17,21:40:00,11.38,11.38,11.37,11.37,5601,0
2017-11-17,21:45:00,11.36,11.37,11.3544,11.365,5136,0
2017-11-17,21:50:00,11.37,11.37,11.36,11.36,12093,0
2017-11-17,21:55:00,11.35,11.35,11.337,11.35,6472,0
2017-11-17,22:00:00,11.34,11.37,11.3342,11.37,30270,0
2017-11-20,15:35:00,11.43,11.484,11.43,11.48,25670,0
2017-11-20,15:40:00,11.47,11.5,11.47,11.4871,1755,0
2017-11-20,15:45:00,11.46,11.471,11.46,11.471,7163,0
2017-11-20,15:50:00,11.49,11.51,11.49,11.51,14900,0
2017-11-20,15:55:00,11.5,11.5534,11.5,11.5313,9626,0
2017-11-20,16:00:00,11.51,11.51,11.47,11.47,6100,0
2017-11-20,16:05:00,11.47,11.52,11.47,11.52,5000,0
2017-11-20,16:10:00,11.52,11.52,11.499,11.51,6326,0
2017-11-20,16:15:00,11.5,11.5,11.49,11.5,1100,0
2017-11-20,16:20:00,11.5142,11.56,11.505,11.53,10457,0
2017-11-20,16:25:00,11.54,11.54,11.4826,11.4826,4378,0
2017-11-20,16:30:00,11.49,11.5,11.49,11.5,3600,0
2017-11-20,16:35:00,11.52,11.56,11.52,11.56,6874,0
2017-11-20,16:40:00,11.57,11.58,11.5367,11.55,8160,0
2017-11-20,16:45:00,11.55,11.55,11.52,11.52,200,0
2017-11-20,16:50:00,11.5461,11.5461,11.52,11.52,1900,0
2017-11-20,16:55:00,11.5,11.5,11.489,11.489,4200,0
2017-11-20,17:00:00,11.44,11.44,11.4331,11.44,1876,0
2017-11-20,17:05:00,11.46,11.48,11.46,11.48,3323,0
2017-11-20,17:10:00,11.47,11.48,11.47,11.47,1285,0
2017-11-20,17:15:00,11.469,11.469,11.4499,11.4499,2900,0
2017-11-20,17:20:00,11.42,11.4249,11.4049,11.409,5960,0
2017-11-20,17:25:00,11.4,11.4,11.38,11.4,10987,0
2017-11-20,17:30:00,11.4,11.4,11.4,11.4,2539,0
2017-11-20,17:35:00,11.4053,11.42,11.4053,11.42,1090,0
2017-11-20,17:40:00,11.42,11.43,11.42,11.43,1500,0
2017-11-20,17:45:00,11.431,11.44,11.43,11.43,4500,0
2017-11-20,17:50:00,11.42,11.42,11.4,11.4,4745,0
2017-11-20,17:55:00,11.39,11.403,11.39,11.4,574,0
2017-11-20,18:05:00,11.4,11.4,11.38,11.38,2900,0
2017-11-20,18:10:00,11.39,11.4,11.39,11.4,2199,0
2017-11-20,18:15:00,11.41,11.41,11.41,11.41,1088,0
2017-11-20,18:20:00,11.41,11.41,11.4,11.4,400,0
2017-11-20,18:25:00,11.4,11.4,11.4,11.4,1900,0
2017-11-20,18:30:00,11.4,11.4,11.4,11.4,676,0
2017-11-20,18:35:00,11.39,11.41,11.39,11.41,3088,0
2017-11-20,18:40:00,11.395,11.395,11.39,11.39,500,0
2017-11-20,18:45:00,11.4,11.41,11.4,11.41,819,0
2017-11-20,18:50:00,11.41,11.42,11.41,11.415,680,0
2017-11-20,18:55:00,11.41,11.41,11.41,11.41,100,0
2017-11-20,19:00:00,11.41,11.41,11.41,11.41,227,0
2017-11-20,19:05:00,11.4062,11.4062,11.4062,11.4062,125,0
2017-11-20,19:10:00,11.42,11.4269,11.42,11.4269,1510,0
2017-11-20,19:15:00,11.41,11.41,11.41,11.41,100,0
2017-11-20,19:20:00,11.42,11.42,11.42,11.42,1660,0
2017-11-20,19:25:00,11.43,11.43,11.43,11.43,1000,0
2017-11-20,19:30:00,11.43,11.43,11.43,11.43,500,0
2017-11-20,19:40:00,11.44,11.44,11.43,11.43,590,0
2017-11-20,19:50:00,11.43,11.44,11.43,11.44,400,0
2017-11-20,19:55:00,11.4289,11.4289,11.4289,11.4289,500,0
2017-11-20,20:00:00,11.43,11.43,11.43,11.43,300,0
2017-11-20,20:05:00,11.42,11.42,11.42,11.42,4937,0
2017-11-20,20:10:00,11.4158,11.4158,11.4,11.4,9800,0
2017-11-20,20:20:00,11.38,11.38,11.38,11.38,710,0
2017-11-20,20:25:00,11.39,11.39,11.39,11.39,2398,0
2017-11-20,20:30:00,11.3848,11.3848,11.3735,11.3767,9020,0
2017-11-20,20:35:00,11.385,11.385,11.385,11.385,100,0
2017-11-20,20:45:00,11.38,11.39,11.38,11.39,1800,0
2017-11-20,20:50:00,11.4,11.4,11.4,11.4,600,0
2017-11-20,20:55:00,11.39,11.39,11.39,11.39,200,0
2017-11-20,21:00:00,11.39,11.4,11.39,11.4,5798,0
2017-11-20,21:05:00,11.4,11.4,11.3952,11.3952,1300,0
2017-11-20,21:10:00,11.3987,11.411,11.3987,11.411,7620,0
2017-11-20,21:15:00,11.43,11.43,11.43,11.43,2190,0
