Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,32.17,32.24,32.17,32.23,6567,0
2017-11-17,15:40:00,32.24,32.25,32.23,32.24,9100,0
2017-11-17,15:45:00,32.2399,32.24,32.23,32.24,2900,0
2017-11-17,15:50:00,32.24,32.24,32.235,32.24,4034,0
2017-11-17,15:55:00,32.235,32.24,32.23,32.235,10268,0
2017-11-17,16:00:00,32.23,32.24,32.23,32.24,5061,0
2017-11-17,16:05:00,32.23,32.24,32.2,32.225,34593,0
2017-11-17,16:10:00,32.22,32.245,32.22,32.24,14371,0
2017-11-17,16:15:00,32.23,32.24,32.22,32.23,2000,0
2017-11-17,16:20:00,32.22,32.23,32.21,32.21,6739,0
2017-11-17,16:25:00,32.22,32.22,32.21,32.21,1100,0
2017-11-17,16:30:00,32.21,32.21,32.21,32.21,300,0
2017-11-17,16:35:00,32.21,32.22,32.21,32.21,2926,0
2017-11-17,16:40:00,32.22,32.23,32.22,32.2275,10901,0
2017-11-17,16:45:00,32.23,32.24,32.22,32.23,9238,0
2017-11-17,16:50:00,32.23,32.23,32.225,32.225,1400,0
2017-11-17,16:55:00,32.2245,32.23,32.2245,32.23,1311,0
2017-11-17,17:00:00,32.22,32.23,32.22,32.22,1279,0
2017-11-17,17:05:00,32.23,32.23,32.22,32.22,1091,0
2017-11-17,17:10:00,32.23,32.23,32.22,32.23,29249,0
2017-11-17,17:15:00,32.23,32.24,32.22,32.235,52599,0
2017-11-17,17:20:00,32.24,32.24,32.24,32.24,500,0
2017-11-17,17:25:00,32.24,32.25,32.23,32.24,3958,0
2017-11-17,17:30:00,32.2489,32.25,32.24,32.24,500,0
2017-11-17,17:35:00,32.24,32.25,32.24,32.24,4626,0
2017-11-17,17:40:00,32.24,32.25,32.24,32.24,14474,0
2017-11-17,17:45:00,32.24,32.26,32.24,32.25,3530,0
2017-11-17,17:50:00,32.26,32.26,32.25,32.26,1630,0
2017-11-17,17:55:00,32.25,32.265,32.25,32.26,3500,0
2017-11-17,18:00:00,32.27,32.29,32.27,32.285,19783,0
2017-11-17,18:05:00,32.28,32.29,32.27,32.285,5994,0
2017-11-17,18:10:00,32.285,32.29,32.285,32.285,3227,0
2017-11-17,18:15:00,32.285,32.29,32.285,32.29,559,0
2017-11-17,18:20:00,32.28,32.29,32.28,32.28,1300,0
2017-11-17,18:25:00,32.28,32.295,32.28,32.295,3070,0
2017-11-17,18:35:00,32.29,32.295,32.29,32.29,500,0
2017-11-17,18:40:00,32.3,32.3,32.29,32.3,2339,0
2017-11-17,18:45:00,32.29,32.29,32.29,32.29,200,0
2017-11-17,18:50:00,32.3,32.3,32.29,32.29,1627,0
2017-11-17,18:55:00,32.29,32.295,32.29,32.295,300,0
2017-11-17,19:00:00,32.29,32.295,32.29,32.29,600,0
2017-11-17,19:05:00,32.29,32.295,32.29,32.29,1200,0
2017-11-17,19:10:00,32.29,32.295,32.29,32.295,625,0
2017-11-17,19:15:00,32.29,32.295,32.29,32.29,400,0
2017-11-17,19:20:00,32.2947,32.3,32.29,32.29,2343,0
2017-11-17,19:25:00,32.29,32.295,32.29,32.29,500,0
2017-11-17,19:30:00,32.29,32.295,32.29,32.29,300,0
2017-11-17,19:35:00,32.295,32.295,32.29,32.29,1426,0
2017-11-17,19:40:00,32.29,32.295,32.29,32.29,800,0
2017-11-17,19:45:00,32.295,32.2952,32.29,32.29,876,0
2017-11-17,19:50:00,32.295,32.295,32.29,32.29,800,0
2017-11-17,19:55:00,32.29,32.29,32.29,32.29,300,0
2017-11-17,20:00:00,32.29,32.29,32.29,32.29,500,0
2017-11-17,20:05:00,32.29,32.295,32.29,32.29,900,0
2017-11-17,20:10:00,32.29,32.29,32.29,32.29,600,0
2017-11-17,20:15:00,32.29,32.29,32.28,32.28,3581,0
2017-11-17,20:20:00,32.28,32.28,32.27,32.27,5000,0
2017-11-17,20:25:00,32.27,32.27,32.25,32.25,6003,0
2017-11-17,20:30:00,32.255,32.26,32.25,32.25,1400,0
2017-11-17,20:35:00,32.25,32.26,32.25,32.255,1200,0
2017-11-17,20:40:00,32.25,32.26,32.25,32.26,1500,0
2017-11-17,20:45:00,32.26,32.26,32.25,32.25,200,0
2017-11-17,20:50:00,32.25,32.255,32.25,32.25,900,0
2017-11-17,20:55:00,32.25,32.28,32.25,32.28,5163,0
2017-11-17,21:00:00,32.275,32.28,32.27,32.28,600,0
2017-11-17,21:05:00,32.275,32.275,32.27,32.27,800,0
2017-11-17,21:10:00,32.27,32.28,32.27,32.27,824,0
2017-11-17,21:15:00,32.27,32.28,32.27,32.27,1101,0
2017-11-17,21:20:00,32.27,32.28,32.27,32.27,1300,0
2017-11-17,21:25:00,32.28,32.28,32.27,32.28,1000,0
2017-11-17,21:30:00,32.27,32.28,32.27,32.27,1400,0
2017-11-17,21:35:00,32.27,32.275,32.27,32.27,1774,0
2017-11-17,21:40:00,32.27,32.275,32.27,32.27,2674,0
2017-11-17,21:45:00,32.27,32.275,32.265,32.265,3559,0
2017-11-17,21:50:00,32.26,32.27,32.24,32.24,43140,0
2017-11-17,21:55:00,32.245,32.2599,32.245,32.25,9060,0
2017-11-17,22:00:00,32.24,32.26,32.23,32.24,92794,0
2017-11-20,15:35:00,32.2,32.26,32.18,32.225,17878,0
2017-11-20,15:40:00,32.23,32.24,32.23,32.24,1208,0
2017-11-20,15:45:00,32.24,32.25,32.22,32.24,15300,0
2017-11-20,15:50:00,32.245,32.26,32.24,32.255,18118,0
2017-11-20,15:55:00,32.26,32.26,32.25,32.25,16681,0
2017-11-20,16:00:00,32.255,32.28,32.25,32.275,5330,0
2017-11-20,16:05:00,32.28,32.31,32.28,32.3,7704,0
2017-11-20,16:10:00,32.31,32.31,32.29,32.29,12689,0
2017-11-20,16:15:00,32.29,32.325,32.29,32.32,20558,0
2017-11-20,16:20:00,32.32,32.335,32.31,32.315,23869,0
2017-11-20,16:25:00,32.32,32.32,32.31,32.31,1900,0
2017-11-20,16:30:00,32.31,32.32,32.31,32.32,1900,0
2017-11-20,16:35:00,32.31,32.32,32.31,32.31,2980,0
2017-11-20,16:40:00,32.32,32.32,32.31,32.32,3320,0
2017-11-20,16:45:00,32.32,32.32,32.31,32.32,2300,0
2017-11-20,16:50:00,32.31,32.32,32.31,32.32,2900,0
2017-11-20,16:55:00,32.32,32.37,32.31,32.35,35120,0
2017-11-20,17:00:00,32.35,32.36,32.34,32.34,10266,0
2017-11-20,17:05:00,32.34,32.34,32.34,32.34,500,0
2017-11-20,17:10:00,32.34,32.36,32.34,32.36,3279,0
2017-11-20,17:15:00,32.36,32.37,32.35,32.36,8372,0
2017-11-20,17:20:00,32.36,32.36,32.35,32.35,3200,0
2017-11-20,17:25:00,32.35,32.36,32.35,32.35,800,0
2017-11-20,17:30:00,32.36,32.36,32.35,32.36,3600,0
2017-11-20,17:35:00,32.36,32.36,32.35,32.36,3400,0
2017-11-20,17:40:00,32.36,32.36,32.35,32.36,4600,0
2017-11-20,17:45:00,32.36,32.36,32.35,32.35,7641,0
2017-11-20,17:50:00,32.35,32.36,32.35,32.35,1600,0
2017-11-20,17:55:00,32.355,32.37,32.355,32.37,7244,0
2017-11-20,18:00:00,32.365,32.39,32.36,32.39,18614,0
2017-11-20,18:05:00,32.39,32.39,32.385,32.39,4823,0
2017-11-20,18:10:00,32.38,32.39,32.38,32.39,2600,0
2017-11-20,18:15:00,32.39,32.4,32.385,32.4,2500,0
2017-11-20,18:20:00,32.4,32.4,32.37,32.37,11117,0
2017-11-20,18:25:00,32.37,32.37,32.35,32.355,7364,0
2017-11-20,18:30:00,32.355,32.37,32.35,32.36,3059,0
2017-11-20,18:35:00,32.36,32.38,32.36,32.38,3056,0
2017-11-20,18:40:00,32.38,32.38,32.37,32.38,5342,0
2017-11-20,18:45:00,32.38,32.38,32.37,32.38,2831,0
2017-11-20,18:50:00,32.38,32.38,32.37,32.37,1900,0
2017-11-20,18:55:00,32.38,32.39,32.37,32.39,7037,0
2017-11-20,19:00:00,32.39,32.4,32.38,32.4,4110,0
2017-11-20,19:05:00,32.4,32.4,32.39,32.4,2533,0
2017-11-20,19:10:00,32.4,32.43,32.39,32.42,5841,0
2017-11-20,19:15:00,32.43,32.43,32.4,32.4,8932,0
2017-11-20,19:20:00,32.4,32.41,32.4,32.4,718,0
2017-11-20,19:25:00,32.41,32.41,32.4,32.41,1700,0
2017-11-20,19:30:00,32.41,32.42,32.405,32.42,2323,0
2017-11-20,19:35:00,32.42,32.42,32.41,32.41,2698,0
2017-11-20,19:40:00,32.42,32.42,32.41,32.41,2237,0
2017-11-20,19:45:00,32.41,32.42,32.41,32.42,3506,0
2017-11-20,19:50:00,32.42,32.43,32.42,32.42,4000,0
2017-11-20,19:55:00,32.42,32.42,32.41,32.41,1605,0
2017-11-20,20:00:00,32.415,32.415,32.4,32.4,36381,0
2017-11-20,20:05:00,32.4,32.41,32.4,32.41,1918,0
2017-11-20,20:10:00,32.41,32.42,32.405,32.42,5826,0
2017-11-20,20:15:00,32.42,32.42,32.41,32.42,2531,0
2017-11-20,20:20:00,32.42,32.42,32.4,32.4,8754,0
2017-11-20,20:25:00,32.4,32.4,32.39,32.395,5198,0
2017-11-20,20:30:00,32.395,32.4,32.39,32.4,724,0
2017-11-20,20:35:00,32.4,32.4,32.395,32.395,12099,0
2017-11-20,20:40:00,32.4,32.4,32.39,32.4,2899,0
2017-11-20,20:45:00,32.395,32.4,32.39,32.395,1300,0
2017-11-20,20:50:00,32.4,32.41,32.395,32.41,3100,0
2017-11-20,20:55:00,32.41,32.42,32.4,32.42,5955,0
2017-11-20,21:00:00,32.42,32.42,32.41,32.41,2000,0
2017-11-20,21:05:00,32.41,32.425,32.405,32.41,33031,0
2017-11-20,21:10:00,32.41,32.41,32.4,32.4,2400,0
2017-11-20,21:15:00,32.405,32.42,32.4,32.415,7934,0
2017-11-20,21:20:00,32.415,32.415,32.4,32.4,27115,0
2017-11-20,21:25:00,32.4,32.41,32.4,32.405,5198,0
2017-11-20,21:30:00,32.41,32.42,32.405,32.415,22936,0
2017-11-20,21:35:00,32.415,32.42,32.41,32.42,14922,0
2017-11-20,21:40:00,32.42,32.42,32.41,32.41,43729,0
2017-11-20,21:45:00,32.41,32.42,32.41,32.42,6488,0
2017-11-20,21:50:00,32.42,32.43,32.415,32.42,47313,0
2017-11-20,21:55:00,32.425,32.43,32.42,32.425,7850,0
2017-11-20,22:00:00,32.43,32.45,32.41,32.41,152466,0
2017-11-21,15:35:00,32.4,32.49,32.4,32.48,7602,0
2017-11-21,15:45:00,32.5,32.555,32.5,32.55,46183,0
2017-11-21,15:50:00,32.555,32.565,32.555,32.56,15100,0
2017-11-21,15:55:00,32.555,32.56,32.55,32.56,2200,0
2017-11-21,16:00:00,32.555,32.56,32.55,32.56,4727,0
2017-11-21,16:05:00,32.56,32.56,32.56,32.56,900,0
2017-11-21,16:10:00,32.56,32.56,32.555,32.56,3597,0
2017-11-21,16:15:00,32.56,32.57,32.55,32.57,4540,0
