Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,59.48,59.6,59.2471,59.3338,34260,0
2017-11-17,15:40:00,59.52,59.63,59.4098,59.52,19653,0
2017-11-17,15:45:00,59.51,59.5168,59.1254,59.15,15910,0
2017-11-17,15:50:00,59.1772,59.28,58.99,59.22,38591,0
2017-11-17,15:55:00,59.21,59.29,59.21,59.23,8102,0
2017-11-17,16:00:00,59.23,59.38,59.2,59.37,3503,0
2017-11-17,16:05:00,59.38,59.3864,59.13,59.21,40503,0
2017-11-17,16:10:00,59.2468,59.42,59.22,59.3568,4950,0
2017-11-17,16:15:00,59.2979,59.2979,59.2,59.23,7250,0
2017-11-17,16:20:00,59.2216,59.26,59.13,59.2074,9759,0
2017-11-17,16:25:00,59.26,59.41,59.25,59.35,11049,0
2017-11-17,16:30:00,59.34,59.4,59.27,59.4,1600,0
2017-11-17,16:35:00,59.41,59.41,59.33,59.3786,3287,0
2017-11-17,16:40:00,59.42,59.49,59.35,59.381,10312,0
2017-11-17,16:45:00,59.41,59.43,59.35,59.43,2780,0
2017-11-17,16:50:00,59.44,59.5,59.4184,59.46,2900,0
2017-11-17,16:55:00,59.48,59.6399,59.4704,59.55,10286,0
2017-11-17,17:00:00,59.52,59.58,59.45,59.461,5985,0
2017-11-17,17:05:00,59.42,59.42,59.34,59.41,3558,0
2017-11-17,17:10:00,59.34,59.43,59.315,59.41,10153,0
2017-11-17,17:15:00,59.38,59.44,59.31,59.44,5275,0
2017-11-17,17:20:00,59.45,59.48,59.4,59.41,9920,0
2017-11-17,17:25:00,59.3853,59.47,59.3853,59.4003,2860,0
2017-11-17,17:30:00,59.43,59.43,59.42,59.42,2281,0
2017-11-17,17:35:00,59.39,59.44,59.39,59.44,4251,0
2017-11-17,17:40:00,59.44,59.44,59.3558,59.42,9525,0
2017-11-17,17:45:00,59.41,59.54,59.39,59.52,10487,0
2017-11-17,17:50:00,59.5295,59.62,59.5288,59.62,13788,0
2017-11-17,17:55:00,59.58,59.59,59.5443,59.55,4600,0
2017-11-17,18:00:00,59.6,59.63,59.55,59.55,5135,0
2017-11-17,18:05:00,59.55,59.55,59.4601,59.48,3200,0
2017-11-17,18:10:00,59.4993,59.5467,59.4993,59.5467,2450,0
2017-11-17,18:15:00,59.559,59.559,59.529,59.529,800,0
2017-11-17,18:20:00,59.56,59.62,59.56,59.62,912,0
2017-11-17,18:25:00,59.595,59.629,59.595,59.6,2400,0
2017-11-17,18:30:00,59.62,59.71,59.62,59.71,8950,0
2017-11-17,18:35:00,59.71,59.71,59.6,59.6299,2569,0
2017-11-17,18:40:00,59.65,59.7,59.62,59.7,12928,0
2017-11-17,18:45:00,59.74,59.74,59.59,59.66,6369,0
2017-11-17,18:50:00,59.6504,59.6504,59.58,59.59,1926,0
2017-11-17,18:55:00,59.57,59.59,59.52,59.56,1122,0
2017-11-17,19:00:00,59.5667,59.62,59.5667,59.6188,4800,0
2017-11-17,19:05:00,59.56,59.64,59.54,59.64,3300,0
2017-11-17,19:10:00,59.66,59.66,59.615,59.615,560,0
2017-11-17,19:15:00,59.59,59.59,59.59,59.59,100,0
2017-11-17,19:20:00,59.5642,59.59,59.51,59.51,18262,0
2017-11-17,19:25:00,59.54,59.55,59.53,59.55,1009,0
2017-11-17,19:30:00,59.5,59.5549,59.46,59.5549,8700,0
2017-11-17,19:35:00,59.5452,59.58,59.5452,59.58,900,0
2017-11-17,19:40:00,59.551,59.68,59.551,59.68,6320,0
2017-11-17,19:45:00,59.6105,59.659,59.6105,59.63,1140,0
2017-11-17,19:50:00,59.63,59.65,59.63,59.65,400,0
2017-11-17,19:55:00,59.6748,59.6748,59.6361,59.6361,1867,0
2017-11-17,20:00:00,59.64,59.64,59.58,59.5834,2650,0
2017-11-17,20:05:00,59.6,59.62,59.57,59.62,13122,0
2017-11-17,20:10:00,59.62,59.68,59.62,59.68,500,0
2017-11-17,20:15:00,59.71,59.71,59.669,59.69,3585,0
2017-11-17,20:20:00,59.65,59.68,59.61,59.62,1260,0
2017-11-17,20:30:00,59.6268,59.64,59.6,59.6,450,0
2017-11-17,20:35:00,59.64,59.64,59.63,59.63,200,0
2017-11-17,20:40:00,59.6443,59.6443,59.6,59.6,750,0
2017-11-17,20:45:00,59.5748,59.63,59.5748,59.6,1800,0
2017-11-17,20:50:00,59.58,59.58,59.58,59.58,501,0
2017-11-17,20:55:00,59.62,59.67,59.62,59.6586,835,0
2017-11-17,21:00:00,59.6724,59.6724,59.64,59.67,2700,0
2017-11-17,21:05:00,59.66,59.66,59.55,59.55,1959,0
2017-11-17,21:10:00,59.61,59.6125,59.61,59.6125,500,0
2017-11-17,21:15:00,59.5866,59.64,59.5866,59.64,2208,0
2017-11-17,21:20:00,59.63,59.63,59.53,59.5457,2950,0
2017-11-17,21:25:00,59.53,59.53,59.49,59.49,6867,0
2017-11-17,21:30:00,59.511,59.52,59.44,59.47,7100,0
2017-11-17,21:35:00,59.48,59.54,59.47,59.5201,8358,0
2017-11-17,21:40:00,59.51,59.59,59.5,59.59,3327,0
2017-11-17,21:45:00,59.5901,59.5901,59.46,59.46,3270,0
2017-11-17,21:50:00,59.42,59.47,59.36,59.3946,24250,0
2017-11-17,21:55:00,59.41,59.47,59.41,59.46,11870,0
2017-11-17,22:00:00,59.47,59.5,59.39,59.43,46104,0
2017-11-20,15:35:00,59.8,59.81,59.52,59.6477,17172,0
2017-11-20,15:40:00,59.7,59.79,59.6297,59.68,11588,0
2017-11-20,15:45:00,59.72,59.7558,59.43,59.51,32258,0
2017-11-20,15:50:00,59.445,59.6299,59.445,59.57,5051,0
2017-11-20,15:55:00,59.55,59.57,59.44,59.44,5735,0
2017-11-20,16:00:00,59.525,59.6,59.4647,59.6,6891,0
2017-11-20,16:05:00,59.64,59.64,59.54,59.54,1438,0
2017-11-20,16:10:00,59.51,59.6,59.46,59.58,3679,0
2017-11-20,16:15:00,59.635,59.635,59.55,59.56,2845,0
2017-11-20,16:20:00,59.58,59.698,59.56,59.61,8117,0
2017-11-20,16:25:00,59.65,59.77,59.65,59.74,14045,0
2017-11-20,16:30:00,59.7439,59.79,59.7,59.72,14168,0
2017-11-20,16:35:00,59.72,59.8,59.72,59.73,12665,0
2017-11-20,16:40:00,59.76,59.77,59.69,59.7201,6305,0
2017-11-20,16:45:00,59.73,59.81,59.73,59.781,6929,0
2017-11-20,16:50:00,59.8019,59.8588,59.8019,59.8588,52331,0
2017-11-20,16:55:00,59.87,59.94,59.84,59.87,30119,0
2017-11-20,17:00:00,59.8899,59.89,59.82,59.89,4756,0
2017-11-20,17:05:00,59.87,59.93,59.8,59.9127,8017,0
