Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-07,15:35:00,18.246,18.246,18.216,18.216,5819,0
2017-11-07,15:40:00,18.166,18.166,18.156,18.156,201,0
2017-11-07,15:45:00,18.156,18.186,18.156,18.166,503,0
2017-11-07,15:50:00,18.166,18.286,18.156,18.286,1409,0
2017-11-07,15:55:00,18.266,18.266,18.246,18.265,1409,0
2017-11-07,16:00:00,18.216,18.23,18.186,18.186,2597,0
2017-11-07,16:05:00,18.176,18.176,18.166,18.166,403,0
2017-11-07,16:10:00,18.166,18.166,18.147,18.147,3206,0
2017-11-07,16:15:00,18.147,18.147,18.147,18.147,302,0
2017-11-07,16:20:00,18.148,18.176,18.147,18.166,1409,0
2017-11-07,16:25:00,18.176,18.176,18.166,18.166,800,0
2017-11-07,16:30:00,18.166,18.166,18.166,18.166,201,0
2017-11-07,16:35:00,18.166,18.166,18.137,18.137,403,0
2017-11-07,16:40:00,18.137,18.137,18.118,18.118,553,0
2017-11-07,16:45:00,18.137,18.176,18.137,18.176,1006,0
2017-11-07,16:50:00,18.176,18.176,18.176,18.176,101,0
2017-11-07,18:15:00,18.137,18.137,18.137,18.137,201,0
2017-11-07,18:20:00,18.147,18.196,18.137,18.191,6947,0
2017-11-07,18:25:00,18.166,18.166,18.166,18.166,101,0
2017-11-07,18:30:00,18.156,18.176,18.156,18.176,447,0
2017-11-07,18:35:00,18.166,18.166,18.166,18.166,101,0
2017-11-07,18:40:00,18.176,18.176,18.176,18.176,201,0
2017-11-07,18:45:00,18.176,18.176,18.176,18.176,201,0
2017-11-07,18:50:00,18.186,18.196,18.186,18.186,1117,0
2017-11-07,19:10:00,18.196,18.196,18.196,18.196,1015,0
2017-11-07,19:15:00,18.186,18.186,18.186,18.186,201,0
2017-11-07,19:30:00,18.186,18.192,18.166,18.176,13813,0
2017-11-07,19:40:00,18.191,18.191,18.191,18.191,403,0
2017-11-07,19:50:00,18.176,18.176,18.176,18.176,201,0
2017-11-07,19:55:00,18.16,18.16,18.16,18.16,352,0
2017-11-07,20:30:00,18.186,18.186,18.186,18.186,101,0
2017-11-07,21:05:00,18.166,18.166,18.166,18.166,101,0
2017-11-07,21:20:00,18.176,18.176,18.176,18.176,302,0
2017-11-07,21:30:00,18.186,18.186,18.183,18.183,403,0
2017-11-07,21:35:00,18.177,18.186,18.166,18.166,2146,0
2017-11-07,21:45:00,18.166,18.166,18.166,18.166,1209,0
2017-11-07,21:50:00,18.171,18.171,18.166,18.166,804,0
2017-11-07,21:55:00,18.168,18.168,18.156,18.156,2455,0
2017-11-07,22:00:00,18.156,18.166,18.156,18.156,2839,0
2017-11-08,15:35:00,18.107,18.137,18.107,18.117,2488,0
2017-11-08,15:40:00,18.117,18.186,18.117,18.137,1610,0
2017-11-08,15:45:00,18.137,18.147,18.107,18.117,2580,0
2017-11-08,15:50:00,18.117,18.147,18.117,18.137,1107,0
2017-11-08,15:55:00,18.137,18.147,18.117,18.117,1290,0
2017-11-08,16:00:00,18.117,18.127,18.117,18.117,805,0
2017-11-08,16:05:00,18.117,18.117,18.107,18.109,805,0
2017-11-08,16:10:00,18.109,18.109,18.097,18.097,1308,0
2017-11-08,16:15:00,18.097,18.107,18.097,18.097,604,0
2017-11-08,16:20:00,18.097,18.099,18.087,18.087,1208,0
2017-11-08,16:25:00,18.087,18.087,18.057,18.057,1409,0
2017-11-08,16:30:00,18.067,18.077,18.067,18.067,1686,0
2017-11-08,16:35:00,18.057,18.057,17.93,17.93,5463,0
2017-11-08,16:40:00,17.93,17.938,17.904,17.938,5736,0
2017-11-08,16:50:00,17.95,17.968,17.928,17.93,1704,0
2017-11-08,16:55:00,17.928,17.958,17.918,17.918,604,0
2017-11-08,17:00:00,17.918,17.958,17.918,17.938,805,0
2017-11-08,17:05:00,17.958,17.958,17.958,17.958,101,0
2017-11-08,17:15:00,17.96,17.96,17.96,17.96,325,0
2017-11-08,17:20:00,17.963,18.002,17.963,17.978,1857,0
2017-11-08,17:25:00,17.988,17.988,17.938,17.938,9137,0
2017-11-08,17:40:00,17.948,17.948,17.948,17.948,101,0
2017-11-08,17:55:00,17.938,17.938,17.908,17.908,1711,0
2017-11-08,18:00:00,17.908,17.908,17.898,17.898,603,0
2017-11-08,18:20:00,17.898,17.898,17.888,17.888,1511,0
2017-11-08,18:30:00,17.885,17.908,17.885,17.908,4006,0
2017-11-08,18:50:00,17.908,17.908,17.908,17.908,101,0
2017-11-08,19:00:00,17.908,17.908,17.898,17.898,1107,0
2017-11-08,19:05:00,17.888,17.888,17.888,17.888,101,0
2017-11-08,19:10:00,17.809,17.838,17.759,17.769,4977,0
2017-11-08,19:15:00,17.848,17.888,17.848,17.888,906,0
2017-11-08,19:20:00,17.885,17.885,17.885,17.885,101,0
2017-11-08,19:25:00,17.829,17.868,17.829,17.868,1208,0
2017-11-08,19:35:00,17.898,17.898,17.898,17.898,101,0
2017-11-08,19:40:00,17.845,17.845,17.845,17.845,503,0
2017-11-08,19:45:00,17.871,17.885,17.871,17.885,579,0
2017-11-08,19:55:00,17.877,17.877,17.853,17.875,704,0
2017-11-08,20:00:00,17.875,17.877,17.846,17.848,1459,0
2017-11-08,20:05:00,17.838,17.852,17.809,17.809,2365,0
