Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-07,15:35:00,8.5,8.5,8.45,8.45,8273,0
2017-11-07,15:40:00,8.4965,8.4965,8.4965,8.4965,750,0
2017-11-07,15:45:00,8.48,8.48,8.47,8.47,2100,0
2017-11-07,15:55:00,8.48,8.48,8.48,8.48,3400,0
2017-11-07,16:00:00,8.4801,8.4801,8.48,8.48,507,0
2017-11-07,16:20:00,8.5005,8.5005,8.5005,8.5005,400,0
2017-11-07,16:25:00,8.51,8.51,8.5098,8.5098,1000,0
2017-11-07,16:30:00,8.5,8.5,8.5,8.5,100,0
2017-11-07,16:35:00,8.5091,8.51,8.5091,8.5091,6000,0
2017-11-07,16:40:00,8.51,8.511,8.51,8.5101,7800,0
2017-11-07,16:50:00,8.5224,8.5224,8.5224,8.5224,400,0
2017-11-07,17:00:00,8.5101,8.5193,8.51,8.5193,1570,0
2017-11-07,17:25:00,8.515,8.515,8.515,8.515,2000,0
2017-11-07,17:35:00,8.51,8.51,8.51,8.51,1400,0
2017-11-07,17:40:00,8.515,8.515,8.51,8.51,1200,0
2017-11-07,17:45:00,8.5134,8.5134,8.5134,8.5134,10000,0
2017-11-07,18:00:00,8.515,8.52,8.515,8.52,6400,0
2017-11-07,18:30:00,8.5436,8.5436,8.5436,8.5436,2200,0
2017-11-07,18:35:00,8.5499,8.5499,8.5499,8.5499,157,0
2017-11-07,18:45:00,8.5499,8.5499,8.5499,8.5499,100,0
2017-11-07,18:50:00,8.549,8.549,8.549,8.549,300,0
2017-11-07,18:55:00,8.5202,8.525,8.5202,8.525,1100,0
2017-11-07,19:00:00,8.5147,8.5147,8.5147,8.5147,2800,0
2017-11-07,19:15:00,8.5314,8.5314,8.5314,8.5314,6000,0
2017-11-07,19:55:00,8.5323,8.5323,8.5323,8.5323,587,0
2017-11-07,20:05:00,8.52,8.52,8.52,8.52,200,0
2017-11-07,20:10:00,8.52,8.52,8.52,8.52,100,0
2017-11-07,20:15:00,8.52,8.529,8.52,8.52,1250,0
2017-11-07,20:25:00,8.5226,8.5226,8.5226,8.5226,1750,0
2017-11-07,20:35:00,8.5148,8.524,8.5148,8.524,4200,0
2017-11-07,20:45:00,8.52,8.52,8.52,8.52,400,0
2017-11-07,20:50:00,8.52,8.52,8.52,8.52,100,0
2017-11-07,20:55:00,8.53,8.53,8.53,8.53,17304,0
2017-11-07,21:05:00,8.525,8.525,8.525,8.525,200,0
2017-11-07,21:10:00,8.52,8.52,8.52,8.52,1200,0
2017-11-07,21:15:00,8.52,8.52,8.52,8.52,2400,0
2017-11-07,21:20:00,8.5112,8.52,8.5112,8.52,24070,0
2017-11-07,21:25:00,8.515,8.515,8.515,8.515,23753,0
2017-11-07,21:35:00,8.5,8.5,8.5,8.5,192,0
2017-11-07,21:40:00,8.514,8.52,8.514,8.52,32981,0
2017-11-07,21:50:00,8.519,8.53,8.519,8.53,153536,0
2017-11-07,21:55:00,8.5201,8.5201,8.52,8.52,489,0
2017-11-07,22:00:00,8.51,8.52,8.51,8.52,2345,0
2017-11-08,15:35:00,8.55,8.55,8.49,8.51,7780,0
2017-11-08,15:40:00,8.48,8.48,8.47,8.47,2500,0
2017-11-08,15:50:00,8.4906,8.4906,8.4906,8.4906,2000,0
2017-11-08,16:05:00,8.49,8.49,8.49,8.49,200,0
2017-11-08,16:10:00,8.471,8.4802,8.471,8.4802,1350,0
2017-11-08,16:25:00,8.52,8.52,8.52,8.52,825,0
2017-11-08,16:30:00,8.5098,8.5098,8.5098,8.5098,700,0
2017-11-08,16:40:00,8.5144,8.5144,8.5144,8.5144,1017,0
2017-11-08,16:55:00,8.52,8.52,8.52,8.52,1100,0
2017-11-08,17:00:00,8.511,8.511,8.511,8.511,450,0
2017-11-08,17:10:00,8.514,8.514,8.514,8.514,2950,0
2017-11-08,17:20:00,8.5099,8.5099,8.5099,8.5099,300,0
2017-11-08,17:35:00,8.5016,8.514,8.5016,8.514,2650,0
2017-11-08,17:50:00,8.519,8.519,8.519,8.519,6000,0
2017-11-08,17:55:00,8.5178,8.5178,8.5178,8.5178,5500,0
2017-11-08,18:20:00,8.515,8.515,8.515,8.515,291,0
2017-11-08,18:25:00,8.51,8.519,8.51,8.51,890,0
2017-11-08,18:35:00,8.5001,8.5001,8.5001,8.5001,1000,0
2017-11-08,18:45:00,8.4964,8.5027,8.4964,8.5027,696,0
2017-11-08,18:55:00,8.49,8.49,8.49,8.49,1189,0
2017-11-08,19:00:00,8.4833,8.49,8.4833,8.49,4500,0
2017-11-08,19:10:00,8.49,8.49,8.49,8.49,200,0
2017-11-08,19:25:00,8.489,8.489,8.489,8.489,240,0
2017-11-08,19:45:00,8.47,8.47,8.4615,8.4615,2900,0
2017-11-08,20:00:00,8.4613,8.468,8.45,8.45,4634,0
2017-11-08,20:15:00,8.46,8.46,8.46,8.46,108,0
2017-11-08,20:20:00,8.4799,8.4799,8.4741,8.4741,784,0
2017-11-08,20:30:00,8.48,8.48,8.4656,8.4656,1888,0
2017-11-08,20:35:00,8.47,8.47,8.47,8.47,100,0
2017-11-08,20:40:00,8.48,8.48,8.4694,8.4694,485,0
2017-11-08,20:50:00,8.48,8.48,8.48,8.48,193,0
2017-11-08,21:00:00,8.45,8.45,8.45,8.45,100,0
2017-11-08,21:05:00,8.45,8.45,8.45,8.45,200,0
2017-11-08,21:10:00,8.46,8.469,8.45,8.45,12231,0
2017-11-08,21:15:00,8.45,8.45,8.45,8.45,1500,0
2017-11-08,21:20:00,8.445,8.445,8.445,8.445,240,0
2017-11-08,21:30:00,8.45,8.45,8.4449,8.4449,531,0
2017-11-08,21:35:00,8.441,8.441,8.4305,8.431,58781,0
2017-11-08,21:40:00,8.431,8.431,8.431,8.431,10000,0
2017-11-08,21:45:00,8.44,8.45,8.431,8.45,2295,0
2017-11-08,21:50:00,8.4388,8.4438,8.4388,8.4438,1420,0
2017-11-08,21:55:00,8.449,8.449,8.449,8.449,3000,0
2017-11-08,22:00:00,8.43,8.45,8.43,8.45,1239,0
2017-11-09,15:35:00,8.53,8.55,8.515,8.515,2200,0
2017-11-09,15:40:00,8.528,8.528,8.5204,8.5204,1200,0
2017-11-09,15:45:00,8.5,8.5,8.5,8.5,100,0
2017-11-09,15:50:00,8.5065,8.5065,8.5065,8.5065,100,0
2017-11-09,15:55:00,8.5168,8.5168,8.5,8.5086,2900,0
2017-11-09,16:00:00,8.49,8.49,8.49,8.49,355,0
2017-11-09,16:05:00,8.5,8.5,8.4952,8.4952,1153,0
