Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-14,15:35:00,208.42,208.42,208.42,208.42,1531,0
2017-11-14,15:40:00,208.34,208.47,208.34,208.47,250,0
2017-11-14,15:45:00,208.49,208.49,208.49,208.49,100,0
2017-11-14,15:55:00,208.81,208.81,208.81,208.81,100,0
2017-11-14,16:00:00,208.8767,208.8767,208.73,208.73,215,0
2017-11-14,16:05:00,208.65,208.65,208.6139,208.6139,300,0
2017-11-14,16:10:00,208.4259,208.48,208.4259,208.48,200,0
2017-11-14,16:15:00,208.5609,208.5609,208.5609,208.5609,204,0
2017-11-14,16:20:00,208.55,208.68,208.55,208.68,429,0
2017-11-14,16:40:00,208.38,208.45,208.38,208.45,348,0
2017-11-14,16:45:00,208.69,208.69,208.69,208.69,123,0
2017-11-14,16:50:00,208.69,208.9799,208.69,208.9799,1511,0
2017-11-14,16:55:00,208.8431,208.95,208.8431,208.85,380,0
2017-11-14,17:05:00,208.71,208.71,208.71,208.71,100,0
2017-11-14,17:10:00,208.6983,208.6983,208.66,208.66,253,0
2017-11-14,17:15:00,208.7692,208.7692,208.74,208.74,235,0
2017-11-14,17:20:00,208.71,208.7294,208.71,208.7294,372,0
2017-11-14,17:30:00,208.535,208.535,208.535,208.535,155,0
2017-11-14,17:45:00,208.5,208.5,208.5,208.5,143,0
2017-11-14,17:50:00,208.509,208.509,208.509,208.509,110,0
2017-11-14,18:00:00,208.5699,208.654,208.5699,208.654,354,0
2017-11-14,18:05:00,208.605,208.605,208.57,208.57,275,0
2017-11-14,18:10:00,208.5431,208.5431,208.5431,208.5431,153,0
2017-11-14,18:15:00,208.565,208.565,208.4701,208.4701,413,0
2017-11-14,18:35:00,208.589,208.589,208.589,208.589,519,0
2017-11-14,18:40:00,208.6558,208.6558,208.6558,208.6558,133,0
2017-11-14,18:45:00,208.63,208.63,208.5778,208.5778,294,0
2017-11-14,18:55:00,208.5,208.5,208.5,208.5,100,0
2017-11-14,19:15:00,208.5144,208.5144,208.5144,208.5144,164,0
2017-11-14,19:20:00,208.649,208.649,208.5581,208.5581,551,0
2017-11-14,19:25:00,208.69,208.69,208.69,208.69,100,0
2017-11-14,19:30:00,208.6554,208.6554,208.6554,208.6554,200,0
2017-11-14,19:35:00,208.5564,208.6005,208.47,208.47,626,0
2017-11-14,19:45:00,208.67,208.67,208.67,208.67,100,0
2017-11-14,20:00:00,208.59,208.7099,208.59,208.7099,388,0
2017-11-14,20:05:00,208.6372,208.6946,208.6372,208.6946,462,0
2017-11-14,20:15:00,208.7296,208.7524,208.67,208.7524,413,0
2017-11-14,20:25:00,208.65,208.739,208.65,208.7,539,0
2017-11-14,20:30:00,208.73,208.73,208.6301,208.6301,284,0
2017-11-14,20:50:00,208.7324,208.7324,208.7324,208.7324,236,0
2017-11-14,20:55:00,208.6973,208.7589,208.6973,208.7589,481,0
2017-11-14,21:05:00,208.7279,208.7279,208.7279,208.7279,142,0
2017-11-14,21:15:00,208.7929,208.7929,208.74,208.7888,397,0
2017-11-14,21:40:00,208.76,208.76,208.74,208.74,703,0
2017-11-14,21:45:00,208.662,208.662,208.662,208.662,106,0
2017-11-14,21:50:00,208.7,208.7321,208.641,208.7321,430,0
2017-11-14,21:55:00,208.7697,208.7697,208.7401,208.7401,520,0
2017-11-14,22:00:00,208.77,208.92,208.77,208.92,1462,0
2017-11-15,15:35:00,207.99,207.99,207.67,207.67,1854,0
2017-11-15,15:40:00,206.85,206.85,206.63,206.63,400,0
2017-11-15,15:45:00,206.81,206.81,206.81,206.81,100,0
2017-11-15,15:50:00,206.81,206.816,206.78,206.816,1620,0
2017-11-15,15:55:00,206.77,206.86,206.77,206.86,500,0
2017-11-15,16:00:00,207.33,207.33,207.11,207.11,565,0
2017-11-15,16:10:00,207.24,207.665,207.24,207.59,803,0
2017-11-15,16:15:00,207.61,207.6316,207.61,207.6316,313,0
2017-11-15,16:20:00,207.7103,207.7103,207.67,207.67,200,0
2017-11-15,16:35:00,207.88,207.88,207.7551,207.864,1294,0
2017-11-15,16:40:00,207.83,208.1198,207.83,208.1198,536,0
2017-11-15,16:45:00,208.06,208.06,207.95,207.9503,9750,0
2017-11-15,16:50:00,207.98,208.09,207.84,207.92,20650,0
2017-11-15,16:55:00,207.9,207.92,207.8,207.84,13729,0
2017-11-15,17:00:00,207.84,208.18,207.825,208.18,10500,0
2017-11-15,17:05:00,208.15,208.18,208.07,208.17,10100,0
2017-11-15,17:10:00,208.135,208.16,208.05,208.16,10915,0
2017-11-15,17:15:00,208.17,208.19,208.1,208.12,7800,0
2017-11-15,17:20:00,208.175,208.35,208.14,208.34,6600,0
2017-11-15,17:25:00,208.3,208.4788,208.26,208.34,11450,0
2017-11-15,17:30:00,208.37,208.4,208.25,208.25,6700,0
2017-11-15,17:35:00,208.26,208.27,208.13,208.13,7400,0
2017-11-15,17:40:00,208.13,208.16,208.06,208.06,8305,0
2017-11-15,17:45:00,208.14,208.23,208.13,208.13,300,0
2017-11-15,17:50:00,208.29,208.3416,208.27,208.3416,508,0
2017-11-15,17:55:00,208.3,208.3799,208.3,208.32,577,0
2017-11-15,18:00:00,208.33,208.345,208.3255,208.345,2544,0
2017-11-15,18:10:00,208.1,208.2699,208.1,208.2699,384,0
2017-11-15,18:15:00,208.2799,208.3599,208.24,208.3499,2068,0
2017-11-15,18:20:00,208.35,208.42,208.3497,208.3999,2000,0
2017-11-15,18:25:00,208.4099,208.5097,208.3,208.5097,2400,0
2017-11-15,18:30:00,208.4799,208.4799,208.38,208.4,3035,0
2017-11-15,18:35:00,208.4399,208.46,208.4397,208.46,2100,0
2017-11-15,18:40:00,208.4897,208.55,208.4296,208.5497,2795,0
2017-11-15,18:45:00,208.5299,208.5299,208.45,208.4599,2600,0
