Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,143.72,143.72,143.66,143.715,8319,0
2017-11-17,15:40:00,143.72,143.8,143.72,143.75,13346,0
2017-11-17,15:45:00,143.715,143.76,143.71,143.75,8515,0
2017-11-17,15:50:00,143.72,143.77,143.62,143.7498,9127,0
2017-11-17,15:55:00,143.765,143.82,143.76,143.81,5950,0
2017-11-17,16:00:00,143.79,143.82,143.765,143.81,9996,0
2017-11-17,16:05:00,143.8,143.8,143.725,143.77,6978,0
2017-11-17,16:10:00,143.795,143.87,143.79,143.85,6662,0
2017-11-17,16:15:00,143.83,143.84,143.73,143.73,6078,0
2017-11-17,16:20:00,143.74,143.77,143.67,143.76,8031,0
2017-11-17,16:25:00,143.76,143.81,143.75,143.81,4020,0
2017-11-17,16:30:00,143.787,143.79,143.725,143.745,15347,0
2017-11-17,16:35:00,143.75,143.75,143.65,143.7,22263,0
2017-11-17,16:40:00,143.72,143.7368,143.695,143.7,12755,0
2017-11-17,16:45:00,143.701,143.75,143.689,143.75,7002,0
2017-11-17,16:50:00,143.74,143.75,143.72,143.72,3020,0
2017-11-17,16:55:00,143.73,143.82,143.72,143.795,7635,0
2017-11-17,17:00:00,143.785,143.8,143.76,143.78,11411,0
2017-11-17,17:05:00,143.77,143.8,143.76,143.78,3700,0
2017-11-17,17:10:00,143.77,143.77,143.71,143.72,2500,0
2017-11-17,17:15:00,143.685,143.685,143.59,143.65,7941,0
2017-11-17,17:20:00,143.69,143.72,143.69,143.69,3485,0
2017-11-17,17:25:00,143.69,143.75,143.67,143.74,8715,0
2017-11-17,17:30:00,143.73,143.74,143.72,143.74,2112,0
2017-11-17,17:35:00,143.75,143.76,143.725,143.74,4850,0
2017-11-17,17:40:00,143.7,143.715,143.6773,143.7,3274,0
2017-11-17,17:45:00,143.69,143.82,143.69,143.81,29653,0
2017-11-17,17:50:00,143.81,143.85,143.791,143.8,41302,0
2017-11-17,17:55:00,143.82,143.82,143.765,143.81,9200,0
2017-11-17,18:00:00,143.8,143.82,143.75,143.82,3111,0
2017-11-17,18:05:00,143.815,143.82,143.745,143.75,3993,0
2017-11-17,18:10:00,143.755,143.79,143.745,143.79,5502,0
2017-11-17,18:15:00,143.785,143.83,143.785,143.83,2600,0
2017-11-17,18:20:00,143.83,143.84,143.83,143.84,3240,0
2017-11-17,18:25:00,143.84,143.85,143.82,143.83,2200,0
2017-11-17,18:30:00,143.84,143.88,143.83,143.87,12627,0
2017-11-17,18:35:00,143.865,143.87,143.81,143.84,7200,0
2017-11-17,18:40:00,143.835,143.87,143.825,143.87,8035,0
2017-11-17,18:45:00,143.87,143.88,143.825,143.86,6720,0
2017-11-17,18:50:00,143.865,143.87,143.8,143.825,3938,0
2017-11-17,18:55:00,143.83,143.84,143.795,143.8,7676,0
2017-11-17,19:00:00,143.8,143.86,143.8,143.86,2800,0
2017-11-17,19:05:00,143.855,143.87,143.815,143.86,17600,0
2017-11-17,19:10:00,143.86,143.87,143.795,143.795,5454,0
2017-11-17,19:15:00,143.8,143.82,143.8,143.8113,4543,0
2017-11-17,19:20:00,143.815,143.82,143.78,143.78,6002,0
2017-11-17,19:25:00,143.785,143.8,143.78,143.8,2375,0
2017-11-17,19:30:00,143.785,143.8,143.75,143.8,3658,0
2017-11-17,19:35:00,143.805,143.82,143.7899,143.803,5082,0
2017-11-17,19:40:00,143.805,143.85,143.8,143.85,18563,0
2017-11-17,19:45:00,143.835,143.85,143.825,143.835,3100,0
2017-11-17,19:50:00,143.84,143.84,143.82,143.825,4277,0
2017-11-17,19:55:00,143.825,143.85,143.825,143.85,13480,0
2017-11-17,20:00:00,143.85,143.85,143.8,143.82,10322,0
2017-11-17,20:05:00,143.815,143.83,143.805,143.83,2813,0
2017-11-17,20:10:00,143.81,143.84,143.79,143.835,3003,0
2017-11-17,20:15:00,143.84,143.85,143.815,143.815,5129,0
2017-11-17,20:20:00,143.81,143.82,143.77,143.795,5609,0
2017-11-17,20:25:00,143.79,143.8,143.775,143.78,4540,0
2017-11-17,20:30:00,143.775,143.8,143.75,143.8,5395,0
2017-11-17,20:35:00,143.805,143.81,143.77,143.775,3016,0
2017-11-17,20:40:00,143.78,143.79,143.74,143.74,5811,0
2017-11-17,20:45:00,143.75,143.78,143.72,143.76,6528,0
2017-11-17,20:50:00,143.76,143.78,143.745,143.775,7081,0
2017-11-17,20:55:00,143.765,143.81,143.765,143.79,2800,0
2017-11-17,21:00:00,143.795,143.81,143.785,143.8,10097,0
2017-11-17,21:05:00,143.8,143.8,143.74,143.74,7706,0
2017-11-17,21:10:00,143.745,143.78,143.745,143.77,11989,0
2017-11-17,21:15:00,143.76,143.77,143.75,143.76,3441,0
2017-11-17,21:20:00,143.75,143.75,143.69,143.72,11551,0
2017-11-17,21:25:00,143.71,143.71,143.695,143.7,4623,0
2017-11-17,21:30:00,143.695,143.74,143.69,143.7,12336,0
2017-11-17,21:35:00,143.705,143.73,143.695,143.71,6395,0
2017-11-17,21:40:00,143.695,143.75,143.675,143.75,5098,0
2017-11-17,21:45:00,143.745,143.75,143.65,143.66,8257,0
2017-11-17,21:50:00,143.63,143.67,143.59,143.64,21063,0
2017-11-17,21:55:00,143.64,143.73,143.64,143.7,10962,0
2017-11-17,22:00:00,143.705,143.73,143.63,143.63,43119,0
2017-11-20,15:35:00,143.79,143.8,143.66,143.74,116646,0
2017-11-20,15:40:00,143.75,143.79,143.73,143.78,4256,0
2017-11-20,15:45:00,143.79,143.82,143.7,143.73,33253,0
2017-11-20,15:50:00,143.74,143.78,143.74,143.75,3700,0
2017-11-20,15:55:00,143.74,143.74,143.625,143.63,6700,0
2017-11-20,16:00:00,143.67,143.75,143.67,143.75,4928,0
2017-11-20,16:05:00,143.79,143.8,143.73,143.73,1676,0
2017-11-20,16:10:00,143.75,143.79,143.725,143.75,4880,0
2017-11-20,16:15:00,143.76,143.77,143.68,143.7,4461,0
2017-11-20,16:20:00,143.7,143.745,143.7,143.73,1829,0
2017-11-20,16:25:00,143.77,143.83,143.77,143.815,4750,0
2017-11-20,16:30:00,143.81,143.82,143.75,143.75,21382,0
2017-11-20,16:35:00,143.75,143.785,143.73,143.755,4030,0
2017-11-20,16:40:00,143.77,143.8,143.765,143.785,7072,0
2017-11-20,16:45:00,143.775,143.795,143.75,143.75,1800,0
2017-11-20,16:50:00,143.74,143.79,143.74,143.79,2700,0
2017-11-20,16:55:00,143.785,143.855,143.785,143.84,1709,0
2017-11-20,17:00:00,143.84,143.87,143.83,143.87,2350,0
