Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-02,15:55:00,45.682,45.819,45.682,45.819,200,0
2017-06-02,16:40:00,45.942,46.009,45.942,45.971,777,0
2017-06-02,18:55:00,46.355,46.355,46.29,46.29,200,0
2017-06-02,19:15:00,46.14,46.209,46.13,46.2,402,0
2017-06-02,20:25:00,46.041,46.079,46.041,46.079,511,0
2017-06-02,21:55:00,45.932,45.932,45.932,45.932,100,0
2017-06-05,15:35:00,45.792,45.792,45.792,45.792,100,0
2017-06-05,16:10:00,46.041,46.041,46.041,46.041,100,0
2017-06-05,16:40:00,45.924,45.924,45.924,45.924,148,0
2017-06-05,16:50:00,45.951,45.951,45.951,45.951,100,0
2017-06-05,18:10:00,45.72,45.72,45.72,45.72,105,0
2017-06-05,18:55:00,45.792,45.792,45.792,45.792,100,0
2017-06-05,20:35:00,45.932,45.932,45.932,45.932,100,0
2017-06-05,21:50:00,45.605,45.605,45.572,45.572,1851,0
2017-06-06,15:35:00,45.274,45.274,45.274,45.274,250,0
2017-06-06,15:45:00,45.384,45.384,45.384,45.384,100,0
2017-06-06,16:10:00,45.336,45.336,45.336,45.336,100,0
2017-06-06,16:15:00,45.366,45.366,45.238,45.238,409,0
2017-06-06,18:05:00,45.242,45.242,45.242,45.242,130,0
2017-06-06,19:20:00,45.294,45.294,45.294,45.294,100,0
2017-06-06,19:55:00,45.39,45.39,45.39,45.39,101,0
2017-06-06,20:20:00,45.414,45.414,45.414,45.414,100,0
2017-06-06,20:40:00,45.622,45.622,45.622,45.622,3225,0
2017-06-06,21:10:00,45.712,45.712,45.712,45.712,100,0
2017-06-06,21:25:00,45.753,45.753,45.753,45.753,100,0
2017-06-06,21:40:00,45.672,45.672,45.672,45.672,100,0
2017-06-07,15:35:00,45.602,45.602,45.602,45.602,100,0
2017-06-07,16:00:00,45.745,45.811,45.745,45.811,250,0
2017-06-07,17:00:00,45.627,45.698,45.627,45.698,940,0
2017-06-07,17:15:00,45.735,45.735,45.692,45.692,1152,0
2017-06-07,17:25:00,45.79,45.79,45.722,45.722,300,0
