Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-01-21,16:10:00,49.15,49.15,49.15,49.15,200,0
2016-01-21,16:30:00,49.03,49.03,49.03,49.03,100,0
2016-01-21,17:15:00,48.44,48.44,48.44,48.44,100,0
2016-01-21,18:15:00,47.9704,47.9704,47.9704,47.9704,130,0
2016-01-21,18:35:00,48.0238,48.0238,48.0238,48.0238,105,0
2016-01-21,20:00:00,48.48,48.48,48.48,48.48,100,0
2016-01-21,20:30:00,48.919,48.919,48.919,48.919,200,0
2016-01-21,21:20:00,48.7515,48.7515,48.7515,48.7515,407,0
2016-01-22,15:45:00,47.5239,47.5239,47.5239,47.5239,100,0
2016-01-22,15:50:00,47.36,47.36,47.36,47.36,300,0
2016-01-22,16:40:00,47.57,47.6,47.57,47.6,399,0
2016-01-22,18:10:00,48.33,48.3301,48.33,48.33,800,0
2016-01-22,18:40:00,48.3327,48.3327,48.3327,48.3327,300,0
2016-01-22,21:45:00,47.49,47.49,47.43,47.43,340,0
2016-01-25,16:10:00,47.83,47.83,47.83,47.83,200,0
2016-01-25,19:10:00,48.54,48.54,48.54,48.54,100,0
2016-01-25,20:30:00,49.0199,49.0199,49.0199,49.0199,245,0
2016-01-25,21:00:00,49.02,49.02,49.02,49.02,100,0
2016-01-25,21:25:00,49.0996,49.0996,49.0996,49.0996,500,0
2016-01-25,21:30:00,48.9946,48.9946,48.9946,48.9946,100,0
2016-01-25,21:35:00,48.77,48.77,48.77,48.77,200,0
2016-01-25,21:45:00,49.55,49.55,49.55,49.55,100,0
2016-01-25,21:55:00,49.4899,49.4899,48.9911,48.9911,600,0
2016-01-26,15:35:00,50.19,50.19,50.19,50.19,500,0
2016-01-26,15:45:00,48.8,48.8,48.8,48.8,100,0
2016-01-26,16:30:00,47.98,47.99,47.96,47.99,300,0
2016-01-26,16:40:00,47.98,47.98,47.92,47.92,200,0
2016-01-26,17:05:00,47.89,47.89,47.89,47.89,100,0
2016-01-26,17:10:00,47.74,47.74,47.74,47.74,100,0
2016-01-26,17:30:00,48.07,48.07,47.99,47.99,300,0
2016-01-26,18:35:00,47.1474,47.1474,47.1474,47.1474,500,0
2016-01-26,18:50:00,47.78,47.79,47.733,47.733,988,0
2016-01-26,19:45:00,47.251,47.251,47.081,47.081,374,0
2016-01-26,21:10:00,47.98,47.98,47.98,47.98,110,0
2016-01-26,21:50:00,46.9462,46.9462,46.9462,46.9462,208,0
2016-01-27,15:35:00,49.12,49.12,48.12,48.12,854,0
2016-01-27,15:40:00,48.19,48.19,48.19,48.19,100,0
2016-01-27,15:50:00,48.02,48.02,47.94,47.94,200,0
2016-01-27,16:00:00,48.17,48.179,48.17,48.179,200,0
2016-01-27,16:05:00,48.44,48.44,48.44,48.44,100,0
2016-01-27,16:10:00,48.45,48.45,48.45,48.45,100,0
2016-01-27,16:20:00,48.42,48.42,48.42,48.42,100,0
2016-01-27,16:25:00,48.35,48.35,48.35,48.35,100,0
2016-01-27,16:35:00,48.38,48.38,47.77,47.7715,610,0
2016-01-27,16:40:00,48.3,48.3,48.3,48.3,100,0
2016-01-27,16:45:00,48.16,48.16,48.16,48.16,100,0
2016-01-27,16:50:00,48.2,48.2,48.2,48.2,100,0
2016-01-27,17:00:00,48.29,48.29,48.29,48.29,100,0
2016-01-27,17:05:00,48.38,48.38,48.21,48.21,200,0
2016-01-27,17:15:00,48.23,48.23,48.23,48.23,100,0
2016-01-27,17:25:00,48.06,48.06,47.98,47.98,200,0
2016-01-27,17:35:00,47.92,47.92,47.92,47.92,100,0
2016-01-27,18:10:00,47.29,47.29,47.29,47.29,100,0
2016-01-27,18:15:00,47.35,47.35,47.35,47.35,100,0
2016-01-27,18:25:00,47.25,47.25,47.25,47.25,100,0
2016-01-27,18:35:00,47.29,47.29,47.29,47.29,100,0
2016-01-27,18:45:00,47.39,47.39,47.39,47.39,100,0
2016-01-27,19:00:00,47.49,47.49,47.47,47.47,500,0
2016-01-27,19:10:00,47.54,47.54,47.54,47.54,100,0
2016-01-27,19:20:00,47.68,47.68,47.68,47.68,100,0
2016-01-27,19:30:00,47.62,47.62,47.62,47.62,100,0
2016-01-27,19:45:00,47.59,47.59,47.59,47.59,100,0
2016-01-27,19:55:00,47.58,47.58,47.58,47.58,100,0
2016-01-27,20:05:00,47.28,47.28,47.28,47.28,100,0
2016-01-27,20:10:00,46.72,46.88,46.7,46.72,500,0
2016-01-27,20:15:00,48.04,48.04,48.04,48.04,100,0
2016-01-27,20:20:00,47.82,47.82,47.82,47.82,100,0
2016-01-27,20:30:00,47.78,47.78,47.78,47.78,100,0
2016-01-27,20:35:00,47.475,47.475,47.475,47.475,100,0
2016-01-27,20:40:00,47.93,47.93,47.93,47.93,100,0
2016-01-27,20:50:00,48.06,48.06,48.06,48.06,100,0
2016-01-27,21:00:00,48.34,48.34,48.34,48.34,100,0
2016-01-27,21:15:00,48.5,48.5,48.5,48.5,100,0
2016-01-27,21:20:00,48.5,49.06,48.5,49.05,1200,0
2016-01-27,21:30:00,48.84,48.84,48.84,48.84,100,0
2016-01-27,21:35:00,48.78,48.78,48.78,48.78,100,0
2016-01-27,21:40:00,48.75,48.75,48.75,48.75,100,0
2016-01-27,21:45:00,48.78,48.78,48.78,48.78,100,0
2016-01-27,21:50:00,48.78,48.78,48.78,48.78,100,0
2016-01-27,21:55:00,48.79,48.79,48.6687,48.77,710,0
2016-01-27,22:00:00,48.77,48.77,48.639,48.67,505,0
2016-01-28,15:35:00,46.32,47.2,46.32,47.19,1509,0
2016-01-28,15:55:00,47.054,47.054,47.054,47.054,100,0
2016-01-28,16:25:00,47.81,47.81,47.81,47.81,100,0
2016-01-28,17:05:00,47.6501,47.6501,47.6501,47.6501,201,0
2016-01-28,17:40:00,47.935,47.9351,47.9315,47.9351,350,0
2016-01-28,18:05:00,48.17,48.21,48.16,48.16,600,0
2016-01-28,19:50:00,47.5501,47.5501,47.5501,47.5501,340,0
2016-01-29,15:50:00,46.84,46.84,46.84,46.84,1600,0
2016-01-29,19:00:00,45.9999,45.9999,45.9999,45.9999,500,0
2016-01-29,20:50:00,45.695,45.695,45.695,45.695,100,0
2016-01-29,21:55:00,45.35,45.35,45.35,45.35,100,0
2016-01-29,22:00:00,45.252,45.252,45,45,330,0
2016-02-01,15:35:00,44.94,46.07,44.94,46.07,694,0
2016-02-01,15:40:00,46.01,46.01,46.01,46.01,100,0
2016-02-01,16:35:00,45.59,45.59,45.59,45.59,100,0
2016-02-01,20:30:00,45.4,45.4,45.4,45.4,100,0
2016-02-01,21:00:00,45.37,45.37,45.37,45.37,100,0
2016-02-02,15:35:00,46.84,46.84,46.34,46.34,1119,0
2016-02-02,16:45:00,46.71,46.71,46.71,46.71,100,0
2016-02-02,17:30:00,46.73,46.73,46.73,46.73,100,0
2016-02-02,18:15:00,47.1,47.1,47.1,47.1,100,0
2016-02-02,19:15:00,47.1,47.1,47.1,47.1,100,0
2016-02-02,20:10:00,47.2,47.2,47.2,47.2,100,0
2016-02-02,20:20:00,47.13,47.13,47.13,47.13,100,0
2016-02-02,20:55:00,46.86,46.86,46.86,46.86,100,0
2016-02-02,21:35:00,47.19,47.19,47.19,47.19,100,0
2016-02-02,21:40:00,47.06,47.06,46.92,46.92,400,0
2016-02-02,21:55:00,47.09,47.09,47.0889,47.0889,200,0
2016-02-02,22:00:00,46.779,47.1,46.779,47.1,436,0
2016-02-03,18:20:00,46.76,46.7601,46.76,46.76,718,0
2016-02-03,21:50:00,46.02,46.02,46.02,46.02,100,0
2016-02-03,21:55:00,45.98,45.98,45.78,45.78,207,0
2016-02-03,22:00:00,45.938,45.938,45.938,45.938,100,0
2016-02-04,21:05:00,44.53,44.53,44.53,44.53,251,0
2016-02-04,21:45:00,44.3,44.3459,44.3,44.3459,200,0
2016-02-05,15:40:00,44.98,45,44.98,45,300,0
2016-02-05,16:45:00,45.183,45.183,45.183,45.183,100,0
2016-02-05,18:20:00,45.66,45.66,45.66,45.66,100,0
2016-02-05,18:40:00,45.47,45.47,45.47,45.47,100,0
2016-02-05,20:55:00,45.726,45.726,45.726,45.726,100,0
2016-02-05,21:55:00,46.04,46.04,46.04,46.04,100,0
2016-02-08,15:35:00,46.6999,46.6999,46.6999,46.6999,100,0
2016-02-08,15:40:00,46.7,46.7,46.7,46.7,200,0
2016-02-08,15:50:00,46.66,46.7401,46.66,46.7401,200,0
2016-02-08,18:25:00,47.4382,47.4382,47.4382,47.4382,100,0
2016-02-08,19:25:00,47.66,47.67,47.6599,47.67,600,0
2016-02-08,21:50:00,46.95,46.95,46.95,46.95,168,0
2016-02-09,15:35:00,48.08,48.08,48.002,48.002,600,0
2016-02-09,16:50:00,46.8801,46.9598,46.8801,46.9598,1024,0
2016-02-09,18:10:00,47.0185,47.0185,47.0185,47.0185,100,0
2016-02-10,15:35:00,45.68,45.69,45.68,45.69,400,0
2016-02-10,15:50:00,46.13,46.463,46.13,46.463,600,0
2016-02-10,17:35:00,46.309,46.309,46.309,46.309,500,0
2016-02-10,19:00:00,46.02,46.02,46.02,46.02,100,0
2016-02-10,20:00:00,46.13,46.13,46.13,46.13,100,0
