Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-22,15:45:00,27.75,27.86,27.58,27.84,6900,0
2016-02-22,15:50:00,27.84,27.9,27.77,27.84,21450,0
2016-02-22,15:55:00,27.8,27.99,27.8,27.81,8300,0
2016-02-22,16:00:00,27.81,27.85,27.79,27.795,7000,0
2016-02-22,16:05:00,27.87,28.93,27.62,27.91,25200,0
2016-02-22,16:35:00,27.89,27.89,27.85,27.86,2200,0
2016-02-22,16:40:00,27.91,27.92,27.86,27.86,2400,0
2016-02-22,17:00:00,27.79,27.84,27.66,27.79,5900,0
2016-02-22,17:05:00,27.8,27.8,27.75,27.8,300,0
2016-02-22,17:15:00,27.8,27.82,27.8,27.82,400,0
2016-02-22,17:20:00,27.81,27.81,27.8,27.8,600,0
2016-02-22,17:25:00,27.81,27.86,27.79,27.85,1500,0
2016-02-22,17:30:00,27.79,27.86,27.79,27.86,700,0
2016-02-22,17:35:00,27.84,27.84,27.84,27.84,200,0
2016-02-22,17:40:00,27.85,27.85,27.85,27.85,400,0
2016-02-22,17:45:00,27.84,27.84,27.8,27.8,300,0
2016-02-22,17:50:00,27.8,27.8,27.8,27.8,200,0
2016-02-22,18:00:00,27.84,27.85,27.84,27.85,600,0
2016-02-22,18:10:00,27.84,27.9,27.795,27.83,3100,0
2016-02-22,18:15:00,27.83,27.85,27.81,27.82,3100,0
2016-02-22,18:20:00,27.81,27.83,27.81,27.81,600,0
2016-02-22,18:25:00,27.83,27.84,27.83,27.84,600,0
2016-02-22,18:30:00,27.84,27.84,27.84,27.84,600,0
2016-02-22,18:35:00,27.86,27.87,27.86,27.87,800,0
2016-02-22,18:40:00,27.88,27.91,27.88,27.89,1000,0
2016-02-22,18:45:00,27.9,27.9,27.88,27.88,400,0
2016-02-22,18:50:00,27.86,27.86,27.82,27.82,400,0
2016-02-22,18:55:00,27.83,27.83,27.83,27.83,400,0
2016-02-22,19:00:00,27.83,27.83,27.82,27.82,400,0
2016-02-22,19:05:00,27.82,27.83,27.82,27.83,800,0
2016-02-22,19:10:00,27.83,27.83,27.82,27.82,600,0
2016-02-22,19:20:00,27.82,27.84,27.82,27.84,400,0
2016-02-22,19:25:00,27.83,27.83,27.83,27.83,200,0
2016-02-22,19:30:00,27.84,27.85,27.84,27.85,500,0
2016-02-22,19:35:00,27.86,27.87,27.85,27.87,600,0
2016-02-22,19:40:00,27.87,27.93,27.87,27.93,800,0
2016-02-22,19:45:00,27.96,27.96,27.96,27.96,1700,0
2016-02-22,19:50:00,27.92,27.96,27.83,27.96,3200,0
2016-02-22,19:55:00,27.92,28.23,27.825,27.95,5600,0
2016-02-22,20:00:00,27.96,27.96,27.94,27.96,1600,0
2016-02-22,20:05:00,27.9,27.94,27.89,27.94,4000,0
2016-02-22,20:10:00,27.92,27.92,27.87,27.89,500,0
2016-02-22,20:15:00,27.89,27.94,27.89,27.89,1000,0
2016-02-22,20:20:00,27.86,27.86,27.86,27.86,400,0
2016-02-22,20:25:00,27.85,27.86,27.85,27.86,800,0
2016-02-22,20:30:00,27.85,27.85,27.85,27.85,200,0
2016-02-22,20:40:00,27.82,27.84,27.82,27.84,400,0
2016-02-22,20:45:00,27.83,27.83,27.81,27.81,600,0
