Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-10-04,16:30:00,7.08,7.08,7.08,7.08,700,0
2016-10-05,16:15:00,7.11,7.11,7.11,7.11,2000,0
2016-10-05,16:30:00,7.08,7.08,7.08,7.08,2500,0
2016-10-05,22:00:00,7.13,7.13,7.12,7.12,400,0
2016-10-07,16:05:00,7.245,7.245,7.245,7.245,100,0
2016-10-10,15:35:00,7.06,7.25,6.69,7.25,98600,0
2016-10-10,15:45:00,7.36,7.36,7.29,7.29,600,0
2016-10-10,16:50:00,7.43,7.43,7.43,7.43,100,0
2016-10-13,16:05:00,7.15,7.15,7.14,7.1463,1099,0
2016-10-13,17:25:00,7.15,7.15,7.15,7.15,100,0
2016-10-13,17:30:00,7.15,7.15,7.15,7.15,100,0
2016-10-13,22:00:00,7.2584,7.2584,7.2,7.2,200,0
2016-10-14,15:35:00,7.15,7.18,7.15,7.18,952,0
2016-10-14,15:40:00,7.16,7.16,7.16,7.16,100,0
2016-10-14,15:45:00,7.16,7.16,7.16,7.16,100,0
2016-10-14,21:05:00,7.2,7.2,7.2,7.2,431,0
2016-10-18,22:00:00,7.2,7.2,7.2,7.2,100,0
2016-10-19,16:50:00,7.35,7.35,7.35,7.35,100,0
2016-10-19,22:00:00,7.28,7.28,7.28,7.28,100,0
2016-10-20,22:00:00,7.16,7.16,7.16,7.16,100,0
2016-10-24,18:20:00,7.2,7.2,7.2,7.2,200,0
2016-10-25,22:00:00,7.09,7.09,7.09,7.09,100,0
2016-10-26,22:00:00,7,7,7,7,100,0
2016-10-27,22:00:00,7.06,7.06,7.06,7.06,100,0
2016-11-02,16:10:00,6.54,6.54,6.54,6.54,300,0
2016-11-03,14:50:00,6.5,6.5,6.5,6.5,100,0
2016-11-04,15:25:00,6.32,6.33,6.32,6.33,200,0
2016-11-04,15:35:00,6.34,6.39,6.34,6.39,7500,0
2016-11-04,16:00:00,6.38,6.38,6.37,6.38,300,0
2016-11-04,16:05:00,6.43,6.43,6.43,6.43,100,0
2016-11-11,18:50:00,6.36,6.36,6.3347,6.3347,600,0
2016-11-16,19:00:00,6.54,6.54,6.46,6.46,300,0
2016-11-18,15:35:00,6.25,6.25,6.25,6.25,145,0
2016-11-18,17:40:00,6.55,6.55,6.55,6.55,100,0
2016-11-21,16:55:00,6.869,6.869,6.869,6.869,2000,0
2016-11-25,18:00:00,6.7,6.7,6.7,6.7,100,0
