Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-15,15:35:00,71.4,71.41,71.1001,71.11,2635,0
2017-11-15,15:40:00,71.1,71.1,70.81,70.81,1261,0
2017-11-15,15:45:00,70.84,70.8515,70.82,70.8515,865,0
2017-11-15,15:50:00,70.69,70.89,70.69,70.89,1800,0
2017-11-15,15:55:00,70.86,70.86,70.8549,70.8549,300,0
2017-11-15,16:00:00,70.83,70.9,70.83,70.841,495,0
2017-11-15,16:05:00,70.93,71,70.93,71,1502,0
2017-11-15,16:10:00,71.03,71.06,71.03,71.04,1238,0
2017-11-15,16:15:00,71.09,71.1,71.09,71.09,2901,0
2017-11-15,16:20:00,71.1,71.1,71.08,71.08,790,0
2017-11-15,16:25:00,71.12,71.12,71.09,71.09,1050,0
2017-11-15,16:40:00,71.2,71.25,71.199,71.23,2904,0
2017-11-15,16:45:00,71.271,71.271,71.22,71.22,1300,0
2017-11-15,16:50:00,71.12,71.14,71.1,71.14,780,0
2017-11-15,16:55:00,71.16,71.16,71.16,71.16,100,0
2017-11-15,17:00:00,71.25,71.3435,71.25,71.3435,1552,0
2017-11-15,17:05:00,71.409,71.409,71.409,71.409,200,0
2017-11-15,17:10:00,71.389,71.389,71.389,71.389,200,0
2017-11-15,17:15:00,71.39,71.39,71.39,71.39,100,0
2017-11-15,17:20:00,71.385,71.3965,71.36,71.36,901,0
2017-11-15,17:25:00,71.45,71.45,71.45,71.45,300,0
2017-11-15,17:30:00,71.5206,71.5206,71.5206,71.5206,232,0
2017-11-15,18:00:00,71.389,71.389,71.389,71.389,211,0
2017-11-15,18:05:00,71.34,71.34,71.34,71.34,100,0
2017-11-15,18:10:00,71.19,71.21,71.19,71.21,1034,0
2017-11-15,18:20:00,71.26,71.26,71.26,71.26,200,0
2017-11-15,18:25:00,71.22,71.22,71.22,71.22,360,0
2017-11-15,18:50:00,71.23,71.23,71.21,71.21,680,0
2017-11-15,19:00:00,71.28,71.28,71.28,71.28,575,0
2017-11-15,19:15:00,71.195,71.195,71.15,71.15,209,0
2017-11-15,19:20:00,71.18,71.18,71.18,71.18,120,0
2017-11-15,19:25:00,71.15,71.16,71.15,71.16,500,0
2017-11-15,19:45:00,71.19,71.33,71.19,71.32,41813,0
2017-11-15,19:50:00,71.32,71.4,71.31,71.4,9800,0
2017-11-15,19:55:00,71.41,71.41,71.33,71.36,33560,0
2017-11-15,20:00:00,71.37,71.44,71.349,71.43,51920,0
2017-11-15,20:05:00,71.43,71.47,71.43,71.46,35600,0
2017-11-15,20:10:00,71.48,71.48,71.48,71.48,3500,0
2017-11-15,20:15:00,71.43,71.43,71.43,71.43,1000,0
2017-11-15,20:20:00,71.44,71.46,71.44,71.46,22241,0
2017-11-15,20:25:00,71.41,71.41,71.4,71.4,1144,0
