Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,146.39,146.54,146.05,146.365,104313,0
2017-11-17,15:40:00,146.1825,146.24,146.11,146.19,6348,0
2017-11-17,15:45:00,146.21,146.52,146.1,146.52,5270,0
2017-11-17,15:50:00,146.44,146.63,146.35,146.62,9231,0
2017-11-17,15:55:00,146.64,146.79,146.53,146.56,19738,0
2017-11-17,16:00:00,146.57,146.68,146.35,146.485,16841,0
2017-11-17,16:05:00,146.5,146.5,145.89,146.12,13380,0
2017-11-17,16:10:00,146.14,146.23,145.84,145.84,17253,0
2017-11-17,16:15:00,145.845,145.94,145.64,145.685,25210,0
2017-11-17,16:20:00,145.66,145.83,145.63,145.63,50528,0
2017-11-17,16:25:00,145.65,145.71,145.4,145.56,16925,0
2017-11-17,16:30:00,145.56,145.68,145.47,145.68,13665,0
2017-11-17,16:35:00,145.68,145.83,145.62,145.83,10257,0
2017-11-17,16:40:00,145.83,145.83,145.58,145.58,13753,0
2017-11-17,16:45:00,145.565,145.63,145.54,145.615,14258,0
2017-11-17,16:50:00,145.64,145.64,145.31,145.41,198625,0
2017-11-17,16:55:00,145.37,145.505,145.34,145.41,10066,0
2017-11-17,17:00:00,145.39,145.45,145.34,145.411,12351,0
2017-11-17,17:05:00,145.41,145.42,145.09,145.12,15416,0
2017-11-17,17:10:00,145.11,145.15,145,145.075,22701,0
2017-11-17,17:15:00,145.07,145.07,144.92,144.95,10549,0
2017-11-17,17:20:00,144.95,144.99,144.82,144.82,12438,0
2017-11-17,17:25:00,144.83,144.97,144.75,144.97,17601,0
2017-11-17,17:30:00,144.97,145,144.95,144.98,23808,0
2017-11-17,17:35:00,144.98,145.01,144.84,144.84,11215,0
2017-11-17,17:40:00,144.8499,145.23,144.83,145.23,29964,0
2017-11-17,17:45:00,145.24,145.35,145.24,145.29,11531,0
2017-11-17,17:50:00,145.28,145.29,145.15,145.15,5622,0
2017-11-17,17:55:00,145.165,145.165,145.06,145.15,7136,0
