Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-16,15:35:00,5.12,5.12,5.12,5.12,1346,0
2017-11-16,15:45:00,5.2,5.21,5.19,5.19,1100,0
2017-11-16,15:50:00,5.205,5.21,5.2,5.21,400,0
2017-11-16,15:55:00,5.21,5.21,5.21,5.21,200,0
2017-11-16,16:00:00,5.235,5.235,5.235,5.235,100,0
2017-11-16,16:05:00,5.24,5.24,5.24,5.24,100,0
2017-11-16,16:10:00,5.24,5.24,5.24,5.24,100,0
2017-11-16,16:15:00,5.23,5.23,5.23,5.23,100,0
2017-11-16,16:20:00,5.23,5.245,5.23,5.23,400,0
2017-11-16,16:25:00,5.249,5.25,5.23,5.23,2000,0
2017-11-16,16:30:00,5.23,5.24,5.22,5.24,1400,0
2017-11-16,16:35:00,5.22,5.22,5.22,5.22,100,0
2017-11-16,16:40:00,5.235,5.235,5.235,5.235,100,0
2017-11-16,16:45:00,5.24,5.26,5.235,5.235,408,0
2017-11-16,16:50:00,5.26,5.26,5.26,5.26,300,0
2017-11-16,16:55:00,5.25,5.26,5.25,5.26,200,0
2017-11-16,17:00:00,5.26,5.26,5.24,5.24,400,0
2017-11-16,17:10:00,5.26,5.27,5.255,5.27,4982,0
2017-11-16,17:15:00,5.29,5.34,5.26,5.34,900,0
2017-11-16,17:20:00,5.34,5.34,5.34,5.34,300,0
2017-11-16,17:25:00,5.34,5.42,5.31,5.42,1265,0
2017-11-16,17:40:00,5.365,5.42,5.35,5.35,2030,0
2017-11-16,17:45:00,5.35,5.4,5.33,5.4,1700,0
2017-11-16,17:50:00,5.3703,5.4,5.35,5.4,1000,0
2017-11-16,17:55:00,5.3704,5.4,5.36,5.4,954,0
2017-11-16,18:00:00,5.38,5.4,5.37,5.4,650,0
2017-11-16,18:05:00,5.37,5.4,5.35,5.35,3200,0
2017-11-16,18:10:00,5.39,5.45,5.35,5.45,2000,0
2017-11-16,18:15:00,5.4018,5.45,5.39,5.4,3325,0
2017-11-16,18:20:00,5.39,5.405,5.37,5.4,3000,0
2017-11-16,18:25:00,5.42,5.42,5.3701,5.42,600,0
2017-11-16,18:30:00,5.37,5.43,5.37,5.43,800,0
2017-11-16,18:35:00,5.45,5.45,5.37,5.37,2175,0
2017-11-16,18:40:00,5.38,5.38,5.37,5.38,740,0
2017-11-16,18:45:00,5.39,5.4,5.37,5.4,600,0
2017-11-16,18:50:00,5.39,5.39,5.39,5.39,100,0
2017-11-16,18:55:00,5.3952,5.41,5.37,5.41,4250,0
2017-11-16,19:00:00,5.39,5.39,5.39,5.39,100,0
2017-11-16,19:05:00,5.41,5.41,5.41,5.41,100,0
2017-11-16,19:10:00,5.395,5.395,5.395,5.395,100,0
2017-11-16,19:15:00,5.41,5.41,5.41,5.41,100,0
2017-11-16,19:20:00,5.4,5.4,5.4,5.4,200,0
2017-11-16,19:25:00,5.41,5.45,5.41,5.45,200,0
2017-11-16,19:35:00,5.436,5.436,5.42,5.42,800,0
2017-11-16,19:40:00,5.42,5.42,5.42,5.42,400,0
2017-11-16,19:45:00,5.39,5.39,5.38,5.38,600,0
2017-11-16,19:50:00,5.35,5.369,5.32,5.32,1800,0
2017-11-16,19:55:00,5.33,5.42,5.32,5.42,2752,0
2017-11-16,20:00:00,5.39,5.45,5.39,5.45,200,0
2017-11-16,20:05:00,5.39,5.4,5.38,5.38,400,0
2017-11-16,20:10:00,5.37,5.37,5.36,5.37,400,0
2017-11-16,20:20:00,5.37,5.37,5.37,5.37,200,0
2017-11-16,20:25:00,5.38,5.39,5.38,5.385,500,0
2017-11-16,20:30:00,5.3801,5.3801,5.3801,5.3801,346,0
2017-11-16,20:35:00,5.41,5.41,5.38,5.38,400,0
2017-11-16,20:40:00,5.4,5.41,5.38,5.41,600,0
2017-11-16,20:50:00,5.4,5.42,5.38,5.42,1200,0
2017-11-16,21:00:00,5.41,5.41,5.41,5.41,100,0
2017-11-16,21:05:00,5.4,5.41,5.4,5.4025,400,0
2017-11-16,21:10:00,5.41,5.41,5.41,5.41,268,0
2017-11-16,21:15:00,5.4,5.4,5.4,5.4,100,0
2017-11-16,21:20:00,5.405,5.43,5.405,5.415,3425,0
2017-11-16,21:25:00,5.43,5.46,5.43,5.44,2187,0
2017-11-16,21:30:00,5.44,5.46,5.43,5.46,10619,0
2017-11-16,21:35:00,5.45,5.46,5.45,5.45,2700,0
2017-11-16,21:40:00,5.45,5.45,5.44,5.44,600,0
2017-11-16,21:45:00,5.45,5.45,5.45,5.45,700,0
2017-11-16,21:50:00,5.4551,5.46,5.44,5.45,6863,0
2017-11-16,21:55:00,5.455,5.455,5.44,5.45,2640,0
2017-11-16,22:00:00,5.45,5.455,5.42,5.44,11916,0
2017-11-17,15:35:00,5.4,5.4,5.32,5.32,2695,0
2017-11-17,15:40:00,5.31,5.353,5.31,5.35,900,0
