Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,9.04,9.0881,8.98,9.08,16079,0
2017-11-17,15:40:00,9.075,9.11,9.075,9.11,117585,0
2017-11-17,15:45:00,9.11,9.11,9.04,9.05,18412,0
2017-11-17,15:50:00,9.05,9.12,9.05,9.095,13809,0
2017-11-17,15:55:00,9.1,9.15,9.1,9.13,12102,0
2017-11-17,16:00:00,9.145,9.165,9.135,9.15,11083,0
2017-11-17,16:05:00,9.145,9.15,9.07,9.09,17152,0
2017-11-17,16:10:00,9.095,9.105,9.06,9.07,12952,0
2017-11-17,16:15:00,9.075,9.075,9.075,9.075,100,0
2017-11-17,16:20:00,9.07,9.0762,9.04,9.0762,15517,0
2017-11-17,16:25:00,9.07,9.075,9.07,9.075,300,0
2017-11-17,16:30:00,9.075,9.075,9.07,9.075,400,0
2017-11-17,16:35:00,9.07,9.075,8.97,8.99,17000,0
2017-11-17,16:40:00,8.99,8.995,8.99,8.995,300,0
2017-11-17,16:45:00,8.99,9.01,8.99,9.01,8568,0
2017-11-17,16:50:00,9.01,9.015,9.01,9.015,1100,0
2017-11-17,16:55:00,9.015,9.015,9.01,9.01,6685,0
2017-11-17,17:00:00,9.01,9.03,9.01,9.025,12700,0
2017-11-17,17:05:00,9.025,9.025,9,9,9508,0
2017-11-17,17:10:00,9,9.005,8.97,8.97,4700,0
2017-11-17,17:15:00,8.97,8.97,8.95,8.95,6080,0
2017-11-17,17:20:00,8.96,8.97,8.96,8.97,2000,0
2017-11-17,17:25:00,8.97,9.005,8.97,9,6500,0
2017-11-17,17:30:00,9.005,9.01,9,9.01,47910,0
2017-11-17,17:35:00,9.005,9.005,9,9.005,1100,0
2017-11-17,17:40:00,9.005,9.005,9,9.005,700,0
2017-11-17,17:45:00,9,9.02,9,9.01,9000,0
2017-11-17,17:50:00,9.02,9.02,8.97,8.98,18285,0
2017-11-17,17:55:00,8.98,8.99,8.98,8.98,1380,0
2017-11-17,18:00:00,8.98,8.98,8.98,8.98,100,0
2017-11-17,18:05:00,8.98,8.98,8.97,8.97,7940,0
2017-11-17,18:10:00,8.97,8.97,8.96,8.96,600,0
2017-11-17,18:15:00,8.96,8.98,8.96,8.98,5000,0
2017-11-17,18:20:00,8.98,8.981,8.98,8.981,1919,0
2017-11-17,18:25:00,8.99,8.99,8.99,8.99,1800,0
2017-11-17,18:30:00,8.99,8.99,8.99,8.99,2100,0
2017-11-17,18:35:00,8.99,8.99,8.97,8.97,7548,0
2017-11-17,18:40:00,8.97,8.97,8.96,8.96,500,0
2017-11-17,18:45:00,8.96,8.96,8.96,8.96,1000,0
2017-11-17,18:50:00,8.96,8.985,8.96,8.98,6500,0
2017-11-17,19:00:00,8.99,9,8.99,8.99,8655,0
2017-11-17,19:05:00,9,9,8.985,8.99,8900,0
2017-11-17,19:10:00,8.98,8.99,8.98,8.98,400,0
2017-11-17,19:15:00,8.99,8.99,8.98,8.99,2400,0
2017-11-17,19:20:00,8.99,8.99,8.98,8.98,800,0
2017-11-17,19:25:00,8.985,9,8.98,9,9928,0
2017-11-17,19:30:00,9.005,9.005,9.005,9.005,300,0
2017-11-17,19:35:00,9.005,9.005,9,9.005,2464,0
2017-11-17,19:40:00,9,9.005,9,9,1100,0
2017-11-17,19:45:00,9,9.005,9,9.005,1400,0
2017-11-17,19:50:00,9,9,9,9,10261,0
2017-11-17,19:55:00,9,9.005,9,9,2700,0
2017-11-17,20:00:00,9,9.005,9,9.005,3000,0
2017-11-17,20:05:00,9,9.005,9,9,5000,0
2017-11-17,20:10:00,9,9.02,9,9.01,9924,0
2017-11-17,20:15:00,9.02,9.025,9.01,9.01,11878,0
2017-11-17,20:20:00,9.01,9.015,9.01,9.01,3100,0
2017-11-17,20:25:00,9.01,9.02,9.01,9.01,2700,0
2017-11-17,20:30:00,9.01,9.025,9,9.025,14137,0
