Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-06,16:15:00,28.3,28.31,28.3,28.31,200,0
2017-01-06,17:40:00,27.72,27.72,27.7,27.7,1750,0
2017-01-06,18:50:00,27.65,27.65,27.65,27.65,100,0
2017-01-06,18:55:00,27.65,27.65,27.65,27.65,100,0
2017-01-06,19:05:00,27.6357,27.6357,27.6357,27.6357,414,0
2017-01-06,19:15:00,27.65,27.65,27.65,27.65,100,0
2017-01-06,20:40:00,27.649,27.65,27.6226,27.6226,600,0
2017-01-06,21:55:00,27.65,27.65,27.65,27.65,300,0
2017-01-09,19:55:00,27.4847,27.4847,27.4847,27.4847,100,0
2017-01-09,20:00:00,27.45,27.457,27.3701,27.4365,3205,0
2017-01-09,21:40:00,27.39,27.39,27.39,27.39,100,0
2017-01-09,21:45:00,27.36,27.36,27.36,27.36,100,0
2017-01-09,21:55:00,27.36,27.36,27.36,27.36,400,0
2017-01-10,17:20:00,27.4,27.4,27.35,27.35,2400,0
2017-01-10,17:35:00,27.34,27.34,27.33,27.33,300,0
2017-01-10,21:50:00,27.32,27.32,27.32,27.32,100,0
2017-01-11,17:10:00,27.32,27.32,27.3,27.31,2100,0
2017-01-11,21:10:00,27.35,27.35,27.35,27.35,100,0
2017-01-11,22:00:00,27.35,27.35,27.35,27.35,100,0
2017-01-12,20:30:00,27.7,27.7,27.7,27.7,300,0
2017-01-12,21:30:00,27.4,27.4,27.4,27.4,100,0
2017-01-12,21:35:00,27.4,27.4,27.4,27.4,720,0
2017-01-12,22:00:00,27.4,27.4,27.4,27.4,100,0
2017-01-13,19:50:00,27.25,27.25,27.25,27.25,2500,0
2017-01-13,19:55:00,27.3001,27.362,27.3,27.362,1250,0
2017-01-13,22:00:00,27.69,27.69,27.69,27.69,100,0
2017-01-17,15:35:00,27.61,27.61,27.61,27.61,100,0
2017-01-17,19:00:00,27.45,27.45,27.45,27.45,900,0
2017-01-17,19:35:00,27.4499,27.4499,27.4499,27.4499,500,0
2017-01-17,19:40:00,27.4,27.4,27.4,27.4,100,0
2017-01-17,20:05:00,27.4406,27.4406,27.4406,27.4406,440,0
2017-01-17,21:25:00,27.35,27.35,27.35,27.35,300,0
2017-01-17,21:30:00,27.35,27.35,27.35,27.35,200,0
2017-01-18,17:45:00,27.35,27.35,27.35,27.35,50000,0
2017-01-18,18:50:00,27.4,27.5,27.4,27.5,51000,0
