Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-16,15:35:00,63.7,64.7684,63.7,64.7684,797,0
2017-11-16,15:40:00,64.075,64.075,63.75,63.75,200,0
2017-11-16,15:45:00,63.75,63.8,63.7421,63.7421,400,0
2017-11-16,15:50:00,63.95,64.15,63.95,64.15,1415,0
2017-11-16,15:55:00,64.3169,64.3169,64.3169,64.3169,100,0
2017-11-16,16:05:00,64.4,64.45,64.4,64.4,1310,0
2017-11-16,16:10:00,64.45,64.45,64.25,64.35,890,0
2017-11-16,16:15:00,64.3,64.35,64.25,64.25,900,0
2017-11-16,16:20:00,64.3,64.3,64.3,64.3,100,0
2017-11-16,16:25:00,64.35,64.35,64.05,64.2384,2709,0
2017-11-16,16:30:00,64.05,64.35,64.05,64.2,600,0
2017-11-16,16:35:00,64.35,64.35,64.3,64.3,400,0
2017-11-16,16:40:00,64.3,64.3,64.1,64.1,1108,0
2017-11-16,16:45:00,64.35,64.45,64.25,64.35,4500,0
2017-11-16,16:50:00,64.25,64.35,64.15,64.2,4800,0
2017-11-16,16:55:00,64.1,64.25,64.1,64.15,600,0
2017-11-16,17:05:00,64.25,64.3,64.2,64.2,3200,0
2017-11-16,17:10:00,64.3,64.55,64.3,64.55,1515,0
2017-11-16,17:15:00,64.5669,64.5669,64.5,64.5,400,0
2017-11-16,17:20:00,64.4,64.45,64.4,64.4,900,0
2017-11-16,17:25:00,64.45,64.45,64.4,64.4,3900,0
2017-11-16,17:30:00,64.45,64.45,64.25,64.325,800,0
2017-11-16,17:35:00,64.325,64.325,64.25,64.3,400,0
2017-11-16,17:40:00,64.3,64.35,64.3,64.325,500,0
2017-11-16,17:45:00,64.35,64.35,64.15,64.15,5996,0
2017-11-16,17:50:00,64.2,64.25,64.15,64.2,2700,0
2017-11-16,17:55:00,64.25,64.25,64.15,64.15,1018,0
2017-11-16,18:00:00,64.2,64.2,64.1,64.15,700,0
2017-11-16,18:05:00,64.175,64.25,64.1,64.2,3137,0
2017-11-16,18:10:00,64.35,64.35,64.2,64.2,855,0
2017-11-16,18:15:00,64.2,64.25,64.2,64.2,1165,0
2017-11-16,18:20:00,64.25,64.25,64.15,64.15,1001,0
2017-11-16,18:25:00,64.25,64.3,64.25,64.3,800,0
2017-11-16,18:30:00,64.4,64.4,64.4,64.4,200,0
2017-11-16,18:35:00,64.55,64.55,64.55,64.55,200,0
2017-11-16,18:40:00,64.6,64.6,64.55,64.55,202,0
2017-11-16,18:45:00,64.55,64.6,64.5,64.55,1495,0
2017-11-16,18:50:00,64.6,64.6,64.6,64.6,100,0
2017-11-16,18:55:00,64.65,64.85,64.65,64.85,400,0
2017-11-16,19:00:00,64.8,64.85,64.7,64.7,2108,0
2017-11-16,19:05:00,64.7,64.8,64.65,64.75,1297,0
2017-11-16,19:10:00,64.85,64.85,64.75,64.75,965,0
2017-11-16,19:15:00,64.85,64.85,64.5,64.555,3300,0
