Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-15,15:35:00,43.5,43.5,43.5,43.5,401,0
2017-11-15,15:40:00,43.45,43.45,43.175,43.175,400,0
2017-11-15,15:45:00,43.3,43.45,43.3,43.45,1170,0
2017-11-15,15:50:00,43.5,43.6,43.45,43.6,2843,0
2017-11-15,15:55:00,43.75,43.9,43.75,43.9,800,0
2017-11-15,16:00:00,44.05,44.05,43.95,44.05,2017,0
2017-11-15,16:05:00,44.05,44.15,44.05,44.15,600,0
2017-11-15,16:10:00,44.3,44.3,44.15,44.15,4187,0
2017-11-15,16:15:00,44.05,44.05,44.05,44.05,600,0
2017-11-15,16:20:00,44,44,43.95,43.95,300,0
2017-11-15,16:25:00,43.9,43.9,43.9,43.9,200,0
2017-11-15,16:30:00,43.9,43.9,43.9,43.9,400,0
2017-11-15,16:35:00,43.85,44.1,43.85,44.1,2000,0
2017-11-15,16:40:00,44.1,44.2,44.1,44.15,500,0
2017-11-15,16:45:00,44.1,44.1,44.05,44.05,2700,0
2017-11-15,16:50:00,44.05,44.075,44,44.075,1481,0
2017-11-15,16:55:00,44.1,44.1,44.1,44.1,1500,0
2017-11-15,17:00:00,44.05,44.1,44.05,44.1,520,0
2017-11-15,17:05:00,44.1,44.1,44.05,44.05,500,0
2017-11-15,17:10:00,44.05,44.05,44.05,44.05,200,0
2017-11-15,17:15:00,44.05,44.1,44.05,44.05,2600,0
2017-11-15,17:20:00,44.025,44.025,44.025,44.025,100,0
2017-11-15,17:25:00,44,44.05,44,44.05,200,0
2017-11-15,17:30:00,44.1,44.15,44.1,44.15,3300,0
2017-11-15,17:35:00,44.1,44.1,44.05,44.05,1460,0
2017-11-15,17:40:00,44.05,44.05,44,44,5300,0
2017-11-15,17:55:00,43.95,43.95,43.95,43.95,100,0
2017-11-15,18:00:00,44,44,44,44,200,0
2017-11-15,18:05:00,43.95,43.95,43.9,43.95,854,0
2017-11-15,18:10:00,43.9,43.9,43.9,43.9,100,0
2017-11-15,18:15:00,43.85,43.85,43.85,43.85,100,0
2017-11-15,18:25:00,43.95,43.95,43.95,43.95,514,0
2017-11-15,18:35:00,43.95,44,43.95,44,200,0
2017-11-15,18:40:00,43.95,43.95,43.95,43.95,100,0
2017-11-15,19:00:00,44,44,44,44,100,0
2017-11-15,19:05:00,43.95,43.95,43.85,43.85,704,0
2017-11-15,19:10:00,43.85,43.85,43.85,43.85,100,0
2017-11-15,19:15:00,43.85,43.85,43.8,43.8,1006,0
