Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,28.39,28.41,28.39,28.41,3330,0
2017-11-17,15:40:00,28.415,28.43,28.401,28.41,900,0
2017-11-17,15:45:00,28.41,28.46,28.36,28.37,2229,0
2017-11-17,15:50:00,28.36,28.39,28.33,28.3753,1872,0
2017-11-17,15:55:00,28.39,28.41,28.3897,28.3897,1145,0
2017-11-17,16:00:00,28.38,28.45,28.36,28.42,1500,0
2017-11-17,16:05:00,28.42,28.45,28.42,28.45,1097,0
2017-11-17,16:10:00,28.57,28.58,28.54,28.58,2261,0
2017-11-17,16:15:00,28.58,28.58,28.54,28.54,800,0
2017-11-17,16:20:00,28.49,28.55,28.47,28.52,2827,0
2017-11-17,16:25:00,28.525,28.525,28.525,28.525,100,0
2017-11-17,16:30:00,28.51,28.55,28.5,28.55,700,0
2017-11-17,16:35:00,28.52,28.53,28.475,28.52,600,0
2017-11-17,16:40:00,28.54,28.58,28.53,28.58,610,0
2017-11-17,16:45:00,28.6,28.62,28.58,28.6,1867,0
2017-11-17,16:50:00,28.6,28.63,28.6,28.63,667,0
2017-11-17,16:55:00,28.64,28.65,28.64,28.65,1269,0
2017-11-17,17:00:00,28.67,28.67,28.67,28.67,200,0
2017-11-17,17:05:00,28.68,28.68,28.6561,28.6561,1164,0
2017-11-17,17:10:00,28.65,28.65,28.6,28.6278,1589,0
2017-11-17,17:15:00,28.61,28.61,28.56,28.56,308,0
2017-11-17,17:20:00,28.57,28.59,28.555,28.5835,1630,0
2017-11-17,17:25:00,28.57,28.57,28.57,28.57,300,0
2017-11-17,17:30:00,28.57,28.77,28.57,28.77,25218,0
2017-11-17,17:35:00,28.75,28.77,28.721,28.73,2600,0
2017-11-17,17:40:00,28.72,28.74,28.7,28.7,1585,0
2017-11-17,17:45:00,28.71,28.85,28.71,28.81,37869,0
2017-11-17,17:50:00,28.82,28.82,28.76,28.76,814,0
2017-11-17,17:55:00,28.76,28.89,28.76,28.89,3265,0
2017-11-17,18:00:00,28.8983,28.93,28.88,28.9,9600,0
2017-11-17,18:05:00,28.92,29.02,28.9,29.02,4900,0
2017-11-17,18:10:00,29.01,29.05,29,29.01,3883,0
2017-11-17,18:15:00,28.98,29.01,28.94,29,5775,0
2017-11-17,18:20:00,29.01,29.06,29.01,29.03,1700,0
2017-11-17,18:25:00,29.03,29.1,29.03,29.07,1825,0
2017-11-17,18:30:00,29.09,29.11,29.06,29.08,2850,0
2017-11-17,18:35:00,29.09,29.09,29.06,29.08,1600,0
2017-11-17,18:40:00,29.1,29.11,29.09,29.09,2100,0
2017-11-17,18:45:00,29.095,29.095,29.08,29.08,2364,0
2017-11-17,18:50:00,29.07,29.1,29.07,29.08,800,0
2017-11-17,18:55:00,29.07,29.09,29.07,29.09,300,0
