Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-14,15:35:00,26.75,26.7785,26.75,26.7785,3225,0
2017-11-14,15:45:00,26.74,26.74,26.74,26.74,400,0
2017-11-14,15:50:00,26.733,26.733,26.73,26.73,1618,0
2017-11-14,15:55:00,26.73,26.73,26.73,26.73,300,0
2017-11-14,16:00:00,26.73,26.735,26.73,26.735,231,0
2017-11-14,16:05:00,26.73,26.73,26.73,26.73,200,0
2017-11-14,16:10:00,26.735,26.735,26.735,26.735,100,0
2017-11-14,16:15:00,26.73,26.74,26.73,26.74,6061,0
2017-11-14,16:20:00,26.78,26.81,26.764,26.81,3500,0
2017-11-14,16:25:00,26.7448,26.78,26.7448,26.775,800,0
2017-11-14,16:30:00,26.775,26.775,26.775,26.775,300,0
2017-11-14,16:35:00,26.775,26.775,26.74,26.74,611,0
2017-11-14,16:40:00,26.7553,26.76,26.66,26.68,20269,0
2017-11-14,16:45:00,26.7,26.73,26.67,26.67,1666,0
2017-11-14,16:50:00,26.676,26.676,26.676,26.676,850,0
2017-11-14,16:55:00,26.68,26.68,26.67,26.67,700,0
2017-11-14,17:00:00,26.67,26.69,26.67,26.68,6588,0
2017-11-14,17:05:00,26.68,26.69,26.68,26.69,200,0
2017-11-14,17:15:00,26.68,26.68,26.67,26.6754,2227,0
2017-11-14,17:20:00,26.675,26.68,26.675,26.68,400,0
2017-11-14,17:25:00,26.68,26.74,26.67,26.74,4500,0
2017-11-14,17:30:00,26.7,26.71,26.7,26.71,400,0
2017-11-14,17:35:00,26.69,26.69,26.69,26.69,200,0
2017-11-14,17:40:00,26.704,26.704,26.7,26.7,2100,0
2017-11-14,17:45:00,26.695,26.695,26.68,26.68,700,0
2017-11-14,17:50:00,26.68,26.685,26.68,26.685,357,0
2017-11-14,17:55:00,26.705,26.705,26.69,26.69,800,0
2017-11-14,18:00:00,26.68,26.685,26.68,26.685,300,0
2017-11-14,18:05:00,26.685,26.685,26.685,26.685,100,0
2017-11-14,18:10:00,26.68,26.685,26.68,26.68,1100,0
2017-11-14,18:15:00,26.69,26.69,26.685,26.685,1100,0
2017-11-14,18:20:00,26.68,26.68,26.68,26.68,600,0
2017-11-14,18:25:00,26.685,26.685,26.68,26.68,450,0
2017-11-14,18:30:00,26.685,26.6893,26.68,26.68,2800,0
2017-11-14,18:35:00,26.68,26.68,26.68,26.68,100,0
2017-11-14,18:40:00,26.68,26.68,26.68,26.68,300,0
2017-11-14,18:45:00,26.685,26.69,26.68,26.68,400,0
2017-11-14,18:50:00,26.68,26.68,26.68,26.68,200,0
2017-11-14,18:55:00,26.68,26.685,26.68,26.685,300,0
2017-11-14,19:00:00,26.68,26.68,26.68,26.68,200,0
2017-11-14,19:05:00,26.68,26.6838,26.68,26.68,2157,0
2017-11-14,19:10:00,26.68,26.69,26.68,26.69,1050,0
2017-11-14,19:15:00,26.685,26.78,26.68,26.6892,9491,0
2017-11-14,19:20:00,26.74,26.74,26.74,26.74,200,0
2017-11-14,19:25:00,26.74,26.77,26.74,26.77,700,0
2017-11-14,19:35:00,26.76,26.76,26.73,26.73,800,0
2017-11-14,19:40:00,26.73,26.73,26.73,26.73,200,0
2017-11-14,19:45:00,26.74,26.74,26.69,26.69,600,0
2017-11-14,19:50:00,26.705,26.705,26.7014,26.7014,425,0
2017-11-14,19:55:00,26.69,26.69,26.69,26.69,100,0
2017-11-14,20:00:00,26.705,26.705,26.69,26.69,400,0
2017-11-14,20:05:00,26.69,26.705,26.69,26.69,324,0
2017-11-14,20:10:00,26.69,26.705,26.69,26.705,300,0
2017-11-14,20:15:00,26.705,26.705,26.705,26.705,100,0
2017-11-14,20:20:00,26.7,26.7,26.7,26.7,100,0
2017-11-14,20:25:00,26.705,26.705,26.705,26.705,200,0
2017-11-14,20:30:00,26.7,26.7,26.7,26.7,250,0
2017-11-14,20:35:00,26.7,26.705,26.7,26.705,200,0
2017-11-14,20:40:00,26.7,26.71,26.69,26.69,600,0
2017-11-14,20:45:00,26.6965,26.6965,26.6965,26.6965,400,0
2017-11-14,20:50:00,26.69,26.7,26.69,26.7,300,0
2017-11-14,20:55:00,26.7,26.7,26.7,26.7,100,0
2017-11-14,21:00:00,26.7,26.71,26.69,26.7,527,0
2017-11-14,21:05:00,26.7,26.71,26.685,26.697,32163,0
2017-11-14,21:20:00,26.725,26.725,26.725,26.725,575,0
2017-11-14,21:25:00,26.739,26.739,26.739,26.739,1000,0
2017-11-14,21:35:00,26.725,26.725,26.725,26.725,100,0
2017-11-14,21:40:00,26.69,26.69,26.69,26.69,100,0
2017-11-14,21:45:00,26.691,26.691,26.691,26.691,1000,0
2017-11-14,21:55:00,26.6968,26.6968,26.6968,26.6968,100,0
2017-11-14,22:00:00,26.66,26.7,26.66,26.7,300,0
2017-11-15,15:35:00,26.66,26.66,26.66,26.66,744,0
2017-11-15,15:40:00,26.73,26.73,26.66,26.66,1830,0
2017-11-15,15:45:00,26.66,26.67,26.66,26.66,3820,0
2017-11-15,15:50:00,26.66,26.66,26.66,26.66,8250,0
2017-11-15,15:55:00,26.65,26.6503,26.65,26.6503,238,0
2017-11-15,16:00:00,26.66,26.665,26.66,26.665,400,0
2017-11-15,16:05:00,26.66,26.66,26.66,26.66,200,0
2017-11-15,16:10:00,26.67,26.67,26.66,26.66,400,0
2017-11-15,16:15:00,26.66,26.66,26.66,26.66,3000,0
2017-11-15,16:20:00,26.66,26.69,26.66,26.68,10737,0
2017-11-15,16:25:00,26.67,26.69,26.67,26.6704,7750,0
2017-11-15,16:30:00,26.665,26.67,26.665,26.6692,9200,0
2017-11-15,16:35:00,26.6982,26.6982,26.6982,26.6982,2000,0
2017-11-15,16:40:00,26.68,26.6803,26.675,26.68,1100,0
2017-11-15,16:45:00,26.67,26.67,26.67,26.67,695,0
2017-11-15,16:50:00,26.67,26.67,26.67,26.67,950,0
2017-11-15,16:55:00,26.68,26.68,26.67,26.67,400,0
2017-11-15,17:00:00,26.6707,26.6709,26.67,26.6708,3268,0
2017-11-15,17:10:00,26.67,26.67,26.67,26.67,725,0
2017-11-15,17:15:00,26.665,26.67,26.6647,26.67,3300,0
2017-11-15,17:20:00,26.6625,26.6625,26.6625,26.6625,800,0
2017-11-15,17:25:00,26.67,26.67,26.663,26.67,750,0
2017-11-15,17:30:00,26.67,26.67,26.67,26.67,500,0
2017-11-15,17:35:00,26.6699,26.6743,26.6699,26.6743,6580,0
2017-11-15,17:40:00,26.675,26.68,26.67,26.6735,925,0
2017-11-15,17:45:00,26.675,26.68,26.675,26.68,300,0
2017-11-15,17:50:00,26.68,26.695,26.68,26.695,662,0
2017-11-15,17:55:00,26.68,26.695,26.6705,26.6705,3018,0
2017-11-15,18:05:00,26.69,26.7098,26.69,26.7098,400,0
2017-11-15,18:10:00,26.71,26.71,26.695,26.695,300,0
2017-11-15,18:15:00,26.695,26.7,26.68,26.7,300,0
2017-11-15,18:20:00,26.7,26.7,26.68,26.68,300,0
2017-11-15,18:25:00,26.695,26.695,26.689,26.689,1200,0
2017-11-15,18:30:00,26.68,26.68,26.68,26.68,100,0
2017-11-15,18:35:00,26.68,26.701,26.68,26.701,700,0
2017-11-15,18:40:00,26.695,26.695,26.68,26.68,400,0
2017-11-15,18:45:00,26.7,26.74,26.7,26.7,2844,0
2017-11-15,18:50:00,26.7,26.72,26.7,26.72,200,0
2017-11-15,18:55:00,26.72,26.72,26.7,26.7,400,0
2017-11-15,19:00:00,26.735,26.735,26.7,26.7,400,0
2017-11-15,19:05:00,26.7,26.7,26.7,26.7,100,0
2017-11-15,19:10:00,26.7,26.74,26.7,26.74,400,0
2017-11-15,19:15:00,26.7,26.7,26.7,26.7,200,0
2017-11-15,19:25:00,26.7,26.74,26.7,26.72,405,0
2017-11-15,19:30:00,26.7,26.7,26.7,26.7,200,0
2017-11-15,19:35:00,26.74,26.74,26.74,26.74,2350,0
2017-11-15,19:40:00,26.7,26.7356,26.7,26.7356,700,0
2017-11-15,19:45:00,26.74,26.74,26.73,26.73,200,0
2017-11-15,19:50:00,26.73,26.7364,26.7,26.715,10555,0
2017-11-15,19:55:00,26.725,26.725,26.725,26.725,100,0
2017-11-15,20:00:00,26.725,26.74,26.71,26.71,2036,0
2017-11-15,20:05:00,26.71,26.725,26.71,26.725,400,0
2017-11-15,20:10:00,26.71,26.74,26.71,26.725,1398,0
2017-11-15,20:15:00,26.71,26.71,26.71,26.71,100,0
2017-11-15,20:20:00,26.7175,26.7175,26.7175,26.7175,100,0
2017-11-15,20:25:00,26.72,26.72,26.72,26.72,200,0
2017-11-15,20:30:00,26.7346,26.7346,26.73,26.73,385,0
2017-11-15,20:35:00,26.73,26.73,26.73,26.73,600,0
2017-11-15,20:40:00,26.74,26.74,26.72,26.73,605,0
2017-11-15,20:45:00,26.74,26.74,26.72,26.72,400,0
2017-11-15,20:50:00,26.72,26.745,26.72,26.745,400,0
2017-11-15,20:55:00,26.73,26.748,26.73,26.745,1200,0
2017-11-15,21:00:00,26.745,26.76,26.745,26.76,576,0
2017-11-15,21:10:00,26.7571,26.7571,26.7571,26.7571,375,0
2017-11-15,21:25:00,26.755,26.755,26.755,26.755,100,0
2017-11-15,21:40:00,26.75,26.75,26.75,26.75,276,0
2017-11-15,21:45:00,26.75,26.75,26.75,26.75,230,0
2017-11-15,21:50:00,26.7483,26.7483,26.7483,26.7483,400,0
2017-11-15,21:55:00,26.7493,26.75,26.7493,26.75,300,0
2017-11-15,22:00:00,26.75,26.7543,26.75,26.7543,611,0
2017-11-16,15:35:00,26.77,26.77,26.7,26.7,1181,0
2017-11-16,15:40:00,26.77,26.82,26.77,26.82,1211,0
2017-11-16,15:45:00,26.77,26.77,26.77,26.77,1923,0
2017-11-16,15:50:00,26.84,26.84,26.84,26.84,500,0
2017-11-16,15:55:00,26.8393,26.84,26.8393,26.84,1315,0
2017-11-16,16:00:00,26.84,26.84,26.84,26.84,100,0
2017-11-16,16:05:00,26.84,26.84,26.777,26.777,600,0
2017-11-16,16:10:00,26.84,26.84,26.84,26.84,200,0
2017-11-16,16:15:00,26.84,26.84,26.84,26.84,100,0
2017-11-16,16:20:00,26.819,26.84,26.819,26.84,500,0
2017-11-16,16:25:00,26.8103,26.8103,26.8103,26.8103,1000,0
