Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,52,52.24,51.92,52.24,173950,0
2017-11-17,15:40:00,52.23,52.51,52.23,52.4,66171,0
2017-11-17,15:45:00,52.4,52.41,52.3,52.37,40382,0
2017-11-17,15:50:00,52.37,52.42,52.27,52.4,58804,0
2017-11-17,15:55:00,52.4045,52.46,52.3859,52.4,33268,0
2017-11-17,16:00:00,52.41,52.53,52.39,52.5,36464,0
2017-11-17,16:05:00,52.52,52.54,52.405,52.54,50909,0
2017-11-17,16:10:00,52.54,52.67,52.535,52.59,56450,0
2017-11-17,16:15:00,52.59,52.59,52.48,52.49,39202,0
2017-11-17,16:20:00,52.49,52.505,52.42,52.49,34714,0
2017-11-17,16:25:00,52.5,52.6,52.48,52.58,36165,0
2017-11-17,16:30:00,52.58,52.62,52.53,52.62,27366,0
2017-11-17,16:35:00,52.63,52.63,52.55,52.63,36560,0
2017-11-17,16:40:00,52.63,52.64,52.595,52.61,34504,0
2017-11-17,16:45:00,52.615,52.65,52.6,52.61,38585,0
2017-11-17,16:50:00,52.6,52.7,52.59,52.7,45053,0
2017-11-17,16:55:00,52.7,52.79,52.695,52.74,44275,0
2017-11-17,17:00:00,52.74,52.8,52.73,52.78,55740,0
2017-11-17,17:05:00,52.77,52.79,52.73,52.73,52752,0
2017-11-17,17:10:00,52.72,52.72,52.66,52.66,57729,0
2017-11-17,17:15:00,52.655,52.72,52.65,52.71,70849,0
2017-11-17,17:20:00,52.705,52.73,52.67,52.69,47310,0
2017-11-17,17:25:00,52.7,52.73,52.67,52.7,40483,0
2017-11-17,17:30:00,52.7,52.71,52.67,52.7,26524,0
2017-11-17,17:35:00,52.7,52.71,52.68,52.69,23486,0
2017-11-17,17:40:00,52.69,52.69,52.6185,52.65,16533,0
2017-11-17,17:45:00,52.645,52.68,52.63,52.66,17604,0
2017-11-17,17:50:00,52.66,52.69,52.65,52.65,14299,0
2017-11-17,17:55:00,52.66,52.67,52.65,52.66,14340,0
2017-11-17,18:00:00,52.65,52.65,52.61,52.65,16537,0
2017-11-17,18:05:00,52.65,52.675,52.65,52.67,21399,0
