Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-14,15:35:00,15.7,15.8,15.7,15.8,3272,0
2017-11-14,15:40:00,15.8,15.9,15.8,15.8,724,0
2017-11-14,15:45:00,15.85,15.85,15.8,15.8,200,0
2017-11-14,15:50:00,15.85,15.85,15.75,15.8,1400,0
2017-11-14,15:55:00,15.8,15.85,15.8,15.8,1600,0
2017-11-14,16:00:00,15.85,15.85,15.8,15.8,1200,0
2017-11-14,16:05:00,15.8,15.8,15.75,15.8,1800,0
2017-11-14,16:10:00,15.8,15.8,15.8,15.8,459,0
2017-11-14,16:15:00,15.8,15.8,15.8,15.8,100,0
2017-11-14,16:20:00,15.8,15.8,15.8,15.8,100,0
2017-11-14,16:30:00,15.8,15.8,15.75,15.775,6875,0
2017-11-14,16:35:00,15.775,15.775,15.75,15.75,600,0
2017-11-14,16:40:00,15.775,15.775,15.775,15.775,100,0
2017-11-14,16:45:00,15.775,15.825,15.775,15.825,3800,0
2017-11-14,16:50:00,15.85,15.925,15.85,15.925,1300,0
2017-11-14,17:00:00,15.95,15.95,15.95,15.95,100,0
2017-11-14,17:05:00,15.925,15.925,15.9,15.9,1081,0
2017-11-14,17:10:00,15.85,15.875,15.85,15.875,700,0
2017-11-14,17:15:00,15.875,15.95,15.875,15.925,3500,0
2017-11-14,17:20:00,15.925,15.925,15.925,15.925,200,0
2017-11-14,17:25:00,15.925,15.925,15.925,15.925,400,0
2017-11-14,17:30:00,15.925,16,15.9,15.925,4300,0
2017-11-14,17:45:00,15.875,15.875,15.85,15.85,200,0
2017-11-14,17:50:00,15.875,15.875,15.875,15.875,200,0
2017-11-14,17:55:00,15.85,15.85,15.85,15.85,100,0
2017-11-14,18:00:00,15.875,15.875,15.85,15.875,5724,0
2017-11-14,18:05:00,15.85,15.85,15.85,15.85,100,0
2017-11-14,18:10:00,15.875,15.875,15.85,15.85,3800,0
2017-11-14,18:15:00,15.875,15.875,15.875,15.875,100,0
2017-11-14,18:20:00,15.875,15.875,15.85,15.875,300,0
2017-11-14,18:25:00,15.875,15.875,15.85,15.875,500,0
2017-11-14,18:30:00,15.8612,15.875,15.85,15.875,440,0
2017-11-14,18:35:00,15.8625,15.8625,15.8625,15.8625,100,0
2017-11-14,18:40:00,15.85,15.85,15.85,15.85,100,0
2017-11-14,18:45:00,15.875,15.875,15.85,15.85,300,0
2017-11-14,18:50:00,15.875,15.875,15.875,15.875,300,0
2017-11-14,18:55:00,15.875,15.9,15.85,15.875,600,0
2017-11-14,19:00:00,15.875,15.875,15.875,15.875,100,0
2017-11-14,19:05:00,15.85,15.85,15.85,15.85,200,0
2017-11-14,19:15:00,15.85,15.85,15.85,15.85,100,0
2017-11-14,19:25:00,15.85,15.9,15.85,15.9,400,0
2017-11-14,19:30:00,15.875,15.9,15.875,15.9,4198,0
2017-11-14,19:35:00,15.925,15.925,15.925,15.925,15200,0
2017-11-14,19:40:00,15.9,15.9,15.85,15.85,1800,0
2017-11-14,19:45:00,15.875,15.875,15.85,15.85,400,0
2017-11-14,19:50:00,15.85,15.85,15.85,15.85,100,0
2017-11-14,19:55:00,15.875,15.875,15.875,15.875,200,0
2017-11-14,20:00:00,15.85,15.85,15.85,15.85,100,0
2017-11-14,20:05:00,15.875,15.875,15.85,15.85,200,0
2017-11-14,20:15:00,15.9,15.95,15.9,15.95,4594,0
2017-11-14,20:20:00,15.95,15.95,15.95,15.95,300,0
2017-11-14,20:25:00,15.95,15.95,15.95,15.95,600,0
2017-11-14,20:30:00,15.9,15.95,15.9,15.95,300,0
2017-11-14,20:35:00,15.95,15.95,15.95,15.95,200,0
2017-11-14,20:40:00,15.95,15.95,15.95,15.95,100,0
2017-11-14,20:45:00,15.9,15.95,15.9,15.95,500,0
2017-11-14,20:50:00,15.925,15.95,15.925,15.95,200,0
2017-11-14,20:55:00,15.925,15.95,15.925,15.925,300,0
2017-11-14,21:00:00,15.9,15.925,15.9,15.925,200,0
2017-11-14,21:05:00,15.925,15.925,15.9,15.9,200,0
2017-11-14,21:10:00,15.925,15.925,15.925,15.925,200,0
2017-11-14,21:15:00,15.9,15.925,15.875,15.9,6800,0
2017-11-14,21:20:00,15.85,15.9,15.85,15.85,9755,0
2017-11-14,21:25:00,15.9,15.95,15.9,15.925,500,0
2017-11-14,21:30:00,15.9,15.9,15.9,15.9,300,0
2017-11-14,21:35:00,15.9,15.95,15.9,15.95,14488,0
2017-11-14,21:40:00,15.95,15.95,15.9,15.925,464,0
2017-11-14,21:45:00,15.9,15.9,15.85,15.9,6150,0
2017-11-14,21:50:00,15.9,15.925,15.9,15.9,4663,0
2017-11-14,21:55:00,15.95,15.95,15.9,15.9,500,0
2017-11-14,22:00:00,15.9,15.95,15.9,15.9,16059,0
2017-11-15,15:35:00,15.7,16.05,15.7,16.05,2114,0
2017-11-15,15:40:00,15.85,15.85,15.8,15.85,1500,0
2017-11-15,15:45:00,15.825,15.85,15.8,15.85,700,0
2017-11-15,15:50:00,15.85,15.9,15.85,15.85,2779,0
2017-11-15,16:05:00,15.95,15.95,15.85,15.9,2681,0
2017-11-15,16:10:00,15.9,16,15.9,16,500,0
2017-11-15,16:20:00,16.025,16.05,16.025,16.05,363,0
2017-11-15,16:25:00,16.05,16.05,16,16,1000,0
2017-11-15,16:30:00,16,16,15.95,15.95,200,0
2017-11-15,16:35:00,15.95,15.95,15.95,15.95,200,0
2017-11-15,16:40:00,16,16,16,16,300,0
2017-11-15,16:45:00,16,16,16,16,500,0
2017-11-15,16:50:00,15.975,15.975,15.975,15.975,200,0
2017-11-15,16:55:00,15.95,15.95,15.95,15.95,200,0
2017-11-15,17:00:00,15.95,15.95,15.95,15.95,400,0
2017-11-15,17:20:00,16,16,16,16,1000,0
2017-11-15,17:25:00,16.05,16.1,16.05,16.1,500,0
2017-11-15,17:30:00,16.05,16.05,16,16,1400,0
2017-11-15,17:35:00,16,16,15.975,15.975,300,0
2017-11-15,17:40:00,16,16,16,16,5820,0
2017-11-15,17:45:00,16,16,16,16,1000,0
2017-11-15,18:05:00,16,16,16,16,2022,0
2017-11-15,18:10:00,16,16.05,15.95,16,2200,0
2017-11-15,18:15:00,16,16,16,16,100,0
2017-11-15,18:20:00,16,16.025,16,16.025,300,0
2017-11-15,18:25:00,16.025,16.025,16.025,16.025,100,0
2017-11-15,18:30:00,16,16,16,16,200,0
2017-11-15,18:35:00,16,16.025,16,16.025,200,0
2017-11-15,18:50:00,16,16.025,16,16.025,2100,0
2017-11-15,18:55:00,16,16.05,16,16.05,300,0
2017-11-15,19:10:00,16.05,16.05,16.05,16.05,100,0
2017-11-15,19:15:00,16.025,16.025,16.025,16.025,100,0
2017-11-15,19:25:00,16.05,16.05,16.05,16.05,100,0
2017-11-15,19:50:00,16.05,16.05,16.05,16.05,100,0
2017-11-15,19:55:00,16,16,15.9,15.9,1520,0
2017-11-15,20:05:00,15.95,15.95,15.95,15.95,2100,0
2017-11-15,20:10:00,15.9,15.9,15.9,15.9,149,0
2017-11-15,20:15:00,15.95,16,15.9,16,4207,0
2017-11-15,20:20:00,15.95,15.95,15.95,15.95,400,0
2017-11-15,20:30:00,15.95,15.95,15.9,15.9,200,0
2017-11-15,20:35:00,15.9,15.9,15.9,15.9,100,0
2017-11-15,20:45:00,15.975,15.975,15.975,15.975,100,0
2017-11-15,20:50:00,15.975,15.975,15.975,15.975,100,0
2017-11-15,20:55:00,16,16,15.975,15.975,4007,0
2017-11-15,21:00:00,16,16,16,16,500,0
2017-11-15,21:05:00,15.975,15.975,15.975,15.975,200,0
2017-11-15,21:10:00,15.975,15.975,15.9,15.9,1800,0
2017-11-15,21:15:00,15.9,15.925,15.9,15.925,300,0
2017-11-15,21:20:00,15.9,15.9,15.9,15.9,200,0
2017-11-15,21:25:00,15.95,15.95,15.95,15.95,300,0
2017-11-15,21:30:00,15.925,15.925,15.85,15.875,3507,0
2017-11-15,21:35:00,15.9,15.9,15.9,15.9,2830,0
2017-11-15,21:40:00,15.925,15.925,15.925,15.925,200,0
2017-11-15,21:45:00,15.95,15.95,15.9,15.9,860,0
2017-11-15,21:50:00,15.95,15.95,15.925,15.925,300,0
2017-11-15,21:55:00,15.9,15.9,15.85,15.875,8433,0
2017-11-15,22:00:00,15.85,15.95,15.85,15.9,32964,0
2017-11-16,15:35:00,15.9,16,15.9,16,3677,0
2017-11-16,15:40:00,15.95,15.95,15.95,15.95,100,0
2017-11-16,15:45:00,15.9957,15.9957,15.9957,15.9957,100,0
2017-11-16,15:50:00,15.95,15.95,15.95,15.95,200,0
2017-11-16,15:55:00,15.9,15.9,15.9,15.9,200,0
2017-11-16,16:00:00,15.9,15.9,15.9,15.9,100,0
2017-11-16,16:05:00,15.95,15.95,15.95,15.95,600,0
2017-11-16,16:10:00,15.95,15.95,15.95,15.95,1237,0
2017-11-16,16:15:00,16,16.05,16,16,7050,0
2017-11-16,16:30:00,16,16,16,16,1300,0
2017-11-16,16:45:00,16.05,16.1,16.05,16.0764,2392,0
2017-11-16,16:50:00,16.1,16.1,16.1,16.1,100,0
2017-11-16,17:00:00,16.1,16.1,16.1,16.1,100,0
2017-11-16,17:05:00,16.05,16.1,16.05,16.1,2587,0
2017-11-16,17:10:00,16.1,16.1,16.075,16.1,2300,0
2017-11-16,17:15:00,16.15,16.15,16.15,16.15,100,0
2017-11-16,17:25:00,16.1,16.1,16.075,16.075,1100,0
2017-11-16,17:30:00,16.1,16.1,16.1,16.1,2696,0
2017-11-16,17:35:00,16.1,16.1,16.1,16.1,2000,0
2017-11-16,17:40:00,16.1,16.1,16.1,16.1,700,0
2017-11-16,17:45:00,16.1,16.1,16.1,16.1,411,0
2017-11-16,18:05:00,16.15,16.15,16.1,16.1,2813,0
2017-11-16,18:15:00,16.15,16.15,16.15,16.15,200,0
2017-11-16,18:25:00,16.15,16.15,16.15,16.15,4250,0
2017-11-16,18:30:00,16.15,16.15,16.15,16.15,1100,0
2017-11-16,18:35:00,16.15,16.2,16.15,16.1875,1500,0
2017-11-16,18:40:00,16.175,16.175,16.175,16.175,100,0
2017-11-16,18:50:00,16.175,16.2,16.175,16.175,3600,0
2017-11-16,18:55:00,16.175,16.2,16.15,16.175,3200,0
2017-11-16,19:00:00,16.2,16.2,16.2,16.2,1300,0
2017-11-16,19:05:00,16.2,16.2,16.2,16.2,400,0
2017-11-16,19:10:00,16.25,16.25,16.225,16.225,1000,0
2017-11-16,19:15:00,16.2,16.225,16.2,16.2,1100,0
2017-11-16,19:20:00,16.25,16.25,16.25,16.25,100,0
2017-11-16,19:25:00,16.2,16.2,16.2,16.2,300,0
2017-11-16,19:30:00,16.2,16.2,16.15,16.2,5900,0
2017-11-16,19:35:00,16.2,16.2,16.2,16.2,200,0
2017-11-16,19:40:00,16.2,16.2,16.2,16.2,300,0
2017-11-16,19:45:00,16.2,16.2,16.2,16.2,800,0
2017-11-16,19:50:00,16.2,16.2,16.1501,16.175,5580,0
2017-11-16,19:55:00,16.175,16.175,16.175,16.175,300,0
2017-11-16,20:00:00,16.15,16.15,16.15,16.15,100,0
2017-11-16,20:15:00,16.2,16.2,16.2,16.2,700,0
2017-11-16,20:20:00,16.175,16.2,16.175,16.2,200,0
2017-11-16,20:25:00,16.175,16.175,16.175,16.175,100,0
2017-11-16,20:30:00,16.2,16.2,16.175,16.175,400,0
2017-11-16,20:35:00,16.175,16.2,16.175,16.2,200,0
2017-11-16,20:45:00,16.2,16.2,16.175,16.175,10800,0
2017-11-16,20:50:00,16.2,16.2,16.175,16.2,7600,0
2017-11-16,20:55:00,16.175,16.2,16.175,16.175,7900,0
2017-11-16,21:00:00,16.15,16.175,16.1,16.125,3649,0
2017-11-16,21:05:00,16.15,16.15,16.1,16.1,2100,0
2017-11-16,21:10:00,16.15,16.15,16.15,16.15,2700,0
2017-11-16,21:15:00,16.15,16.15,16.125,16.15,900,0
2017-11-16,21:20:00,16.1,16.125,16.1,16.125,500,0
2017-11-16,21:25:00,16.125,16.175,16.125,16.175,1300,0
2017-11-16,21:30:00,16.15,16.15,16.15,16.15,1200,0
2017-11-16,21:35:00,16.125,16.15,16.125,16.125,400,0
2017-11-16,21:40:00,16.1,16.125,16.1,16.125,200,0
2017-11-16,21:45:00,16.1,16.1,16.05,16.1,9330,0
2017-11-16,21:50:00,16.1,16.1,16.075,16.075,2000,0
2017-11-16,21:55:00,16.05,16.075,16.05,16.05,700,0
2017-11-16,22:00:00,16.05,16.1,16.05,16.1,61703,0
2017-11-17,15:35:00,15.95,15.95,15.95,15.95,9074,0
2017-11-17,15:40:00,15.9,16,15.9,16,702,0
2017-11-17,15:50:00,16,16,16,16,1300,0
2017-11-17,15:55:00,16.018,16.018,15.95,15.95,2977,0
2017-11-17,16:05:00,15.95,15.95,15.95,15.95,238,0
2017-11-17,16:10:00,15.95,15.95,15.95,15.95,960,0
2017-11-17,16:20:00,15.95,15.95,15.9,15.9,805,0
2017-11-17,16:40:00,15.925,15.925,15.925,15.925,200,0
2017-11-17,16:45:00,15.95,15.95,15.95,15.95,934,0
2017-11-17,17:00:00,15.975,16,15.975,16,400,0
2017-11-17,17:05:00,16,16,15.95,15.9932,1524,0
2017-11-17,17:20:00,15.95,15.95,15.95,15.95,500,0
2017-11-17,17:30:00,15.9747,15.9747,15.9747,15.9747,100,0
2017-11-17,17:35:00,16,16,16,16,900,0
2017-11-17,17:40:00,16.025,16.05,16.025,16.05,300,0
2017-11-17,17:45:00,16.05,16.05,16.05,16.05,1300,0
2017-11-17,17:50:00,16.1,16.125,16.1,16.125,700,0
2017-11-17,17:55:00,16.1,16.1,16.1,16.1,1000,0
2017-11-17,18:10:00,16.1,16.125,16.1,16.125,800,0
2017-11-17,18:20:00,16.125,16.15,16.125,16.15,200,0
2017-11-17,18:25:00,16.1,16.1,16.1,16.1,700,0
2017-11-17,18:30:00,16.15,16.15,16.15,16.15,400,0
2017-11-17,18:35:00,16.1,16.1,16.1,16.1,100,0
2017-11-17,18:40:00,16.1,16.1,16.1,16.1,900,0
2017-11-17,18:45:00,16.15,16.15,16.15,16.15,200,0
2017-11-17,18:55:00,16.15,16.15,16.1,16.1,300,0
2017-11-17,19:00:00,16.1,16.1,16.1,16.1,100,0
2017-11-17,19:05:00,16.1,16.15,16.1,16.15,3118,0
2017-11-17,19:10:00,16.1625,16.175,16.1625,16.175,600,0
2017-11-17,19:15:00,16.15,16.15,16.15,16.15,1500,0
2017-11-17,19:30:00,16.125,16.15,16.125,16.15,279,0
2017-11-17,19:50:00,16.125,16.125,16.125,16.125,100,0
2017-11-17,19:55:00,16.1,16.1,16.1,16.1,500,0
2017-11-17,20:00:00,16.1,16.125,16.05,16.05,700,0
2017-11-17,20:10:00,16.1,16.1,16.1,16.1,100,0
2017-11-17,20:25:00,16.075,16.075,16.075,16.075,300,0
2017-11-17,20:30:00,16.075,16.075,16.075,16.075,100,0
2017-11-17,20:35:00,16.1,16.125,16.1,16.125,1918,0
2017-11-17,20:50:00,16.1,16.1,16.1,16.1,1301,0
2017-11-17,21:05:00,16.1,16.1,16.1,16.1,100,0
2017-11-17,21:10:00,16.1,16.1,16.1,16.1,300,0
2017-11-17,21:15:00,16.05,16.05,16.05,16.05,100,0
2017-11-17,21:20:00,16.1,16.1,16.1,16.1,100,0
2017-11-17,21:30:00,16.05,16.05,16.05,16.05,700,0
2017-11-17,21:35:00,16.1,16.1,16.1,16.1,110,0
2017-11-17,21:40:00,16.05,16.1,16.05,16.1,400,0
2017-11-17,21:45:00,16.075,16.1,16.075,16.1,300,0
2017-11-17,21:50:00,16.1,16.1,16.05,16.05,1900,0
2017-11-17,21:55:00,16.075,16.1,16.05,16.075,2700,0
2017-11-17,22:00:00,16.05,16.1,16.05,16.1,6470,0
2017-11-20,15:35:00,16.1,16.1,16.05,16.1,2463,0
2017-11-20,15:55:00,16.1,16.15,16.1,16.1,2238,0
2017-11-20,16:20:00,16.075,16.075,16.075,16.075,100,0
2017-11-20,16:30:00,16.1,16.15,16.1,16.15,1400,0
2017-11-20,16:45:00,16.15,16.2,16.15,16.15,2200,0
2017-11-20,16:55:00,16.2,16.25,16.2,16.25,905,0
2017-11-20,17:00:00,16.225,16.225,16.225,16.225,300,0
2017-11-20,17:15:00,16.2,16.2,16.2,16.2,1300,0
2017-11-20,17:25:00,16.1671,16.1671,16.1671,16.1671,468,0
2017-11-20,17:30:00,16.15,16.15,16.15,16.15,500,0
2017-11-20,17:35:00,16.1,16.1,16.1,16.1,1100,0
2017-11-20,17:40:00,16.15,16.15,16.15,16.15,1200,0
2017-11-20,17:45:00,16.1671,16.1671,16.1671,16.1671,100,0
2017-11-20,17:55:00,16.15,16.15,16.15,16.15,800,0
2017-11-20,18:10:00,16.15,16.15,16.15,16.15,900,0
