Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,66.29,66.87,65.94,66.87,7455,0
2017-11-17,15:40:00,66.54,66.55,66.54,66.55,200,0
2017-11-17,15:50:00,66.72,66.72,65.77,66.26,1700,0
2017-11-17,15:55:00,65.61,66.06,65.46,65.55,2500,0
2017-11-17,16:00:00,65.81,65.81,65.525,65.71,664,0
2017-11-17,16:05:00,65.68,65.81,65.32,65.6347,5200,0
2017-11-17,16:10:00,65.79,66.28,65.79,66.28,1330,0
2017-11-17,16:15:00,66.26,66.72,66.12,66.12,6700,0
2017-11-17,16:20:00,65.91,65.91,65.73,65.73,1368,0
2017-11-17,16:25:00,65.93,66.52,65.8,66.145,10300,0
2017-11-17,16:30:00,66.05,66.45,65.66,65.66,14249,0
2017-11-17,16:35:00,65.68,65.76,65.48,65.695,1800,0
2017-11-17,16:40:00,65.73,65.74,65.73,65.74,300,0
2017-11-17,16:45:00,65.74,65.74,65.59,65.59,400,0
2017-11-17,16:50:00,65.69,65.81,65.58,65.58,5107,0
2017-11-17,16:55:00,65.62,65.88,65.58,65.58,8400,0
2017-11-17,17:00:00,65.58,65.88,65.52,65.65,4700,0
2017-11-17,17:05:00,65.77,65.82,65.76,65.76,800,0
2017-11-17,17:10:00,65.948,66.02,65.948,66.02,400,0
2017-11-17,17:15:00,65.89,66.04,65.88,66.02,1200,0
2017-11-17,17:20:00,66.12,66.24,66.04,66.1556,1021,0
2017-11-17,17:25:00,66.16,66.6,66.16,66.6,1892,0
2017-11-17,17:30:00,66.6,67.015,66.35,66.45,13200,0
2017-11-17,17:35:00,66.5475,67.05,66.485,67.05,3100,0
2017-11-17,17:40:00,67.06,67.34,67.06,67.34,700,0
2017-11-17,17:45:00,67.35,68.15,67.35,67.93,3700,0
2017-11-17,17:50:00,67.876,67.876,67.51,67.52,1300,0
2017-11-17,17:55:00,67.49,67.49,67.12,67.12,600,0
2017-11-17,18:00:00,67.13,67.22,67.12,67.12,300,0
2017-11-17,18:05:00,67.15,67.69,67.15,67.62,2311,0
2017-11-17,18:10:00,67.6,67.65,67.41,67.43,4203,0
2017-11-17,18:15:00,67.44,67.44,67.33,67.34,500,0
2017-11-17,18:20:00,67.41,67.59,67.11,67.3,11671,0
2017-11-17,18:25:00,67.21,67.3,66.98,66.98,4800,0
2017-11-17,18:30:00,66.97,67.07,66.88,66.88,1100,0
2017-11-17,18:35:00,66.86,66.86,66.84,66.84,400,0
