Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-23,15:35:00,13.946,13.946,13.946,13.946,170,0
2017-05-23,18:25:00,13.897,13.911,13.859,13.859,5841,0
2017-05-23,18:30:00,13.869,13.886,13.77,13.859,16736,0
2017-05-23,18:35:00,13.859,13.859,13.859,13.859,306,0
2017-05-23,19:00:00,13.887,13.887,13.887,13.887,206,0
2017-05-23,20:45:00,13.859,13.859,13.859,13.859,100,0
2017-05-24,16:45:00,13.896,13.897,13.887,13.897,4998,0
2017-05-24,17:00:00,13.879,13.879,13.879,13.879,100,0
2017-05-24,17:35:00,13.879,13.879,13.879,13.879,1046,0
2017-05-24,19:30:00,13.887,13.887,13.887,13.887,306,0
2017-05-24,20:05:00,13.887,13.887,13.887,13.887,306,0
2017-05-25,15:35:00,13.839,13.839,13.839,13.839,631,0
2017-05-25,16:40:00,13.907,13.917,13.907,13.917,614,0
2017-05-25,16:50:00,13.907,13.907,13.907,13.907,319,0
2017-05-25,17:20:00,13.917,13.917,13.917,13.917,306,0
2017-05-25,17:25:00,13.907,13.907,13.907,13.907,512,0
2017-05-25,19:20:00,13.907,13.907,13.907,13.907,2048,0
2017-05-25,19:25:00,13.907,13.907,13.907,13.907,2048,0
2017-05-25,19:30:00,13.908,13.908,13.907,13.907,1621,0
2017-05-25,20:20:00,13.902,13.902,13.897,13.897,1660,0
2017-05-25,20:25:00,13.879,13.879,13.879,13.879,206,0
2017-05-25,21:50:00,13.887,13.887,13.887,13.887,208,0
2017-05-25,22:00:00,13.887,13.887,13.887,13.887,306,0
2017-05-26,15:35:00,13.879,13.879,13.879,13.879,100,0
2017-05-26,16:15:00,13.887,13.887,13.879,13.879,1408,0
2017-05-26,16:30:00,13.887,13.887,13.887,13.887,412,0
2017-05-26,16:50:00,13.887,13.892,13.887,13.887,614,0
2017-05-26,16:55:00,13.897,13.897,13.897,13.897,100,0
2017-05-26,17:50:00,13.879,13.879,13.879,13.879,369,0
2017-05-26,18:10:00,13.879,13.879,13.879,13.879,100,0
2017-05-26,18:25:00,13.879,13.879,13.879,13.879,206,0
2017-05-26,18:40:00,13.879,13.879,13.879,13.879,206,0
2017-05-26,18:45:00,13.879,13.884,13.869,13.869,1074,0
2017-05-26,18:55:00,13.887,13.887,13.887,13.887,100,0
2017-05-26,20:10:00,13.879,13.879,13.879,13.879,100,0
2017-05-26,20:15:00,13.869,13.879,13.869,13.879,206,0
2017-05-26,21:15:00,13.897,13.897,13.897,13.897,100,0
2017-05-26,21:50:00,13.897,13.897,13.897,13.897,100,0
2017-05-26,22:00:00,13.897,13.897,13.859,13.859,3407,0
2017-05-30,15:35:00,13.926,13.926,13.926,13.926,100,0
2017-05-30,16:00:00,13.907,13.907,13.907,13.907,206,0
2017-05-30,16:05:00,13.915,13.915,13.915,13.915,100,0
2017-05-30,17:35:00,13.916,13.917,13.915,13.915,1024,0
2017-05-30,18:05:00,13.926,13.926,13.926,13.926,100,0
2017-05-30,18:45:00,13.897,13.897,13.897,13.897,100,0
2017-05-30,18:50:00,13.892,13.923,13.879,13.923,1940,0
2017-05-30,19:05:00,13.881,13.897,13.879,13.879,6148,0
2017-05-30,19:15:00,13.859,13.859,13.859,13.859,206,0
2017-05-30,19:25:00,13.869,13.869,13.866,13.869,2664,0
2017-05-30,21:30:00,13.879,13.879,13.879,13.879,3176,0
2017-05-30,21:55:00,13.887,13.887,13.887,13.887,100,0
2017-05-31,15:55:00,13.926,13.926,13.926,13.926,100,0
2017-05-31,17:05:00,13.946,13.946,13.946,13.946,542,0
2017-05-31,17:35:00,13.936,13.936,13.936,13.936,100,0
2017-05-31,17:40:00,13.946,13.946,13.946,13.946,206,0
2017-05-31,19:30:00,13.929,13.929,13.927,13.927,206,0
2017-05-31,19:45:00,13.946,13.946,13.946,13.946,216,0
2017-05-31,20:35:00,13.946,13.956,13.946,13.956,818,0
2017-05-31,21:05:00,13.976,13.976,13.959,13.966,1128,0
2017-06-01,15:35:00,13.956,13.956,13.956,13.956,305,0
2017-06-01,15:40:00,13.966,13.966,13.966,13.966,206,0
2017-06-01,16:30:00,13.966,13.966,13.966,13.966,718,0
2017-06-01,16:35:00,13.972,13.972,13.972,13.972,306,0
2017-06-01,17:10:00,13.966,13.966,13.966,13.966,206,0
2017-06-01,17:50:00,13.976,13.976,13.966,13.967,2356,0
2017-06-01,18:20:00,13.966,13.966,13.966,13.966,100,0
2017-06-01,18:30:00,13.976,13.976,13.956,13.956,3279,0
2017-06-01,18:35:00,13.976,13.986,13.956,13.956,2870,0
2017-06-01,22:00:00,13.966,13.986,13.966,13.986,206,0
2017-06-02,16:10:00,14.024,14.024,14.024,14.024,412,0
2017-06-02,16:20:00,14.024,14.024,14.024,14.024,306,0
2017-06-02,16:55:00,14.034,14.034,14.034,14.034,100,0
2017-06-02,17:15:00,14.035,14.035,14.035,14.035,100,0
2017-06-02,17:30:00,14.035,14.035,14.035,14.035,100,0
2017-06-02,18:05:00,14.039,14.039,14.039,14.039,291,0
