Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-17,15:35:00,1.83,1.83,1.83,1.83,479,0
2017-10-17,15:55:00,1.811,1.811,1.8,1.8,200,0
2017-10-17,16:00:00,1.8001,1.8001,1.8001,1.8001,189,0
2017-10-17,16:10:00,1.81,1.8128,1.8,1.8,2949,0
2017-10-17,16:15:00,1.8035,1.81,1.8,1.8,1650,0
2017-10-17,16:20:00,1.81,1.81,1.81,1.81,600,0
2017-10-17,16:30:00,1.8,1.85,1.7001,1.85,8576,0
2017-10-17,16:35:00,1.825,1.8286,1.8,1.8008,6400,0
2017-10-17,16:55:00,1.69,1.69,1.69,1.69,100,0
2017-10-17,17:05:00,1.76,1.775,1.75,1.775,600,0
2017-10-17,17:20:00,1.79,1.79,1.79,1.79,100,0
2017-10-17,18:20:00,1.801,1.801,1.801,1.801,100,0
2017-10-17,19:00:00,1.81,1.81,1.79,1.79,1400,0
2017-10-17,19:05:00,1.85,1.85,1.85,1.85,500,0
2017-10-17,19:25:00,1.81,1.81,1.8,1.8,300,0
2017-10-17,20:05:00,1.8,1.8,1.775,1.775,3840,0
2017-10-17,20:20:00,1.73,1.73,1.73,1.73,100,0
2017-10-17,21:25:00,1.75,1.7535,1.75,1.75,800,0
2017-10-17,21:30:00,1.77,1.78,1.77,1.78,300,0
2017-10-17,21:35:00,1.77,1.77,1.77,1.77,100,0
2017-10-17,21:40:00,1.7688,1.7688,1.7688,1.7688,1000,0
2017-10-17,21:45:00,1.76,1.76,1.76,1.76,408,0
2017-10-17,21:50:00,1.77,1.84,1.77,1.84,490,0
2017-10-17,22:00:00,1.8,1.83,1.7801,1.83,1091,0
2017-10-18,15:35:00,1.8,1.8,1.8,1.8,1729,0
2017-10-18,15:40:00,1.7338,1.819,1.7338,1.819,500,0
2017-10-18,16:05:00,1.771,1.78,1.77,1.77,2300,0
2017-10-18,16:10:00,1.77,1.8,1.75,1.75,16800,0
2017-10-18,16:15:00,1.76,1.76,1.71,1.7198,4600,0
2017-10-18,16:20:00,1.72,1.72,1.72,1.72,200,0
2017-10-18,16:30:00,1.7572,1.7572,1.7572,1.7572,300,0
2017-10-18,16:35:00,1.7321,1.7321,1.7321,1.7321,121,0
2017-10-18,16:45:00,1.75,1.83,1.75,1.83,6300,0
2017-10-18,17:05:00,1.766,1.79,1.76,1.79,400,0
2017-10-18,17:25:00,1.7811,1.7811,1.7811,1.7811,100,0
2017-10-18,17:30:00,1.731,1.76,1.72,1.72,20283,0
2017-10-18,17:35:00,1.82,1.82,1.82,1.82,300,0
2017-10-18,18:25:00,1.73,1.79,1.72,1.79,6098,0
2017-10-18,18:40:00,1.779,1.779,1.779,1.779,151,0
2017-10-18,19:05:00,1.75,1.75,1.72,1.72,400,0
2017-10-18,19:10:00,1.73,1.73,1.73,1.73,200,0
2017-10-18,19:15:00,1.7455,1.7455,1.7455,1.7455,650,0
2017-10-18,19:35:00,1.7578,1.7578,1.7578,1.7578,2000,0
2017-10-18,19:50:00,1.74,1.74,1.74,1.74,100,0
2017-10-18,20:00:00,1.7523,1.7523,1.7523,1.7523,295,0
2017-10-18,20:10:00,1.779,1.84,1.76,1.84,15500,0
2017-10-18,20:15:00,1.83,1.83,1.83,1.83,1140,0
2017-10-18,20:30:00,1.8036,1.81,1.8036,1.81,256,0
2017-10-18,21:35:00,1.79,1.7905,1.7415,1.7415,2200,0
2017-10-18,21:40:00,1.741,1.741,1.741,1.741,500,0
2017-10-18,21:50:00,1.75,1.75,1.75,1.75,186,0
2017-10-18,22:00:00,1.76,1.8,1.75,1.8,1192,0
2017-10-19,15:35:00,1.74,1.74,1.73,1.73,301,0
2017-10-19,15:40:00,1.75,1.75,1.75,1.75,100,0
2017-10-19,15:45:00,1.75,1.75,1.75,1.75,100,0
2017-10-19,15:50:00,1.8,1.8,1.7,1.7035,3349,0
2017-10-19,15:55:00,1.701,1.701,1.7,1.7,3950,0
2017-10-19,16:05:00,1.78,1.78,1.78,1.78,200,0
2017-10-19,16:10:00,1.8,1.8,1.8,1.8,100,0
2017-10-19,16:20:00,1.79,1.79,1.79,1.79,100,0
2017-10-19,16:25:00,1.79,1.79,1.79,1.79,100,0
2017-10-19,16:30:00,1.8,1.8,1.8,1.8,100,0
2017-10-19,16:35:00,1.8,1.8,1.8,1.8,100,0
2017-10-19,16:40:00,1.8,1.8,1.8,1.8,100,0
2017-10-19,16:45:00,1.8,1.8,1.8,1.8,100,0
2017-10-19,16:50:00,1.79,1.79,1.79,1.79,100,0
2017-10-19,17:00:00,1.79,1.79,1.7769,1.7769,200,0
2017-10-19,17:05:00,1.8,1.8,1.8,1.8,100,0
2017-10-19,17:10:00,1.8,1.8,1.8,1.8,100,0
2017-10-19,17:15:00,1.76,1.76,1.76,1.76,200,0
2017-10-19,17:20:00,1.76,1.76,1.76,1.76,100,0
