Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,2.7,2.72,2.69,2.7113,96981,0
2017-11-17,15:40:00,2.72,2.72,2.7,2.7065,68908,0
2017-11-17,15:45:00,2.71,2.71,2.7,2.71,9640,0
2017-11-17,15:50:00,2.705,2.73,2.705,2.715,294215,0
2017-11-17,15:55:00,2.715,2.73,2.71,2.7201,35431,0
2017-11-17,16:00:00,2.73,2.735,2.7207,2.735,12700,0
2017-11-17,16:05:00,2.735,2.75,2.73,2.75,80803,0
2017-11-17,16:10:00,2.75,2.75,2.73,2.74,74195,0
2017-11-17,16:15:00,2.74,2.75,2.74,2.745,33300,0
2017-11-17,16:20:00,2.745,2.75,2.74,2.75,13111,0
2017-11-17,16:25:00,2.74,2.746,2.73,2.7306,108845,0
2017-11-17,16:30:00,2.735,2.7399,2.735,2.735,1700,0
2017-11-17,16:35:00,2.735,2.7366,2.735,2.735,2000,0
2017-11-17,16:40:00,2.735,2.7399,2.73,2.735,18820,0
2017-11-17,16:45:00,2.73,2.74,2.73,2.735,32672,0
2017-11-17,16:50:00,2.74,2.74,2.73,2.7308,14640,0
2017-11-17,16:55:00,2.735,2.74,2.73,2.74,8375,0
2017-11-17,17:00:00,2.73,2.745,2.73,2.745,48548,0
2017-11-17,17:05:00,2.745,2.76,2.745,2.755,60724,0
2017-11-17,17:10:00,2.75,2.755,2.75,2.75,16800,0
2017-11-17,17:15:00,2.755,2.7599,2.75,2.75,25870,0
2017-11-17,17:20:00,2.75,2.755,2.75,2.755,20545,0
2017-11-17,17:25:00,2.75,2.755,2.75,2.75,400,0
2017-11-17,17:30:00,2.75,2.76,2.75,2.753,4030,0
2017-11-17,17:35:00,2.755,2.755,2.75,2.75,7700,0
2017-11-17,17:40:00,2.755,2.755,2.75,2.75,400,0
2017-11-17,17:45:00,2.755,2.76,2.75,2.75,9700,0
2017-11-17,17:50:00,2.755,2.76,2.75,2.751,8676,0
2017-11-17,17:55:00,2.755,2.76,2.75,2.75,2779,0
2017-11-17,18:00:00,2.76,2.76,2.7547,2.7547,21800,0
2017-11-17,18:05:00,2.76,2.76,2.751,2.755,41993,0
2017-11-17,18:10:00,2.755,2.76,2.755,2.755,29195,0
2017-11-17,18:15:00,2.755,2.76,2.75,2.75,10800,0
2017-11-17,18:20:00,2.75,2.755,2.75,2.7507,4600,0
2017-11-17,18:25:00,2.75,2.755,2.75,2.755,6200,0
2017-11-17,18:30:00,2.75,2.755,2.75,2.75,600,0
2017-11-17,18:35:00,2.75,2.755,2.75,2.755,6200,0
2017-11-17,18:40:00,2.755,2.755,2.75,2.75,3300,0
2017-11-17,18:45:00,2.75,2.755,2.75,2.755,300,0
2017-11-17,18:50:00,2.7588,2.76,2.75,2.755,20000,0
2017-11-17,18:55:00,2.76,2.7753,2.755,2.77,86741,0
2017-11-17,19:00:00,2.77,2.7787,2.77,2.77,34041,0
2017-11-17,19:05:00,2.77,2.779,2.77,2.77,29965,0
2017-11-17,19:10:00,2.775,2.7788,2.77,2.77,6000,0
2017-11-17,19:15:00,2.77,2.78,2.77,2.775,13900,0
2017-11-17,19:20:00,2.775,2.78,2.771,2.78,12037,0
2017-11-17,19:25:00,2.775,2.785,2.775,2.785,61743,0
2017-11-17,19:30:00,2.78,2.7874,2.78,2.78,39000,0
2017-11-17,19:35:00,2.78,2.785,2.775,2.775,96187,0
2017-11-17,19:40:00,2.775,2.775,2.77,2.775,1400,0
2017-11-17,19:45:00,2.77,2.7799,2.77,2.7724,5799,0
2017-11-17,19:50:00,2.77,2.78,2.77,2.78,4600,0
2017-11-17,19:55:00,2.775,2.775,2.76,2.765,109634,0
2017-11-17,20:00:00,2.765,2.77,2.76,2.76,7874,0
2017-11-17,20:05:00,2.76,2.77,2.76,2.7666,2513,0
2017-11-17,20:10:00,2.77,2.77,2.76,2.77,1300,0
2017-11-17,20:15:00,2.77,2.77,2.76,2.765,12333,0
2017-11-17,20:20:00,2.76,2.765,2.76,2.76,27600,0
2017-11-17,20:25:00,2.76,2.765,2.745,2.75,216459,0
2017-11-17,20:30:00,2.75,2.76,2.75,2.755,16400,0
2017-11-17,20:35:00,2.755,2.7567,2.75,2.751,16280,0
2017-11-17,20:40:00,2.75,2.755,2.7403,2.745,32641,0
2017-11-17,20:45:00,2.743,2.745,2.74,2.745,3700,0
2017-11-17,20:50:00,2.745,2.75,2.7449,2.75,6236,0
2017-11-17,20:55:00,2.745,2.745,2.74,2.74,2400,0
