Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-13,15:35:00,22.43,22.44,22.424,22.44,7545,0
2017-11-13,15:40:00,22.44,22.44,22.44,22.44,9730,0
2017-11-13,15:45:00,22.439,22.44,22.439,22.44,7724,0
2017-11-13,15:55:00,22.45,22.468,22.45,22.468,1404,0
2017-11-13,16:00:00,22.466,22.466,22.466,22.466,1063,0
2017-11-13,16:05:00,22.45,22.45,22.45,22.45,1218,0
2017-11-13,16:10:00,22.45,22.459,22.45,22.459,444,0
2017-11-13,16:20:00,22.46,22.46,22.45,22.45,1784,0
2017-11-13,16:30:00,22.45,22.45,22.45,22.45,201,0
2017-11-13,16:35:00,22.44,22.44,22.44,22.44,3385,0
2017-11-13,16:40:00,22.44,22.44,22.426,22.426,8079,0
2017-11-13,16:45:00,22.42,22.42,22.41,22.41,9484,0
2017-11-13,16:50:00,22.4,22.416,22.4,22.416,9630,0
2017-11-13,16:55:00,22.44,22.44,22.43,22.43,2508,0
2017-11-13,17:05:00,22.421,22.44,22.421,22.44,2107,0
2017-11-13,17:15:00,22.443,22.443,22.43,22.434,2829,0
2017-11-13,17:20:00,22.43,22.435,22.43,22.435,1103,0
2017-11-13,17:25:00,22.435,22.435,22.435,22.435,401,0
2017-11-13,17:30:00,22.437,22.44,22.435,22.44,4865,0
2017-11-13,17:35:00,22.44,22.44,22.425,22.425,2107,0
2017-11-13,17:40:00,22.43,22.43,22.43,22.43,301,0
2017-11-13,17:45:00,22.452,22.452,22.452,22.452,301,0
2017-11-13,17:55:00,22.446,22.446,22.446,22.446,1254,0
2017-11-13,18:00:00,22.448,22.448,22.448,22.448,2090,0
2017-11-13,18:05:00,22.44,22.44,22.44,22.44,100,0
2017-11-13,18:10:00,22.451,22.451,22.451,22.451,502,0
2017-11-13,18:15:00,22.447,22.447,22.447,22.447,1088,0
2017-11-13,18:20:00,22.44,22.44,22.44,22.44,301,0
2017-11-13,18:25:00,22.446,22.446,22.446,22.446,797,0
2017-11-13,18:40:00,22.447,22.449,22.44,22.449,4524,0
2017-11-13,18:45:00,22.44,22.44,22.44,22.44,1204,0
2017-11-13,19:00:00,22.44,22.44,22.44,22.44,301,0
2017-11-13,19:05:00,22.445,22.47,22.445,22.465,4682,0
2017-11-13,19:10:00,22.463,22.463,22.46,22.46,892,0
2017-11-13,19:15:00,22.47,22.47,22.45,22.451,2259,0
2017-11-13,19:20:00,22.47,22.47,22.456,22.456,4172,0
2017-11-13,19:25:00,22.46,22.46,22.46,22.46,100,0
2017-11-13,19:35:00,22.46,22.46,22.45,22.45,1055,0
2017-11-13,19:45:00,22.47,22.47,22.464,22.464,802,0
2017-11-13,19:50:00,22.47,22.48,22.45,22.45,2508,0
2017-11-13,19:55:00,22.45,22.45,22.45,22.45,502,0
2017-11-13,20:15:00,22.44,22.44,22.44,22.44,201,0
2017-11-13,20:20:00,22.444,22.444,22.444,22.444,580,0
2017-11-13,20:25:00,22.44,22.441,22.44,22.441,3752,0
2017-11-13,20:35:00,22.44,22.445,22.44,22.44,8326,0
2017-11-13,20:40:00,22.445,22.447,22.445,22.447,672,0
2017-11-13,20:50:00,22.449,22.449,22.449,22.449,502,0
2017-11-13,20:55:00,22.44,22.441,22.44,22.44,3631,0
2017-11-13,21:10:00,22.443,22.443,22.443,22.443,150,0
2017-11-13,21:15:00,22.442,22.442,22.442,22.442,203,0
2017-11-13,21:25:00,22.44,22.45,22.44,22.44,4033,0
2017-11-13,21:30:00,22.449,22.45,22.44,22.44,4559,0
2017-11-13,21:35:00,22.44,22.44,22.44,22.44,100,0
2017-11-13,21:45:00,22.44,22.443,22.44,22.44,401,0
2017-11-13,21:50:00,22.44,22.45,22.43,22.43,12040,0
2017-11-13,21:55:00,22.435,22.44,22.43,22.43,3433,0
2017-11-13,22:00:00,22.43,22.439,22.41,22.41,2384,0
2017-11-14,15:35:00,22.45,22.4691,22.38,22.4136,7370,0
2017-11-14,15:40:00,22.39,22.39,22.39,22.39,200,0
2017-11-14,15:45:00,22.39,22.45,22.38,22.38,700,0
2017-11-14,15:50:00,22.38,22.44,22.38,22.39,8600,0
2017-11-14,15:55:00,22.4,22.4,22.4,22.4,7600,0
2017-11-14,16:00:00,22.4,22.44,22.4,22.4,8700,0
