Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,2.46,2.53,2.46,2.49,12489,0
2017-11-17,15:40:00,2.49,2.51,2.48,2.48,1600,0
2017-11-17,15:50:00,2.48,2.48,2.47,2.47,1500,0
2017-11-17,15:55:00,2.4701,2.48,2.4701,2.48,2350,0
2017-11-17,16:00:00,2.4701,2.48,2.47,2.47,2100,0
2017-11-17,16:05:00,2.48,2.48,2.47,2.475,501,0
2017-11-17,16:10:00,2.48,2.51,2.48,2.51,11075,0
2017-11-17,16:15:00,2.51,2.51,2.505,2.51,580,0
2017-11-17,16:20:00,2.505,2.51,2.505,2.51,1100,0
2017-11-17,16:25:00,2.51,2.54,2.505,2.54,2900,0
2017-11-17,16:30:00,2.524,2.54,2.524,2.54,2300,0
2017-11-17,16:35:00,2.525,2.54,2.525,2.525,400,0
2017-11-17,16:40:00,2.52,2.54,2.52,2.54,2810,0
2017-11-17,16:45:00,2.539,2.55,2.535,2.55,6500,0
2017-11-17,16:50:00,2.549,2.56,2.549,2.56,6130,0
2017-11-17,16:55:00,2.56,2.56,2.555,2.56,800,0
2017-11-17,17:00:00,2.56,2.56,2.5464,2.55,3800,0
2017-11-17,17:05:00,2.545,2.55,2.545,2.55,700,0
2017-11-17,17:10:00,2.5407,2.55,2.53,2.54,2185,0
2017-11-17,17:15:00,2.54,2.55,2.535,2.55,1700,0
2017-11-17,17:20:00,2.544,2.55,2.544,2.55,840,0
2017-11-17,17:25:00,2.545,2.555,2.545,2.55,1414,0
2017-11-17,17:30:00,2.56,2.56,2.55,2.5557,450,0
2017-11-17,17:35:00,2.555,2.56,2.55,2.55,600,0
2017-11-17,17:40:00,2.56,2.57,2.56,2.57,3000,0
2017-11-17,17:45:00,2.57,2.59,2.5693,2.58,4700,0
2017-11-17,17:50:00,2.58,2.58,2.56,2.56,9750,0
2017-11-17,17:55:00,2.5657,2.57,2.5657,2.57,600,0
2017-11-17,18:00:00,2.5628,2.57,2.56,2.57,12328,0
2017-11-17,18:05:00,2.57,2.57,2.5699,2.57,1500,0
2017-11-17,18:10:00,2.57,2.57,2.5601,2.57,1040,0
2017-11-17,18:15:00,2.56,2.57,2.56,2.57,400,0
2017-11-17,18:20:00,2.57,2.57,2.56,2.56,1000,0
2017-11-17,18:25:00,2.57,2.57,2.56,2.56,1992,0
2017-11-17,18:30:00,2.565,2.565,2.55,2.55,3539,0
2017-11-17,18:35:00,2.55,2.55,2.55,2.55,643,0
2017-11-17,18:40:00,2.55,2.559,2.54,2.545,6100,0
2017-11-17,18:45:00,2.54,2.545,2.53,2.53,1505,0
2017-11-17,18:50:00,2.53,2.535,2.53,2.535,900,0
2017-11-17,18:55:00,2.5307,2.5307,2.53,2.53,3500,0
2017-11-17,19:00:00,2.52,2.52,2.51,2.52,4900,0
2017-11-17,19:05:00,2.52,2.5207,2.5,2.5207,7900,0
2017-11-17,19:10:00,2.52,2.5207,2.52,2.5207,3100,0
2017-11-17,19:15:00,2.5207,2.53,2.52,2.53,4000,0
2017-11-17,19:20:00,2.5207,2.53,2.52,2.53,4200,0
2017-11-17,19:25:00,2.52,2.52,2.51,2.51,5000,0
2017-11-17,19:30:00,2.51,2.51,2.5,2.5,4300,0
2017-11-17,19:35:00,2.5,2.51,2.5,2.5007,3527,0
2017-11-17,19:40:00,2.505,2.505,2.5,2.5,4143,0
2017-11-17,19:45:00,2.505,2.509,2.49,2.5,5170,0
2017-11-17,19:50:00,2.5001,2.51,2.5,2.5,1400,0
2017-11-17,19:55:00,2.5,2.5,2.495,2.495,7900,0
2017-11-17,20:00:00,2.5,2.5,2.5,2.5,100,0
2017-11-17,20:05:00,2.5,2.5,2.5,2.5,400,0
2017-11-17,20:10:00,2.5,2.5,2.49,2.5,1200,0
2017-11-17,20:20:00,2.495,2.5,2.495,2.5,500,0
2017-11-17,20:25:00,2.495,2.52,2.495,2.52,15184,0
2017-11-17,20:30:00,2.52,2.52,2.51,2.51,3645,0
2017-11-17,20:35:00,2.51,2.51,2.5,2.5,4600,0
2017-11-17,20:40:00,2.49,2.5,2.49,2.49,1300,0
2017-11-17,20:45:00,2.495,2.5,2.495,2.5,1200,0
2017-11-17,20:50:00,2.5,2.51,2.495,2.4997,3648,0
2017-11-17,20:55:00,2.5,2.5,2.49,2.5,1200,0
2017-11-17,21:00:00,2.5,2.51,2.5,2.51,1800,0
2017-11-17,21:05:00,2.5,2.5,2.5,2.5,3800,0
2017-11-17,21:10:00,2.495,2.495,2.49,2.49,300,0
2017-11-17,21:15:00,2.5,2.5,2.49,2.495,400,0
2017-11-17,21:20:00,2.49,2.4901,2.49,2.49,300,0
2017-11-17,21:25:00,2.5,2.51,2.5,2.5,4300,0
2017-11-17,21:30:00,2.495,2.5,2.495,2.5,400,0
2017-11-17,21:35:00,2.49,2.5,2.49,2.495,700,0
2017-11-17,21:40:00,2.495,2.5,2.49,2.49,2800,0
2017-11-17,21:45:00,2.5,2.5,2.49,2.495,1400,0
2017-11-17,21:50:00,2.49,2.5,2.49,2.5,6500,0
2017-11-17,21:55:00,2.5,2.5,2.49,2.5,5646,0
2017-11-17,22:00:00,2.5,2.5,2.49,2.5,17027,0
2017-11-20,15:35:00,2.51,2.51,2.51,2.51,1993,0
2017-11-20,15:40:00,2.52,2.52,2.49,2.49,1800,0
2017-11-20,15:45:00,2.49,2.5,2.49,2.5,3654,0
2017-11-20,15:50:00,2.49,2.51,2.49,2.51,8875,0
2017-11-20,15:55:00,2.5,2.5,2.49,2.49,1000,0
2017-11-20,16:00:00,2.49,2.49,2.49,2.49,1100,0
2017-11-20,16:10:00,2.49,2.49,2.48,2.48,1749,0
2017-11-20,16:15:00,2.48,2.48,2.48,2.48,442,0
2017-11-20,16:20:00,2.48,2.48,2.48,2.48,100,0
2017-11-20,16:25:00,2.49,2.49,2.49,2.49,100,0
2017-11-20,16:30:00,2.49,2.49,2.49,2.49,200,0
2017-11-20,16:35:00,2.49,2.49,2.48,2.48,400,0
2017-11-20,16:40:00,2.48,2.48,2.47,2.47,2200,0
2017-11-20,16:45:00,2.48,2.48,2.48,2.48,100,0
2017-11-20,16:50:00,2.473,2.49,2.473,2.49,6928,0
2017-11-20,16:55:00,2.49,2.5,2.49,2.5,1137,0
2017-11-20,17:00:00,2.49,2.5,2.49,2.5,5400,0
2017-11-20,17:05:00,2.5,2.5,2.49,2.5,500,0
2017-11-20,17:10:00,2.5,2.5,2.5,2.5,200,0
2017-11-20,17:15:00,2.5,2.5,2.49,2.5,500,0
2017-11-20,17:20:00,2.5,2.5,2.5,2.5,300,0
2017-11-20,17:25:00,2.5,2.5,2.4944,2.5,1500,0
2017-11-20,17:30:00,2.5,2.5,2.5,2.5,300,0
2017-11-20,17:35:00,2.5,2.5,2.5,2.5,100,0
2017-11-20,17:40:00,2.5,2.5,2.5,2.5,100,0
2017-11-20,17:45:00,2.5,2.5,2.5,2.5,200,0
2017-11-20,17:50:00,2.5,2.5,2.49,2.5,1185,0
2017-11-20,17:55:00,2.5,2.5,2.5,2.5,200,0
2017-11-20,18:00:00,2.5,2.5,2.49,2.49,2115,0
2017-11-20,18:05:00,2.5,2.5,2.4901,2.4952,2848,0
2017-11-20,18:10:00,2.5,2.5,2.4901,2.5,3517,0
2017-11-20,18:20:00,2.5,2.5,2.4999,2.4999,300,0
2017-11-20,18:25:00,2.495,2.5,2.495,2.5,200,0
2017-11-20,18:30:00,2.5,2.51,2.5,2.51,2432,0
2017-11-20,18:35:00,2.51,2.51,2.5086,2.5086,400,0
2017-11-20,18:40:00,2.51,2.51,2.5,2.51,4127,0
2017-11-20,18:50:00,2.51,2.51,2.5,2.5,1200,0
2017-11-20,18:55:00,2.495,2.5,2.495,2.5,200,0
2017-11-20,19:00:00,2.4934,2.495,2.49,2.495,1495,0
2017-11-20,19:05:00,2.5,2.5,2.5,2.5,100,0
2017-11-20,19:10:00,2.49,2.5,2.49,2.5,400,0
2017-11-20,19:15:00,2.5,2.5,2.5,2.5,100,0
2017-11-20,19:20:00,2.49,2.5,2.49,2.49,2495,0
2017-11-20,19:30:00,2.49,2.5,2.49,2.495,1200,0
2017-11-20,19:35:00,2.5,2.5,2.5,2.5,1121,0
2017-11-20,19:40:00,2.5,2.5,2.499,2.5,2800,0
2017-11-20,19:45:00,2.5,2.52,2.5,2.5101,20512,0
2017-11-20,19:50:00,2.51,2.52,2.51,2.51,1400,0
2017-11-20,19:55:00,2.52,2.53,2.52,2.53,2733,0
2017-11-20,20:00:00,2.52,2.53,2.52,2.53,5033,0
2017-11-20,20:05:00,2.52,2.53,2.52,2.53,10430,0
2017-11-20,20:10:00,2.52,2.52,2.5132,2.5132,13600,0
2017-11-20,20:15:00,2.51,2.53,2.51,2.53,12020,0
2017-11-20,20:20:00,2.52,2.52,2.52,2.52,700,0
