Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-16,15:35:00,31.15,31.26,30.791,30.9243,21597,0
2017-11-16,15:40:00,30.8601,31.0219,30.8601,31.0219,3510,0
2017-11-16,15:45:00,31.25,31.35,31.25,31.2934,6203,0
2017-11-16,15:50:00,31.26,31.276,31.15,31.17,1800,0
2017-11-16,15:55:00,31.2562,31.2562,31.02,31.04,2106,0
2017-11-16,16:00:00,31.057,31.095,31.05,31.0501,1300,0
2017-11-16,16:05:00,31.105,31.28,31.105,31.25,12800,0
2017-11-16,16:10:00,31.2216,31.48,31.17,31.48,8423,0
2017-11-16,16:15:00,31.445,31.445,31.3,31.4175,3100,0
2017-11-16,16:20:00,31.395,31.43,31.215,31.33,1100,0
2017-11-16,16:25:00,31.32,31.32,31.32,31.32,100,0
2017-11-16,16:30:00,31.32,31.33,31.12,31.33,9706,0
2017-11-16,16:35:00,31.41,31.65,31.34,31.4,19047,0
2017-11-16,16:40:00,31.5597,31.56,31.35,31.4,6100,0
2017-11-16,16:45:00,31.44,31.65,31.44,31.64,9781,0
2017-11-16,16:50:00,31.495,31.58,31.48,31.49,9540,0
2017-11-16,16:55:00,31.49,31.536,31.48,31.535,1650,0
2017-11-16,17:00:00,31.58,31.62,31.45,31.5,18171,0
2017-11-16,17:05:00,31.56,31.655,31.53,31.64,3500,0
2017-11-16,17:10:00,31.6999,31.6999,31.6441,31.6441,1239,0
2017-11-16,17:15:00,31.4839,31.4839,31.44,31.4572,4590,0
2017-11-16,17:20:00,31.49,31.548,31.4728,31.548,5140,0
2017-11-16,17:25:00,31.52,31.58,31.445,31.445,900,0
2017-11-16,17:30:00,31.3867,31.43,31.3867,31.43,490,0
2017-11-16,17:35:00,31.43,31.43,31.43,31.43,200,0
2017-11-16,17:40:00,31.41,31.53,31.41,31.53,3300,0
2017-11-16,17:45:00,31.517,31.517,31.44,31.5,2780,0
2017-11-16,17:50:00,31.485,31.55,31.485,31.525,1600,0
2017-11-16,17:55:00,31.55,31.55,31.435,31.5,950,0
2017-11-16,18:05:00,31.5,31.525,31.5,31.525,300,0
2017-11-16,18:10:00,31.5,31.51,31.5,31.5,1745,0
2017-11-16,18:15:00,31.512,31.55,31.48,31.55,3200,0
2017-11-16,18:20:00,31.54,31.54,31.5,31.5,200,0
2017-11-16,18:25:00,31.5,31.5,31.5,31.5,100,0
2017-11-16,18:30:00,31.5,31.52,31.5,31.52,9350,0
2017-11-16,18:35:00,31.52,31.52,31.51,31.5101,2600,0
