Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,3.91,3.9686,3.91,3.91,5502,0
2017-11-17,15:40:00,3.89,3.92,3.89,3.92,5700,0
2017-11-17,15:45:00,3.93,3.94,3.92,3.92,800,0
2017-11-17,15:50:00,3.92,3.94,3.9,3.94,2288,0
2017-11-17,16:00:00,3.93,3.93,3.87,3.87,3297,0
2017-11-17,16:05:00,3.83,3.86,3.83,3.85,714,0
2017-11-17,16:10:00,3.85,3.88,3.85,3.88,5768,0
2017-11-17,16:15:00,3.88,3.88,3.88,3.88,100,0
2017-11-17,16:20:00,3.88,3.89,3.88,3.89,500,0
2017-11-17,16:25:00,3.87,3.88,3.87,3.88,900,0
2017-11-17,16:30:00,3.89,3.89,3.89,3.89,100,0
2017-11-17,16:35:00,3.89,3.89,3.89,3.89,710,0
2017-11-17,16:40:00,3.9,3.92,3.9,3.91,2900,0
2017-11-17,16:45:00,3.92,3.94,3.91,3.94,600,0
2017-11-17,16:50:00,3.93,3.94,3.92,3.94,1800,0
2017-11-17,16:55:00,3.92,3.94,3.92,3.94,900,0
2017-11-17,17:00:00,3.93,3.93,3.92,3.92,200,0
2017-11-17,17:10:00,3.9,3.92,3.9,3.92,500,0
2017-11-17,17:15:00,3.9,3.91,3.9,3.9,1100,0
2017-11-17,17:20:00,3.91,3.92,3.91,3.92,1328,0
2017-11-17,17:25:00,3.94,3.94,3.93,3.93,300,0
2017-11-17,17:35:00,3.93,3.95,3.93,3.94,700,0
2017-11-17,17:40:00,3.94,3.95,3.93,3.93,1034,0
2017-11-17,17:45:00,3.93,3.955,3.93,3.95,4631,0
2017-11-17,17:55:00,3.95,3.959,3.95,3.959,900,0
2017-11-17,18:00:00,3.9403,3.9403,3.9403,3.9403,200,0
2017-11-17,18:05:00,3.94,3.96,3.94,3.94,500,0
2017-11-17,18:10:00,3.96,3.96,3.96,3.96,200,0
2017-11-17,18:15:00,3.96,3.96,3.95,3.95,500,0
2017-11-17,18:20:00,3.95,3.95,3.91,3.92,4400,0
2017-11-17,18:40:00,3.92,3.95,3.92,3.939,1656,0
2017-11-17,18:45:00,3.96,3.96,3.96,3.96,200,0
2017-11-17,18:50:00,3.96,3.96,3.96,3.96,300,0
2017-11-17,18:55:00,3.96,3.96,3.96,3.96,300,0
2017-11-17,19:00:00,3.96,3.96,3.94,3.96,700,0
2017-11-17,19:05:00,3.96,3.98,3.96,3.98,800,0
2017-11-17,19:15:00,4,4,4,4,300,0
2017-11-17,19:20:00,4,4,4,4,100,0
2017-11-17,19:25:00,4,4,3.98,3.99,700,0
2017-11-17,19:30:00,3.99,3.99,3.985,3.99,300,0
2017-11-17,19:35:00,4,4,3.995,3.995,291,0
2017-11-17,19:40:00,4,4,3.99,4,300,0
2017-11-17,19:45:00,4,4,3.99,3.99,496,0
2017-11-17,20:00:00,4,4,3.96,3.96,1800,0
2017-11-17,20:05:00,3.96,3.97,3.96,3.97,200,0
2017-11-17,20:10:00,3.96,3.97,3.96,3.97,500,0
2017-11-17,20:15:00,3.95,3.97,3.95,3.95,600,0
2017-11-17,20:20:00,3.95,3.95,3.95,3.95,100,0
2017-11-17,20:25:00,3.96,3.96,3.96,3.96,100,0
2017-11-17,20:30:00,3.95,3.97,3.95,3.97,300,0
2017-11-17,20:35:00,3.95,3.95,3.93,3.95,1600,0
2017-11-17,20:40:00,3.94,3.99,3.94,3.97,3000,0
2017-11-17,20:50:00,3.95,3.98,3.95,3.98,200,0
2017-11-17,20:55:00,3.98,3.99,3.98,3.99,941,0
2017-11-17,21:00:00,3.99,3.99,3.99,3.99,302,0
2017-11-17,21:05:00,3.99,3.99,3.97,3.99,400,0
2017-11-17,21:10:00,3.98,3.98,3.98,3.98,100,0
2017-11-17,21:15:00,3.97,3.98,3.96,3.96,700,0
2017-11-17,21:20:00,3.97,3.97,3.95,3.95,203,0
2017-11-17,21:25:00,3.95,3.97,3.95,3.97,200,0
2017-11-17,21:30:00,3.96,4,3.95,4,11984,0
2017-11-17,21:35:00,4,4.02,4,4.02,700,0
2017-11-17,21:40:00,4.0285,4.03,4,4.01,1500,0
2017-11-17,21:45:00,4,4.01,4,4,1546,0
2017-11-17,21:50:00,4,4.01,4,4.01,2000,0
2017-11-17,21:55:00,4.015,4.02,4,4.01,2922,0
2017-11-17,22:00:00,4.01,4.02,4,4.01,21777,0
2017-11-20,15:35:00,4.03,4.05,4.01,4.05,2454,0
2017-11-20,15:40:00,4.05,4.05,4.02,4.02,5500,0
2017-11-20,15:45:00,4.0063,4.0063,4,4,2833,0
2017-11-20,15:50:00,4.02,4.02,4,4,800,0
2017-11-20,15:55:00,4.0098,4.0098,3.99,3.99,2876,0
2017-11-20,16:00:00,3.97,3.98,3.97,3.97,700,0
2017-11-20,16:05:00,3.97,3.97,3.96,3.96,1871,0
2017-11-20,16:10:00,3.96,3.96,3.92,3.92,2450,0
2017-11-20,16:15:00,3.92,3.95,3.92,3.93,4962,0
2017-11-20,16:20:00,3.93,4.01,3.93,3.9939,12377,0
2017-11-20,16:30:00,3.98,3.98,3.98,3.98,400,0
2017-11-20,16:35:00,3.96,3.96,3.95,3.95,700,0
2017-11-20,16:40:00,3.95,3.95,3.93,3.935,1400,0
2017-11-20,16:45:00,3.93,3.93,3.93,3.93,100,0
2017-11-20,16:50:00,3.95,3.95,3.95,3.95,100,0
2017-11-20,16:55:00,3.93,3.94,3.93,3.93,700,0
2017-11-20,17:00:00,3.93,3.9339,3.93,3.9339,225,0
2017-11-20,17:05:00,3.93,3.93,3.89,3.89,10094,0
2017-11-20,17:10:00,3.8798,3.8824,3.87,3.87,1650,0
2017-11-20,17:15:00,3.88,3.88,3.86,3.86,700,0
2017-11-20,17:20:00,3.8784,3.915,3.87,3.915,15419,0
2017-11-20,17:25:00,3.9,3.92,3.9,3.92,600,0
2017-11-20,17:30:00,3.9,3.93,3.9,3.93,2300,0
2017-11-20,17:35:00,3.935,3.935,3.935,3.935,100,0
2017-11-20,17:40:00,3.92,3.95,3.92,3.95,1900,0
2017-11-20,17:50:00,3.96,3.965,3.96,3.965,400,0
2017-11-20,17:55:00,3.96,3.965,3.96,3.965,200,0
2017-11-20,18:00:00,3.96,3.96,3.96,3.96,200,0
2017-11-20,18:05:00,3.965,3.97,3.96,3.97,400,0
2017-11-20,18:10:00,3.96,4,3.96,3.9701,3283,0
2017-11-20,18:20:00,3.98,3.98,3.96,3.96,2492,0
2017-11-20,18:25:00,3.94,3.955,3.9,3.955,6000,0
2017-11-20,18:30:00,3.94,3.94,3.94,3.94,100,0
2017-11-20,18:35:00,3.93,3.93,3.93,3.93,700,0
2017-11-20,18:40:00,3.93,3.94,3.93,3.94,1204,0
2017-11-20,18:45:00,3.94,3.94,3.94,3.94,600,0
2017-11-20,18:50:00,3.94,3.94,3.94,3.94,100,0
2017-11-20,18:55:00,3.945,3.955,3.945,3.95,2024,0
2017-11-20,19:00:00,3.94,3.94,3.94,3.94,100,0
2017-11-20,19:05:00,3.94,3.94,3.92,3.92,8680,0
2017-11-20,19:10:00,3.92,3.92,3.91,3.91,400,0
2017-11-20,19:15:00,3.89,3.9002,3.89,3.9002,600,0
2017-11-20,19:20:00,3.91,3.945,3.9,3.945,3000,0
2017-11-20,19:25:00,3.9401,3.95,3.9401,3.95,800,0
2017-11-20,19:30:00,3.96,3.98,3.96,3.98,700,0
2017-11-20,19:35:00,3.9626,3.97,3.9626,3.97,1400,0
2017-11-20,19:40:00,3.96,3.97,3.96,3.96,500,0
2017-11-20,19:45:00,3.96,3.96,3.92,3.92,1666,0
2017-11-20,19:55:00,3.92,3.92,3.92,3.92,400,0
2017-11-20,20:00:00,3.92,3.9298,3.92,3.9298,933,0
2017-11-20,20:05:00,3.93,3.93,3.93,3.93,100,0
2017-11-20,20:10:00,3.935,3.9401,3.935,3.94,1500,0
2017-11-20,20:15:00,3.95,3.96,3.95,3.96,1400,0
2017-11-20,20:20:00,3.95,3.95,3.94,3.94,860,0
2017-11-20,20:30:00,3.94,3.95,3.94,3.94,400,0
