Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-10,17:05:00,24.3748,24.3748,24.3748,24.3748,200,0
2017-10-10,18:35:00,24.4385,24.4385,24.4385,24.4385,475,0
2017-10-10,19:15:00,24.44,24.55,24.44,24.55,1484,0
2017-10-10,19:20:00,24.5,24.5,24.5,24.5,400,0
2017-10-10,19:35:00,24.5001,24.5001,24.5001,24.5001,291,0
2017-10-10,20:05:00,24.5,24.5,24.5,24.5,225,0
2017-10-10,20:15:00,24.5,24.5,24.5,24.5,775,0
2017-10-10,20:30:00,24.4367,24.4367,24.4367,24.4367,400,0
2017-10-10,20:35:00,24.5,24.5,24.428,24.428,850,0
2017-10-10,20:45:00,24.3101,24.3101,24.3101,24.3101,1895,0
2017-10-10,21:00:00,24.3172,24.3172,24.3172,24.3172,407,0
2017-10-10,21:05:00,24.5,24.5,24.428,24.428,800,0
2017-10-11,17:50:00,24.28,24.28,24.264,24.264,700,0
2017-10-11,17:55:00,24.2985,24.2985,24.2985,24.2985,650,0
2017-10-11,20:10:00,24.3528,24.3528,24.28,24.28,1385,0
2017-10-11,20:15:00,24.5197,24.5197,24.5197,24.5197,700,0
2017-10-11,20:30:00,24.3593,24.3593,24.3593,24.3593,1000,0
2017-10-11,21:00:00,24.5284,24.5284,24.5284,24.5284,450,0
2017-10-11,21:15:00,24.5293,24.5293,24.5293,24.5293,450,0
2017-10-11,22:00:00,24.31,24.31,24.31,24.31,1205,0
2017-10-12,15:50:00,24.4103,24.4103,24.4103,24.4103,180,0
2017-10-12,16:05:00,24.29,24.29,24.25,24.25,2844,0
2017-10-12,16:30:00,23.99,24,23.99,24,1300,0
2017-10-12,16:35:00,23.91,23.91,23.75,23.75,600,0
2017-10-12,17:00:00,23.85,23.85,23.85,23.85,100,0
2017-10-12,17:15:00,24.22,24.25,24.19,24.19,900,0
2017-10-12,17:55:00,23.9803,23.9803,23.9803,23.9803,400,0
2017-10-12,18:00:00,24.156,24.156,24.156,24.156,475,0
2017-10-12,18:10:00,24.23,24.25,24.23,24.25,200,0
2017-10-12,18:15:00,24.25,24.25,24.25,24.25,100,0
2017-10-12,18:25:00,24.23,24.23,24.23,24.23,100,0
2017-10-12,18:50:00,24.25,24.25,24.25,24.25,276,0
2017-10-12,19:40:00,24.39,24.44,24.39,24.41,400,0
2017-10-12,20:15:00,24.4,24.5,24.4,24.5,1006,0
2017-10-12,20:25:00,24.4,24.4,24.4,24.4,100,0
2017-10-12,20:30:00,24.3328,24.3328,24.3328,24.3328,350,0
2017-10-12,21:20:00,24.37,24.37,24.37,24.37,100,0
2017-10-12,21:35:00,24.4694,24.4694,24.4694,24.4694,200,0
2017-10-12,21:40:00,24.45,24.45,24.45,24.45,100,0
2017-10-12,21:45:00,24.5832,24.5832,24.5832,24.5832,475,0
2017-10-12,21:50:00,24.5832,24.5832,24.5832,24.5832,475,0
2017-10-12,21:55:00,24.45,24.45,24.45,24.45,180,0
2017-10-12,22:00:00,24.539,24.539,24.26,24.28,1799,0
2017-10-13,16:20:00,24.47,24.64,24.47,24.64,773,0
2017-10-13,16:40:00,24.55,24.55,24.55,24.55,200,0
