Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-16,15:35:00,135.75,136.47,135.75,136.04,7125,0
2017-11-16,15:40:00,135.92,135.92,135.68,135.75,1533,0
2017-11-16,15:45:00,135.75,135.7955,135.66,135.7955,300,0
2017-11-16,15:50:00,135.85,135.85,135.69,135.76,300,0
2017-11-16,15:55:00,135.82,135.91,135.775,135.84,2019,0
2017-11-16,16:00:00,135.79,135.91,135.705,135.91,1450,0
2017-11-16,16:05:00,135.885,136.04,135.82,135.82,300,0
2017-11-16,16:10:00,135.92,136.14,135.92,136.14,4600,0
2017-11-16,16:15:00,136.1,136.1,136.085,136.085,300,0
2017-11-16,16:20:00,136.12,136.18,136.07,136.18,734,0
2017-11-16,16:25:00,136.37,136.37,136.01,136.01,2500,0
2017-11-16,16:40:00,136.0999,136.17,136.02,136.06,2854,0
2017-11-16,16:45:00,136.18,136.19,136.06,136.06,1574,0
2017-11-16,16:50:00,136.14,136.14,136.05,136.05,200,0
2017-11-16,16:55:00,136.02,136.02,135.955,135.98,1200,0
2017-11-16,17:00:00,135.955,136,135.93,135.93,2027,0
2017-11-16,17:05:00,135.92,136,135.92,136,1670,0
2017-11-16,17:10:00,136,136,135.94,135.98,1481,0
2017-11-16,17:15:00,136,136,135.92,135.93,7793,0
2017-11-16,17:25:00,135.93,135.94,135.81,135.94,701,0
2017-11-16,17:30:00,135.97,135.99,135.86,135.99,700,0
2017-11-16,17:40:00,135.86,135.86,135.78,135.78,2800,0
2017-11-16,17:45:00,135.79,135.79,135.78,135.78,500,0
2017-11-16,17:50:00,135.85,135.85,135.85,135.85,100,0
2017-11-16,17:55:00,135.84,135.84,135.84,135.84,300,0
2017-11-16,18:00:00,135.88,135.91,135.8,135.81,1500,0
2017-11-16,18:05:00,135.74,135.74,135.74,135.74,900,0
2017-11-16,18:10:00,135.835,135.835,135.835,135.835,100,0
2017-11-16,18:15:00,135.81,135.83,135.81,135.83,300,0
2017-11-16,18:25:00,135.91,135.97,135.91,135.97,300,0
2017-11-16,18:30:00,135.9,135.98,135.9,135.98,600,0
2017-11-16,18:35:00,136,136,135.81,135.81,1023,0
2017-11-16,18:45:00,135.8,135.825,135.8,135.825,200,0
2017-11-16,18:50:00,135.74,135.74,135.5514,135.5514,1800,0
2017-11-16,18:55:00,135.77,135.78,135.67,135.67,400,0
2017-11-16,19:00:00,135.74,135.74,135.73,135.73,600,0
2017-11-16,19:05:00,135.75,135.75,135.75,135.75,100,0
2017-11-16,19:10:00,135.7,135.81,135.7,135.81,200,0
2017-11-16,19:15:00,135.73,135.73,135.73,135.73,100,0
2017-11-16,19:20:00,135.795,135.795,135.795,135.795,100,0
2017-11-16,19:30:00,135.72,135.72,135.72,135.72,100,0
2017-11-16,19:35:00,135.62,135.62,135.62,135.62,100,0
2017-11-16,19:40:00,135.68,135.69,135.63,135.69,500,0
2017-11-16,19:45:00,135.63,135.63,135.63,135.63,100,0
2017-11-16,19:55:00,135.6414,135.67,135.55,135.67,450,0
2017-11-16,20:00:00,135.69,135.69,135.69,135.69,100,0
2017-11-16,20:05:00,135.67,135.72,135.58,135.72,702,0
2017-11-16,20:10:00,135.745,135.9678,135.745,135.95,805,0
2017-11-16,20:15:00,135.98,135.98,135.65,135.65,1137,0
2017-11-16,20:25:00,135.62,135.69,135.62,135.69,400,0
2017-11-16,20:30:00,135.65,135.65,135.65,135.65,100,0
2017-11-16,20:35:00,135.56,135.59,135.46,135.575,718,0
2017-11-16,20:40:00,135.5855,135.5855,135.5855,135.5855,159,0
2017-11-16,20:45:00,135.56,135.65,135.56,135.65,300,0
2017-11-16,20:50:00,135.72,135.72,135.66,135.66,300,0
2017-11-16,20:55:00,135.6,135.6,135.6,135.6,200,0
2017-11-16,21:00:00,135.76,135.76,135.76,135.76,267,0
2017-11-16,21:05:00,135.78,135.91,135.78,135.91,500,0
2017-11-16,21:10:00,135.845,135.9,135.845,135.85,400,0
2017-11-16,21:15:00,135.76,135.85,135.76,135.805,300,0
2017-11-16,21:20:00,135.75,135.75,135.75,135.75,100,0
2017-11-16,21:25:00,135.78,135.8,135.78,135.8,200,0
2017-11-16,21:30:00,135.76,135.86,135.76,135.86,300,0
2017-11-16,21:35:00,135.86,135.86,135.72,135.77,800,0
2017-11-16,21:40:00,135.84,135.875,135.84,135.875,400,0
2017-11-16,21:45:00,135.85,135.85,135.85,135.85,264,0
2017-11-16,21:50:00,135.7875,135.7875,135.73,135.76,1380,0
2017-11-16,21:55:00,135.79,135.84,135.74,135.82,700,0
2017-11-16,22:00:00,135.83,135.89,135.65,135.81,10110,0
2017-11-17,15:35:00,136,136,135.53,135.53,1482,0
2017-11-17,15:40:00,135.935,135.94,135.63,135.65,2124,0
2017-11-17,15:45:00,135.47,135.47,135.31,135.43,400,0
2017-11-17,15:50:00,135.515,135.53,135.34,135.48,1900,0
2017-11-17,15:55:00,135.705,135.705,135.43,135.4305,1217,0
2017-11-17,16:00:00,135.62,135.62,135.42,135.55,700,0
2017-11-17,16:05:00,135.56,135.56,135.43,135.5072,1600,0
2017-11-17,16:10:00,135.42,135.47,135.42,135.44,600,0
2017-11-17,16:15:00,135.45,135.45,135.33,135.33,800,0
2017-11-17,16:20:00,135.33,135.4,135.28,135.28,600,0
2017-11-17,16:25:00,135.32,135.45,135.32,135.36,400,0
2017-11-17,16:30:00,135.33,135.43,135.33,135.43,600,0
2017-11-17,16:40:00,135.36,135.36,135.3,135.3,400,0
2017-11-17,16:45:00,135.31,135.41,135.31,135.41,500,0
2017-11-17,16:50:00,135.46,135.46,135.35,135.38,2040,0
2017-11-17,16:55:00,135.35,135.36,135.3001,135.3001,1143,0
2017-11-17,17:00:00,135.31,135.35,135.28,135.28,900,0
2017-11-17,17:05:00,135.3,135.3,135.25,135.29,1500,0
2017-11-17,17:10:00,135.35,135.38,135.35,135.36,1501,0
