Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,15:35:00,2.44,2.44,2.44,2.44,405,0
2017-09-05,15:40:00,2.48,2.5,2.48,2.495,3320,0
2017-09-05,16:05:00,2.479,2.479,2.479,2.479,100,0
2017-09-05,16:10:00,2.5,2.5,2.5,2.5,100,0
2017-09-05,16:15:00,2.4999,2.4999,2.4825,2.4825,3300,0
2017-09-05,16:25:00,2.46,2.48,2.46,2.48,300,0
2017-09-05,17:05:00,2.4617,2.48,2.4617,2.48,3900,0
2017-09-05,17:30:00,2.4625,2.4717,2.445,2.4717,3198,0
2017-09-05,17:50:00,2.4401,2.48,2.44,2.48,3300,0
2017-09-05,18:00:00,2.4534,2.4534,2.4534,2.4534,1000,0
2017-09-05,18:10:00,2.4765,2.4765,2.46,2.46,300,0
2017-09-05,18:20:00,2.44,2.44,2.44,2.44,100,0
2017-09-05,18:50:00,2.48,2.48,2.48,2.48,150,0
2017-09-05,19:20:00,2.46,2.46,2.35,2.35,7150,0
2017-09-05,19:55:00,2.4,2.4,2.4,2.4,100,0
2017-09-05,20:05:00,2.46,2.46,2.46,2.46,100,0
2017-09-05,20:45:00,2.4687,2.4687,2.44,2.45,1877,0
2017-09-05,21:50:00,2.41,2.41,2.41,2.41,200,0
2017-09-05,22:00:00,2.41,2.45,2.39,2.45,400,0
2017-09-06,17:35:00,2.416,2.416,2.416,2.416,150,0
2017-09-06,17:40:00,2.4191,2.4191,2.4,2.4,2100,0
2017-09-06,17:45:00,2.38,2.42,2.38,2.42,810,0
2017-09-06,17:55:00,2.45,2.45,2.45,2.45,100,0
2017-09-06,18:35:00,2.43,2.43,2.42,2.42,1601,0
2017-09-06,18:50:00,2.38,2.39,2.38,2.39,1550,0
2017-09-06,20:00:00,2.37,2.37,2.37,2.37,100,0
2017-09-06,20:15:00,2.385,2.4,2.385,2.39,1000,0
2017-09-06,20:35:00,2.41,2.41,2.41,2.41,200,0
2017-09-06,20:45:00,2.41,2.41,2.41,2.41,1790,0
2017-09-06,20:50:00,2.4,2.4,2.375,2.375,1300,0
2017-09-06,20:55:00,2.39,2.39,2.39,2.39,190,0
2017-09-06,21:00:00,2.39,2.39,2.39,2.39,100,0
2017-09-06,21:20:00,2.4,2.4,2.4,2.4,100,0
2017-09-06,22:00:00,2.41,2.41,2.4,2.4,448,0
2017-09-07,15:40:00,2.46,2.46,2.46,2.46,100,0
2017-09-07,16:35:00,2.4,2.4,2.4,2.4,565,0
2017-09-07,18:00:00,2.43,2.43,2.42,2.42,600,0
2017-09-07,18:05:00,2.41,2.41,2.4,2.4,276,0
2017-09-07,18:20:00,2.4,2.4,2.37,2.37,3324,0
2017-09-07,18:25:00,2.4,2.4,2.4,2.4,100,0
2017-09-07,19:15:00,2.403,2.403,2.403,2.403,1000,0
2017-09-07,20:10:00,2.44,2.44,2.44,2.44,100,0
2017-09-07,21:40:00,2.42,2.42,2.42,2.42,200,0
2017-09-07,22:00:00,2.41,2.44,2.41,2.44,401,0
2017-09-08,16:05:00,2.46,2.46,2.46,2.46,600,0
2017-09-08,17:55:00,2.47,2.47,2.47,2.47,400,0
2017-09-08,18:50:00,2.47,2.47,2.47,2.47,100,0
2017-09-08,19:10:00,2.47,2.47,2.461,2.461,1600,0
2017-09-08,19:55:00,2.47,2.48,2.47,2.47,4386,0
2017-09-08,20:00:00,2.48,2.48,2.48,2.48,100,0
2017-09-08,20:20:00,2.48,2.48,2.466,2.48,3500,0
2017-09-08,20:25:00,2.48,2.48,2.48,2.48,100,0
2017-09-08,20:35:00,2.461,2.461,2.461,2.461,400,0
2017-09-08,20:45:00,2.48,2.48,2.48,2.48,100,0
2017-09-08,21:25:00,2.48,2.5,2.46,2.5,17020,0
2017-09-08,21:30:00,2.5,2.56,2.4875,2.555,4900,0
2017-09-08,21:35:00,2.5098,2.5098,2.5098,2.5098,200,0
2017-09-08,21:40:00,2.54,2.54,2.53,2.53,3870,0
2017-09-08,21:45:00,2.52,2.5454,2.52,2.5454,2200,0
2017-09-08,21:50:00,2.5401,2.5401,2.5401,2.5401,300,0
2017-09-08,22:00:00,2.53,2.53,2.47,2.49,12200,0
2017-09-11,15:55:00,2.525,2.5551,2.525,2.5551,600,0
2017-09-11,16:10:00,2.52,2.52,2.52,2.52,100,0
2017-09-11,17:15:00,2.46,2.46,2.46,2.46,100,0
2017-09-11,18:25:00,2.4551,2.4573,2.44,2.44,3600,0
2017-09-11,18:35:00,2.4459,2.46,2.4459,2.46,1335,0
2017-09-11,20:35:00,2.5,2.5,2.5,2.5,1200,0
2017-09-11,21:35:00,2.4825,2.49,2.4825,2.49,400,0
2017-09-11,21:55:00,2.5,2.5,2.5,2.5,100,0
2017-09-11,22:00:00,2.49,2.495,2.49,2.49,1000,0
2017-09-12,15:35:00,2.47,2.47,2.47,2.47,700,0
2017-09-12,18:55:00,2.49,2.49,2.49,2.49,100,0
2017-09-12,19:40:00,2.48,2.48,2.48,2.48,200,0
2017-09-12,20:00:00,2.48,2.48,2.48,2.48,1862,0
2017-09-12,20:10:00,2.494,2.494,2.48,2.48,600,0
2017-09-12,20:15:00,2.49,2.49,2.49,2.49,100,0
2017-09-12,20:20:00,2.4833,2.4833,2.4833,2.4833,1621,0
2017-09-12,21:00:00,2.51,2.51,2.51,2.51,100,0
2017-09-12,21:05:00,2.5,2.51,2.5,2.51,6600,0
2017-09-12,21:20:00,2.5428,2.5428,2.5428,2.5428,2500,0
2017-09-12,21:45:00,2.55,2.55,2.55,2.55,100,0
2017-09-12,22:00:00,2.54,2.56,2.53,2.56,1649,0
2017-09-13,15:35:00,2.56,2.64,2.56,2.64,518,0
2017-09-13,15:40:00,2.5882,2.5882,2.5882,2.5882,3300,0
2017-09-13,16:20:00,2.604,2.604,2.604,2.604,300,0
2017-09-13,16:40:00,2.6386,2.64,2.6386,2.639,1900,0
2017-09-13,16:55:00,2.64,2.6605,2.64,2.6605,2000,0
