Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-10-13,15:40:00,25.701,25.701,25.701,25.701,1017,0
2016-10-14,16:45:00,26.006,26.006,26.006,26.006,101,0
2016-10-14,17:25:00,25.957,25.957,25.957,25.957,101,0
2016-10-14,18:15:00,25.927,25.927,25.927,25.927,101,0
2016-10-14,19:15:00,25.947,25.947,25.947,25.947,101,0
2016-10-14,20:10:00,25.947,25.947,25.947,25.947,101,0
2016-10-14,21:00:00,25.937,25.937,25.937,25.937,101,0
2016-10-14,21:35:00,25.937,25.937,25.937,25.937,101,0
2016-10-14,21:40:00,25.937,25.937,25.937,25.937,101,0
2016-10-14,22:00:00,25.937,25.937,25.927,25.927,204,0
2016-10-18,15:40:00,25.986,25.986,25.986,25.986,1017,0
2016-10-19,16:45:00,26.006,26.006,26.006,26.006,101,0
2016-10-19,17:25:00,26.015,26.015,26.015,26.015,101,0
2016-10-19,18:15:00,26.006,26.006,26.006,26.006,101,0
2016-10-19,19:15:00,26.034,26.034,26.034,26.034,101,0
2016-10-19,20:10:00,26.034,26.034,26.034,26.034,101,0
2016-10-19,20:45:00,26.025,26.025,26.025,26.025,101,0
2016-10-19,21:35:00,26.025,26.025,26.025,26.025,204,0
2016-10-19,22:00:00,26.025,26.025,26.025,26.025,204,0
2016-10-21,16:35:00,25.917,25.917,25.858,25.858,1526,0
2016-10-24,15:50:00,26.212,26.212,26.212,26.212,1017,0
2016-10-24,16:45:00,26.242,26.242,26.242,26.242,101,0
2016-10-24,17:25:00,26.251,26.251,26.251,26.251,101,0
2016-10-24,17:40:00,26.242,26.242,26.242,26.242,1017,0
2016-10-24,18:15:00,26.242,26.242,26.242,26.242,101,0
2016-10-24,19:15:00,26.242,26.242,26.242,26.242,101,0
2016-10-24,19:55:00,26.242,26.242,26.242,26.242,101,0
2016-10-24,21:00:00,26.242,26.242,26.242,26.242,204,0
2016-10-24,21:35:00,26.232,26.232,26.232,26.232,101,0
2016-10-24,22:00:00,26.242,26.242,26.242,26.242,204,0
2016-10-27,16:20:00,25.986,25.986,25.986,25.986,101,0
2016-10-27,16:45:00,25.986,25.986,25.986,25.986,101,0
2016-10-27,17:10:00,25.976,25.976,25.976,25.976,101,0
2016-10-27,17:40:00,25.986,25.986,25.986,25.986,101,0
2016-10-27,18:15:00,26.015,26.015,26.015,26.015,101,0
2016-10-27,18:20:00,26.006,26.006,26.006,26.006,101,0
2016-10-27,19:05:00,25.986,25.986,25.986,25.986,101,0
2016-10-27,19:45:00,25.996,25.996,25.996,25.996,101,0
2016-10-27,20:20:00,26.006,26.006,26.006,26.006,101,0
2016-10-27,21:15:00,25.966,25.966,25.966,25.966,101,0
2016-10-27,21:35:00,25.976,25.976,25.976,25.976,101,0
2016-10-27,21:45:00,25.966,25.966,25.966,25.966,101,0
2016-10-27,21:50:00,25.966,25.966,25.966,25.966,101,0
2016-10-27,22:00:00,25.966,25.976,25.966,25.976,204,0
2016-10-28,16:45:00,25.966,25.966,25.966,25.966,101,0
2016-10-28,17:05:00,25.937,25.937,25.937,25.937,101,0
2016-10-28,18:15:00,25.947,25.947,25.947,25.947,101,0
2016-10-28,19:15:00,25.907,25.907,25.907,25.907,101,0
2016-10-28,20:10:00,25.858,25.858,25.858,25.858,101,0
2016-10-28,21:00:00,25.907,25.907,25.907,25.907,101,0
