Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-18,15:35:00,25.29,25.29,25.29,25.29,100,0
2017-10-18,17:25:00,25.24,25.2416,25.24,25.2416,1000,0
2017-10-18,19:00:00,25.24,25.24,25.24,25.24,1000,0
2017-10-18,19:25:00,25.24,25.24,25.24,25.24,300,0
2017-10-18,20:20:00,25.264,25.264,25.264,25.264,390,0
2017-10-18,21:40:00,25.2496,25.2496,25.2496,25.2496,100,0
2017-10-19,18:05:00,25.24,25.24,25.24,25.24,3700,0
2017-10-20,16:35:00,25.25,25.25,25.25,25.25,100,0
2017-10-20,18:50:00,25.2307,25.2325,25.2307,25.2325,2000,0
2017-10-20,20:45:00,25.23,25.23,25.23,25.23,500,0
2017-10-20,21:00:00,25.23,25.23,25.23,25.23,614,0
2017-10-20,21:50:00,25.23,25.23,25.23,25.23,300,0
2017-10-20,22:00:00,25.23,25.23,25.23,25.23,100,0
2017-10-23,15:35:00,25.23,25.23,25.23,25.23,100,0
2017-10-23,15:55:00,25.22,25.22,25.22,25.22,6136,0
2017-10-23,16:30:00,25.22,25.232,25.22,25.232,200,0
2017-10-24,15:40:00,25.23,25.23,25.23,25.23,100,0
2017-10-24,16:05:00,25.22,25.22,25.22,25.22,9751,0
2017-10-24,16:50:00,25.22,25.22,25.22,25.22,9847,0
2017-10-24,19:25:00,25.2213,25.2213,25.22,25.2205,3500,0
2017-10-24,20:15:00,25.22,25.2234,25.22,25.2225,1480,0
2017-10-24,20:50:00,25.22,25.22,25.22,25.22,9847,0
2017-10-24,21:00:00,25.2299,25.2299,25.2299,25.2299,200,0
2017-10-25,15:35:00,25.22,25.22,25.22,25.22,1788,0
2017-10-25,17:40:00,25.22,25.22,25.22,25.22,2100,0
2017-10-25,18:20:00,25.22,25.238,25.22,25.238,5122,0
2017-10-25,19:10:00,25.24,25.24,25.24,25.24,200,0
2017-10-26,17:10:00,25.245,25.245,25.245,25.245,200,0
2017-10-26,20:00:00,25.23,25.23,25.23,25.23,100,0
2017-10-26,20:05:00,25.22,25.22,25.215,25.22,300,0
2017-10-26,20:40:00,25.2181,25.22,25.2181,25.22,1000,0
2017-10-27,18:55:00,25.22,25.22,25.22,25.22,500,0
2017-10-30,15:55:00,25.2301,25.2301,25.23,25.23,900,0
2017-10-30,16:00:00,25.23,25.23,25.23,25.23,2720,0
2017-10-30,16:05:00,25.2301,25.2301,25.23,25.23,1790,0
2017-10-30,16:10:00,25.23,25.23,25.23,25.23,200,0
2017-10-30,16:20:00,25.23,25.2322,25.23,25.2322,200,0
2017-10-30,20:25:00,25.23,25.2322,25.23,25.2322,200,0
2017-10-31,19:25:00,25.23,25.23,25.23,25.23,2000,0
2017-10-31,19:40:00,25.23,25.2634,25.23,25.2634,1200,0
2017-11-01,14:35:00,25.23,25.23,25.23,25.23,1000,0
2017-11-01,16:50:00,25.23,25.23,25.23,25.23,1000,0
2017-11-01,19:35:00,25.23,25.23,25.23,25.23,160000,0
2017-11-02,16:50:00,25.23,25.23,25.23,25.23,370686,0
2017-11-02,17:45:00,25.23,25.23,25.23,25.23,457,0
2017-11-02,17:55:00,25.23,25.23,25.23,25.23,200,0
2017-11-02,18:35:00,25.23,25.23,25.23,25.23,400,0
2017-11-02,18:40:00,25.2456,25.2456,25.2456,25.2456,100,0
2017-11-02,18:50:00,25.2456,25.2456,25.2456,25.2456,100,0
2017-11-02,20:00:00,25.24,25.24,25.24,25.24,100,0
2017-11-03,14:40:00,25.23,25.23,25.23,25.23,1600,0
2017-11-03,14:45:00,25.23,25.23,25.23,25.23,300,0
2017-11-03,15:30:00,25.23,25.23,25.23,25.23,59100,0
2017-11-03,15:35:00,25.235,25.235,25.235,25.235,59100,0
2017-11-03,18:35:00,25.2404,25.2404,25.2404,25.2404,200,0
2017-11-03,20:10:00,25.23,25.2342,25.23,25.2342,1500,0
2017-11-06,15:35:00,25.23,25.23,25.23,25.23,100,0
2017-11-06,16:10:00,25.23,25.23,25.23,25.23,143,0
2017-11-06,17:00:00,25.23,25.23,25.23,25.23,500,0
2017-11-06,17:05:00,25.24,25.24,25.24,25.24,500,0
2017-11-06,20:20:00,25.23,25.23,25.23,25.23,800,0
2017-11-06,21:40:00,25.23,25.23,25.23,25.23,39407,0
2017-11-06,21:55:00,25.23,25.24,25.23,25.24,1600,0
2017-11-07,16:55:00,25.23,25.23,25.23,25.23,100,0
2017-11-07,17:30:00,25.23,25.2317,25.23,25.2317,3200,0
2017-11-08,17:05:00,25.2323,25.2323,25.2323,25.2323,250,0
2017-11-08,17:10:00,25.2395,25.2395,25.2395,25.2395,275,0
2017-11-10,15:35:00,25.25,25.25,25.24,25.2441,520,0
2017-11-10,17:15:00,25.2449,25.2449,25.2449,25.2449,500,0
2017-11-10,18:40:00,25.24,25.244,25.24,25.244,700,0
2017-11-10,18:55:00,25.24,25.24,25.24,25.24,500,0
2017-11-13,17:05:00,25.24,25.24,25.24,25.24,150,0
2017-11-13,17:45:00,25.24,25.24,25.24,25.24,15300,0
2017-11-13,19:50:00,25.24,25.24,25.24,25.24,450,0
