Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,36.03,36.03,35.95,35.97,12259,0
2017-11-17,15:40:00,36.04,36.15,35.985,36.08,3800,0
2017-11-17,15:45:00,36.08,36.21,36.08,36.17,4800,0
2017-11-17,15:50:00,36.15,36.22,36.01,36.03,10050,0
2017-11-17,15:55:00,35.995,36.1,35.95,36.07,5848,0
2017-11-17,16:00:00,36.07,36.1582,36.03,36.1582,3902,0
2017-11-17,16:05:00,36.18,36.23,36.15,36.15,7000,0
2017-11-17,16:10:00,36.12,36.26,36.12,36.26,6700,0
2017-11-17,16:15:00,36.27,36.4,36.24,36.375,15755,0
2017-11-17,16:20:00,36.375,36.46,36.375,36.4,8900,0
2017-11-17,16:25:00,36.41,36.48,36.38,36.48,2991,0
2017-11-17,16:30:00,36.48,36.48,36.38,36.39,11960,0
2017-11-17,16:35:00,36.4,36.5,36.375,36.44,7700,0
2017-11-17,16:40:00,36.4,36.45,36.38,36.44,7687,0
2017-11-17,16:45:00,36.42,36.66,36.42,36.66,7250,0
2017-11-17,16:50:00,36.66,36.73,36.59,36.67,5960,0
2017-11-17,16:55:00,36.66,36.76,36.63,36.76,9374,0
2017-11-17,17:00:00,36.75,36.82,36.74,36.78,22145,0
2017-11-17,17:05:00,36.753,36.76,36.7,36.73,5900,0
2017-11-17,17:10:00,36.71,36.72,36.65,36.69,6000,0
2017-11-17,17:15:00,36.69,36.86,36.65,36.86,9879,0
2017-11-17,17:20:00,36.89,36.96,36.82,36.96,7100,0
2017-11-17,17:25:00,36.95,36.97,36.875,36.9,23712,0
2017-11-17,17:30:00,36.84,36.97,36.82,36.97,9359,0
2017-11-17,17:35:00,36.93,37.01,36.9,36.96,2300,0
2017-11-17,17:40:00,36.94,36.94,36.87,36.91,1500,0
2017-11-17,17:45:00,36.91,36.96,36.88,36.9,5600,0
2017-11-17,17:50:00,36.9,36.99,36.9,36.955,4000,0
2017-11-17,17:55:00,36.93,36.9525,36.9,36.94,5200,0
2017-11-17,18:00:00,36.93,36.95,36.91,36.92,2100,0
2017-11-17,18:05:00,36.92,36.95,36.85,36.85,5401,0
2017-11-17,18:10:00,36.88,36.915,36.87,36.9,4100,0
