Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,7.98,7.99,7.97,7.99,35865,0
2017-11-17,15:40:00,7.985,8.005,7.9807,8,3900,0
2017-11-17,15:45:00,8,8,7.99,7.99,3000,0
2017-11-17,15:50:00,7.99,7.99,7.985,7.99,7023,0
2017-11-17,15:55:00,7.9966,7.9966,7.995,7.995,925,0
2017-11-17,16:00:00,8,8,7.99,8,5037,0
2017-11-17,16:05:00,8.01,8.02,8.01,8.02,9238,0
2017-11-17,16:10:00,8.02,8.03,8.02,8.025,14758,0
2017-11-17,16:15:00,8.03,8.03,8.02,8.02,2400,0
2017-11-17,16:20:00,8.02,8.02,8.01,8.01,4870,0
2017-11-17,16:30:00,8.01,8.01,8.01,8.01,200,0
2017-11-17,16:35:00,8.005,8.005,8.0034,8.0034,2200,0
2017-11-17,16:40:00,8.01,8.01,8.01,8.01,409,0
2017-11-17,16:45:00,8.01,8.01,8.005,8.005,2000,0
2017-11-17,16:50:00,8,8.01,8,8.01,500,0
2017-11-17,16:55:00,8.01,8.02,8.005,8.01,5900,0
2017-11-17,17:00:00,8.01,8.015,8.005,8.005,4350,0
2017-11-17,17:05:00,8.005,8.01,8.005,8.005,2050,0
2017-11-17,17:10:00,8.005,8.0057,8.005,8.005,600,0
2017-11-17,17:15:00,8.005,8.01,8.005,8.005,10838,0
2017-11-17,17:20:00,8.0001,8.01,8,8.0033,600,0
2017-11-17,17:25:00,8.006,8.01,8,8.01,6200,0
2017-11-17,17:30:00,8.017,8.017,8.01,8.015,3110,0
2017-11-17,17:35:00,8.01,8.02,8.01,8.015,4450,0
2017-11-17,17:40:00,8.02,8.02,8.01,8.01,2400,0
2017-11-17,17:45:00,8.02,8.03,8.01,8.025,8740,0
2017-11-17,17:50:00,8.03,8.03,8.02,8.025,5300,0
2017-11-17,17:55:00,8.025,8.0299,8.02,8.025,2200,0
2017-11-17,18:00:00,8.0277,8.05,8.025,8.05,13400,0
2017-11-17,18:05:00,8.05,8.05,8.045,8.045,800,0
2017-11-17,18:10:00,8.05,8.06,8.0466,8.05,5263,0
2017-11-17,18:15:00,8.05,8.0501,8.04,8.04,11183,0
2017-11-17,18:20:00,8.045,8.047,8.04,8.045,2204,0
2017-11-17,18:25:00,8.045,8.045,8.04,8.045,3167,0
2017-11-17,18:30:00,8.045,8.05,8.04,8.045,1700,0
2017-11-17,18:35:00,8.045,8.05,8.04,8.045,1500,0
2017-11-17,18:40:00,8.045,8.0484,8.04,8.045,1600,0
2017-11-17,18:45:00,8.05,8.05,8.04,8.05,4000,0
2017-11-17,18:50:00,8.04,8.05,8.03,8.03,10875,0
2017-11-17,18:55:00,8.035,8.035,8.02,8.03,5070,0
2017-11-17,19:00:00,8.02,8.025,8.02,8.025,800,0
2017-11-17,19:05:00,8.025,8.03,8.02,8.03,8293,0
2017-11-17,19:10:00,8.035,8.04,8.03,8.03,7364,0
2017-11-17,19:15:00,8.035,8.035,8.03,8.035,1300,0
2017-11-17,19:20:00,8.04,8.04,8.03,8.03,4890,0
2017-11-17,19:25:00,8.03,8.035,8.03,8.035,1233,0
2017-11-17,19:30:00,8.035,8.035,8.03,8.035,800,0
2017-11-17,19:35:00,8.035,8.04,8.03,8.035,1600,0
2017-11-17,19:40:00,8.035,8.04,8.03,8.035,8391,0
2017-11-17,19:45:00,8.035,8.035,8.035,8.035,400,0
2017-11-17,19:50:00,8.035,8.035,8.03,8.035,3000,0
2017-11-17,19:55:00,8.0332,8.0369,8.0332,8.035,953,0
2017-11-17,20:00:00,8.035,8.035,8.03,8.03,9684,0
2017-11-17,20:05:00,8.035,8.035,8.03,8.03,3915,0
2017-11-17,20:10:00,8.03,8.035,8.03,8.035,4100,0
2017-11-17,20:15:00,8.035,8.04,8.03,8.0307,4730,0
2017-11-17,20:20:00,8.0307,8.035,8.03,8.035,3300,0
2017-11-17,20:25:00,8.03,8.04,8.03,8.03,4351,0
2017-11-17,20:30:00,8.04,8.04,8.03,8.04,4200,0
2017-11-17,20:35:00,8.04,8.04,8.03,8.04,6728,0
2017-11-17,20:40:00,8.035,8.04,8.03,8.035,4600,0
2017-11-17,20:45:00,8.035,8.04,8.03,8.035,5230,0
2017-11-17,20:50:00,8.035,8.04,8.03,8.0307,5372,0
2017-11-17,20:55:00,8.03,8.04,8.03,8.035,5600,0
2017-11-17,21:00:00,8.035,8.035,8.03,8.03,5700,0
2017-11-17,21:05:00,8.035,8.04,8.03,8.04,5147,0
2017-11-17,21:10:00,8.03,8.04,8.03,8.0307,6973,0
2017-11-17,21:15:00,8.035,8.04,8.03,8.035,4228,0
2017-11-17,21:20:00,8.035,8.04,8.03,8.03,4033,0
2017-11-17,21:25:00,8.035,8.04,8.03,8.035,8367,0
2017-11-17,21:30:00,8.035,8.035,8,8.005,70738,0
2017-11-17,21:35:00,8.005,8.01,8.005,8.01,15967,0
2017-11-17,21:40:00,8.01,8.03,8,8.03,85919,0
2017-11-17,21:45:00,8.03,8.04,8.03,8.035,7100,0
2017-11-17,21:50:00,8.035,8.04,8.03,8.035,11000,0
2017-11-17,21:55:00,8.035,8.04,8.03,8.04,16574,0
2017-11-17,22:00:00,8.04,8.05,8.035,8.05,145616,0
2017-11-20,15:35:00,8.05,8.06,8.045,8.05,21950,0
2017-11-20,15:40:00,8.05,8.065,8.05,8.055,5720,0
2017-11-20,15:45:00,8.05,8.055,8.04,8.04,10185,0
2017-11-20,15:50:00,8.04,8.05,8.03,8.045,20256,0
2017-11-20,15:55:00,8.0401,8.046,8.04,8.04,19992,0
2017-11-20,16:00:00,8.035,8.04,8.03,8.035,8892,0
2017-11-20,16:05:00,8.035,8.035,8.03,8.03,2524,0
2017-11-20,16:10:00,8.03,8.035,8.03,8.0338,1323,0
2017-11-20,16:15:00,8.035,8.08,8.035,8.08,25639,0
2017-11-20,16:20:00,8.08,8.09,8.075,8.085,5280,0
2017-11-20,16:25:00,8.085,8.085,8.07,8.07,12776,0
2017-11-20,16:30:00,8.075,8.076,8.07,8.075,4200,0
2017-11-20,16:35:00,8.07,8.08,8.07,8.07,8151,0
2017-11-20,16:40:00,8.07,8.08,8.065,8.07,10434,0
2017-11-20,16:45:00,8.08,8.08,8.0745,8.075,3869,0
2017-11-20,16:50:00,8.075,8.095,8.07,8.095,8798,0
2017-11-20,16:55:00,8.1,8.1,8.09,8.095,3125,0
2017-11-20,17:00:00,8.1,8.1,8.0901,8.0901,1700,0
2017-11-20,17:05:00,8.095,8.0957,8.09,8.09,2400,0
2017-11-20,17:10:00,8.093,8.1,8.093,8.095,1010,0
2017-11-20,17:15:00,8.095,8.095,8.09,8.095,2450,0
2017-11-20,17:20:00,8.095,8.1,8.09,8.095,2050,0
2017-11-20,17:25:00,8.09,8.1,8.09,8.095,5700,0
2017-11-20,17:30:00,8.09,8.1,8.09,8.095,3600,0
2017-11-20,17:35:00,8.095,8.1,8.09,8.095,1250,0
2017-11-20,17:40:00,8.09,8.1,8.09,8.095,22245,0
2017-11-20,17:45:00,8.1,8.12,8.09,8.12,20546,0
2017-11-20,17:50:00,8.115,8.12,8.11,8.115,2300,0
2017-11-20,17:55:00,8.12,8.12,8.113,8.115,1671,0
2017-11-20,18:00:00,8.115,8.115,8.11,8.115,1400,0
2017-11-20,18:05:00,8.115,8.12,8.11,8.115,4383,0
2017-11-20,18:10:00,8.11,8.12,8.1,8.105,54697,0
2017-11-20,18:15:00,8.105,8.1085,8.1,8.105,11048,0
2017-11-20,18:20:00,8.105,8.11,8.1,8.105,8100,0
2017-11-20,18:25:00,8.105,8.12,8.1,8.12,17298,0
2017-11-20,18:30:00,8.12,8.12,8.115,8.115,4300,0
2017-11-20,18:35:00,8.12,8.13,8.12,8.125,9490,0
2017-11-20,18:40:00,8.125,8.13,8.12,8.13,7155,0
2017-11-20,18:45:00,8.13,8.13,8.125,8.13,800,0
2017-11-20,18:50:00,8.125,8.13,8.125,8.13,1400,0
2017-11-20,18:55:00,8.13,8.13,8.125,8.13,1888,0
2017-11-20,19:00:00,8.13,8.13,8.1248,8.13,2150,0
2017-11-20,19:05:00,8.12,8.13,8.12,8.12,25184,0
2017-11-20,19:10:00,8.12,8.12,8.11,8.115,12190,0
2017-11-20,19:15:00,8.12,8.12,8.11,8.115,3728,0
2017-11-20,19:20:00,8.115,8.12,8.11,8.1121,1178,0
2017-11-20,19:25:00,8.11,8.12,8.11,8.12,300,0
2017-11-20,19:30:00,8.115,8.12,8.11,8.11,2778,0
2017-11-20,19:35:00,8.115,8.12,8.11,8.115,3100,0
2017-11-20,19:40:00,8.114,8.12,8.11,8.11,2695,0
2017-11-20,19:45:00,8.115,8.12,8.11,8.115,1362,0
2017-11-20,19:50:00,8.12,8.12,8.1101,8.115,2565,0
2017-11-20,19:55:00,8.12,8.135,8.11,8.135,27164,0
2017-11-20,20:00:00,8.13,8.14,8.13,8.13,4682,0
2017-11-20,20:05:00,8.135,8.1358,8.13,8.13,3598,0
2017-11-20,20:10:00,8.13,8.135,8.12,8.125,16391,0
2017-11-20,20:15:00,8.125,8.1295,8.1201,8.1201,1399,0
2017-11-20,20:20:00,8.125,8.1252,8.12,8.125,2135,0
2017-11-20,20:25:00,8.1299,8.13,8.12,8.125,2900,0
2017-11-20,20:30:00,8.13,8.13,8.12,8.125,1827,0
2017-11-20,20:35:00,8.125,8.13,8.12,8.125,1667,0
2017-11-20,20:40:00,8.12,8.145,8.12,8.145,25703,0
2017-11-20,20:45:00,8.145,8.15,8.145,8.145,400,0
2017-11-20,20:50:00,8.145,8.15,8.14,8.145,2688,0
2017-11-20,20:55:00,8.14,8.145,8.14,8.14,2183,0
2017-11-20,21:00:00,8.1442,8.145,8.135,8.135,7714,0
2017-11-20,21:05:00,8.135,8.135,8.13,8.135,600,0
2017-11-20,21:10:00,8.135,8.14,8.134,8.14,5471,0
2017-11-20,21:15:00,8.13,8.14,8.13,8.13,4700,0
2017-11-20,21:20:00,8.135,8.14,8.13,8.14,2235,0
2017-11-20,21:25:00,8.135,8.14,8.13,8.13,2500,0
2017-11-20,21:30:00,8.135,8.1351,8.13,8.1351,3900,0
2017-11-20,21:35:00,8.13,8.14,8.13,8.14,14119,0
2017-11-20,21:40:00,8.14,8.14,8.13,8.135,3200,0
2017-11-20,21:45:00,8.135,8.14,8.13,8.135,14128,0
2017-11-20,21:50:00,8.13,8.135,8.13,8.135,6884,0
2017-11-20,21:55:00,8.13,8.15,8.13,8.15,27448,0
2017-11-20,22:00:00,8.145,8.15,8.14,8.15,83725,0
2017-11-21,15:35:00,8.17,8.17,8.13,8.16,36469,0
2017-11-21,15:40:00,8.16,8.175,8.16,8.16,8291,0
2017-11-21,15:45:00,8.16,8.18,8.16,8.18,14599,0
2017-11-21,15:50:00,8.175,8.19,8.175,8.185,22415,0
2017-11-21,15:55:00,8.185,8.2,8.18,8.18,25284,0
2017-11-21,16:00:00,8.18,8.19,8.17,8.175,26578,0
2017-11-21,16:05:00,8.1793,8.1853,8.175,8.185,13432,0
2017-11-21,16:10:00,8.185,8.19,8.18,8.185,4225,0
2017-11-21,16:15:00,8.185,8.19,8.1848,8.19,4320,0
2017-11-21,16:20:00,8.19,8.195,8.1801,8.1801,56820,0
2017-11-21,16:25:00,8.185,8.19,8.185,8.19,1614,0
2017-11-21,16:30:00,8.185,8.2,8.1834,8.2,23025,0
