Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-01-14,16:00:00,23.367,23.367,23.367,23.367,814,0
2016-01-14,17:30:00,23.564,23.564,23.564,23.564,712,0
2016-01-19,15:35:00,23.564,23.564,23.564,23.564,101,0
2016-01-22,17:15:00,23.456,23.456,23.456,23.456,294,0
2016-01-29,21:10:00,23.957,23.957,23.957,23.957,259,0
2016-02-04,16:40:00,23.121,23.121,23.121,23.121,151189,0
2016-02-04,17:45:00,22.984,22.984,22.935,22.935,96678,0
2016-02-05,16:30:00,23.01,23.033,22.984,23.033,3610,0
2016-02-09,21:45:00,21.747,21.747,21.747,21.747,2747,0
2016-02-11,15:45:00,21.39,21.39,21.39,21.39,204,0
2016-02-12,15:45:00,21.578,21.578,21.551,21.551,204,0
2016-02-12,18:45:00,21.687,21.687,21.687,21.687,101,0
2016-02-12,20:00:00,21.658,21.658,21.658,21.658,101,0
2016-02-12,21:35:00,21.717,21.717,21.717,21.717,683,0
2016-02-29,15:35:00,23.092,23.092,23.092,23.092,101,0
2016-02-29,18:40:00,23.053,23.053,23.053,23.053,153,0
2016-03-04,21:55:00,23.879,23.879,23.879,23.879,407,0
2016-03-07,20:35:00,23.761,23.761,23.761,23.761,131,0
2016-03-16,14:40:00,24.193,24.193,24.193,24.193,153,0
2016-03-18,20:05:00,24.536,24.536,24.533,24.533,254,0
2016-03-21,18:30:00,24.458,24.458,24.419,24.419,3367,0
2016-03-22,16:55:00,24.279,24.279,24.279,24.279,412,0
2016-03-23,16:55:00,24.174,24.174,24.173,24.173,3739,0
2016-03-23,17:00:00,24.173,24.173,24.173,24.173,101,0
2016-03-30,17:25:00,24.625,24.625,24.625,24.625,337,0
2016-04-14,21:10:00,24.625,24.625,24.625,24.625,150,0
2016-04-21,17:40:00,25.214,25.222,25.214,25.222,254,0
2016-04-21,19:40:00,25.182,25.182,25.182,25.182,101,0
2016-05-06,17:20:00,24.32,24.32,24.32,24.32,1016,0
2016-05-27,16:10:00,25.136,25.137,25.126,25.126,5126,0
2016-06-21,17:20:00,24.064,24.064,24.064,24.064,101,0
2016-06-23,22:00:00,24.802,24.802,24.802,24.802,101,0
2016-07-08,20:25:00,22.729,22.729,22.729,22.729,776,0
2016-07-20,21:05:00,23.662,23.672,23.661,23.661,332,0
2016-07-21,18:40:00,23.619,23.619,23.613,23.613,420,0
2016-08-11,15:50:00,24.506,24.506,24.506,24.506,508,0
2016-08-11,15:55:00,24.506,24.506,24.506,24.506,508,0
2016-08-11,16:40:00,24.506,24.506,24.506,24.506,508,0
2016-08-11,16:50:00,24.506,24.506,24.506,24.506,508,0
2016-08-11,16:55:00,24.506,24.506,24.506,24.506,508,0
2016-08-12,18:30:00,24.546,24.546,24.546,24.546,153,0
2016-09-07,21:20:00,25.018,25.028,25.018,25.028,641,0
2016-09-09,21:30:00,24.655,24.67,24.655,24.67,611,0
2016-10-24,21:50:00,24.911,24.911,24.911,24.911,100,0
2016-10-25,18:00:00,24.853,24.853,24.823,24.823,3753,0
2016-10-25,18:10:00,24.813,24.863,24.803,24.863,1312,0
2016-10-25,18:20:00,24.773,24.773,24.773,24.773,4037,0
2016-10-25,18:25:00,24.773,24.774,24.773,24.773,4037,0
2016-10-25,18:35:00,24.763,24.768,24.763,24.763,2119,0
2016-10-25,18:40:00,24.763,24.763,24.753,24.753,4641,0
2016-10-26,15:50:00,24.575,24.575,24.575,24.575,504,0
2016-10-26,16:10:00,24.545,24.545,24.535,24.535,2523,0
2016-10-26,16:35:00,24.535,24.545,24.535,24.545,3414,0
2016-10-26,16:50:00,24.545,24.545,24.545,24.545,2018,0
2016-10-26,17:05:00,24.575,24.585,24.575,24.585,606,0
