Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-07,15:35:00,1.7,1.785,1.7,1.785,24205,0
2017-11-07,15:40:00,1.783,1.7928,1.783,1.7928,6000,0
2017-11-07,15:50:00,1.8,1.8,1.7501,1.7501,11000,0
2017-11-07,16:00:00,1.75,1.75,1.75,1.75,2500,0
2017-11-07,16:05:00,1.75,1.7501,1.75,1.75,2900,0
2017-11-07,16:15:00,1.7781,1.799,1.7781,1.799,650,0
2017-11-07,16:20:00,1.75,1.7999,1.75,1.7999,7093,0
2017-11-07,16:25:00,1.8,1.85,1.8,1.8,8098,0
2017-11-07,16:30:00,1.849,1.849,1.816,1.816,3000,0
2017-11-07,16:35:00,1.8437,1.8437,1.8437,1.8437,1000,0
2017-11-07,16:45:00,1.8455,1.8455,1.8455,1.8455,1082,0
2017-11-07,16:50:00,1.85,1.85,1.85,1.85,200,0
2017-11-07,18:25:00,1.85,1.85,1.85,1.85,300,0
2017-11-07,18:50:00,1.85,1.85,1.85,1.85,220,0
2017-11-07,18:55:00,1.845,1.845,1.845,1.845,130,0
2017-11-07,19:05:00,1.85,1.85,1.825,1.825,200,0
2017-11-07,19:15:00,1.8001,1.8001,1.8001,1.8001,2750,0
2017-11-07,19:45:00,1.825,1.8412,1.801,1.801,2984,0
2017-11-07,20:30:00,1.825,1.85,1.825,1.85,10551,0
2017-11-07,20:55:00,1.85,1.85,1.8141,1.8141,4030,0
2017-11-07,21:00:00,1.8401,1.8401,1.8401,1.8401,205,0
2017-11-07,21:35:00,1.85,1.85,1.85,1.85,950,0
2017-11-07,21:40:00,1.8441,1.85,1.8441,1.85,10600,0
2017-11-07,21:50:00,1.825,1.85,1.825,1.825,17100,0
2017-11-07,21:55:00,1.825,1.825,1.825,1.825,200,0
2017-11-07,22:00:00,1.8001,1.85,1.8,1.8,9470,0
2017-11-08,15:35:00,2.15,2.2,2.0501,2.0603,34662,0
2017-11-08,15:40:00,2.1,2.2,2.0925,2.149,46748,0
2017-11-08,15:45:00,2.1,2.15,2.1,2.1,6550,0
2017-11-08,15:50:00,2.125,2.1263,2,2.0001,17721,0
2017-11-08,15:55:00,2.04,2.1,2.04,2.0613,24775,0
2017-11-08,16:00:00,2.1,2.1,2.0572,2.0572,500,0
2017-11-08,16:05:00,2.0949,2.1458,2.0616,2.0943,11450,0
2017-11-08,16:10:00,2.064,2.075,2.0501,2.0501,7854,0
2017-11-08,16:15:00,2.0501,2.2,2.0501,2.133,37848,0
2017-11-08,16:20:00,2.1,2.1,2.1,2.1,12600,0
2017-11-08,16:25:00,2.1,2.1448,2.1,2.1,7431,0
2017-11-08,16:30:00,2.1,2.13,2.1,2.13,665,0
2017-11-08,16:35:00,2.125,2.15,2.125,2.145,3100,0
2017-11-08,16:40:00,2.1115,2.15,2.1,2.1,18216,0
2017-11-08,16:45:00,2.1499,2.2,2.1,2.199,31310,0
2017-11-08,16:50:00,2.2,2.2,2.1652,2.1652,13800,0
2017-11-08,16:55:00,2.1501,2.154,2.1011,2.1011,13190,0
2017-11-08,17:00:00,2.1371,2.15,2.1115,2.1115,6100,0
2017-11-08,17:05:00,2.1115,2.15,2.1115,2.15,1400,0
2017-11-08,17:10:00,2.15,2.1501,2.1437,2.15,12480,0
2017-11-08,17:15:00,2.15,2.15,2.1495,2.1495,200,0
2017-11-08,17:20:00,2.1556,2.1556,2.15,2.151,5500,0
2017-11-08,17:25:00,2.2,2.25,2.101,2.1344,122714,0
2017-11-08,17:30:00,2.2,2.2,2.15,2.15,2986,0
2017-11-08,17:35:00,2.2,2.25,2.175,2.2375,36561,0
2017-11-08,17:40:00,2.2501,2.4,2.25,2.4,100918,0
2017-11-08,17:45:00,2.4,2.625,2.3501,2.6035,96401,0
2017-11-08,17:50:00,2.6499,2.7,2.4048,2.55,131026,0
2017-11-08,17:55:00,2.5365,2.55,2.4757,2.5443,37853,0
2017-11-08,18:00:00,2.5129,2.5129,2.35,2.4,22725,0
2017-11-08,18:05:00,2.4,2.5,2.3,2.4,27782,0
2017-11-08,18:10:00,2.4,2.4471,2.4,2.4471,10080,0
2017-11-08,18:15:00,2.4001,2.434,2.3999,2.4,20798,0
2017-11-08,18:20:00,2.4,2.4075,2.3,2.35,6360,0
2017-11-08,18:25:00,2.3501,2.4,2.3035,2.4,7103,0
2017-11-08,18:30:00,2.35,2.35,2.2,2.225,27799,0
2017-11-08,18:35:00,2.2001,2.35,2.2,2.25,26546,0
2017-11-08,18:40:00,2.25,2.3,2.2001,2.3,13817,0
2017-11-08,18:45:00,2.3,2.35,2.25,2.3,7800,0
2017-11-08,18:50:00,2.35,2.35,2.3001,2.3385,1920,0
2017-11-08,18:55:00,2.3291,2.4,2.3119,2.3119,8990,0
2017-11-08,19:00:00,2.35,2.35,2.35,2.35,300,0
2017-11-08,19:05:00,2.35,2.35,2.35,2.35,200,0
2017-11-08,19:10:00,2.3312,2.3454,2.3312,2.3454,2000,0
2017-11-08,19:15:00,2.315,2.35,2.315,2.3499,16300,0
2017-11-08,19:20:00,2.35,2.35,2.336,2.336,3400,0
2017-11-08,19:25:00,2.3103,2.3375,2.3,2.3375,1970,0
2017-11-08,19:30:00,2.3305,2.3305,2.3079,2.3079,225,0
2017-11-08,19:35:00,2.325,2.325,2.3,2.3,1000,0
2017-11-08,19:40:00,2.3,2.3056,2.3,2.3056,1048,0
2017-11-08,19:45:00,2.35,2.35,2.35,2.35,1000,0
2017-11-08,19:50:00,2.3173,2.3465,2.3173,2.3465,1000,0
2017-11-08,19:55:00,2.3,2.35,2.3,2.35,3299,0
