Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,50.46,50.58,50.226,50.48,65826,0
2017-11-17,15:40:00,50.41,50.58,50.41,50.47,9700,0
2017-11-17,15:45:00,50.47,50.51,50.41,50.47,7360,0
2017-11-17,15:50:00,50.42,50.545,50.41,50.532,9675,0
2017-11-17,15:55:00,50.54,50.55,50.348,50.348,6426,0
2017-11-17,16:00:00,50.33,50.37,50.21,50.22,11689,0
2017-11-17,16:05:00,50.22,50.3,50.16,50.21,14338,0
2017-11-17,16:10:00,50.22,50.3938,50.21,50.36,13531,0
2017-11-17,16:15:00,50.37,50.39,50.31,50.31,6573,0
2017-11-17,16:20:00,50.29,50.33,50.25,50.29,19909,0
2017-11-17,16:25:00,50.305,50.39,50.2262,50.39,12667,0
2017-11-17,16:30:00,50.39,50.45,50.35,50.43,8981,0
2017-11-17,16:35:00,50.43,50.47,50.4,50.4215,14258,0
2017-11-17,16:40:00,50.45,50.46,50.4,50.43,10902,0
2017-11-17,16:45:00,50.44,50.46,50.335,50.44,10146,0
2017-11-17,16:50:00,50.43,50.49,50.41,50.46,14783,0
2017-11-17,16:55:00,50.48,50.49,50.4,50.42,6824,0
2017-11-17,17:00:00,50.415,50.43,50.34,50.355,37259,0
2017-11-17,17:05:00,50.36,50.36,50.275,50.32,20018,0
2017-11-17,17:10:00,50.3101,50.35,50.27,50.33,16771,0
2017-11-17,17:15:00,50.35,50.36,50.31,50.32,17194,0
2017-11-17,17:20:00,50.34,50.45,50.34,50.44,16776,0
2017-11-17,17:25:00,50.44,50.46,50.395,50.445,16485,0
2017-11-17,17:30:00,50.44,50.485,50.41,50.41,16107,0
2017-11-17,17:35:00,50.41,50.42,50.38,50.41,10843,0
2017-11-17,17:40:00,50.41,50.41,50.37,50.38,9089,0
2017-11-17,17:45:00,50.37,50.39,50.35,50.365,33098,0
2017-11-17,17:50:00,50.365,50.43,50.36,50.4175,50383,0
2017-11-17,17:55:00,50.42,50.57,50.415,50.57,24857,0
2017-11-17,18:00:00,50.57,50.69,50.57,50.66,15913,0
2017-11-17,18:05:00,50.6776,50.71,50.61,50.69,9018,0
2017-11-17,18:10:00,50.71,50.79,50.65,50.65,10395,0
2017-11-17,18:15:00,50.64,50.69,50.64,50.67,7839,0
2017-11-17,18:20:00,50.68,50.705,50.63,50.63,10869,0
2017-11-17,18:25:00,50.63,50.65,50.61,50.61,5000,0
2017-11-17,18:30:00,50.62,50.64,50.54,50.55,8500,0
2017-11-17,18:35:00,50.55,50.6099,50.55,50.585,10993,0
2017-11-17,18:40:00,50.6,50.61,50.55,50.56,7699,0
2017-11-17,18:45:00,50.555,50.555,50.49,50.5,11488,0
2017-11-17,18:50:00,50.51,50.52,50.41,50.46,12503,0
2017-11-17,18:55:00,50.465,50.48,50.3942,50.44,8300,0
2017-11-17,19:00:00,50.46,50.5,50.44,50.45,10518,0
2017-11-17,19:05:00,50.44,50.48,50.41,50.48,10790,0
2017-11-17,19:10:00,50.46,50.46,50.32,50.33,21818,0
2017-11-17,19:15:00,50.37,50.4,50.35,50.355,8526,0
2017-11-17,19:20:00,50.355,50.37,50.32,50.355,6072,0
2017-11-17,19:25:00,50.355,50.39,50.33,50.38,7236,0
