Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,18.08,18.19,18.08,18.12,27430,0
2017-11-17,15:40:00,18.13,18.1488,18.08,18.1,7671,0
2017-11-17,15:45:00,18.1,18.1,18.08,18.08,2752,0
2017-11-17,15:50:00,18.07,18.09,18.07,18.09,3346,0
2017-11-17,15:55:00,18.1,18.1,18.07,18.075,8433,0
2017-11-17,16:00:00,18.075,18.105,18.075,18.105,5500,0
2017-11-17,16:05:00,18.11,18.15,18.11,18.14,17190,0
2017-11-17,16:10:00,18.15,18.15,18.12,18.1201,3391,0
2017-11-17,16:15:00,18.12,18.12,18.105,18.105,3513,0
2017-11-17,16:20:00,18.11,18.12,18.095,18.105,5703,0
2017-11-17,16:25:00,18.1,18.11,18.085,18.085,2830,0
2017-11-17,16:30:00,18.09,18.11,18.09,18.1,4800,0
2017-11-17,16:35:00,18.11,18.11,18.09,18.09,3069,0
2017-11-17,16:40:00,18.095,18.1,18.085,18.085,7086,0
2017-11-17,16:45:00,18.08,18.11,18.075,18.1,16204,0
2017-11-17,16:50:00,18.11,18.11,18.09,18.1,6030,0
2017-11-17,16:55:00,18.11,18.11,18.095,18.095,4943,0
2017-11-17,17:00:00,18.095,18.1,18.09,18.1,8014,0
2017-11-17,17:05:00,18.095,18.105,18.09,18.1,9588,0
2017-11-17,17:10:00,18.1,18.12,18.09,18.115,23768,0
2017-11-17,17:15:00,18.115,18.115,18.1,18.1,6235,0
2017-11-17,17:20:00,18.105,18.105,18.09,18.095,3349,0
2017-11-17,17:25:00,18.09,18.1,18.09,18.099,1281,0
2017-11-17,17:30:00,18.0954,18.0954,18.095,18.095,2000,0
2017-11-17,17:35:00,18.095,18.095,18.09,18.095,2900,0
2017-11-17,17:40:00,18.09,18.095,18.09,18.095,6750,0
2017-11-17,17:45:00,18.095,18.14,18.095,18.1301,12612,0
2017-11-17,17:50:00,18.135,18.15,18.135,18.135,7333,0
2017-11-17,17:55:00,18.13,18.15,18.13,18.15,2380,0
2017-11-17,18:00:00,18.145,18.15,18.14,18.14,7303,0
2017-11-17,18:05:00,18.14,18.1448,18.14,18.14,1900,0
2017-11-17,18:10:00,18.14,18.145,18.13,18.135,3442,0
2017-11-17,18:15:00,18.135,18.14,18.13,18.14,1499,0
2017-11-17,18:20:00,18.14,18.15,18.135,18.1469,7095,0
2017-11-17,18:25:00,18.15,18.15,18.11,18.11,9644,0
2017-11-17,18:30:00,18.11,18.13,18.11,18.13,5571,0
2017-11-17,18:35:00,18.12,18.125,18.12,18.125,200,0
2017-11-17,18:40:00,18.13,18.14,18.1242,18.14,8775,0
2017-11-17,18:45:00,18.14,18.15,18.13,18.15,11804,0
2017-11-17,18:50:00,18.15,18.16,18.141,18.145,9916,0
2017-11-17,18:55:00,18.14,18.1401,18.14,18.14,1000,0
2017-11-17,19:00:00,18.15,18.16,18.145,18.155,2607,0
2017-11-17,19:05:00,18.15,18.16,18.145,18.16,5582,0
2017-11-17,19:10:00,18.16,18.16,18.14,18.14,3200,0
2017-11-17,19:15:00,18.15,18.15,18.145,18.145,1100,0
2017-11-17,19:20:00,18.145,18.145,18.14,18.14,1252,0
2017-11-17,19:25:00,18.15,18.15,18.13,18.13,1697,0
2017-11-17,19:30:00,18.13,18.13,18.12,18.13,2646,0
2017-11-17,19:35:00,18.13,18.13,18.125,18.125,200,0
2017-11-17,19:40:00,18.13,18.13,18.12,18.125,800,0
2017-11-17,19:45:00,18.12,18.1233,18.12,18.1233,600,0
2017-11-17,19:50:00,18.13,18.13,18.115,18.115,9411,0
2017-11-17,19:55:00,18.12,18.14,18.12,18.135,4984,0
2017-11-17,20:00:00,18.13,18.135,18.125,18.135,11194,0
2017-11-17,20:05:00,18.135,18.14,18.13,18.135,2722,0
2017-11-17,20:10:00,18.13,18.135,18.11,18.135,15169,0
2017-11-17,20:15:00,18.13,18.13,18.12,18.1231,4128,0
2017-11-17,20:20:00,18.125,18.135,18.125,18.135,9859,0
2017-11-17,20:25:00,18.135,18.14,18.115,18.12,6798,0
2017-11-17,20:30:00,18.115,18.12,18.1101,18.12,1488,0
2017-11-17,20:35:00,18.115,18.13,18.1101,18.125,4827,0
2017-11-17,20:40:00,18.125,18.125,18.125,18.125,500,0
2017-11-17,20:45:00,18.125,18.13,18.115,18.13,9193,0
2017-11-17,20:50:00,18.13,18.14,18.1228,18.14,4188,0
2017-11-17,20:55:00,18.14,18.14,18.135,18.14,800,0
2017-11-17,21:00:00,18.14,18.15,18.135,18.145,20325,0
2017-11-17,21:05:00,18.1448,18.15,18.14,18.15,1600,0
2017-11-17,21:10:00,18.15,18.17,18.15,18.1608,24713,0
2017-11-17,21:15:00,18.1601,18.17,18.155,18.1667,26353,0
2017-11-17,21:20:00,18.16,18.17,18.16,18.17,17006,0
2017-11-17,21:25:00,18.165,18.18,18.16,18.175,10024,0
2017-11-17,21:30:00,18.17,18.18,18.17,18.175,8379,0
2017-11-17,21:35:00,18.17,18.18,18.17,18.175,2300,0
2017-11-17,21:40:00,18.17,18.21,18.17,18.2,73422,0
2017-11-17,21:45:00,18.205,18.21,18.19,18.195,50195,0
2017-11-17,21:50:00,18.19,18.2,18.19,18.19,45399,0
2017-11-17,21:55:00,18.2,18.2,18.19,18.195,10262,0
2017-11-17,22:00:00,18.195,18.2,18.19,18.2,100721,0
2017-11-20,15:35:00,18.26,18.3,18.15,18.18,29168,0
2017-11-20,15:40:00,18.22,18.22,18.2,18.21,1915,0
2017-11-20,15:45:00,18.2,18.215,18.185,18.185,5270,0
2017-11-20,15:50:00,18.18,18.195,18.155,18.17,7594,0
2017-11-20,15:55:00,18.165,18.175,18.14,18.15,18301,0
2017-11-20,16:00:00,18.15,18.185,18.145,18.185,30043,0
2017-11-20,16:05:00,18.18,18.185,18.12,18.12,12119,0
2017-11-20,16:10:00,18.115,18.115,18.09,18.09,3800,0
2017-11-20,16:15:00,18.1,18.11,18.1,18.1,2825,0
2017-11-20,16:20:00,18.1,18.155,18.1,18.15,8197,0
2017-11-20,16:25:00,18.16,18.16,18.12,18.125,3400,0
2017-11-20,16:30:00,18.12,18.12,18.11,18.11,3510,0
2017-11-20,16:35:00,18.115,18.14,18.11,18.12,19049,0
2017-11-20,16:40:00,18.125,18.13,18.105,18.12,17009,0
2017-11-20,16:45:00,18.12,18.12,18.11,18.115,9842,0
2017-11-20,16:50:00,18.115,18.13,18.115,18.13,7425,0
2017-11-20,16:55:00,18.13,18.13,18.115,18.12,9672,0
2017-11-20,17:00:00,18.12,18.12,18.11,18.11,3623,0
2017-11-20,17:05:00,18.115,18.14,18.115,18.12,10274,0
2017-11-20,17:10:00,18.12,18.13,18.12,18.12,1700,0
2017-11-20,17:15:00,18.13,18.13,18.12,18.12,800,0
2017-11-20,17:20:00,18.125,18.14,18.12,18.13,10087,0
2017-11-20,17:25:00,18.13,18.13,18.12,18.12,6030,0
2017-11-20,17:30:00,18.12,18.16,18.12,18.15,11272,0
2017-11-20,17:35:00,18.1562,18.1562,18.15,18.155,1841,0
2017-11-20,17:40:00,18.16,18.18,18.16,18.18,6744,0
2017-11-20,17:45:00,18.18,18.19,18.18,18.19,5019,0
2017-11-20,17:50:00,18.19,18.19,18.17,18.17,6089,0
2017-11-20,17:55:00,18.17,18.175,18.13,18.135,6706,0
2017-11-20,18:00:00,18.14,18.14,18.13,18.135,1921,0
2017-11-20,18:05:00,18.14,18.14,18.13,18.14,1600,0
2017-11-20,18:10:00,18.14,18.14,18.13,18.14,2300,0
2017-11-20,18:15:00,18.135,18.14,18.13,18.14,1560,0
2017-11-20,18:20:00,18.14,18.14,18.135,18.14,1180,0
2017-11-20,18:25:00,18.13,18.16,18.13,18.155,10621,0
2017-11-20,18:30:00,18.155,18.155,18.135,18.135,5208,0
2017-11-20,18:35:00,18.14,18.14,18.135,18.14,2851,0
2017-11-20,18:40:00,18.14,18.145,18.13,18.13,3609,0
2017-11-20,18:45:00,18.14,18.14,18.135,18.14,1380,0
2017-11-20,18:50:00,18.14,18.14,18.13,18.14,3352,0
2017-11-20,18:55:00,18.14,18.14,18.13,18.135,1500,0
2017-11-20,19:00:00,18.135,18.14,18.135,18.14,1200,0
2017-11-20,19:05:00,18.13,18.135,18.13,18.135,400,0
2017-11-20,19:10:00,18.14,18.14,18.13,18.135,3992,0
2017-11-20,19:15:00,18.135,18.14,18.13,18.14,1264,0
2017-11-20,19:20:00,18.14,18.14,18.13,18.14,1100,0
2017-11-20,19:25:00,18.14,18.14,18.13,18.135,2200,0
2017-11-20,19:30:00,18.1352,18.14,18.135,18.14,2635,0
2017-11-20,19:35:00,18.14,18.14,18.1336,18.14,2664,0
2017-11-20,19:40:00,18.14,18.18,18.14,18.18,11764,0
2017-11-20,19:45:00,18.18,18.2,18.18,18.2,5910,0
2017-11-20,19:50:00,18.2,18.22,18.2,18.215,6648,0
2017-11-20,19:55:00,18.21,18.22,18.21,18.22,904,0
2017-11-20,20:00:00,18.22,18.22,18.215,18.22,2613,0
2017-11-20,20:05:00,18.22,18.22,18.22,18.22,800,0
2017-11-20,20:10:00,18.22,18.23,18.22,18.23,3652,0
2017-11-20,20:15:00,18.225,18.23,18.2238,18.2238,1851,0
2017-11-20,20:20:00,18.23,18.23,18.22,18.225,2512,0
2017-11-20,20:25:00,18.225,18.23,18.225,18.23,2337,0
2017-11-20,20:30:00,18.223,18.24,18.223,18.24,5655,0
2017-11-20,20:35:00,18.24,18.25,18.235,18.245,7477,0
2017-11-20,20:40:00,18.245,18.25,18.18,18.21,42063,0
2017-11-20,20:45:00,18.215,18.22,18.2,18.22,10361,0
2017-11-20,20:50:00,18.215,18.22,18.214,18.215,4360,0
2017-11-20,20:55:00,18.215,18.23,18.205,18.23,24532,0
2017-11-20,21:00:00,18.225,18.23,18.22,18.225,5750,0
2017-11-20,21:05:00,18.225,18.23,18.22,18.23,7629,0
2017-11-20,21:10:00,18.225,18.23,18.225,18.225,4380,0
2017-11-20,21:15:00,18.23,18.23,18.22,18.225,5140,0
2017-11-20,21:20:00,18.225,18.23,18.2,18.201,69291,0
2017-11-20,21:25:00,18.2,18.21,18.18,18.18,9365,0
2017-11-20,21:30:00,18.185,18.19,18.18,18.19,10988,0
2017-11-20,21:35:00,18.185,18.215,18.185,18.2,24068,0
2017-11-20,21:40:00,18.2,18.2,18.19,18.19,8126,0
2017-11-20,21:45:00,18.195,18.195,18.17,18.18,20646,0
2017-11-20,21:50:00,18.175,18.18,18.15,18.18,28904,0
2017-11-20,21:55:00,18.175,18.19,18.175,18.19,17290,0
2017-11-20,22:00:00,18.185,18.2,18.18,18.18,135042,0
2017-11-21,15:35:00,18.27,18.27,18.22,18.24,10628,0
2017-11-21,15:40:00,18.27,18.3,18.27,18.27,1300,0
2017-11-21,15:45:00,18.29,18.31,18.28,18.28,6941,0
2017-11-21,15:50:00,18.28,18.29,18.28,18.29,3506,0
2017-11-21,15:55:00,18.29,18.32,18.29,18.32,9155,0
2017-11-21,16:00:00,18.32,18.32,18.29,18.31,8666,0
2017-11-21,16:05:00,18.315,18.335,18.315,18.33,6629,0
2017-11-21,16:10:00,18.34,18.34,18.3,18.305,12911,0
2017-11-21,16:15:00,18.305,18.33,18.305,18.325,3200,0
2017-11-21,16:20:00,18.33,18.34,18.325,18.34,5151,0
2017-11-21,16:25:00,18.34,18.35,18.33,18.34,5100,0
2017-11-21,16:30:00,18.34,18.35,18.32,18.34,9949,0
2017-11-21,16:35:00,18.34,18.38,18.34,18.36,12992,0
2017-11-21,16:40:00,18.35,18.35,18.32,18.335,12861,0
2017-11-21,16:45:00,18.335,18.335,18.3,18.31,8300,0
2017-11-21,16:50:00,18.3,18.31,18.3,18.31,25379,0
2017-11-21,16:55:00,18.305,18.33,18.305,18.32,11592,0
2017-11-21,17:00:00,18.31,18.325,18.31,18.31,9129,0
2017-11-21,17:05:00,18.32,18.32,18.29,18.29,7869,0
2017-11-21,17:10:00,18.29,18.3,18.29,18.29,4125,0
2017-11-21,17:15:00,18.29,18.3,18.29,18.29,13425,0
2017-11-21,17:20:00,18.295,18.31,18.295,18.305,49024,0
2017-11-21,17:25:00,18.3,18.31,18.3,18.305,14366,0
2017-11-21,17:30:00,18.305,18.31,18.3,18.31,17302,0
2017-11-21,17:35:00,18.305,18.31,18.29,18.3,22156,0
2017-11-21,17:40:00,18.295,18.3,18.29,18.295,6810,0
2017-11-21,17:45:00,18.29,18.3,18.29,18.295,1000,0
2017-11-21,17:50:00,18.29,18.3,18.275,18.295,21679,0
2017-11-21,17:55:00,18.29,18.3,18.285,18.3,48765,0
2017-11-21,18:00:00,18.3,18.31,18.3,18.3,12431,0
2017-11-21,18:05:00,18.295,18.31,18.295,18.305,3729,0
2017-11-21,18:10:00,18.305,18.31,18.3045,18.305,2654,0
2017-11-21,18:15:00,18.305,18.31,18.3,18.3,2806,0
2017-11-21,18:20:00,18.305,18.31,18.305,18.3099,775,0
2017-11-21,18:25:00,18.305,18.31,18.3,18.305,5904,0
2017-11-21,18:30:00,18.305,18.305,18.3,18.3,8930,0
2017-11-21,18:35:00,18.3,18.31,18.3,18.3,7994,0
2017-11-21,18:40:00,18.295,18.3,18.295,18.3,3900,0
2017-11-21,18:45:00,18.2941,18.3,18.29,18.29,2581,0
2017-11-21,18:50:00,18.3,18.31,18.295,18.3,12026,0
2017-11-21,18:55:00,18.295,18.3,18.29,18.29,4006,0
2017-11-21,19:00:00,18.3,18.31,18.295,18.309,6211,0
2017-11-21,19:05:00,18.31,18.31,18.304,18.305,1729,0
2017-11-21,19:10:00,18.31,18.31,18.3001,18.305,3481,0
2017-11-21,19:15:00,18.305,18.31,18.305,18.305,2578,0
2017-11-21,19:20:00,18.305,18.31,18.3,18.305,2500,0
2017-11-21,19:25:00,18.305,18.31,18.303,18.305,4659,0
2017-11-21,19:30:00,18.31,18.31,18.3,18.31,2100,0
2017-11-21,19:35:00,18.305,18.31,18.305,18.305,1500,0
2017-11-21,19:40:00,18.305,18.31,18.305,18.31,1120,0
2017-11-21,19:45:00,18.31,18.31,18.305,18.305,1150,0
2017-11-21,19:50:00,18.31,18.31,18.3004,18.305,2194,0
2017-11-21,19:55:00,18.305,18.31,18.3,18.305,7878,0
2017-11-21,20:00:00,18.3,18.305,18.28,18.295,19610,0
2017-11-21,20:05:00,18.3,18.3,18.29,18.3,3308,0
2017-11-21,20:10:00,18.3,18.32,18.3,18.315,24441,0
2017-11-21,20:15:00,18.315,18.32,18.31,18.315,3738,0
2017-11-21,20:20:00,18.32,18.32,18.31,18.32,8835,0
2017-11-21,20:25:00,18.31,18.325,18.31,18.325,4465,0
2017-11-21,20:30:00,18.33,18.33,18.32,18.33,6156,0
2017-11-21,20:35:00,18.33,18.34,18.325,18.34,10424,0
2017-11-21,20:40:00,18.34,18.34,18.33,18.3336,2717,0
2017-11-21,20:45:00,18.33,18.34,18.33,18.34,5100,0
2017-11-21,20:50:00,18.3391,18.34,18.33,18.34,8088,0
2017-11-21,20:55:00,18.34,18.34,18.335,18.335,12006,0
2017-11-21,21:00:00,18.34,18.34,18.31,18.315,6871,0
2017-11-21,21:05:00,18.315,18.32,18.31,18.32,2756,0
2017-11-21,21:10:00,18.315,18.32,18.315,18.32,824,0
2017-11-21,21:15:00,18.3128,18.315,18.31,18.315,2121,0
2017-11-21,21:20:00,18.3199,18.32,18.31,18.31,8299,0
2017-11-21,21:25:00,18.305,18.31,18.3,18.305,4632,0
2017-11-21,21:30:00,18.31,18.31,18.3,18.3,2902,0
2017-11-21,21:35:00,18.3,18.305,18.3,18.305,1800,0
2017-11-21,21:40:00,18.3,18.31,18.29,18.31,23775,0
2017-11-21,21:45:00,18.3025,18.31,18.3,18.31,9100,0
2017-11-21,21:50:00,18.305,18.32,18.3,18.305,17087,0
2017-11-21,21:55:00,18.305,18.33,18.3,18.325,18104,0
2017-11-21,22:00:00,18.325,18.37,18.32,18.37,147871,0
2017-11-22,15:35:00,18.33,18.37,18.3,18.37,16161,0
2017-11-22,15:40:00,18.365,18.38,18.34,18.38,5521,0
2017-11-22,15:45:00,18.39,18.4099,18.39,18.39,4500,0
2017-11-22,15:50:00,18.395,18.4,18.35,18.365,12558,0
2017-11-22,15:55:00,18.36,18.4,18.36,18.39,9415,0
2017-11-22,16:00:00,18.39,18.4,18.39,18.395,24708,0
2017-11-22,16:05:00,18.4,18.43,18.38,18.38,24038,0
2017-11-22,16:10:00,18.38,18.385,18.365,18.37,8841,0
2017-11-22,16:15:00,18.37,18.39,18.3648,18.38,5200,0
2017-11-22,16:20:00,18.38,18.38,18.37,18.37,3300,0
2017-11-22,16:25:00,18.37,18.37,18.3699,18.37,500,0
2017-11-22,16:30:00,18.365,18.365,18.33,18.34,6653,0
2017-11-22,16:35:00,18.335,18.335,18.3101,18.32,8944,0
2017-11-22,16:40:00,18.32,18.32,18.29,18.29,4100,0
2017-11-22,16:45:00,18.29,18.32,18.285,18.315,10845,0
2017-11-22,16:50:00,18.315,18.315,18.29,18.29,6488,0
2017-11-22,16:55:00,18.285,18.29,18.285,18.29,1800,0
2017-11-22,17:00:00,18.285,18.29,18.25,18.25,8575,0
2017-11-22,17:05:00,18.25,18.26,18.24,18.25,10546,0
2017-11-22,17:10:00,18.26,18.27,18.26,18.27,4758,0
2017-11-22,17:15:00,18.26,18.27,18.26,18.27,9400,0
2017-11-22,17:20:00,18.27,18.27,18.26,18.26,5076,0
2017-11-22,17:25:00,18.26,18.27,18.26,18.26,4071,0
2017-11-22,17:30:00,18.27,18.285,18.26,18.27,18807,0
2017-11-22,17:35:00,18.27,18.28,18.27,18.28,2000,0
2017-11-22,17:40:00,18.27,18.29,18.27,18.29,10347,0
2017-11-22,17:45:00,18.29,18.37,18.29,18.37,26793,0
2017-11-22,17:50:00,18.37,18.4,18.37,18.4,10623,0
2017-11-22,17:55:00,18.4,18.4,18.37,18.4,17559,0
2017-11-22,18:00:00,18.395,18.4,18.39,18.4,3840,0
2017-11-22,18:05:00,18.4,18.4,18.39,18.4,3740,0
2017-11-22,18:10:00,18.395,18.4,18.38,18.385,6622,0
2017-11-22,18:15:00,18.385,18.39,18.38,18.385,3026,0
2017-11-22,18:20:00,18.39,18.39,18.36,18.37,12269,0
2017-11-22,18:25:00,18.36,18.39,18.36,18.39,14130,0
2017-11-22,18:30:00,18.385,18.405,18.385,18.4,7767,0
2017-11-22,18:35:00,18.39,18.39,18.385,18.385,1743,0
2017-11-22,18:40:00,18.39,18.39,18.385,18.385,1287,0
2017-11-22,18:45:00,18.38,18.39,18.38,18.385,4460,0
2017-11-22,18:50:00,18.385,18.39,18.38,18.385,3891,0
2017-11-22,18:55:00,18.39,18.41,18.385,18.41,6071,0
2017-11-22,19:00:00,18.4083,18.42,18.4083,18.42,5549,0
2017-11-22,19:05:00,18.41,18.42,18.41,18.42,5847,0
2017-11-22,19:10:00,18.42,18.42,18.41,18.42,7600,0
2017-11-22,19:15:00,18.415,18.42,18.41,18.41,1350,0
2017-11-22,19:20:00,18.415,18.45,18.415,18.45,14129,0
2017-11-22,19:25:00,18.445,18.445,18.44,18.44,3100,0
2017-11-22,19:30:00,18.44,18.445,18.41,18.415,10714,0
2017-11-22,19:35:00,18.415,18.43,18.415,18.42,11952,0
2017-11-22,19:40:00,18.42,18.425,18.4,18.4136,12635,0
2017-11-22,19:45:00,18.41,18.416,18.41,18.415,2100,0
2017-11-22,19:50:00,18.41,18.42,18.41,18.415,3357,0
2017-11-22,19:55:00,18.415,18.42,18.415,18.42,2898,0
2017-11-22,20:00:00,18.41,18.42,18.41,18.42,4875,0
2017-11-22,20:05:00,18.41,18.42,18.41,18.42,3846,0
2017-11-22,20:10:00,18.41,18.45,18.41,18.45,10260,0
2017-11-22,20:15:00,18.45,18.45,18.43,18.4382,11892,0
2017-11-22,20:20:00,18.43,18.43,18.41,18.415,5010,0
2017-11-22,20:25:00,18.415,18.42,18.41,18.42,1600,0
2017-11-22,20:30:00,18.415,18.42,18.4,18.415,8098,0
2017-11-22,20:35:00,18.415,18.42,18.415,18.415,2046,0
2017-11-22,20:40:00,18.415,18.42,18.41,18.415,3200,0
2017-11-22,20:45:00,18.42,18.42,18.41,18.415,1493,0
2017-11-22,20:50:00,18.415,18.42,18.415,18.415,3088,0
2017-11-22,20:55:00,18.415,18.42,18.415,18.415,1700,0
2017-11-22,21:00:00,18.415,18.42,18.395,18.395,16438,0
2017-11-22,21:05:00,18.395,18.4,18.39,18.395,5119,0
2017-11-22,21:10:00,18.395,18.4,18.39,18.39,3000,0
2017-11-22,21:15:00,18.395,18.4,18.39,18.395,6500,0
2017-11-22,21:20:00,18.395,18.4,18.391,18.4,6990,0
2017-11-22,21:25:00,18.395,18.4,18.39,18.395,4226,0
2017-11-22,21:30:00,18.4,18.4,18.39,18.395,5800,0
2017-11-22,21:35:00,18.39,18.4,18.39,18.39,11224,0
2017-11-22,21:40:00,18.39,18.395,18.37,18.375,18882,0
2017-11-22,21:45:00,18.375,18.41,18.37,18.39,53414,0
2017-11-22,21:50:00,18.39,18.4,18.37,18.37,46588,0
2017-11-22,21:55:00,18.375,18.38,18.37,18.37,10237,0
2017-11-22,22:00:00,18.375,18.38,18.36,18.38,269799,0
2017-11-24,15:35:00,18.39,18.4,18.34,18.37,10308,0
2017-11-24,15:40:00,18.375,18.41,18.36,18.4,3400,0
2017-11-24,15:45:00,18.41,18.43,18.41,18.42,8000,0
2017-11-24,15:50:00,18.42,18.42,18.38,18.39,5914,0
2017-11-24,15:55:00,18.39,18.42,18.39,18.39,8159,0
2017-11-24,16:00:00,18.39,18.39,18.365,18.37,4200,0
2017-11-24,16:05:00,18.36,18.36,18.33,18.36,9156,0
2017-11-24,16:10:00,18.3669,18.38,18.36,18.37,7183,0
2017-11-24,16:15:00,18.375,18.39,18.375,18.39,9790,0
2017-11-24,16:20:00,18.39,18.4,18.3841,18.4,9927,0
2017-11-24,16:25:00,18.395,18.43,18.395,18.43,4110,0
2017-11-24,16:30:00,18.43,18.44,18.42,18.43,22887,0
2017-11-24,16:35:00,18.425,18.425,18.415,18.415,6300,0
2017-11-24,16:40:00,18.415,18.415,18.395,18.395,9870,0
2017-11-24,16:45:00,18.39,18.405,18.38,18.405,5674,0
2017-11-24,16:50:00,18.4072,18.415,18.4,18.4,5543,0
2017-11-24,16:55:00,18.4,18.405,18.39,18.4,5333,0
2017-11-24,17:00:00,18.4,18.41,18.4,18.4031,2219,0
2017-11-24,17:05:00,18.41,18.41,18.4,18.41,2246,0
2017-11-24,17:10:00,18.41,18.41,18.38,18.38,10546,0
2017-11-24,17:15:00,18.385,18.4,18.38,18.4,9567,0
2017-11-24,17:20:00,18.39,18.41,18.39,18.405,10600,0
2017-11-24,17:25:00,18.4,18.405,18.4,18.4,500,0
2017-11-24,17:30:00,18.41,18.41,18.4,18.405,2196,0
2017-11-24,17:35:00,18.41,18.41,18.405,18.405,200,0
2017-11-24,17:40:00,18.405,18.41,18.4,18.4,3050,0
2017-11-24,17:45:00,18.405,18.41,18.39,18.39,17315,0
2017-11-24,17:50:00,18.395,18.41,18.39,18.41,6303,0
2017-11-24,17:55:00,18.405,18.41,18.39,18.41,12794,0
2017-11-24,18:00:00,18.41,18.415,18.41,18.415,3700,0
2017-11-24,18:05:00,18.41,18.42,18.405,18.41,8715,0
2017-11-24,18:10:00,18.4069,18.41,18.405,18.41,5100,0
