Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-03,14:35:00,2.196,2.2448,2.1521,2.1628,4864,0
2017-11-03,14:40:00,2.196,2.196,2.1472,2.1472,19273,0
2017-11-03,14:45:00,2.1472,2.2132,2.1472,2.196,8500,0
2017-11-03,14:50:00,2.1794,2.2448,2.1794,2.196,11031,0
2017-11-03,14:55:00,2.196,2.2448,2.196,2.2251,1537,0
2017-11-03,15:00:00,2.2204,2.2289,2.196,2.2289,3504,0
2017-11-03,15:05:00,2.2277,2.2277,2.196,2.196,10266,0
2017-11-03,15:10:00,2.196,2.196,2.196,2.196,2766,0
2017-11-03,15:15:00,2.196,2.196,2.196,2.196,1025,0
2017-11-03,15:20:00,2.196,2.2448,2.196,2.2448,5635,0
2017-11-03,15:25:00,2.196,2.196,2.196,2.196,1025,0
2017-11-03,15:30:00,2.196,2.2448,2.196,2.235,4201,0
2017-11-03,15:35:00,2.2144,2.2155,2.1911,2.1911,28376,0
2017-11-03,15:40:00,2.1814,2.1814,2.1814,2.1814,2008,0
2017-11-03,15:45:00,2.1853,2.1853,2.1853,2.1853,1230,0
2017-11-03,15:50:00,2.1911,2.1911,2.1472,2.1716,10266,0
2017-11-03,15:55:00,2.1472,2.1716,2.1472,2.1716,5826,0
2017-11-03,16:00:00,2.1472,2.1472,2.0984,2.0984,8342,0
2017-11-03,16:05:00,2.0984,2.0984,2.0984,2.0984,205,0
2017-11-03,16:10:00,2.0984,2.1228,2.0984,2.1228,1127,0
2017-11-03,16:15:00,2.1354,2.1716,2.1354,2.1716,21414,0
2017-11-03,16:25:00,2.1716,2.1716,2.1716,2.1716,102,0
2017-11-03,16:30:00,2.1472,2.196,2.1472,2.196,10758,0
2017-11-03,16:35:00,2.1716,2.44,2.1716,2.3799,61880,0
2017-11-03,16:40:00,2.3912,2.3912,2.3473,2.3912,4201,0
2017-11-03,16:45:00,2.359,2.3912,2.3424,2.3473,17572,0
2017-11-03,16:50:00,2.3912,2.3912,2.3912,2.3912,205,0
2017-11-03,16:55:00,2.3912,2.3912,2.3473,2.3473,1947,0
2017-11-03,17:05:00,2.3912,2.3961,2.3912,2.3961,3586,0
2017-11-03,17:10:00,2.3912,2.4351,2.3912,2.4081,2203,0
2017-11-03,17:15:00,2.44,2.44,2.4156,2.4156,5441,0
2017-11-03,17:20:00,2.44,2.44,2.44,2.44,154,0
2017-11-03,17:25:00,2.3912,2.44,2.3912,2.4351,973,0
2017-11-03,17:30:00,2.3912,2.4351,2.3912,2.4351,4457,0
2017-11-03,17:35:00,2.44,2.44,2.4351,2.4351,3176,0
2017-11-03,17:40:00,2.3912,2.4328,2.3912,2.4328,1711,0
2017-11-03,17:45:00,2.4156,2.4156,2.4081,2.4081,1639,0
2017-11-03,17:50:00,2.4156,2.4156,2.3912,2.3912,512,0
2017-11-03,17:55:00,2.3961,2.3961,2.3961,2.3961,512,0
2017-11-03,18:00:00,2.401,2.44,2.401,2.4302,2971,0
2017-11-03,18:05:00,2.4083,2.44,2.4083,2.44,1107,0
2017-11-03,18:10:00,2.3961,2.3961,2.3912,2.3912,2869,0
2017-11-03,18:15:00,2.4254,2.4254,2.3961,2.3961,3074,0
2017-11-03,18:20:00,2.44,2.44,2.3912,2.3912,337,0
2017-11-03,18:25:00,2.44,2.44,2.44,2.44,102,0
2017-11-03,18:40:00,2.44,2.44,2.3961,2.3961,1034,0
2017-11-03,18:45:00,2.44,2.44,2.4351,2.4351,1127,0
2017-11-03,18:50:00,2.3912,2.3912,2.3912,2.3912,102,0
2017-11-03,18:55:00,2.4231,2.4231,2.3961,2.4009,2346,0
2017-11-03,19:00:00,2.44,2.44,2.44,2.44,205,0
2017-11-03,19:05:00,2.44,2.44,2.4156,2.4156,512,0
2017-11-03,19:10:00,2.4156,2.44,2.3912,2.44,3575,0
2017-11-03,19:15:00,2.44,2.44,2.3912,2.44,11365,0
2017-11-03,19:20:00,2.3912,2.44,2.3912,2.44,307,0
2017-11-03,19:25:00,2.44,2.44,2.4351,2.4351,256,0
2017-11-03,19:30:00,2.4009,2.4009,2.4009,2.4009,820,0
2017-11-03,19:35:00,2.44,2.44,2.44,2.44,2049,0
2017-11-03,19:40:00,2.44,2.44,2.44,2.44,102,0
2017-11-03,19:45:00,2.3912,2.3912,2.3912,2.3912,102,0
2017-11-03,19:50:00,2.4156,2.4156,2.4156,2.4156,205,0
2017-11-03,19:55:00,2.3912,2.44,2.3912,2.4282,3791,0
2017-11-03,20:00:00,2.4156,2.4156,2.4156,2.4156,102,0
2017-11-03,20:05:00,2.44,2.44,2.4156,2.44,4816,0
2017-11-03,20:10:00,2.44,2.44,2.3912,2.4133,6557,0
2017-11-03,20:15:00,2.3961,2.4099,2.3912,2.3912,3893,0
2017-11-03,20:20:00,2.428,2.4302,2.3912,2.4156,5635,0
2017-11-03,20:25:00,2.4156,2.4156,2.4156,2.4156,205,0
2017-11-03,20:30:00,2.3912,2.44,2.3912,2.44,6126,0
2017-11-03,20:35:00,2.4156,2.4156,2.4156,2.4156,102,0
2017-11-03,20:40:00,2.44,2.44,2.4156,2.4156,794,0
2017-11-03,20:45:00,2.4215,2.44,2.3912,2.3912,2625,0
2017-11-03,20:50:00,2.44,2.44,2.44,2.44,451,0
2017-11-03,20:55:00,2.4205,2.4205,2.3912,2.4156,6972,0
2017-11-03,21:00:00,2.4156,2.44,2.3912,2.3912,8007,0
2017-11-06,15:35:00,2.44,2.44,2.3961,2.4156,4576,0
2017-11-06,15:40:00,2.4156,2.44,2.4156,2.4215,1332,0
2017-11-06,15:50:00,2.3912,2.44,2.3912,2.3912,5686,0
2017-11-06,15:55:00,2.44,2.4888,2.4156,2.44,12266,0
2017-11-06,16:00:00,2.44,2.4644,2.44,2.4644,717,0
2017-11-06,16:10:00,2.4644,2.5376,2.4572,2.5376,13881,0
2017-11-06,16:15:00,2.5864,2.5864,2.5542,2.5864,7120,0
2017-11-06,16:20:00,2.562,2.5942,2.5425,2.5942,13217,0
2017-11-06,16:25:00,2.5864,2.6222,2.5864,2.5913,16985,0
2017-11-06,16:30:00,2.6352,2.6352,2.5942,2.5942,4485,0
2017-11-06,16:35:00,2.6108,2.6108,2.6108,2.6108,102,0
2017-11-06,16:40:00,2.6108,2.6108,2.6108,2.6108,205,0
2017-11-06,16:45:00,2.6303,2.6352,2.5864,2.6251,12756,0
2017-11-06,16:50:00,2.6153,2.6352,2.5913,2.6352,738,0
2017-11-06,16:55:00,2.5864,2.5864,2.4888,2.5864,19526,0
2017-11-06,17:00:00,2.5376,2.5864,2.5376,2.562,512,0
2017-11-06,17:05:00,2.5864,2.5864,2.5864,2.5864,102,0
2017-11-06,17:10:00,2.5739,2.5864,2.5425,2.5864,973,0
2017-11-06,17:15:00,2.5425,2.5864,2.5425,2.5864,512,0
2017-11-06,17:30:00,2.5427,2.5427,2.5427,2.5427,128,0
2017-11-06,17:40:00,2.5498,2.5498,2.5498,2.5498,205,0
2017-11-06,17:55:00,2.5474,2.5864,2.5474,2.5864,389,0
2017-11-06,18:00:00,2.5376,2.5702,2.5376,2.5702,410,0
2017-11-06,18:05:00,2.5425,2.5766,2.5425,2.5766,2869,0
2017-11-06,18:10:00,2.561,2.561,2.561,2.561,174,0
2017-11-06,18:15:00,2.5376,2.5864,2.5376,2.5864,205,0
