Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-27,15:35:00,40.045,40.045,40.045,40.045,176,0
2017-07-27,16:10:00,40.045,40.045,40.045,40.045,100,0
2017-07-27,19:00:00,39.985,39.985,39.985,39.985,151,0
2017-07-27,19:50:00,39.815,39.825,39.815,39.825,350,0
2017-07-28,19:30:00,39.915,39.915,39.915,39.915,100,0
2017-07-28,20:30:00,39.925,39.925,39.925,39.925,502,0
2017-07-31,15:35:00,40.045,40.045,40.045,40.045,251,0
2017-07-31,17:30:00,40.046,40.046,40.046,40.046,251,0
2017-07-31,20:35:00,40.156,40.156,40.156,40.156,251,0
2017-08-01,15:40:00,40.065,40.065,40.065,40.065,1003,0
2017-08-01,17:15:00,40.015,40.015,40.015,40.015,100,0
2017-08-01,17:40:00,39.851,39.851,39.851,39.851,250,0
2017-08-01,18:45:00,39.897,39.897,39.897,39.897,552,0
2017-08-01,20:15:00,39.945,39.945,39.945,39.945,502,0
2017-08-01,20:40:00,39.935,39.935,39.935,39.935,201,0
2017-08-02,16:25:00,39.895,39.895,39.895,39.895,903,0
2017-08-09,19:10:00,39.581,39.581,39.581,39.581,201,0
2017-08-09,21:00:00,39.524,39.524,39.524,39.524,201,0
2017-08-10,18:10:00,39.068,39.068,39.068,39.068,100,0
2017-08-14,15:35:00,39.068,39.068,39.068,39.068,256,0
2017-08-14,18:15:00,39.182,39.182,39.182,39.182,201,0
2017-08-17,16:20:00,38.62,38.62,38.62,38.62,151,0
2017-08-17,21:35:00,38.217,38.217,38.217,38.217,100,0
2017-08-21,15:35:00,38.121,38.121,38.121,38.121,201,0
2017-08-21,15:55:00,38.002,38.002,38.002,38.002,201,0
2017-08-23,16:15:00,38.46,38.46,38.46,38.46,1304,0
2017-08-24,21:00:00,38.659,38.659,38.659,38.659,100,0
2017-08-28,15:35:00,38.659,38.819,38.659,38.819,863,0
2017-08-28,15:45:00,38.799,38.799,38.799,38.799,401,0
2017-08-28,16:05:00,38.659,38.659,38.659,38.659,612,0
2017-08-28,16:55:00,38.58,38.581,38.58,38.581,251,0
2017-08-29,15:35:00,38.59,38.59,38.37,38.37,502,0
2017-08-31,15:35:00,38.729,38.829,38.729,38.829,1906,0
2017-08-31,22:00:00,38.998,38.998,38.998,38.998,201,0
2017-09-01,15:35:00,38.998,38.998,38.998,38.998,1605,0
2017-09-05,18:55:00,38.59,38.59,38.59,38.59,100,0
2017-09-06,15:45:00,38.919,38.919,38.919,38.919,100,0
2017-09-08,16:05:00,38.763,38.763,38.763,38.763,100,0
2017-09-11,21:30:00,39.277,39.277,39.273,39.273,201,0
2017-09-12,17:50:00,39.648,39.648,39.648,39.648,201,0
2017-09-15,18:10:00,39.925,39.925,39.925,39.925,201,0
2017-09-18,15:45:00,40.364,40.364,40.364,40.364,176,0
2017-09-18,16:10:00,40.364,40.364,40.364,40.364,100,0
2017-09-22,22:00:00,42.795,42.795,42.795,42.795,100,0
2017-09-26,15:35:00,41.39,41.39,41.39,41.39,105,0
2017-09-26,18:10:00,41.48,41.51,41.48,41.51,2107,0
2017-09-26,21:45:00,41.646,41.649,41.646,41.649,903,0
2017-09-28,16:35:00,41.85,41.85,41.85,41.85,500,0
2017-09-28,18:25:00,42.0199,42.02,41.9994,42.02,943,0
2017-09-29,16:30:00,42.16,42.16,42.125,42.125,500,0
