Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,15:35:00,4.05,4.05,4.05,4.05,200,0
2017-09-06,15:40:00,4.05,4.05,4.05,4.05,300,0
2017-09-06,16:05:00,4.1,4.1,4.1,4.1,400,0
2017-09-06,16:10:00,4.1,4.1,4.1,4.1,100,0
2017-09-06,16:15:00,4.1,4.1,4.1,4.1,100,0
2017-09-06,16:30:00,4.1,4.1,4.1,4.1,600,0
2017-09-06,16:35:00,4.055,4.055,4.05,4.055,1000,0
2017-09-06,17:15:00,4.0824,4.0824,4.0824,4.0824,100,0
2017-09-06,18:35:00,4.1,4.1,4.1,4.1,100,0
2017-09-06,19:50:00,4.1,4.1,4.1,4.1,100,0
2017-09-06,20:10:00,4.1,4.1,4.1,4.1,100,0
2017-09-06,20:55:00,4.05,4.05,4.05,4.05,100,0
2017-09-06,21:10:00,4.1,4.1,4.1,4.1,100,0
2017-09-06,21:50:00,4.1,4.1,4.1,4.1,100,0
2017-09-06,21:55:00,4.1,4.125,4.1,4.125,200,0
2017-09-06,22:00:00,4.1,4.1,4.1,4.1,666,0
2017-09-07,15:35:00,4.15,4.15,4.15,4.15,1093,0
2017-09-07,16:25:00,4.15,4.15,4.15,4.15,200,0
2017-09-07,16:55:00,4.1,4.1,4.1,4.1,500,0
2017-09-07,17:00:00,4.1,4.1,4.1,4.1,100,0
2017-09-07,17:05:00,4.1,4.1,4.1,4.1,100,0
2017-09-07,17:50:00,4.05,4.105,4.05,4.105,1430,0
2017-09-07,18:25:00,4.15,4.15,4.1,4.1,200,0
2017-09-07,18:30:00,4.1,4.1,4.075,4.075,200,0
2017-09-07,18:40:00,4.1,4.15,4.1,4.15,800,0
2017-09-07,19:25:00,4.15,4.15,4.15,4.15,100,0
2017-09-07,20:55:00,4.2,4.2,4.15,4.15,4200,0
2017-09-07,21:30:00,4.2,4.2,4.2,4.2,862,0
2017-09-07,22:00:00,4.2,4.2,4.15,4.15,900,0
2017-09-08,15:35:00,4.2,4.2,4.2,4.2,100,0
2017-09-08,17:00:00,4.15,4.15,4.15,4.15,100,0
2017-09-08,17:45:00,4.2,4.2,4.15,4.15,200,0
2017-09-08,17:50:00,4.2,4.2,4.2,4.2,100,0
2017-09-08,18:20:00,4.15,4.15,4.15,4.15,8929,0
2017-09-08,18:35:00,4.15,4.15,4.15,4.15,100,0
2017-09-08,19:15:00,4.15,4.15,4.15,4.15,266,0
2017-09-08,20:35:00,4.145,4.145,4.105,4.105,1000,0
2017-09-08,22:00:00,4.1,4.1,4.1,4.1,1311,0
2017-09-11,15:35:00,4.15,4.15,4.15,4.15,100,0
2017-09-11,18:50:00,4.1,4.1,4.1,4.1,100,0
2017-09-11,21:20:00,4.15,4.2,4.15,4.2,400,0
2017-09-11,22:00:00,4.15,4.2,4.1,4.1,937,0
2017-09-12,17:35:00,4.15,4.15,4.15,4.15,200,0
2017-09-12,17:50:00,4.15,4.155,4.15,4.155,1000,0
2017-09-12,21:35:00,4.15,4.15,4.15,4.15,100,0
2017-09-12,21:45:00,4.2,4.2,4.2,4.2,100,0
2017-09-12,22:00:00,4.2,4.2,4.2,4.2,200,0
2017-09-13,15:35:00,4.15,4.15,4.15,4.15,100,0
2017-09-13,17:05:00,4.2,4.2,4.2,4.2,100,0
2017-09-13,18:25:00,4.1174,4.1174,4.1174,4.1174,150,0
2017-09-13,22:00:00,4.2,4.25,4.2,4.25,1555,0
2017-09-14,15:35:00,4.2,4.2,4.2,4.2,100,0
2017-09-14,15:40:00,4.2,4.2,4.2,4.2,100,0
2017-09-14,16:10:00,4.15,4.15,4.15,4.15,1000,0
2017-09-14,16:35:00,4.1182,4.1182,4.1182,4.1182,400,0
2017-09-14,16:55:00,4.1,4.1123,4.1,4.1123,1200,0
2017-09-14,17:35:00,4.1357,4.1357,4.1357,4.1357,500,0
2017-09-14,17:55:00,4.1,4.15,4.1,4.15,200,0
2017-09-14,18:05:00,4.117,4.117,4.117,4.117,500,0
2017-09-14,18:45:00,4.15,4.15,4.125,4.15,600,0
2017-09-14,19:10:00,4.15,4.15,4.1,4.1,300,0
2017-09-14,20:55:00,4.1,4.1,4.1,4.1,100,0
2017-09-14,21:20:00,4.15,4.15,4.15,4.15,300,0
2017-09-14,21:50:00,4.15,4.15,4.15,4.15,800,0
2017-09-14,22:00:00,4.15,4.15,4.1,4.1,600,0
2017-09-15,15:35:00,4.15,4.15,4.1,4.13,1211,0
2017-09-15,15:40:00,4.1,4.1,4.1,4.1,100,0
2017-09-15,16:25:00,4.15,4.15,4.15,4.15,200,0
2017-09-15,19:00:00,4.15,4.15,4.15,4.15,100,0
2017-09-15,19:10:00,4.1,4.1,4.1,4.1,300,0
2017-09-15,20:05:00,4.1,4.1,4.1,4.1,595,0
2017-09-15,22:00:00,4.15,4.15,4.15,4.15,200,0
2017-09-18,16:15:00,4.14,4.14,4.14,4.14,1000,0
2017-09-18,16:25:00,4.15,4.15,4.15,4.15,3300,0
2017-09-18,16:40:00,4.15,4.15,4.1,4.15,4700,0
2017-09-18,17:45:00,4.14,4.14,4.14,4.14,900,0
2017-09-18,18:15:00,4.1,4.1,4.1,4.1,100,0
2017-09-18,20:15:00,4.1,4.1,4.1,4.1,600,0
2017-09-18,20:20:00,4.15,4.15,4.15,4.15,100,0
2017-09-18,20:25:00,4.05,4.05,4.05,4.05,620,0
2017-09-18,21:55:00,4.05,4.05,4.05,4.05,400,0
2017-09-18,22:00:00,4.05,4.075,4.05,4.05,2308,0
2017-09-19,18:25:00,4.1,4.1,4.1,4.1,100,0
2017-09-19,19:30:00,4.0896,4.0896,4.0896,4.0896,500,0
2017-09-19,21:10:00,4.05,4.05,4.05,4.05,100,0
2017-09-19,21:15:00,4.075,4.095,4.075,4.095,299,0
2017-09-19,21:50:00,4.05,4.05,4.05,4.05,200,0
2017-09-19,22:00:00,4,4,4,4,1300,0
2017-09-20,15:35:00,4.1,4.1,4.1,4.1,1000,0
2017-09-20,15:55:00,4.05,4.05,4.05,4.05,100,0
2017-09-20,16:55:00,4.05,4.05,4.05,4.05,100,0
2017-09-20,17:15:00,4.095,4.095,4.095,4.095,1000,0
2017-09-20,17:30:00,4.0746,4.0746,4.0746,4.0746,610,0
2017-09-20,17:50:00,4.05,4.05,4.05,4.05,900,0
2017-09-20,17:55:00,4.05,4.05,4.05,4.05,100,0
2017-09-20,20:00:00,4.05,4.05,4.05,4.05,100,0
2017-09-20,20:30:00,4.05,4.05,4.05,4.05,100,0
2017-09-20,20:35:00,4.05,4.05,4.05,4.05,100,0
2017-09-20,21:20:00,4.05,4.05,4.05,4.05,100,0
2017-09-20,22:00:00,4.075,4.075,4.05,4.05,800,0
2017-09-21,16:15:00,4.0624,4.0772,4.0624,4.0772,1400,0
2017-09-21,18:20:00,4.1,4.1,4.1,4.1,100,0
