Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-13,15:40:00,9.1983,9.1983,9.1983,9.1983,3014,0
2017-11-13,15:45:00,9.2281,9.2381,9.1884,9.2132,3667,0
2017-11-13,16:00:00,9.2349,9.248,9.2349,9.248,1105,0
2017-11-13,16:05:00,9.2381,9.248,9.2381,9.248,10347,0
2017-11-13,16:10:00,9.2431,9.248,9.2431,9.248,4129,0
2017-11-13,16:15:00,9.247,9.2538,9.247,9.2538,1607,0
2017-11-13,16:20:00,9.248,9.248,9.2281,9.2281,37168,0
2017-11-13,16:25:00,9.2381,9.2404,9.2281,9.2304,11854,0
2017-11-13,16:30:00,9.2281,9.238,9.1983,9.238,6098,0
2017-11-13,16:40:00,9.238,9.238,9.1883,9.1883,2612,0
2017-11-13,16:50:00,9.1983,9.1983,9.1485,9.1982,16073,0
2017-11-13,16:55:00,9.1594,9.1594,9.1485,9.1584,17077,0
2017-11-13,17:00:00,9.1485,9.1485,9.1485,9.1485,301,0
2017-11-13,17:05:00,9.1435,9.1484,9.1385,9.1385,4581,0
2017-11-13,17:10:00,9.1485,9.1485,9.1485,9.1485,2411,0
2017-11-13,17:15:00,9.1584,9.2082,9.1584,9.2082,7032,0
2017-11-13,17:20:00,9.2081,9.2081,9.1968,9.1968,2279,0
2017-11-13,17:25:00,9.2026,9.2026,9.1485,9.1485,6703,0
2017-11-13,17:30:00,9.1697,9.1697,9.1697,9.1697,251,0
2017-11-13,17:45:00,9.1665,9.1668,9.1386,9.1569,5224,0
2017-11-13,17:50:00,9.145,9.145,9.145,9.145,5023,0
2017-11-13,17:55:00,9.1385,9.1385,9.1385,9.1385,2712,0
2017-11-13,18:00:00,9.1385,9.1385,9.1385,9.1385,4018,0
2017-11-13,18:05:00,9.1399,9.1484,9.1399,9.1484,2762,0
2017-11-13,18:10:00,9.1435,9.1485,9.1435,9.1485,1909,0
2017-11-13,18:15:00,9.1584,9.1584,9.1584,9.1584,100,0
2017-11-13,18:20:00,9.1583,9.1583,9.1583,9.1583,1005,0
2017-11-13,18:25:00,9.1486,9.1486,9.1485,9.1485,7634,0
2017-11-13,18:35:00,9.1404,9.1404,9.1404,9.1404,2009,0
2017-11-13,18:45:00,9.1385,9.1485,9.1385,9.1385,502,0
2017-11-13,18:50:00,9.1385,9.1385,9.1385,9.1385,1406,0
2017-11-13,18:55:00,9.1385,9.1385,9.1385,9.1385,3014,0
2017-11-13,19:00:00,9.1458,9.1458,9.1385,9.1385,1105,0
2017-11-13,19:05:00,9.1461,9.1461,9.1457,9.1457,1005,0
2017-11-13,19:10:00,9.1478,9.1684,9.1435,9.1684,12275,0
