Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,40.164,40.164,39.546,39.925,6567,0
2017-11-17,15:40:00,39.935,40.134,39.845,39.845,1882,0
2017-11-17,15:50:00,40.119,40.393,40.119,40.363,1305,0
2017-11-17,15:55:00,40.323,40.323,40.024,40.084,1908,0
2017-11-17,16:00:00,40.114,40.114,39.994,39.994,301,0
2017-11-17,16:05:00,40.004,40.044,39.955,40.034,1105,0
2017-11-17,16:10:00,40.054,40.283,40.054,40.174,2008,0
2017-11-17,16:15:00,40.164,40.214,40.154,40.154,602,0
2017-11-17,16:20:00,40.154,40.154,40.064,40.089,1004,0
2017-11-17,16:25:00,40.084,40.164,40.064,40.064,2812,0
2017-11-17,16:30:00,40.114,40.114,40.079,40.114,514,0
2017-11-17,16:35:00,40.154,40.154,40.084,40.084,301,0
2017-11-17,16:40:00,40.253,40.253,40.124,40.144,2663,0
2017-11-17,16:45:00,40.134,40.154,40.094,40.094,803,0
2017-11-17,16:50:00,40.094,40.184,40.094,40.174,402,0
2017-11-17,16:55:00,40.224,40.303,40.204,40.303,1004,0
2017-11-17,17:00:00,40.323,40.323,40.253,40.288,966,0
2017-11-17,17:05:00,40.288,40.288,40.084,40.084,3916,0
2017-11-17,17:10:00,40.174,40.174,40.124,40.136,904,0
2017-11-17,17:15:00,40.144,40.144,40.144,40.144,100,0
2017-11-17,17:20:00,40.184,40.233,40.144,40.233,2495,0
2017-11-17,17:25:00,40.233,40.233,40.154,40.154,1757,0
2017-11-17,17:35:00,40.224,40.233,40.174,40.174,301,0
2017-11-17,17:40:00,40.204,40.283,40.204,40.283,2510,0
2017-11-17,17:45:00,40.263,40.283,40.253,40.283,1205,0
2017-11-17,17:50:00,40.373,40.403,40.341,40.403,402,0
2017-11-17,17:55:00,40.423,40.423,40.333,40.343,1506,0
2017-11-17,18:00:00,40.383,40.403,40.363,40.363,1908,0
2017-11-17,18:05:00,40.333,40.333,40.303,40.303,201,0
2017-11-17,18:10:00,40.313,40.373,40.313,40.373,602,0
2017-11-17,18:15:00,40.403,40.403,40.343,40.343,602,0
2017-11-17,18:20:00,40.323,40.368,40.323,40.368,201,0
2017-11-17,18:25:00,40.343,40.393,40.343,40.368,1205,0
2017-11-17,18:30:00,40.368,40.393,40.333,40.358,6076,0
2017-11-17,18:35:00,40.358,40.358,40.333,40.358,502,0
2017-11-17,18:40:00,40.353,40.373,40.293,40.338,6083,0
2017-11-17,18:45:00,40.35,40.355,40.323,40.323,602,0
2017-11-17,18:50:00,40.343,40.373,40.313,40.343,502,0
2017-11-17,18:55:00,40.313,40.313,40.263,40.288,1506,0
2017-11-17,19:00:00,40.296,40.303,40.283,40.283,502,0
2017-11-17,19:05:00,40.333,40.413,40.283,40.373,3715,0
2017-11-17,19:10:00,40.448,40.492,40.383,40.383,1536,0
2017-11-17,19:15:00,40.343,40.403,40.343,40.403,201,0
2017-11-17,19:20:00,40.373,40.443,40.373,40.413,1076,0
2017-11-17,19:25:00,40.443,40.443,40.353,40.353,1105,0
2017-11-17,19:30:00,40.363,40.378,40.333,40.378,1004,0
2017-11-17,19:35:00,40.343,40.433,40.343,40.433,1807,0
2017-11-17,19:40:00,40.403,40.433,40.403,40.433,201,0
2017-11-17,19:45:00,40.393,40.413,40.383,40.383,803,0
2017-11-17,19:50:00,40.403,40.433,40.383,40.433,602,0
2017-11-17,19:55:00,40.433,40.433,40.393,40.413,602,0
2017-11-17,20:00:00,40.413,40.433,40.393,40.423,402,0
2017-11-17,20:05:00,40.41,40.433,40.41,40.423,1807,0
2017-11-17,20:10:00,40.443,40.443,40.353,40.403,1105,0
2017-11-17,20:15:00,40.393,40.418,40.393,40.418,703,0
2017-11-17,20:20:00,40.403,40.418,40.403,40.403,532,0
2017-11-17,20:25:00,40.388,40.403,40.363,40.363,402,0
2017-11-17,20:30:00,40.363,40.413,40.363,40.393,2611,0
2017-11-17,20:35:00,40.378,40.393,40.293,40.293,2109,0
2017-11-17,20:40:00,40.313,40.313,40.303,40.303,301,0
2017-11-17,20:45:00,40.303,40.303,40.273,40.293,1205,0
2017-11-17,20:50:00,40.283,40.323,40.273,40.323,1004,0
2017-11-17,20:55:00,40.323,40.353,40.293,40.313,2849,0
2017-11-17,21:00:00,40.293,40.333,40.293,40.293,602,0
2017-11-17,21:05:00,40.293,40.353,40.293,40.303,502,0
2017-11-17,21:10:00,40.333,40.353,40.333,40.348,402,0
2017-11-17,21:15:00,40.363,40.373,40.323,40.363,4418,0
2017-11-17,21:20:00,40.353,40.363,40.333,40.363,2209,0
2017-11-17,21:25:00,40.368,40.443,40.368,40.418,5417,0
2017-11-17,21:30:00,40.413,40.472,40.413,40.448,1305,0
2017-11-17,21:35:00,40.453,40.472,40.333,40.348,6580,0
2017-11-17,21:40:00,40.348,40.393,40.343,40.363,4645,0
2017-11-17,21:45:00,40.363,40.443,40.348,40.36,2744,0
2017-11-17,21:50:00,40.383,40.393,40.363,40.388,1506,0
2017-11-17,21:55:00,40.472,40.472,40.373,40.378,8715,0
2017-11-17,22:00:00,40.373,40.423,40.373,40.403,21853,0
2017-11-20,15:35:00,40.562,40.582,39.686,40.333,12920,0
2017-11-20,15:50:00,40.463,40.472,40.463,40.472,201,0
2017-11-20,15:55:00,40.433,40.443,40.363,40.413,703,0
2017-11-20,16:00:00,40.472,40.482,40.453,40.453,301,0
2017-11-20,16:05:00,40.472,40.472,40.393,40.403,1305,0
2017-11-20,16:10:00,40.433,40.443,40.393,40.443,602,0
2017-11-20,16:15:00,40.532,40.572,40.458,40.482,6014,0
2017-11-20,16:20:00,40.622,40.721,40.622,40.692,703,0
2017-11-20,16:25:00,40.711,40.791,40.652,40.652,2008,0
2017-11-20,16:30:00,40.652,40.811,40.592,40.811,904,0
2017-11-20,16:35:00,40.791,40.801,40.731,40.781,1908,0
2017-11-20,16:40:00,40.771,40.811,40.751,40.811,1305,0
2017-11-20,16:45:00,40.781,40.796,40.702,40.771,32446,0
2017-11-20,16:50:00,40.711,40.801,40.711,40.801,502,0
2017-11-20,16:55:00,40.811,40.871,40.811,40.871,803,0
2017-11-20,17:00:00,40.911,40.921,40.801,40.801,1532,0
2017-11-20,17:05:00,40.801,40.801,40.761,40.771,301,0
2017-11-20,17:10:00,40.836,40.841,40.781,40.831,6527,0
2017-11-20,17:15:00,40.821,40.821,40.821,40.821,100,0
2017-11-20,17:20:00,40.801,40.801,40.761,40.761,2336,0
2017-11-20,17:25:00,40.791,40.791,40.761,40.761,402,0
2017-11-20,17:30:00,40.751,40.781,40.731,40.731,402,0
2017-11-20,17:35:00,40.731,40.731,40.731,40.731,100,0
2017-11-20,17:40:00,40.711,40.731,40.711,40.731,602,0
2017-11-20,17:45:00,40.791,40.791,40.642,40.642,1406,0
2017-11-20,17:50:00,40.662,40.672,40.662,40.672,201,0
2017-11-20,17:55:00,40.682,40.682,40.622,40.682,2209,0
2017-11-20,18:00:00,40.662,40.682,40.652,40.672,988,0
2017-11-20,18:10:00,40.672,40.672,40.652,40.672,402,0
2017-11-20,18:15:00,40.662,40.682,40.652,40.682,602,0
2017-11-20,18:20:00,40.682,40.682,40.622,40.682,1004,0
2017-11-20,18:25:00,40.711,40.711,40.692,40.711,502,0
2017-11-20,18:30:00,40.721,40.741,40.721,40.741,301,0
2017-11-20,18:35:00,40.662,40.662,40.662,40.662,100,0
2017-11-20,18:40:00,40.711,40.751,40.672,40.741,803,0
2017-11-20,18:45:00,40.741,40.741,40.692,40.692,602,0
2017-11-20,18:50:00,40.711,40.741,40.692,40.692,703,0
2017-11-20,18:55:00,40.692,40.781,40.692,40.781,201,0
2017-11-20,19:05:00,40.726,40.726,40.726,40.726,563,0
2017-11-20,19:10:00,40.711,40.781,40.711,40.771,1106,0
2017-11-20,19:20:00,40.781,40.821,40.771,40.821,1506,0
2017-11-20,19:25:00,40.821,40.831,40.801,40.831,602,0
2017-11-20,19:30:00,40.831,40.851,40.831,40.841,402,0
2017-11-20,19:35:00,40.941,40.951,40.941,40.951,402,0
2017-11-20,19:40:00,40.96,40.99,40.951,40.99,502,0
2017-11-20,19:45:00,41.02,41.02,41.02,41.02,301,0
2017-11-20,19:50:00,40.98,41.035,40.98,41.035,752,0
2017-11-20,19:55:00,40.985,41.05,40.985,41.05,502,0
2017-11-20,20:05:00,41.01,41.01,40.96,40.96,1004,0
2017-11-20,20:10:00,40.96,40.97,40.96,40.96,402,0
2017-11-20,20:15:00,40.911,40.95,40.871,40.95,753,0
2017-11-20,20:25:00,40.96,40.96,40.896,40.901,445,0
2017-11-20,20:30:00,40.901,41.06,40.901,40.99,1707,0
2017-11-20,20:35:00,40.999,41.07,40.999,41.04,655,0
2017-11-20,20:40:00,41,41.03,40.97,40.97,5295,0
2017-11-20,20:55:00,40.911,40.96,40.911,40.96,502,0
2017-11-20,21:00:00,40.97,41.01,40.951,40.995,703,0
2017-11-20,21:05:00,40.941,40.951,40.921,40.921,1205,0
2017-11-20,21:10:00,40.911,40.97,40.911,40.936,2338,0
2017-11-20,21:15:00,40.911,40.921,40.861,40.901,1305,0
2017-11-20,21:20:00,40.881,40.941,40.861,40.911,3113,0
2017-11-20,21:25:00,40.901,40.921,40.861,40.916,3198,0
2017-11-20,21:30:00,40.901,40.96,40.901,40.921,3113,0
2017-11-20,21:35:00,40.946,40.97,40.901,40.97,5722,0
2017-11-20,21:40:00,40.951,41.04,40.941,41.04,3782,0
2017-11-20,21:45:00,41.07,41.07,41,41.01,3419,0
2017-11-20,21:50:00,41.01,41.05,41,41.05,2611,0
2017-11-20,21:55:00,41.05,41.15,41.05,41.125,5073,0
2017-11-20,22:00:00,41.15,41.19,41.12,41.18,20997,0
