Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,11.27,11.38,11.2101,11.38,24600,0
2017-11-17,15:40:00,11.3503,11.42,11.3503,11.39,13953,0
2017-11-17,15:45:00,11.38,11.41,11.3617,11.41,4903,0
2017-11-17,15:50:00,11.4,11.41,11.38,11.41,12690,0
2017-11-17,15:55:00,11.42,11.4799,11.42,11.4799,6293,0
2017-11-17,16:00:00,11.46,11.46,11.45,11.45,1030,0
2017-11-17,16:05:00,11.45,11.451,11.42,11.43,7599,0
2017-11-17,16:10:00,11.43,11.441,11.42,11.441,4917,0
2017-11-17,16:15:00,11.44,11.44,11.38,11.38,7901,0
2017-11-17,16:20:00,11.38,11.394,11.36,11.36,12304,0
2017-11-17,16:25:00,11.35,11.35,11.32,11.335,5326,0
2017-11-17,16:30:00,11.33,11.339,11.32,11.339,4639,0
2017-11-17,16:35:00,11.335,11.335,11.3,11.3,5700,0
2017-11-17,16:40:00,11.3,11.3,11.29,11.3,2116,0
2017-11-17,16:45:00,11.29,11.33,11.29,11.33,8221,0
2017-11-17,16:50:00,11.33,11.36,11.32,11.36,42500,0
2017-11-17,16:55:00,11.36,11.44,11.36,11.43,32055,0
2017-11-17,17:00:00,11.43,11.45,11.42,11.425,10323,0
2017-11-17,17:05:00,11.43,11.455,11.43,11.43,7328,0
2017-11-17,17:10:00,11.42,11.45,11.42,11.45,7732,0
2017-11-17,17:15:00,11.46,11.465,11.46,11.465,600,0
2017-11-17,17:20:00,11.465,11.465,11.4301,11.4307,8238,0
2017-11-17,17:25:00,11.435,11.48,11.435,11.48,6422,0
2017-11-17,17:30:00,11.4763,11.4763,11.4499,11.461,7089,0
2017-11-17,17:35:00,11.47,11.49,11.47,11.49,3588,0
2017-11-17,17:40:00,11.495,11.525,11.49,11.52,9749,0
2017-11-17,17:45:00,11.52,11.54,11.52,11.53,7912,0
2017-11-17,17:50:00,11.5247,11.54,11.5247,11.535,2600,0
2017-11-17,17:55:00,11.53,11.53,11.51,11.51,4289,0
2017-11-17,18:00:00,11.52,11.55,11.52,11.55,10812,0
2017-11-17,18:05:00,11.55,11.55,11.54,11.545,1400,0
2017-11-17,18:10:00,11.5422,11.575,11.5422,11.566,3620,0
2017-11-17,18:15:00,11.56,11.56,11.5525,11.5525,3026,0
2017-11-17,18:20:00,11.555,11.56,11.551,11.5534,2200,0
2017-11-17,18:25:00,11.56,11.56,11.555,11.555,3800,0
2017-11-17,18:30:00,11.56,11.59,11.55,11.57,23603,0
2017-11-17,18:35:00,11.57,11.57,11.57,11.57,2300,0
2017-11-17,18:40:00,11.565,11.57,11.565,11.57,1656,0
2017-11-17,18:45:00,11.57,11.575,11.57,11.57,3300,0
2017-11-17,18:50:00,11.57,11.57,11.56,11.565,4618,0
2017-11-17,18:55:00,11.57,11.57,11.56,11.565,5200,0
2017-11-17,19:00:00,11.56,11.58,11.56,11.58,17041,0
2017-11-17,19:05:00,11.58,11.595,11.575,11.59,6070,0
2017-11-17,19:10:00,11.59,11.62,11.59,11.6,6047,0
2017-11-17,19:15:00,11.605,11.6182,11.605,11.6182,2324,0
2017-11-17,19:20:00,11.61,11.615,11.6,11.601,5236,0
2017-11-17,19:25:00,11.6,11.63,11.6,11.63,5802,0
2017-11-17,19:30:00,11.63,11.66,11.62,11.65,12349,0
2017-11-17,19:35:00,11.65,11.66,11.65,11.65,4877,0
2017-11-17,19:40:00,11.65,11.65,11.645,11.645,700,0
2017-11-17,19:45:00,11.65,11.65,11.615,11.615,7306,0
2017-11-17,19:50:00,11.62,11.65,11.62,11.64,12164,0
2017-11-17,19:55:00,11.63,11.63,11.62,11.62,3902,0
2017-11-17,20:00:00,11.62,11.62,11.59,11.59,7030,0
2017-11-17,20:05:00,11.59,11.59,11.58,11.58,1400,0
2017-11-17,20:10:00,11.59,11.59,11.57,11.58,15452,0
2017-11-17,20:15:00,11.58,11.58,11.54,11.54,9643,0
2017-11-17,20:20:00,11.54,11.54,11.5,11.5,10239,0
2017-11-17,20:25:00,11.5,11.5,11.46,11.5,11923,0
2017-11-17,20:30:00,11.5,11.5,11.475,11.49,7210,0
2017-11-17,20:35:00,11.5,11.5,11.5,11.5,100,0
2017-11-17,20:40:00,11.495,11.495,11.47,11.48,4300,0
2017-11-17,20:45:00,11.475,11.49,11.47,11.49,8930,0
2017-11-17,20:50:00,11.49,11.5,11.49,11.5,2993,0
