Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-06,15:35:00,7.94,8.0194,7.94,8,22090,0
2017-11-06,15:40:00,8,8.01,8,8,1750,0
2017-11-06,15:50:00,8.01,8.01,8.01,8.01,100,0
2017-11-06,16:00:00,8.01,8.01,8.01,8.01,613,0
2017-11-06,16:05:00,7.983,8.0186,7.9808,8.0186,1200,0
2017-11-06,16:15:00,8,8,7.9801,7.9801,300,0
2017-11-06,16:25:00,8,8,8,8,100,0
2017-11-06,16:30:00,8.02,8.02,8.02,8.02,2351,0
2017-11-06,16:35:00,8.0251,8.0499,8.0251,8.0499,1941,0
2017-11-06,16:40:00,8.0351,8.05,8.0351,8.05,600,0
2017-11-06,16:45:00,8.05,8.0872,8.0499,8.0872,4805,0
2017-11-06,16:50:00,8.1,8.12,8.1,8.12,2317,0
2017-11-06,16:55:00,8.13,8.15,8.1175,8.14,2108,0
2017-11-06,17:00:00,8.1347,8.15,8.1347,8.15,2800,0
2017-11-06,17:05:00,8.145,8.1486,8.13,8.13,1000,0
2017-11-06,17:10:00,8.115,8.115,8.1128,8.1128,1300,0
2017-11-06,17:15:00,8.1399,8.1399,8.12,8.12,469,0
2017-11-06,17:25:00,8.1002,8.1002,8.1002,8.1002,300,0
2017-11-06,17:35:00,8.11,8.11,8.11,8.11,100,0
2017-11-06,17:40:00,8.08,8.08,8.08,8.08,100,0
2017-11-06,17:55:00,8.0822,8.0836,8.03,8.03,6284,0
2017-11-06,18:05:00,8,8,8,8,100,0
2017-11-06,18:10:00,8.0499,8.0499,8,8.01,5300,0
2017-11-06,18:25:00,8.02,8.02,8.02,8.02,200,0
2017-11-06,18:35:00,8.01,8.025,8.01,8.01,400,0
2017-11-06,18:50:00,8.001,8.05,8,8.05,9262,0
2017-11-06,18:55:00,8,8,8,8,100,0
2017-11-06,19:00:00,8.01,8.01,8.01,8.01,100,0
2017-11-06,19:10:00,8,8,8,8,100,0
2017-11-06,19:15:00,8.045,8.045,8.045,8.045,1100,0
2017-11-06,19:35:00,8,8,8,8,100,0
2017-11-06,19:50:00,8.01,8.01,8.01,8.01,100,0
2017-11-06,19:55:00,8.0194,8.02,8,8.02,320,0
2017-11-06,20:10:00,8.0186,8.02,8.0186,8.02,500,0
2017-11-06,20:20:00,8,8.0088,8,8.0088,1092,0
2017-11-06,20:35:00,8.0063,8.0063,8,8,2800,0
2017-11-06,20:40:00,8,8,8,8,2074,0
2017-11-06,20:55:00,7.99,7.99,7.96,7.96,1991,0
2017-11-06,21:10:00,7.981,7.981,7.981,7.981,180,0
2017-11-06,21:15:00,7.95,7.98,7.95,7.98,300,0
2017-11-06,21:20:00,7.98,7.98,7.98,7.98,500,0
2017-11-06,21:25:00,8,8,7.97,7.97,500,0
2017-11-06,21:35:00,7.99,7.99,7.99,7.99,400,0
2017-11-06,21:45:00,7.9699,7.9699,7.96,7.96,500,0
2017-11-06,21:55:00,7.95,7.95,7.95,7.95,100,0
2017-11-06,22:00:00,7.965,7.97,7.95,7.95,3107,0
2017-11-07,15:35:00,7.95,7.95,7.95,7.95,907,0
2017-11-07,15:40:00,7.961,7.98,7.95,7.98,6521,0
2017-11-07,15:50:00,7.9899,7.9899,7.9899,7.9899,1250,0
2017-11-07,16:00:00,8,8,8,8,100,0
2017-11-07,16:05:00,7.96,7.96,7.96,7.96,545,0
2017-11-07,16:10:00,7.9516,7.96,7.95,7.95,5705,0
2017-11-07,16:15:00,7.94,7.94,7.91,7.91,1740,0
2017-11-07,16:20:00,7.91,7.91,7.85,7.85,2590,0
2017-11-07,16:25:00,7.87,7.87,7.84,7.84,1500,0
2017-11-07,16:30:00,7.8,7.81,7.8,7.81,200,0
2017-11-07,16:35:00,7.8,7.81,7.8,7.81,500,0
2017-11-07,16:40:00,7.81,7.82,7.8,7.8,300,0
2017-11-07,16:45:00,7.8,7.8,7.8,7.8,100,0
2017-11-07,16:50:00,7.8,7.8,7.79,7.7925,2423,0
2017-11-07,18:20:00,7.76,7.76,7.76,7.76,400,0
2017-11-07,18:30:00,7.7757,7.7757,7.76,7.76,825,0
2017-11-07,18:35:00,7.76,7.77,7.76,7.77,829,0
2017-11-07,18:55:00,7.7879,7.7879,7.7879,7.7879,100,0
2017-11-07,19:00:00,7.7863,7.7863,7.7863,7.7863,100,0
2017-11-07,19:05:00,7.775,7.775,7.775,7.775,100,0
2017-11-07,19:15:00,7.76,7.76,7.76,7.76,100,0
2017-11-07,19:20:00,7.76,7.76,7.76,7.76,100,0
2017-11-07,19:40:00,7.775,7.775,7.775,7.775,100,0
2017-11-07,19:55:00,7.77,7.77,7.75,7.75,1910,0
2017-11-07,20:00:00,7.7625,7.77,7.76,7.76,300,0
